"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepPaulCook","464458413604093_1248626045187322","Congressman Paul Cook","2017-01-03","2017-01-03 22:48:41","Signing the Oath of Office with my wife and favorite constituent, Jeanne. I'm honored and humbled to be part of the 115th Congress and look forward to continuing to represent California's 8th District.","photo","https://www.facebook.com/RepPaulCook/photos/a.478194955563772.100504.464458413604093/1248626045187322/?type=3",NA,304,52,14,28,0,0,0,0
"RepPaulCook","464458413604093_1249518281764765","Congressman Paul Cook","2017-01-04","2017-01-04 22:30:39","Today, I introduced the Veterans’ Education Equity Act, important bipartisan legislation to ensure that our student veterans are getting a fair and reasonable housing benefit so they can afford to complete their education. We must protect the benefits our veterans earned while defending this nation. http://bit.ly/2j60WRm","link","http://bit.ly/2j60WRm","bit.ly",101,18,8,0,0,0,0,0
"RepPaulCook","464458413604093_1250394461677147","Congressman Paul Cook","2017-01-05","2017-01-05 22:51:06","I have reintroduced the HIRE Vets Act, legislation that would promote private sector recruiting, hiring, and retaining of men and women who served honorably in the U.S. military. This bipartisan bill passed the House with unanimous support during the last Congress but was not able to pass the Senate before the end of the year. Veterans who serve this country honorably shouldn’t struggle to find employment.","link","http://bit.ly/2iJzqKs","bit.ly",85,20,15,9,0,0,0,0
"RepPaulCook","464458413604093_1253784578004802","Congressman Paul Cook","2017-01-09","2017-01-09 20:46:44","Today is Law Enforcement Appreciation Day, a day to acknowledge the contributions that men and women in uniform make on a daily basis to keep our communities safe. If you see a police officer today, be sure to take a minute to thank them. #ThankACop","photo","https://www.facebook.com/RepPaulCook/photos/a.478194955563772.100504.464458413604093/1253784578004802/?type=3",NA,70,4,28,3,1,0,0,0
"RepPaulCook","464458413604093_1257142184335708","Congressman Paul Cook","2017-01-12","2017-01-12 21:56:36","Attention High Desert Veterans: Veterans residing in the Victorville area that have medical appointments at the main VA Loma Linda Healthcare System now have access to free bus service to the facility. I’ve advocated for this service for quite some time, so I’m pleased to see it come to fruition. Spread the word so that veterans know about it and use it.  http://bit.ly/2jcDqWH","link","http://bit.ly/2jcDqWH","bit.ly",128,26,48,19,0,0,0,0
"RepPaulCook","464458413604093_1260944673955459","Congressman Paul Cook","2017-01-16","2017-01-16 22:16:20","Today we remember Dr. Martin Luther King Jr., a courageous leader and a voice for equality.","photo","https://www.facebook.com/RepPaulCook/photos/a.478194955563772.100504.464458413604093/1260944673955459/?type=3",NA,60,13,6,4,1,0,0,0
"RepPaulCook","464458413604093_1264855353564391","Congressman Paul Cook","2017-01-21","2017-01-21 04:03:23","One of the remarkable hallmarks of our republic is the peaceful transition of power regardless of party affiliation. I was proud and honored to witness this occur today.","photo","https://www.facebook.com/RepPaulCook/photos/a.478194955563772.100504.464458413604093/1264855353564391/?type=3",NA,123,29,4,14,0,0,1,2
"RepPaulCook","464458413604093_1267786803271246","Congressman Paul Cook","2017-01-23","2017-01-23 19:49:58","With all of the recent rains and snow, be sure to follow Caltrans for the latest on road conditions in the area. Stay safe! https://twitter.com/Caltrans8","link","https://twitter.com/Caltrans8","twitter.com",38,5,1,2,0,0,0,0
"RepPaulCook","464458413604093_1267979339918659","Congressman Paul Cook","2017-01-23","2017-01-23 23:14:40","I reintroduced the Private Corrado Piccoli Purple Heart Preservation Act, which prohibits the sale of any Purple Heart medal presented by the government to a wounded servicemember or the servicemember’s family. I’m committed to defending our Veterans, and that means preserving their symbols of honor like the Purple Heart. These medals belong with families or in museums, not on an auction block. http://bit.ly/2jS7U09","link","http://bit.ly/2jS7U09","bit.ly",86,18,33,7,0,0,0,1
"RepPaulCook","464458413604093_1268843983165528","Congressman Paul Cook","2017-01-24","2017-01-24 18:16:29","Great to meet with Head Start of San Bernardino County today. They are doing some incredible work in the district to provide early education to low income families. #CA08inDC","photo","https://www.facebook.com/RepPaulCook/photos/a.478194955563772.100504.464458413604093/1268843983165528/?type=3",NA,65,8,1,1,0,0,0,0
