"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepPerlmutter","86174496459_10154818936501460","Congressman Ed Perlmutter","2017-01-01","2017-01-01 07:00:00","Happy New Year!","status",NA,NA,116,12,0,3,0,1,0,0
"RepPerlmutter","86174496459_10154859498191460","Congressman Ed Perlmutter","2017-01-03","2017-01-03 18:16:28","Thanks to the calls of outcry this morning by the American people, House Republicans have backpedaled on their plan to move the independent, nonpartisan Office of Congressional Ethics (OCE) under the lawmaker-controlled Committee on Ethics. This move would have undermined the OCE’s independence by allowing the House to halt investigations and stop anonymous reporting.   The OCE was established in 2008 after a series of ethics scandals involving multiple GOP lawmakers. Today, the OCE is dedicated to investigating ethics complaints filed by the public and is essential to ensuring accountability, transparency and trust in our government.   Just this morning, my offices in Lakewood and D.C. received more than 50 phone calls in addition to tweets, Facebook comments and emails from constituents voicing their concern about this move from the Republicans. I encourage everyone to continue to share their thoughts, concerns and ideas with me and my office. Your voice helped change the course of this issue and can continue to have an important impact on issues in the future. Contact my office by calling (303) 274-7944 or email me at https://perlmutter.house.gov/forms/writeyourrep/.","link","http://thehill.com/homenews/house/312496-house-gop-scraps-plan-to-gut-ethics-watchdog-after-emergency-meeting","thehill.com",710,74,121,34,4,5,1,8
"RepPerlmutter","86174496459_10154860431771460","Congressman Ed Perlmutter","2017-01-04","2017-01-04 01:29:25","I look forward to continuing to fight for the hardworking people of the 7th District. It is an honor and privilege to represent you in the 115th Congress of the United States of America.","photo","https://www.facebook.com/RepPerlmutter/photos/a.424880271459.198194.86174496459/10154860431771460/?type=3",NA,758,80,23,65,0,0,0,0
"RepPerlmutter","86174496459_10154862226621460","Congressman Ed Perlmutter","2017-01-04","2017-01-04 17:59:59","Today Vice President-elect Mike Pence told GOP lawmakers that on day one of the new administration, the President will issue executive orders to repeal the Affordable Care Act. But we still have yet to see a real plan from Republicans to replace Obamacare.   The Republican strategy of ‘Repeal and Delay’ will create uncertainty for millions of Americans, cost taxpayers billions of dollars and do serious damage the healthcare system.   Across the country, Obamacare ended discrimination against people with preexisting conditions, allowed young people to stay on their parents’ coverage until the age of 26 and helped 20 million Americans gain health coverage.  In Colorado, 419,000 people have gained health coverage because of Obamacare. The uninsured rate dropped from 15.9% to 8.1%. Average annual family premium increases were cut from 7% to 4.8%.  Access to health care should not be contingent upon your income bracket or what job you have. The Affordable Care Act is civil rights act, and I will keep fighting to make sure every Coloradan has access to affordable health care.     SOURCE: U.S. Department of Health and Human Services -  http://bit.ly/2j9Hrvv  #ACAworks","link","http://money.cnn.com/2017/01/02/news/economy/repealing-obamacare-health-insurance/index.html","money.cnn.com",243,84,91,7,2,1,26,36
"RepPerlmutter","86174496459_10154865616951460","Congressman Ed Perlmutter","2017-01-05","2017-01-05 21:57:10","It is clear Russia intervened in an attempt to interfere in the 2016 U.S. presidential election. This action by a foreign nation was unprecedented, violated our Constitution and undermined the founding pillars of American liberty and democracy.","photo","https://www.facebook.com/RepPerlmutter/photos/a.424880271459.198194.86174496459/10154865616951460/?type=3",NA,338,96,61,22,4,5,6,30
"RepPerlmutter","86174496459_10154868467391460","Congressman Ed Perlmutter","2017-01-06","2017-01-06 21:43:10","I’m cosponsoring the Protecting Our Democracy Act to establish an independent, bipartisan commission to investigate foreign interference in the 2016 election. The bill would create a 12-member commission empowered to interview witnesses, obtain documents, issue subpoenas, and receive public testimony to examine attempts by the Russian government or others to use electronic means to influence, interfere with, or undermine trust in last year’s U.S. elections. The commission would examine any similar efforts by any other foreign governments or entities and would issue a final report with recommendations to Congress and the President within 18 months of enactment.","link","http://perlmutter.house.gov/news/documentsingle.aspx?DocumentID=1550","perlmutter.house.gov",1209,158,139,106,7,1,0,4
"RepPerlmutter","86174496459_10154880371721460","Congressman Ed Perlmutter","2017-01-10","2017-01-10 22:43:13","Today’s nomination hearing with Senator Jeff Sessions was concerning on many levels due to his extreme views on immigration, civil rights and equal protections for women and minorities. In addition, Sessions did not provide the clarity needed as it relates to how the federal government will enforce the Controlled Substances Act. I am concerned our future Attorney General will disregard Colorado's sovereignty and undermine the will of our voters. In the past, Sessions has favored states’ rights and I would urge the new administration to respect state’s rights on this issue as Congress continues to debate this important issue.","link","http://www.politico.com/magazine/story/2016/12/jeff-sessions-coming-war-on-legal-marijuana-214501","politico.com",233,61,59,1,0,5,21,60
"RepPerlmutter","86174496459_10154880405336460","Congressman Ed Perlmutter","2017-01-10","2017-01-10 23:06:28","It has been a great privilege to work with President Obama over the last eight years. He led our country out of the Great Recession, signed historic health care reform into law, fought for stronger financial regulations, improved renewable energy standards, saved the American auto industry and much, much more. He brought class and style to the White House, and he will certainly be missed.  #ThanksObama","video","https://www.facebook.com/ObamaWhiteHouse/videos/10155112007954238/",NA,327,15,0,46,0,0,9,0
"RepPerlmutter","86174496459_10154883951046460","Congressman Ed Perlmutter","2017-01-11","2017-01-11 23:30:43","A conflict of interest, or even the appearance of a conflict of interest, will damage the integrity of the Presidency. Yet, President-elect Trump refuses to sell his business or place his assets in a blind trust while in office.   He is turning over control of the business to his two sons and has promised to have “no involvement whatsoever”. I am concerned this is not enough to reassure the American people that he will act in their best interest rather than in the best interest of the Trump Organization.  The head of the nonpartisan Office of Government Ethics called Trump’s plan “meaningless” and believes it “sets up the incoming administration for constant controversy.”  Additionally, the President-elect has surrounded himself with billionaire and millionaire cabinet officials who also have business dealings across the country and world. The Trump Administration needs to be transparent and honest about how they plan to avoid conflicts of interest at all levels of the administration.","link","http://www.politico.com/story/2017/01/trump-business-ties-conflicts-233468","politico.com",340,119,87,2,3,6,25,166
"RepPerlmutter","86174496459_10154886923036460","Congressman Ed Perlmutter","2017-01-12","2017-01-12 17:50:07","Thank you to the 1831 Coloradans who participated in this survey. I will continue to monitor the new administration and keep you informed on new issues.","photo","https://www.facebook.com/RepPerlmutter/photos/a.424880271459.198194.86174496459/10154886921886460/?type=3",NA,68,22,6,2,0,1,0,0
