"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepPoliquin","391924704317377_694355367407641","Congressman Bruce Poliquin","2017-01-03","2017-01-03 23:27:54","Yesterday, I voted against a proposal that would have made unilateral adjustments to the Office of Congressional Ethics (OCE), an independent body that is designed to be a watchdog over Members of Congress.  While there should be important reforms made to the OCE that both Republicans and Democrats agree on, such as ensuring due process, I opposed this proposal because I believe it's important that these kinds of changes to the ethics office be made in a bipartisan effort and after robust debate and discussion from both parties. In addition, the American People have spoken overwhelmingly in the last election in sending us here to fix the real problems facing our Nation. This is not their priority.","link","https://poliquin.house.gov/media-center/press-releases/rep-poliquin-opposes-proposed-changes-office-congressional-ethics","poliquin.house.gov",199,23,27,4,0,2,0,0
"RepPoliquin","391924704317377_694827560693755","Congressman Bruce Poliquin","2017-01-04","2017-01-04 16:27:39","I am humbled to begin my second term in office serving on behalf of the hardworking families, small businesses and communities of Maine’s 2nd District. There is so much work to be done for our State and for our Nation, and I’m ready to get right back to it.  In the next two years, I look forward to working closely with my Republican and Democratic colleagues in the House and Senate, with the White House, and with the members of the new administration to solve some of the biggest challenges facing our Nation, like protecting and growing jobs, ensuring our Veterans are provided the services they were promised, and securing our seniors’ hard-earned Medicare and Social Security benefits.","photo","https://www.facebook.com/RepPoliquin/photos/a.400104883499359.1073741828.391924704317377/694827560693755/?type=3",NA,238,22,29,9,0,0,0,0
"RepPoliquin","391924704317377_694988970677614","Congressman Bruce Poliquin","2017-01-04","2017-01-04 23:04:50","In the Obama Administration’s remaining days in office, they have hastily jammed through as many last-minute regulations as possible, without any approval from Congress or the American People. This evening, the House passed the Midnight Rules Relief Act, a bill that will help protect our small businesses and other job creators in Maine from these disastrous eleventh-hour rules. It’s past time we remove the power from bureaucrats and restore it to local communities and elected officials.","status",NA,NA,167,11,19,6,1,0,0,3
"RepPoliquin","391924704317377_695408183969026","Congressman Bruce Poliquin","2017-01-05","2017-01-05 15:51:37","I was honored to join in reading our #Constitution on the House Floor today.  As a Member of Congress, one of my most solemn obligations is to support and defend our Constitution, the cornerstone and safeguard of our republic.","link","https://www.c-span.org/video/?c4641597","c-span.org",175,10,16,9,0,1,0,0
"RepPoliquin","391924704317377_695509583958886","Congressman Bruce Poliquin","2017-01-05","2017-01-05 19:23:39","#BathBuiltBestBuilt  The men and women of Bath Iron Works are the best shipbuilders in the world, whose hard work keeps our Nation’s fleets strong across the globe. It was a great privilege to attend the christening of the USS Rafael Peralta in October 2015, named in honor of the late Marine Corps sergeant who was killed in action in Iraq. This awesome ship will carry his spirit forever.","link","http://bangordailynews.com/2017/01/04/news/midcoast/maine-shipyard-prepares-to-deliver-1-5-billion-destroyer-to-navy/","bangordailynews.com",143,3,26,11,0,2,0,0
"RepPoliquin","391924704317377_695634633946381","Congressman Bruce Poliquin","2017-01-06","2017-01-06 01:17:59","Our Nation stands strong with our ally, Israel.  Tonight, a bipartisan and overwhelming majority in the House passed a measure condemning the UN’s anti-Israel resolution that they pushed through in December. While the UN undermined Israel, the Obama Administration refused to veto the action, abandoning one of our closest allies. This was unacceptable.  I will always stand with the people of Israel, our close ally, and will help work toward peace in the region.","link","https://poliquin.house.gov/media-center/press-releases/rep-poliquin-condemns-obama-administration-s-failure-veto-anti-israel-un","poliquin.house.gov",209,23,29,16,0,0,0,0
"RepPoliquin","391924704317377_696086243901220","Congressman Bruce Poliquin","2017-01-06","2017-01-06 20:48:13","Members of Congress and other public servants should be held to the highest standard. The American People sent us to Washington to work for them, not the other way around.  That's why I became a cosponsor of the TRUST Act. This bill will strip all taxpayer-funded portions of pensions for Members of Congress who are convicted of a felony, something that is just common sense.  From day one in office, I chose not to accept the congressional health care benefits and Thrift Savings that cost our taxpayers. Members of Congress exist to serve the people, and they should never betray that trust.","status",NA,NA,159,26,26,8,0,0,1,0
"RepPoliquin","391924704317377_697507577092420","Congressman Bruce Poliquin","2017-01-09","2017-01-09 18:12:43","Every single day, we should stand up and show support for our police officers in Maine and across our nation. Today, on #NationalLawEnforcementAppreciationDay, we recognize their sacrifice and applaud their commitment to serving and protecting our families and communities.  Thank you to the thousands of officers in Maine for your great work on behalf of our citizens. I will always have your back.","photo","https://www.facebook.com/RepPoliquin/photos/a.400104883499359.1073741828.391924704317377/697507577092420/?type=3",NA,138,3,16,8,0,1,0,0
"RepPoliquin","391924704317377_697652360411275","Congressman Bruce Poliquin","2017-01-10","2017-01-10 00:22:23","Tonight, I am putting a blue light in my office window in Washington to recognize #NationalLawEnforcementAppreciationDay and to honor all of the officers across our Nation that protect our communities every day.  It is hard knowing that right now a massive manhunt is taking place in Orlando for the shooter of an officer who died earlier today. My thoughts and prayers go out to the family of the fallen officer, Sergeant Debra Clayton, and for the law enforcement who are—at this very minute—searching for the suspect. We are all praying for his quick arrest and for everyone to stay safe.","photo","https://www.facebook.com/RepPoliquin/photos/a.400104883499359.1073741828.391924704317377/697652360411275/?type=3",NA,166,6,14,9,0,0,10,0
"RepPoliquin","391924704317377_698139437029234","Congressman Bruce Poliquin","2017-01-11","2017-01-11 00:55:54","Tonight, the House acted to help protect internet broadband access for families and communities in underserved areas. The Small Business Broadband Deployment Act, which passed with unanimous and bipartisan support this evening, will provide relief for small internet service providers from unnecessary and burdensome procedures from federal regulators.","link","https://morningconsult.com/2017/01/10/house-passes-bills-small-isp-exemption-data-efficiency/","morningconsult.com",43,3,5,0,0,1,0,0
"RepPoliquin","391924704317377_698959550280556","Congressman Bruce Poliquin","2017-01-12","2017-01-12 15:21:46","Tens of thousands of Mainers right now are suffocating under the spiking ObamaCare monthly premiums, co-pays, and deductibles while other health insurance options continue to shrink—and it’s getting worse. The Affordable Care Act is unaffordable. We must address this crisis.  This week, the House is taking the first step in repealing ObamaCare and replacing it with a plan that will eliminate job-killing taxes and regulations, such as the medical device tax, while retaining sensible provisions like coverage for pre-existing health conditions and keeping those 26-years-old or younger on their parents’ plans.  The American People put us in Congress to provide them with relief from this rapidly failing ObamaCare law. That is exactly what we are going to do.","link","https://poliquin.house.gov/media-center/press-releases/rep-poliquin-vote-health-insurance-relief-thousands-maine-families","poliquin.house.gov",257,90,63,22,0,0,0,11
"RepPoliquin","391924704317377_701547970021714","Congressman Bruce Poliquin","2017-01-17","2017-01-17 17:32:26","This past week, I was tremendously proud and excited to join the House Veterans Affairs Committee, the body in Congress charged with improving care and services for our Veterans.  I am looking forward to serving as an instrumental force on behalf of our more than 60,000 Veterans in Maine’s 2nd District. Maine Veterans now have a direct seat at the table in Congress on some of the biggest issues facing them and their services at the VA. I am thrilled to continue to work on their behalf and to now use my direct role on this committee to hold the VA accountable and to make sure our Nation fulfills our promises to them.","link","https://poliquin.house.gov/media-center/press-releases/rep-poliquin-joins-house-veterans-affairs-committee","poliquin.house.gov",223,25,26,17,0,1,0,1
"RepPoliquin","391924704317377_701699550006556","Congressman Bruce Poliquin","2017-01-17","2017-01-17 23:59:48","Today, I was thrilled to stop by Saint Joseph's College of Maine to commemorate the school being awarded a $1.5 million grant from the Harold Alfond Foundation that will provide strong support for their nursing program.  I have enormous respect for the incredible work of our nurses in Maine and across our Nation. My mother served as a nurse in Central Maine for decades and I grew up watching her selfless devotion to the care of her patients. I am incredibly proud this grant will go to serve countless more dedicated individuals like my mom to pursue their careers in this noble and essential profession.  Saint Joe’s holds a special place in my heart after my years of coaching the Monks on the baseball diamond. I am thrilled this important support is going to an institution so worthy and eager to make a difference for all.","photo","https://www.facebook.com/RepPoliquin/photos/a.400104883499359.1073741828.391924704317377/701699406673237/?type=3",NA,111,6,9,5,0,1,0,0
"RepPoliquin","391924704317377_702133679963143","Congressman Bruce Poliquin","2017-01-18","2017-01-18 22:04:57","What an incredible pleasure it was to host the Madawaska High School band in my Washington, D.C. office this afternoon, as they get ready to perform in our nation’s capital and in the official Inauguration Parade during this week’s festivities. I’m so proud of your hard work and talents that got you here—after a two-day, 850 mile trip! Well done!","photo","https://www.facebook.com/RepPoliquin/photos/a.400104883499359.1073741828.391924704317377/702127136630464/?type=3",NA,469,36,183,42,0,7,0,0
"RepPoliquin","391924704317377_702526323257212","Congressman Bruce Poliquin","2017-01-19","2017-01-19 18:26:06","My office is excited to provide more than 150 tickets for tomorrow’s Inauguration Ceremony to 2nd District Mainers who made the trip to D.C. — from Eastport to Bethel. If you’re in town for the ceremony, please visit us at 1208 Longworth House Office Building today for some ice-cold Moxie! Give us a call at 202-225-6306 if you need any help with directions.","photo","https://www.facebook.com/RepPoliquin/photos/a.400104883499359.1073741828.391924704317377/702526323257212/?type=3",NA,127,15,15,8,2,0,0,0
"RepPoliquin","391924704317377_702981409878370","Congressman Bruce Poliquin","2017-01-20","2017-01-20 20:27:11","Today we witnessed the uniquely American tradition of a peaceful transfer of power that is orchestrated through the will of the American People by a democratic process that defines our great Nation. We are truly a shining city on a hill and a lasting example for the world. Now let's get back to work.","status",NA,NA,231,16,10,10,0,0,1,0
