"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepRalphNorman","315402818913523_124014374941492","Rep. Ralph Norman","2017-10-27","2017-10-27 19:01:04","Congressman Ralph Norman will be hosting an open house at the District flagship office in Rock Hill!  The reception will take place in the lobby of The Business Technology Center. Tours of the office will be available.  Light refreshments will be provided.  Hope to see you there!","event","https://www.facebook.com/events/124014374941492/",NA,20,4,0,0,0,0,0,0
"RepRalphNorman","315402818913523_315430728910732","Rep. Ralph Norman","2017-06-29","2017-06-29 17:17:26",NA,"photo","https://www.facebook.com/RepRalphNorman/photos/a.315430875577384.1073741828.315402818913523/315430728910732/?type=3",NA,22,4,0,0,0,0,0,0
"RepRalphNorman","315402818913523_315479808905824","Rep. Ralph Norman","2017-06-29","2017-06-29 19:09:34","This past Monday I had the honor and the privilege of being sworn in to represent the 5th District of South Carolina in Washington. I am humbled and thankful for all your support, and most of all the trust you put in me to help lead our great country. Now, the hard work of governing begins and I am eager to work hard moving our district, our state, and our nation in a positive direction!","status",NA,NA,21,2,1,0,0,0,0,0
"RepRalphNorman","315402818913523_315493292237809","Rep. Ralph Norman","2017-06-29","2017-06-29 19:38:00",NA,"link","https://www.facebook.com/315402818913523/posts/315493285571143/","facebook.com",16,0,0,2,0,0,0,0
"RepRalphNorman","315402818913523_315506218903183","Rep. Ralph Norman","2017-06-29","2017-06-29 20:15:13",NA,"photo","https://www.facebook.com/RepRalphNorman/photos/a.315419332245205.1073741827.315402818913523/315419338911871/?type=3",NA,21,0,0,1,0,0,0,0
"RepRalphNorman","315402818913523_315507182236420","Rep. Ralph Norman","2017-06-29","2017-06-29 20:17:00",NA,"photo","https://www.facebook.com/RepRalphNorman/photos/a.315402858913519.1073741825.315402818913523/315507182236420/?type=3",NA,25,1,1,1,0,0,0,0
"RepRalphNorman","315402818913523_315526075567864","Rep. Ralph Norman","2017-06-29","2017-06-29 20:56:25","Time to get to work.","video","https://www.facebook.com/RepRalphNorman/videos/315526075567864/",NA,35,0,0,0,0,0,0,0
"RepRalphNorman","315402818913523_316022632184875","Rep. Ralph Norman","2017-06-30","2017-06-30 21:30:00","What a whirlwind of a week! After being sworn in as a Member of Congress on Monday, I’ve been busy learning the ropes, and setting up the D.C. and District Offices. I’m proud to say that this week the House passed 2 important pieces of legislation that will combat illegal immigration:  H.R. 3003 - No Sanctuary for Criminals Act: Clarifies ICE detainer authority by establishing probable cause standards to issue detainers for the first time. Withholds federal grant dollars from cities/jurisdictions that violate federal law (i.e. if officers are prohibited from communicating with ICE). Allows victims of crime to sue cities/municipalities that refuse to comply. Contains Sarah and Grant’s Law – ensuring illegal aliens convicted drunk driving are detained.  H.R. 3004 - Kate’s Law: Amends section 276 of the Immigration and Nationality Act relating to reentry of removed aliens. This law enhances penalties for deported felons who return to the US.","status",NA,NA,35,3,0,0,0,0,0,0
"RepRalphNorman","315402818913523_323642974756174","Rep. Ralph Norman","2017-07-15","2017-07-15 21:11:46",NA,"photo","https://www.facebook.com/RepRalphNorman/photos/a.315402858913519.1073741825.315402818913523/323642974756174/?type=3",NA,64,4,2,3,0,0,0,0
"RepRalphNorman","315402818913523_323975781389560","Rep. Ralph Norman","2017-07-16","2017-07-16 14:31:57","Kershaw County Sheriff Jim Matthews is a man of character who is unafraid to take a stand and do the right thing. We are fortunate to have him as a law enforcement leader.","link","http://www.thestate.com/news/local/crime/article161388708.html","thestate.com",14,0,0,0,0,0,0,0
