"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepRatcliffe","1592038051009806_1863558310524444","Rep. John Ratcliffe","2017-01-02","2017-01-02 02:24:53","I hope everyone had a safe and enjoyable time ringing in 2017. Share if you're looking forward to what's in store for our country this year under a unified Republican government.","photo","https://www.facebook.com/RepRatcliffe/photos/a.1593238424223102.1073741828.1592038051009806/1863558310524444/?type=3",NA,138,10,22,9,0,0,0,0
"RepRatcliffe","1592038051009806_1864190610461214","Rep. John Ratcliffe","2017-01-03","2017-01-03 17:02:08","It's an exciting day here at our nation's Capitol. As we kick off the new session of Congress, I'm humbled for the opportunity to continue being the voice in Washington for the Northeast Texans I represent. And beyond this, I'm looking forward to working with a unified Republican government to finally deliver on our conservative solutions to the biggest issues impacting folks back home.","video","https://www.facebook.com/RepRatcliffe/videos/1864190610461214/",NA,259,32,11,15,0,0,0,0
"RepRatcliffe","1592038051009806_1864664950413780","Rep. John Ratcliffe","2017-01-04","2017-01-04 18:50:11","Just one day after Republicans in Congress launched our renewed efforts to repeal Obamacare, President Obama made his way to Capitol Hill in an attempt to defend his disastrous law. But the facts still stand: under Obamacare, premiums and deductibles have skyrocketed, patient choice has been depleted, and people have been kicked off their plans. No matter how much Democrats and the Obama administration deny it, this law needs to go. It's time to make way for our conservative solutions that will put the American people back in charge of their own healthcare.","link","http://www.foxnews.com/politics/2017/01/03/republicans-deliver-on-day-one-promise-begin-obamacare-repeal-on-hill.html","foxnews.com",126,36,17,11,3,0,2,0
"RepRatcliffe","1592038051009806_1864749177072024","Rep. John Ratcliffe","2017-01-05","2017-01-05 01:24:00","BREAKING: Today I voted for, and the House passed, the Midnight Rules Relief Act, which enables Congress to wipe out Obama's last-minute regulations swiftly before their damage is done.   The slew of regulations being churned out in the Obama administration's final days represents the exact type of executive overreach the American people just voted resoundingly against. These regulations – which carry the weight of law – have a massive impact on Americans' lives, and we in Congress owe it to the citizens of this great country to stop this madness.","link","http://thehill.com/homenews/house/312730-house-passes-bill-to-overturn-midnight-regulations-en-masse","thehill.com",1785,151,1655,169,10,31,3,8
"RepRatcliffe","1592038051009806_1865207360359539","Rep. John Ratcliffe","2017-01-06","2017-01-06 00:35:00","BREAKING: Today I voted for, and the House passed, legislation to condemn and reverse the UN’s anti-Israel resolution the Obama administration refused to veto last month.  Immediately after the Obama administration allowed the UN to pass its anti-Israel resolution, I joined my colleagues in Congress to express my grave concerns about this drastic deviation from America’s longstanding policy of defending our ally, Israel, from such one-sided actions.   Today’s vote solidifies our strong stance against the Obama administration’s shameful refusal to stand up on behalf of our most trusted ally in the Middle East, and it lays the foundation for the incoming Trump administration to move swiftly and forcefully to address the negative impact of this irresponsible decision.","link","https://ratcliffe.house.gov/media-center/press-releases/rep-ratcliffe-votes-condemn-and-reverse-un-s-anti-israel-resolution","ratcliffe.house.gov",370,39,44,37,0,0,1,1
"RepRatcliffe","1592038051009806_1865576020322673","Rep. John Ratcliffe","2017-01-06","2017-01-06 19:19:00","IT'S OFFICIAL: This afternoon, the election of Donald Trump for president of the United States was certified in a Joint Session of Congress. I'm certainly looking forward to what's in store for our great country following his inauguration in just two short weeks.","link","http://www.usatoday.com/story/news/politics/2017/01/06/congress-certify-trumps-victory-friday-challengers-grasp-straws/96218660/","usatoday.com",280,30,33,28,3,1,0,2
"RepRatcliffe","1592038051009806_1866514016895540","Rep. John Ratcliffe","2017-01-09","2017-01-09 02:39:01","This week, my fellow Texan and friend, Rep. Sam Johnson, announced his plan to retire at the end of 2018. Beyond his conservative efforts as a member of the U.S. House, his service in the Air Force and resilience after being held as a prisoner of war in Vietnam have left an unforgettable mark on our country. It’s been quite an honor to serve alongside him for the past two years in Congress, and he will be greatly missed.","link","http://www.washingtontimes.com/news/2017/jan/6/gop-rep-sam-johnson-texas-announces-retirement/","washingtontimes.com",94,8,5,4,0,0,2,0
"RepRatcliffe","1592038051009806_1866875153526093","Rep. John Ratcliffe","2017-01-09","2017-01-09 20:26:39","Today, on National Law Enforcement Appreciation Day, Americans across the country are coming together to say thank you for the selfless dedication of our brave men and women in blue. Last year, 135 law enforcement officers lost their lives in the line of duty – a sacrifice we must never take for granted.  As a Member of Congress, I’m committed to continuing my efforts to ensure our law enforcement officers have the tools and equipment they need to defend themselves as they fight to keep us safe. After all, it's the least we can do in return for the great risks they take on our behalf every single day.","photo","https://www.facebook.com/RepRatcliffe/photos/a.1593238424223102.1073741828.1592038051009806/1866875153526093/?type=3",NA,141,4,17,10,0,0,0,0
"RepRatcliffe","1592038051009806_1867361753477433","Rep. John Ratcliffe","2017-01-11","2017-01-11 02:40:32","The Clemson Tigers weren't the only Tigers to win it all this football season. The Gunter High School Tigers from right here in Texas' 4th District just took home a state football championship title, and official celebrations were held today at the Grayson County Court House.   I'm glad a member of my staff was able to attend to present the team with a flag flown over the U.S. Capitol in their honor, and I'm looking forward to displaying the signed helmet they've presented to me in my Washington, D.C. office to commemorate this huge victory.","link","http://www.heralddemocrat.com/news/20170110/gunter8217s-state-title-celebrated-by-county-with-proclamation-civic-lessons","heralddemocrat.com",114,4,10,5,0,0,0,0
"RepRatcliffe","1592038051009806_1867738346773107","Rep. John Ratcliffe","2017-01-12","2017-01-12 00:00:02","BREAKING: The House just took major action to drain the ""regulatory swamp"" that's grown for eight years under President Obama's watch – and we did it by passing two of my bills that were actually inspired by you: the Separation of Powers Restoration Act and the ALERT Act, which were both included in the Regulatory Accountability Act we voted on this evening.  Ever since I've been in Congress, I’ve heard a resounding message from the folks I’m proud to represent: they’re fed up with the bureaucratic overreach they've been forced to endure for too long. Now, with President-elect Trump about to take office, I'm incredibly optimistic that our efforts to get the government back to working FOR the American people will actually be signed into law.","video","https://www.facebook.com/RepRatcliffe/videos/1867738346773107/",NA,290,37,52,20,0,0,2,1
