"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepRichHudson","212153802255530_1001914786612757","Richard Hudson","2017-04-24","2017-04-24 14:09:05","It was a privilege to present The Congressional Award with Congresswoman Alma S. Adams to outstanding young men and woman in North Carolina for their incredible achievements and service. A big thank you to Allison Latos with WSOC-TV for emceeing this important event!   As a member of The Congressional Award's Board of Directors, I believe there is no better cause to bring us all together than a celebration of our state’s youth and their incredible achievements. Undoubtedly, they are the leaders of tomorrow.","photo","https://www.facebook.com/RepRichHudson/photos/a.212809395523304.55847.212153802255530/1001914259946143/?type=3",NA,23,3,3,0,0,0,0,0
"RepRichHudson","212153802255530_1002017793269123","Richard Hudson","2017-04-24","2017-04-24 17:36:52","Did you miss this week's newsletter? I talked about my work to create a smaller, more limited government that is effective, efficient and accountable to you.  You can check it out here: http://bit.ly/2pt3uQK","link","http://bit.ly/2pt3uQK","bit.ly",24,15,3,0,0,0,0,2
"RepRichHudson","212153802255530_1002621849875384","Richard Hudson","2017-04-25","2017-04-25 16:30:40","What a tragic loss. We are eternally grateful for Sgt. Jason C. Wiens and his commitment and service to our nation. Renee and I send our heartfelt condolences to his friends, family, and teammates in the 82nd Airborne Division. We will keep you all in our thoughts and prayers.","link","http://www.fayobserver.com/news/20170425/police-investigating-death-of-fort-bragg-paratrooper","fayobserver.com",12,3,0,0,0,0,12,0
"RepRichHudson","212153802255530_1002696576534578","Richard Hudson","2017-04-25","2017-04-25 18:51:35","It was so great to catch up with Mike and Sarah Verardo, incredible advocates for our nation's veterans and their caregivers. After Mike was injured during his service with the 82nd Airborne Division in Afghanistan in 2010, he and Sarah faced an uphill battle of surgeries and years of physical, occupational, and speech therapies.  The Verardos are now advocating for veterans with Square Deal for Vets, a non-profit that works to give veterans a voice. I admire their dedication, and I share their goals of reforming the VA and improving access to care for veterans. Like I told them, I will continue to fight to ensure our men and women in uniform, our veterans and their families get the care and respect they deserve.","photo","https://www.facebook.com/RepRichHudson/photos/a.212809395523304.55847.212153802255530/1002695193201383/?type=3",NA,32,5,3,1,0,0,0,1
"RepRichHudson","212153802255530_1002778816526354","Richard Hudson","2017-04-25","2017-04-25 21:26:22","I enjoyed meeting with Chancellor Carol Folt today and congratulating her on a well-deserved National Championship. It was great to discuss our strong commitment to funding at the NIH and the cutting-edge research happening on The University of North Carolina at Chapel Hill's campus. Go Heels!","photo","https://www.facebook.com/RepRichHudson/photos/a.212809395523304.55847.212153802255530/1002778816526354/?type=3",NA,38,9,1,1,0,0,0,2
"RepRichHudson","212153802255530_1003215699815999","Richard Hudson","2017-04-26","2017-04-26 14:08:21","I'm honored to be recognized by National Association of Emergency Medical Technicians for my work to ensure EMS practitioners can do their jobs as effectively and safely as possible to best serve patients.   Not only do they provide quality, timely care around the clock, but they also provide peace of mind. We are so grateful for their dedication to our communities.   I'll continue to work with my colleagues on bipartisan solutions to support our EMS system and ensure high-quality patient care.","photo","https://www.facebook.com/RepRichHudson/photos/a.212809395523304.55847.212153802255530/1003215699815999/?type=3",NA,26,4,2,1,0,0,0,0
"RepRichHudson","212153802255530_1003329439804625","Richard Hudson","2017-04-26","2017-04-26 16:26:06","If you or someone you know is interested in attending a service academy, I am hosting two Service Academy Days in Charlotte and Fayetteville this weekend. Contact my Concord office at 704-786-1612 to learn more!","photo","https://www.facebook.com/RepRichHudson/photos/a.212809395523304.55847.212153802255530/1003329439804625/?type=3",NA,5,0,1,0,0,0,0,0
"RepRichHudson","212153802255530_1003415059796063","Richard Hudson","2017-04-26","2017-04-26 20:13:33","It was great to meet with Concord Middle School Principal Carrie Tulbert today. Behind every great school is an incredible principal!   As the son of a retired Cabarrus County Schools teacher, I strongly believe excellence in education is the right of every child. I remain committed to working towards that goal with teachers, administrators and educators like Principal Tulbert.","photo","https://www.facebook.com/RepRichHudson/photos/a.212809395523304.55847.212153802255530/1003415059796063/?type=3",NA,92,9,14,10,0,0,0,2
"RepRichHudson","212153802255530_1004060309731538","Richard Hudson","2017-04-27","2017-04-27 18:19:49","Renee and I will continue to keep Fort Bragg, N.C. soldiers and their families in our prayers as they prepare for deployment this summer. I know they are well-trained and prepared for the challenges ahead.  http://www.fayobserver.com/news/20170427/1900-fort-bragg-soldiers-to-deploy-this-summer","link","http://www.fayobserver.com/news/20170427/1900-fort-bragg-soldiers-to-deploy-this-summer","fayobserver.com",65,6,13,5,0,0,7,1
"RepRichHudson","212153802255530_1004766112994291","Richard Hudson","2017-04-28","2017-04-28 18:42:07","I’ve been advocating for environmentally sound offshore exploration in the Atlantic for years. It’s about time we had a president who shares my desire to responsibly open North Carolina to energy exploration while protecting our beautiful coastal waters as well as our tourism and ocean industries.   I will continue to work to get North Carolina into the energy business to unlock good-paying jobs and strengthen our energy security.  https://youtu.be/KN1gDvoPVcY","link","https://youtu.be/KN1gDvoPVcY","youtu.be",54,44,8,3,0,0,3,28
