"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepRoKhanna","567581313441592_1824043467887611","Rep. Ro Khanna","2017-12-08","2017-12-08 18:58:48","Rep. Ro Khanna (CA-17) will discuss recent developments and current legislative activities in Congress and take questions from constituents in over the phone. Let us know you if you are interested in participating by completing this form.  https://khannaforms.house.gov/forms/form/?ID=18  * If you are viewing this on a desktop computer, use the scroll bar on the right to complete the form.  The tele-town hall will take place on December 11th from 5:00 to 6:00 pm.","event","https://www.facebook.com/events/1824043467887611/",NA,1,1,0,0,0,0,0,0
"RepRoKhanna","567581313441592_551547221854868","Rep. Ro Khanna","2017-11-17","2017-11-17 16:10:57","Rep. Ro Khanna (CA-17) will discuss recent developments and current legislative activities in Congress and take questions from constituents in attendance. Let us know you if you are interested in attending by completing this form.  The Lynbrook High School auditorium seats approximately 350 people, and attendees will be accommodated on a first-come, first-serve basis. Expressing interest through this RSVP form does not guarantee entry.","event","https://www.facebook.com/events/551547221854868/",NA,27,1,0,0,0,0,0,0
"RepRoKhanna","567581313441592_567596953440028","Rep. Ro Khanna","2017-01-03","2017-01-03 17:26:22",NA,"photo","https://www.facebook.com/RepRoKhanna/photos/a.567596916773365.1073741826.567581313441592/567596920106698/?type=3",NA,22,0,0,0,0,0,0,0
"RepRoKhanna","567581313441592_567600716772985","Rep. Ro Khanna","2017-01-03","2017-01-03 17:45:10",NA,"photo","https://www.facebook.com/RepRoKhanna/photos/a.567600710106319.1073741827.567581313441592/567600656772991/?type=3",NA,28,0,3,0,0,0,0,0
"RepRoKhanna","567581313441592_567639943435729","Rep. Ro Khanna","2017-01-03","2017-01-03 20:17:48","Today, I was sworn in to represent the 17th congressional district of California. I look forward to working for you to uphold the values we believe in and make progress together.","photo","https://www.facebook.com/RepRoKhanna/photos/a.567640000102390.1073741828.567581313441592/567639943435729/?type=3",NA,85,10,3,4,0,0,0,0
"RepRoKhanna","567581313441592_567646870101703","Rep. Ro Khanna","2017-01-04","2017-01-04 13:35:01","Thanks to the Affordable Care Act, the uninsured rate in the U.S. has dropped to a record low. Leave a comment to share how the #ACAworks for you and your family.","photo","https://www.facebook.com/RepRoKhanna/photos/a.567640000102390.1073741828.567581313441592/567646870101703/?type=3",NA,17,3,1,0,0,0,0,0
"RepRoKhanna","567581313441592_567651946767862","Rep. Ro Khanna","2017-01-03","2017-01-03 21:15:18",NA,"photo","https://www.facebook.com/RepRoKhanna/photos/a.567596916773365.1073741826.567581313441592/567651946767862/?type=3",NA,53,0,0,0,0,0,0,0
"RepRoKhanna","567581313441592_567940686738988","Rep. Ro Khanna","2017-01-04","2017-01-04 17:05:00","My offices are now open. Visit us at 900 Lafayette St., Suite 206 in Santa Clara or in 513 Cannon House Office Building in Washington, DC.","photo","https://www.facebook.com/RepRoKhanna/photos/a.567640000102390.1073741828.567581313441592/567932496739807/?type=3",NA,48,2,3,2,0,0,0,0
"RepRoKhanna","567581313441592_568278430038547","Rep. Ro Khanna","2017-01-06","2017-01-06 03:34:00","Thanks for liking my page. Are you following me on Twitter, too? Don’t miss out on important updates and be part of the conversation.","link","https://twitter.com/RepRoKhanna","twitter.com",16,0,1,1,0,0,0,0
"RepRoKhanna","567581313441592_568612506671806","Rep. Ro Khanna","2017-01-06","2017-01-06 15:30:00","Another example that congressional Republicans want to destroy the ACA? Their actions are putting nearly 40 percent of Planned Parenthood’s funding at risk. This would leave many women with no access to critical health care services.","link","http://www.sfchronicle.com/news/politics/article/Ryan-GOP-to-defund-Planned-Parenthood-in-10837527.php","sfchronicle.com",9,7,0,0,0,0,0,6
"RepRoKhanna","567581313441592_568623740004016","Rep. Ro Khanna","2017-01-09","2017-01-09 17:10:00","Please take a moment to subscribe to my newsletter. We will share with you updates on events happening near you, notes from Washington and more.   https://khanna.house.gov/contact/newsletter","photo","https://www.facebook.com/RepRoKhanna/photos/a.567640000102390.1073741828.567581313441592/568623740004016/?type=3",NA,20,0,1,1,0,0,0,0
"RepRoKhanna","567581313441592_569028443296879","Rep. Ro Khanna","2017-01-07","2017-01-07 17:27:58","As my first official act of legislation, I’m proud to cosponsor the Protect Our Democracy Act to investigate foreign interference in the 2016 U.S. election. The declassified intelligence report released Friday is clear: Russia interfered in the elections. This demands an independent, bipartisan investigation.","link","http://www.mercurynews.com/2017/01/06/u-s-report-putin-ordered-effort-to-help-trump-hurt-clinton/","mercurynews.com",71,7,4,1,0,0,0,0
"RepRoKhanna","567581313441592_569723103227413","Rep. Ro Khanna","2017-01-10","2017-01-10 01:36:00","Behind the scenes of my interview with C-SPAN highlighting #CA17 and my plans for the months ahead -- coming soon!","photo","https://www.facebook.com/RepRoKhanna/photos/a.567640000102390.1073741828.567581313441592/569723103227413/?type=3",NA,34,0,0,2,0,0,0,0
"RepRoKhanna","567581313441592_570089313190792","Rep. Ro Khanna","2017-01-10","2017-01-10 15:26:45","Last night on the House Floor I was proud to address the need for reform in Congress, including a commitment to refuse political donations from PACs and lobbyists and instituting term limits for elected officials. Video via C-SPAN.","video","https://www.facebook.com/RepRoKhanna/videos/570089313190792/",NA,76,12,13,0,0,1,0,0
"RepRoKhanna","567581313441592_570091543190569","Rep. Ro Khanna","2017-01-10","2017-01-10 20:42:00","First-come, first-serve Presidential Inauguration Ceremony tickets are available for residents of my district. Submit your request at https://khanna.house.gov/contact.   For more information about official activities for January 20, visit the Joint Congressional Committee on Inaugural Ceremonies.","link","https://khanna.house.gov/contact","khanna.house.gov",8,2,0,0,0,0,0,0
"RepRoKhanna","567581313441592_570596543140069","Rep. Ro Khanna","2017-01-11","2017-01-11 21:34:58","Earlier today, I spoke on the House floor about how people cannot be left out of the technological revolution. I will work in Congress to bring tech jobs to Silicon Valley and across America. Video via C-SPAN","video","https://www.facebook.com/RepRoKhanna/videos/570596543140069/",NA,79,11,16,6,0,1,0,0
"RepRoKhanna","567581313441592_570937939772596","Rep. Ro Khanna","2017-01-13","2017-01-13 01:23:00","It’s been proven that one job in technology creates four to five jobs in communities. My commitment and vision is to see how Silicon Valley can help create technology jobs, not just in my district but across America. I look forward to working across the aisle to figure out how we create tech jobs in this country.","video","https://www.facebook.com/RepRoKhanna/videos/570937939772596/",NA,35,0,3,1,0,0,0,0
"RepRoKhanna","567581313441592_571013843098339","Rep. Ro Khanna","2017-01-13","2017-01-13 14:20:30","The ACA is working. Census data shows that only 8.6 percent of people in California went uninsured in 2015. That is down from 18.5 percent in 2010! That dramatic drop means 3.8 million more Californians had coverage last year, and I pledge to do everything in my power to protect our coverage.","photo","https://www.facebook.com/RepRoKhanna/photos/a.567640000102390.1073741828.567581313441592/571013843098339/?type=3",NA,28,2,1,2,0,0,0,0
"RepRoKhanna","567581313441592_571014639764926","Rep. Ro Khanna","2017-01-13","2017-01-13 18:24:32","Will you be in Washington, DC, for Inauguration next week? My office has first-come, first-serve tickets available. Follow the link to make your request. https://khanna.house.gov/contact/email  Image via Joint Congressional Committee on Inaugural Ceremonies","photo","https://www.facebook.com/RepRoKhanna/photos/a.567640000102390.1073741828.567581313441592/571014639764926/?type=3",NA,6,47,3,0,0,0,5,7
"RepRoKhanna","567581313441592_571260273073696","Rep. Ro Khanna","2017-01-13","2017-01-13 14:27:44","This morning, I’ll be highlighting the importance of protecting the #ACA on the House floor. Tune in shortly on C-SPAN.","link","https://www.c-span.org/","c-span.org",13,0,0,1,0,0,0,0
"RepRoKhanna","567581313441592_572502722949451","Rep. Ro Khanna","2017-01-16","2017-01-16 14:25:28","Martin Luther King Jr. was one of a kind. A person who could inspire, fight, and turn action into change. He changed the world and humanity for the greater good. On this day, we reflect on his great contributions to our country, and look ahead to the challenges in our future. I’m ready to work to bring great progress, freeing the government from corruption and the influence of special interests.","photo","https://www.facebook.com/RepRoKhanna/photos/a.567640000102390.1073741828.567581313441592/572502722949451/?type=3",NA,22,14,0,1,0,0,0,0
"RepRoKhanna","567581313441592_572943522905371","Rep. Ro Khanna","2017-01-17","2017-01-17 15:32:03","Our office is happy to take flag requests, arrange for Washington, D.C. tours, answer your questions about a federal agency, and more. Visit our website for information.","photo","https://www.facebook.com/RepRoKhanna/photos/a.567640000102390.1073741828.567581313441592/572943522905371/?type=3",NA,24,1,1,0,0,0,0,0
"RepRoKhanna","567581313441592_572945136238543","Rep. Ro Khanna","2017-01-18","2017-01-18 02:17:00","Please subscribe to my newsletter to receive information about events, updates from Washington, and more. https://khanna.house.gov/contact/newsletter","photo","https://www.facebook.com/RepRoKhanna/photos/a.567640000102390.1073741828.567581313441592/572945136238543/?type=3",NA,18,1,2,0,0,0,0,0
"RepRoKhanna","567581313441592_573393982860325","Rep. Ro Khanna","2017-01-19","2017-01-19 02:51:00","Great speaking to the students and faculty at San Jose High School yesterday. Thanks for having me.","photo","https://www.facebook.com/RepRoKhanna/photos/a.567640000102390.1073741828.567581313441592/573393982860325/?type=3",NA,14,3,0,0,0,0,0,0
"RepRoKhanna","567581313441592_573560839510306","Rep. Ro Khanna","2017-01-19","2017-01-19 16:02:02","The Affordable Care Act benefits even those who get coverage from their employer, and in California that accounts for more than 19.55 million people.  Did you know the U.S. Department of Health and Human Services found that between 2010 and 2015, California families with employer coverage saw their premiums drop compared to the previous decade? That slowdown means family premiums in the state are $3,600 lower today than if growth had matched the pre-ACA decade.","photo","https://www.facebook.com/RepRoKhanna/photos/a.567640000102390.1073741828.567581313441592/573560839510306/?type=3",NA,20,2,1,0,0,0,0,0
"RepRoKhanna","567581313441592_573972392802484","Rep. Ro Khanna","2017-01-19","2017-01-19 23:18:50","To President Obama and Vice President Biden, you inspired many people to become public servants and we thank you.","photo","https://www.facebook.com/RepRoKhanna/photos/a.567640000102390.1073741828.567581313441592/573972392802484/?type=3",NA,44,0,3,1,0,0,0,0
"RepRoKhanna","567581313441592_574659942733729","Rep. Ro Khanna","2017-01-21","2017-01-21 16:48:11","Violence against women, people of color, and the LGBT community must never be tolerated. We must respect every race, gender, background, and personal identity. Hatred will not be tolerated.","photo","https://www.facebook.com/RepRoKhanna/photos/a.567640000102390.1073741828.567581313441592/574659942733729/?type=3",NA,26,0,1,2,0,0,0,0
"RepRoKhanna","567581313441592_575074259358964","Rep. Ro Khanna","2017-01-22","2017-01-22 14:29:36","How has the #ACA helped you? Share your story by emailing us at https://khanna.house.gov/contact/email or leave a comment below.","photo","https://www.facebook.com/RepRoKhanna/photos/a.567640000102390.1073741828.567581313441592/575074259358964/?type=3",NA,10,4,5,0,0,0,0,0
"RepRoKhanna","567581313441592_576075115925545","Rep. Ro Khanna","2017-01-24","2017-01-24 17:35:53","Santa Clara University just received a generous gift from the Sobrato family. This is huge for Silicon Valley and education. We must invest in bringing technology jobs and further innovation across the country, not just in Silicon Valley.","link","http://www.mercurynews.com/2017/01/21/santa-clara-university-receives-100-million-for-new-stem-facility/?utm_medium=Social&utm_campaign=Echobox&utm_source=Twitter&utm_term=Autofeed#link_time=1485056109","mercurynews.com",29,0,0,0,0,1,0,0
"RepRoKhanna","567581313441592_576077775925279","Rep. Ro Khanna","2017-01-24","2017-01-24 21:16:03","I am proud to be a feminist. It’s time to ensure financial equality in the workplace for all, regardless of sex, religious beliefs, race, or background. #equality","photo","https://www.facebook.com/RepRoKhanna/photos/a.567640000102390.1073741828.567581313441592/576077775925279/?type=3",NA,55,3,0,6,0,0,0,0
"RepRoKhanna","567581313441592_576078965925160","Rep. Ro Khanna","2017-01-26","2017-01-26 01:08:01","Great to meet Dan and Mark Pooler during their visit to D.C. Our office is always open to constituents, so please let us know if you will be in Washington.","photo","https://www.facebook.com/RepRoKhanna/photos/a.567640000102390.1073741828.567581313441592/576078965925160/?type=3",NA,18,0,0,0,0,0,0,0
"RepRoKhanna","567581313441592_576198909246499","Rep. Ro Khanna","2017-01-25","2017-01-25 00:27:05","Today during a House Budget Committee hearing on the Affordable Care Act, I exposed contradictions in testimony given by a witness and the GOP chair had to come to her defense. Watch and tell us what you think.","video","https://www.facebook.com/RepRoKhanna/videos/576198909246499/",NA,114,29,34,11,0,0,0,0
