"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepRobBishop","130802746950682_128633431090889","Rep. Rob Bishop","2017-08-21","2017-08-21 17:26:05",NA,"event","https://www.facebook.com/events/128633431090889/",NA,6,7,0,0,0,0,0,2
"RepRobBishop","130802746950682_132929317317000","Rep. Rob Bishop","2017-08-21","2017-08-21 17:24:25",NA,"event","https://www.facebook.com/events/132929317317000/",NA,12,1,0,0,0,0,0,3
"RepRobBishop","130802746950682_1432280543469556","Rep. Rob Bishop","2017-02-02","2017-02-02 15:44:50",NA,"link","http://robbishop.house.gov/news/documentsingle.aspx?DocumentID=397762","robbishop.house.gov",22,387,1,0,1,3,1,44
"RepRobBishop","130802746950682_1440558675975076","Rep. Rob Bishop","2017-02-10","2017-02-10 21:03:05","ICYMI: See Rep. Rob Bishop address the Utah House of Representatives.","video","https://www.facebook.com/RepRobBishop/videos/1440558675975076/",NA,19,27,2,1,2,0,1,4
"RepRobBishop","130802746950682_1443406609023616","Rep. Rob Bishop","2017-02-13","2017-02-13 20:52:01","Honored to have spoken at the AFGE 2017 Legislative Conference.   ""Experience has taught me that most of the federal civilian employees in my district work hard, are productive, and genuinely care about what they do in support of our citizens, soldiers, and our country.  They deserve to be treated with respect as the hard-working, tax-paying and loyal citizens that they are.""","photo","https://www.facebook.com/RepRobBishop/photos/a.194551313909158.46305.130802746950682/1443406609023616/?type=3",NA,30,72,3,0,0,0,1,1
"RepRobBishop","130802746950682_1454189637945313","Rep. Rob Bishop","2017-02-24","2017-02-24 16:44:15","We express our condolences to the family and friends of Eni F.H. Faleomavaega. Former Representative Faleomavaega was a long serving member of Congress and our committee representing American Samoa. He used his friendly personality and calm demeanor to advocate for many issues of importance to his home. We often relied on his expertise on issues impacting the Pacific. Eni had family in my home state of Utah and was a constant visitor. He was a personal friend and our colleague will be sorely missed.","link","http://naturalresources.house.gov/newsroom/documentsingle.aspx?DocumentID=401623","naturalresources.house.gov",18,40,1,0,0,0,1,0
"RepRobBishop","130802746950682_1495832663781010","Rep. Rob Bishop","2017-04-05","2017-04-05 21:20:09","Congratulations to Jamal Braxton for earning the 2017 Operation Homefront Air Force Military Child of the Year.","link","http://www.hill.af.mil/News/Article-Display/Article/1129836/air-force-child-of-the-year-exemplifies-volunteerism-leadership","hill.af.mil",6,8,1,0,0,0,0,0
"RepRobBishop","130802746950682_1512899518740991","Rep. Rob Bishop","2017-04-19","2017-04-19 19:08:59","Rep. Chaffetz has served Utah well and we have all worked together as a team for the state. He has nearly two years left to serve on the team, and we’re not letting him off the hook. There is much left to accomplish. I look forward to continuing our partnership. Serving in Congress means asking your own family to sacrifice greatly, and I salute Jason for his broad view on life and concern for his family. I understand his decision for I have set my own timeline. There will always be one more battle to fight and one more issue to resolve, so I truly respect his decision to do what is best for his family.","status",NA,NA,91,56,2,1,18,0,0,19
"RepRobBishop","130802746950682_1521511404546469","Rep. Rob Bishop","2017-04-26","2017-04-26 17:17:31","Today’s action sends the powerful message that communities will no longer take a back seat to out-of-state special interest groups. I’m pleased to see President Trump recognize long-standing abuses of the Antiquities Act. It was created with noble intent and for limited purposes, but has been hijacked to set aside increasingly large and restricted areas of land without public input.   I applaud the Trump administration’s clear commitment to do what past administrations refused to do, actually talk to real people who live in the area. This EO is not the end of the story, we will work the Trump administration and our communities to get this right.","photo","https://www.facebook.com/RepRobBishop/photos/a.194551313909158.46305.130802746950682/1521511404546469/?type=3",NA,110,99,14,6,0,0,4,86
"RepRobBishop","130802746950682_1527286363968973","Rep. Rob Bishop","2017-05-01","2017-05-01 14:31:51",NA,"video","https://www.facebook.com/congressionalwesterncaucus/videos/10155619184408352/",NA,32,44,0,0,2,0,4,39
