"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepRobWittman","38932542633_10154245979837634","Rep. Rob Wittman","2017-01-04","2017-01-04 18:46:22","In case you missed it, I was on NewsTalk with Bruce DePuyt today talking about my expectations for the 115th Congress. Check it out!","link","http://wjla.com/news/news-talk/qa-with-rep-rob-wittman","jla.com",35,12,3,0,3,0,0,0
"RepRobWittman","38932542633_10154250586272634","Rep. Rob Wittman","2017-01-06","2017-01-06 15:27:39","Americans spoke louder than ever to say: Washington needs to change the way it does business. I agree, especially when it comes at the expense of our job creators. The ever growing cost of compliance is hurting small businesses and manufacturers as over-burdensome regulations unnecessarily constrain job creators, often limiting growth opportunities. We should be doing everything in our power to relieve this tension.   That is why I am pleased the House passed H.R. 26, the REINS Act, last night. This measure would enhance oversight over the current burdensome regulatory process by requiring an up-or-down vote from Congress on any major rule by a Federal agency, before it can be enforced. As a cosponsor of the REINS Act, I was proud to vote for a bill that will curb executive overreach, cut down on unneeded government bureaucracy, and hold government agencies accountable for the regulations they impose on Americans.","link","http://wittman.house.gov/news/documentsingle.aspx?DocumentID=1094","ittman.house.gov",101,41,11,4,1,1,1,4
"RepRobWittman","38932542633_10154264664522634","Rep. Rob Wittman","2017-01-11","2017-01-11 20:24:12","I am honored and ready to serve the American people as the Seapower and Projection Forces Subcommittee Chairman in the 115th Congress! http://bit.ly/2j20Fju","photo","https://www.facebook.com/RepRobWittman/photos/a.10150237963007634.325951.38932542633/10154264664522634/?type=3",NA,316,31,22,12,0,0,0,0
"RepRobWittman","38932542633_10154268022472634","Rep. Rob Wittman","2017-01-12","2017-01-12 15:35:23","ICYMI, this is an interview I did regarding the Navy's Force Structure Assessment with Defense News prior to speaking at the Surface Navy Associations 29th Annual Symposium. This event brings together uniformed members of our Navy and Coast Guard with the industry tasked to provide them with the tools they need to be successful at sea. In my interview and my remarks, I emphasized the importance of increasing our Fleet to 355 ships and making sure our industry partners are up to this challenge. This Fleet increase is absolutely critical to bringing the capability of our Navy closer to meeting the reality of the threats facing the United States daily, specifically by China, Russia, and Iran. Check it out!","link","http://www.defensenews.com/video/a-355-ship-navy-heres-rep-wittmans-take?utm_medium=player&utm_campaign=player_referral","defensenews.com",55,6,9,2,0,0,0,0
"RepRobWittman","38932542633_10154271662737634","Rep. Rob Wittman","2017-01-13","2017-01-13 21:21:24","I proudly spoke on the House floor today to support passage of legislation allowing retired Marine General James Mattis to be considered to be the 26th Secretary of Defense. At the end of the day, we should not deny the best candidate for the job. Listen to my full floor speech below and check out the full press release here: http://bit.ly/2jgfrGc.","video","https://www.facebook.com/RepRobWittman/videos/10154271662737634/",NA,282,25,23,15,0,0,3,1
"RepRobWittman","38932542633_10154279396662634","Rep. Rob Wittman","2017-01-16","2017-01-16 17:15:56","Today we honor the life and the legacy of Dr. Martin Luther King, Jr., an American who dedicated his life to serve others. #mlkday2017","photo","https://www.facebook.com/RepRobWittman/photos/a.10150237963007634.325951.38932542633/10154279396662634/?type=3",NA,64,11,2,2,0,0,0,0
"RepRobWittman","38932542633_10154287827322634","Rep. Rob Wittman","2017-01-19","2017-01-19 16:19:33","USS FORD (CVN 78) is a first-in-class aircraft carrier with capabilities never before seen in the United States Navy and will serve as a vital component of our force projection for decades to come. The Ford will put our fleet at 11 carriers and allow us to better meet current security demands. The ultimate goal is 12 carriers, which is the amount I believe necessary to meet challenges we face around the world. As chairman of the Seapower and Projection Forces Subcommittee, expanding the fleet will be one of my top priorities.","link","http://www.upi.com/Defense-News/2017/01/12/US-Navy-expecting-USS-Gerald-R-Ford-delivery-in-April/7381484250958/","upi.com",95,7,13,3,0,1,0,0
"RepRobWittman","38932542633_10154288267057634","Rep. Rob Wittman","2017-01-19","2017-01-19 20:51:26","Congratulations to Hampton Roads for being recognized as a Great American Defense Community by the Association of Defense Communities! Hampton Roads continues to provide unwavering support to service members and their families, specifically through innovative school programs and community organizations. I am so proud to have this community in Virginia and I want to thank them for their support of our men and women in uniform!","photo","https://www.facebook.com/RepRobWittman/photos/a.10150237963007634.325951.38932542633/10154288267057634/?type=3",NA,51,7,9,3,0,0,0,0
"RepRobWittman","38932542633_10154290405557634","Rep. Rob Wittman","2017-01-20","2017-01-20 18:03:50","Today marks the end of business as usual in Washington. With Republican majorities in Congress and President Trump in the White House, we have a great opportunity to create lasting, positive change and restore confidence in America again.   In the coming weeks and months, Virginians can expect us to pursue a bold agenda that increases prosperity, boosts job growth, gets our budget back on track, reaffirms our commitment to our nation's veterans, and strengthens our military.   Today we move forward in a new direction and I look forward to working with my colleagues on both sides of the aisle to do what the people elected us to do: get the work of the nation done.  http://bit.ly/2jxESk5","photo","https://www.facebook.com/RepRobWittman/photos/a.10150237963007634.325951.38932542633/10154290404532634/?type=3",NA,413,85,11,26,1,0,3,20
"RepRobWittman","38932542633_10154301114462634","Rep. Rob Wittman","2017-01-23","2017-01-23 23:03:44","Today Ms. Heather Wilson was selected to serve as Secretary of the Air Force. Ms. Wilson's impressive record of military and public service make her an ideal candidate to lead our nation's Air Force. She will assume this new role at a time when America and our interests are being threatened abroad and it is critical we use our projection forces, the Air Force especially, to support our allies and deter our adversaries. Having served with Heather in the House, I look forward to building upon that strong foundation in working with her as the Seapower and Projection Forces Subcommittee begins its critical work in 2017, especially as we work to introduce the B-21 Long Range Strike Bomber and the KC-46 to the Force and as we re-capitalize our tactical airlift capability with the C-130J.","link","http://wittman.house.gov/news/documentsingle.aspx?DocumentID=1110","ittman.house.gov",89,2,8,1,0,0,0,0
