"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepRobWoodall","172573036140374_1388169301247402","Rob Woodall","2017-01-01","2017-01-01 15:28:40","‪Happy New Year, everyone! I hope you all had a safe and wonderful night as we welcomed in 2017. I'm excited to see what we can accomplish together in the coming year, and looking forward to getting started! ‬","status",NA,NA,37,10,0,1,0,1,0,1
"RepRobWoodall","172573036140374_1391888447542154","Rob Woodall","2017-01-06","2017-01-06 01:54:31","As we’ve seen reported by the AP and other news sources in recent weeks, in 2016 the United Nations (UN) General Assembly adopted approximately 20 resolutions rebuking Israel, while only adopting four against all other nations combined (one each for Syria, Iran, North Korea, and Russia).  The most recent evidence of the UN’s bias against Israel came on December 23 in the form of Security Council Resolution 2334, which effectively states that the Jewish Quarter of the Old City of Jerusalem and the Western Wall – Judaism’s holiest site – are “occupied territory.” Sadly, the Obama Administration abstained from the December 23 UN vote, and the President subsequently refused to exercise his ability to veto the misguided resolution. Today in the U.S. House, however, we have reasserted the American people’s commitment to our friendship with Israel as we passed H. Res. 11 to call for full repeal of UN Resolution 2334. I regret that the action is needed at all, but am proud to support H. Res. 11 and all those standing with Israel.","status",NA,NA,45,19,8,1,0,0,0,0
"RepRobWoodall","172573036140374_1394956893901976","Rob Woodall","2017-01-09","2017-01-09 17:19:17","Today we mark National Law Enforcement Appreciation Day, and I want to express my deepest thanks to each and every member of our law enforcement community throughout the Seventh District and beyond for what you do on a daily basis.  Your service ensures our security and safety, and so often at the cost of great personal sacrifice.  While we’re grateful each and every day, it is my hope that you all feel the support of your neighbors in a special way today. Thank you!","status",NA,NA,49,5,3,2,0,0,0,0
"RepRobWoodall","172573036140374_1396842450380087","Rob Woodall","2017-01-11","2017-01-11 21:08:36",NA,"photo","https://www.facebook.com/RepRobWoodall/photos/a.307138272683849.71849.172573036140374/1396842303713435/?type=3",NA,22,12,0,2,0,0,0,0
"RepRobWoodall","172573036140374_1397960913601574","Rob Woodall","2017-01-12","2017-01-12 21:31:13","In the last week alone, the House has made great strides in our work to whittle away at the often times well-meaning but punitive regulations that stand in the way of the thriving economy we all want. Examples include passage of the REINS Act just days ago to allow Congress to weigh in on executive regulations, the HALOS (Helping Angels Lead Our Startups) Act to provide much-needed clarity for our entrepreneurs and investors, yesterday’s passage of the Regulatory Accountability Act to add transparency to the process and limit costs, and today in the House we’re considering two additional regulatory relief measures. The 115th Congress has gotten off to a quick start, and through these seemingly small steps in the right direction we can get America back on track.","status",NA,NA,24,19,1,0,0,0,0,3
"RepRobWoodall","172573036140374_1398578800206452","Rob Woodall","2017-01-13","2017-01-13 14:28:45","Today I’m managing rule debate for the House Budget Resolution, as well as the necessary action to allow for the confirmation of General James Mattis as Secretary of Defense.  Both crucial measures to move America forward, you can tune in on CSPAN or below.","link","https://www.c-span.org/video/?421789-1%2Fus-house-set-debate-budget-resolution-health-care-law-repeal&live","c-span.org",26,11,3,0,0,0,2,1
"RepRobWoodall","172573036140374_1398945226836476","Rob Woodall","2017-01-13","2017-01-13 23:13:18","Beginning with the broken process by which it was rammed through Congress, Obamacare has failed the American people, and today Congress took the first step to initiate the process of breathing life back into local health care markets.","link","https://woodall.house.gov/media-center/press-releases/house-budget-resolution-paves-way-obamacare-relief","oodall.house.gov",74,60,2,2,0,0,1,16
"RepRobWoodall","172573036140374_1401386206592378","Rob Woodall","2017-01-16","2017-01-16 15:41:43","""A genuine leader is not a searcher for consensus, but a molder of consensus."" - Dr. Martin Luther King, Jr. #MLKDay2017","status",NA,NA,21,20,2,2,0,0,1,0
"RepRobWoodall","172573036140374_1404371799627152","Rob Woodall","2017-01-19","2017-01-19 19:53:29","Georgians are well aware of Governor Perdue’s heart for service, and I have no doubt he will bring that same spirit and commitment to this new role.  Having served as Governor of Georgia, whose number one industry is agriculture, his knowledge and experience in both the public and private sectors make him an excellent choice to lead the Department of Agriculture.  It makes me very proud to see the role Georgia will be playing in moving America forward, and I look forward to partnering with him.","link","http://www.ajc.com/news/state--regional-govt--politics/breaking-donald-trump-taps-sonny-perdue-his-agriculture-chief/oWpJvzgWCungyRdmw0N8FP/","ajc.com",74,4,3,2,0,2,1,1
"RepRobWoodall","172573036140374_1405268056204193","Rob Woodall","2017-01-20","2017-01-20 22:22:24","Inauguration Day is always special for America, and that has certainly held true today.  The peaceful transition of power – irrespective of political party – is a lasting hallmark of our great country, and I’m excited to continue our work together in this next chapter.","photo","https://www.facebook.com/RepRobWoodall/photos/a.973645439366459.1073741845.172573036140374/1405267096204289/?type=3",NA,66,8,1,4,0,0,1,0
