"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepRonEstes","809098559256176_809802092519156","Congressman Ron Estes","2017-04-20","2017-04-20 19:01:48","Hello, Facebook! Like my page for updates!","status",NA,NA,31,5,3,0,0,0,0,2
"RepRonEstes","809098559256176_812783058887726","Congressman Ron Estes","2017-04-25","2017-04-25 22:29:03","I'm excited to be sworn in as Congressman and get to work for the 4th District of Kansas. Watch the swearing in ceremony live on CSPAN at 5:40pm Central.   https://www.c-span.org/networks/","photo","https://www.facebook.com/RepRonEstes/photos/a.812783078887724.1073741828.809098559256176/812783058887726/?type=3",NA,142,19,2,4,0,0,0,3
"RepRonEstes","809098559256176_813154348850597","Congressman Ron Estes","2017-04-26","2017-04-26 16:05:52","ICYMI: Here is video of my swearing-in on the House floor yesterday evening. I'm grateful to have had my family with me and to my good friend Rep. Lynn Jenkins for her very kind words. Looking forward to working for Kansas in Congress!","link","https://www.c-span.org/video/?427416-2%2Fron-estes-sworn-member-house-representatives","c-span.org",77,11,4,2,0,0,0,3
"RepRonEstes","809098559256176_815311485301550","Congressman Ron Estes","2017-04-30","2017-04-30 16:12:13","Our thoughts and prayers go with the soldiers of the 35th Infantry Division as they deploy to the Middle East to support Operation Spartan Shield. I'm very grateful to them and their families for their service and sacrifice.","link","http://www.wibw.com/content/news/Entire--420831333.html","wibw.com",39,3,11,3,0,0,0,1
"RepRonEstes","809098559256176_816378891861476","Congressman Ron Estes","2017-05-02","2017-05-02 19:01:31","It was a pleasure meeting with members of the Community Bankers Association of Kansas today. Thanks for all the excellent work you do for our local communities and businesses!","photo","https://www.facebook.com/RepRonEstes/photos/a.812783078887724.1073741828.809098559256176/816378891861476/?type=3",NA,18,3,0,0,0,0,0,1
"RepRonEstes","809098559256176_816411405191558","Congressman Ron Estes","2017-05-02","2017-05-02 19:59:40",NA,"photo","https://www.facebook.com/RepRonEstes/photos/a.809753325857366.1073741827.809098559256176/816411405191558/?type=3",NA,64,6,1,2,0,0,0,1
"RepRonEstes","809098559256176_816503341849031","Congressman Ron Estes","2017-05-03","2017-05-03 00:37:02","The message from Kansas voters during last month’s special election was crystal clear: Produce results or go home.  Check out my full op-ed in The Wall Street Journal here:","link","https://www.wsj.com/articles/why-kansans-asked-whats-the-matter-with-republicans-1493766540","wsj.com",30,19,10,1,1,1,0,2
"RepRonEstes","809098559256176_817421095090589","Congressman Ron Estes","2017-05-04","2017-05-04 19:29:28","The AHCA is a historic first step toward putting people – not politics – back at the center of our health care system.  The voters of the 4th District sent me to Congress to find solutions to complex issues facing our country.  Obamacare has unquestionably hurt more people than it has helped, and it has forced Americans to buy insurance they don’t like, don’t need, and can’t afford.  I’m very pleased that we were able to pass the first step in a multi-step process to repeal and replace Obamacare.","status",NA,NA,31,58,1,4,1,0,0,24
"RepRonEstes","809098559256176_817987741700591","Congressman Ron Estes","2017-05-05","2017-05-05 22:13:12","It was an incredible week. Many Kansans visiting our offices, several great meetings, staff getting up and running to serve constituents, we voted to repeal and replace Obamacare, and I was even able to chair a joint subcommittee meeting. Now looking forward to a productive week back in the 4th District!","photo","https://www.facebook.com/RepRonEstes/photos/a.812783078887724.1073741828.809098559256176/817987741700591/?type=3",NA,32,9,0,0,0,0,0,3
"RepRonEstes","809098559256176_818314038334628","Congressman Ron Estes","2017-05-06","2017-05-06 14:34:51","There has been quite a bit of misinformation regarding the first step in a multi-step process to repeal and replace Obamacare.  Here are the facts about the American Health Care Act (AHCA):  Dismantles the Obamacare taxes that have hurt job creators, increased premium costs, and limited options for patients and health care providers—including taxes on prescription drugs, over-the-counter medications, health-insurance premiums, and medical devices.    Eliminates the individual and employer mandate penalties, which forced millions of workers, families, and job creators into expensive, Obamacare plans that they don’t want and cannot afford.   Helps young adults access health insurance and stabilize the marketplace by allowing dependents to continue staying on their parents’ plan until they are 26.   Guarantees coverage to Americans with pre-existing conditions and bans health insurers from charging a patient with pre-existing conditions higher premiums as long as they maintain continuous coverage, or sign up for new coverage within 63 days of exiting a previous insurance plan.   Establishes a Patient and State Stability Fund and Federal Invisible Risk Sharing Program, which provides states with $130 billion to design programs that meet the unique needs of their patient populations, help low-income Americans afford health care, and provide a backstop safety net for Americans with pre-existing conditions. This includes $15 billion specifically toward mental health and substance abuse and newborn care.   Modernizes and strengthens Medicaid by transitioning to a “per capita allotment” so states can better serve the patients most in need. The Medicaid reform represents the biggest entitlement reform in a generation and puts the program on a sustainable fiscal path.    Protects current Medicaid beneficiaries receiving health care under the expansion by honoring the enhanced state match they have been receiving, while working to redirect able-bodied adults to private health care so Medicaid can be refocused on helping the most vulnerable.    Empowers individuals and families to spend their health care dollars the way they want and need by enhancing and expanding Health Savings Accounts (HSAs)—nearly doubling the amount of money people can contribute and broadening how people can use it.    Helps Americans access affordable, quality health care by providing a monthly tax credit— between $2,000 and $14,000 a year—for low- and middle-income individuals and families who don’t receive insurance through work or a government program. Americans can use this tax credit to purchase private, quality coverage of their choice.","status",NA,NA,27,14,16,2,1,0,3,2
