"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepRoybalAllard","139773069370563_1535872223093967","Rep. Lucille Roybal-Allard","2017-01-01","2017-01-01 14:47:24","#HappyNewYear!  May your 2017 be a year of great happiness and great success.","status",NA,NA,62,6,0,3,0,0,0,0
"RepRoybalAllard","139773069370563_1536891959658660","Rep. Lucille Roybal-Allard","2017-01-02","2017-01-02 16:14:08","I want to remind interested members of the #Paramount community that the time of the weekly informational conference calls about updates on the ongoing air monitoring activities related to #HexavalentChromium has been changed from 11:30 AM to 6:30 PM on Tuesdays. These calls will provide updates on the toxic air contaminant that has been detected by air monitors in a particular Paramount neighborhood. To listen in English, call (866) 244-8528, using the passcode 4063768. To listen in Spanish, call (888) 394-8197, using the passcode 9891238. The South Coast Air Quality Management District - SCAQMD is conducting these weekly calls.  Quiero recordar a los miembros interesados de la comunidad de #Paramount que el tiempo de las llamadas de conferencia informativas semanales sobre la contaminación del aire relacionado con #HexavalentChromium se ha cambiado de 11:30AM a 6:30PM los martes. Estas llamadas son dirigidas por miembros del South Coast Air Quality Management District - SCAQMD cada martes. Para escuchar en español, llame al (888) 394-8197 y use el código 9891238.","photo","https://www.facebook.com/RepRoybalAllard/photos/a.160490823965454.39778.139773069370563/1536890182992171/?type=3",NA,13,0,1,0,0,0,0,0
"RepRoybalAllard","139773069370563_1537733102907879","Rep. Lucille Roybal-Allard","2017-01-03","2017-01-03 14:26:19","Congratulations to the Downey Rose Float Association on winning the Governor's Trophy for its beautiful #RoseParade float, ""The Gold Rush""!","photo","https://www.facebook.com/thedowneyconservancy/photos/a.190456817712787.43693.105559526202517/1154257567999369/?type=3",NA,113,5,0,5,0,0,0,0
"RepRoybalAllard","139773069370563_1537753349572521","Rep. Lucille Roybal-Allard","2017-01-03","2017-01-03 15:00:56","It's deeply troubling to see House Republicans trying to stifle independent ethical oversight of their actions.","link","http://www.latimes.com/nation/politics/trailguide/la-na-trailguide-updates-house-republicans-privately-vote-to-1483417006-htmlstory.html","latimes.com",62,7,9,0,0,5,1,22
"RepRoybalAllard","139773069370563_1538198806194642","Rep. Lucille Roybal-Allard","2017-01-04","2017-01-04 00:21:43","It is good to know that under President Obama, DHS is protecting the private data of DACA enrollees.  Unfortunately, the Obama Administration ends on January 20.  That is why we asked President Obama to take action that would protect DACA recipients and prevent the new administration from using the recipients’ personal information for purposes not originally intended, such as deportation.  Given the statements of the incoming Trump Administration, DACA enrollees are currently living in fear of an uncertain future.  They fear being ripped from their home, their family, and the only country they know.  My colleagues and I urge President Obama to take immediate action to protect these young immigrants and enable them to continue contributing their talents to America, their only home.","link","http://roybal-allard.house.gov/news/documentsingle.aspx?DocumentID=398179","roybal-allard.house.gov",39,1,8,3,0,0,0,0
"RepRoybalAllard","139773069370563_1538766456137877","Rep. Lucille Roybal-Allard","2017-01-04","2017-01-04 15:54:38","Glad that President Obama came to Capitol Hill today to urge Democrats to protect and defend the #AffordableCareAct.  I am proud to have voted for the #ACA, which has made health coverage affordable for millions of Americans (including many in our 40th District) and reduced America's uninsured rate to an all-time low.  If congressional leaders and the Trump Administration try to dismantle this lifesaving law, I'll fight them every step of the way to protect health coverage for the American people.  #ACAWorks","photo","https://www.facebook.com/RepRoybalAllard/photos/a.160490823965454.39778.139773069370563/1538766456137877/?type=3",NA,53,5,4,3,0,0,1,0
"RepRoybalAllard","139773069370563_1539015106113012","Rep. Lucille Roybal-Allard","2017-01-04","2017-01-04 22:11:49","It is a joy to serve among 65 House Democratic women in this Congress. We'll keep fighting for a fair deal for America's women and girls!","photo","https://www.facebook.com/RepRoybalAllard/photos/a.160490823965454.39778.139773069370563/1539015106113012/?type=3",NA,162,10,13,9,0,0,0,0
"RepRoybalAllard","139773069370563_1540022369345619","Rep. Lucille Roybal-Allard","2017-01-06","2017-01-06 01:06:14","After tonight's House votes, I'll speak on the need to protect the #ACA and its help for mothers and babies. Watch at houselive.gov!","status",NA,NA,16,2,0,0,0,0,0,0
"RepRoybalAllard","139773069370563_1540037056010817","Rep. Lucille Roybal-Allard","2017-01-06","2017-01-06 01:38:52","Spoke tonight in support of the many #mothers and #babies who are healthier thanks to the #AffordableCareAct.  As co-chair of the Maternity Care Caucus, I know that mothers and babies from coast to coast rely on the #ACA's maternity care and breastfeeding assistance.  Repealing the ACA would endanger their health, and we cannot let that happen!  #ACAWorks","video","https://www.facebook.com/RepRoybalAllard/videos/1540037056010817/",NA,108,3,18,6,0,0,0,0
"RepRoybalAllard","139773069370563_1543223175692205","Rep. Lucille Roybal-Allard","2017-01-09","2017-01-09 16:05:38","I want to remind interested members of the #Paramount community that the time of the weekly informational conference calls about updates on the ongoing air monitoring activities related to #HexavalentChromium has been changed from 11:30 AM to 6:30 PM on Tuesdays. These calls will provide updates on the toxic air contaminant that has been detected by air monitors in a particular Paramount neighborhood. To listen in English, call (866) 244-8528, using the passcode 4063768. To listen in Spanish, call (888) 394-8197, using the passcode 9891238. The South Coast Air Quality Management District - SCAQMD is conducting these weekly calls.  Quiero recordar a los miembros interesados de la comunidad de #Paramount que el tiempo de las llamadas de conferencia informativas semanales sobre la contaminación del aire relacionado con #HexavalentChromium se ha cambiado de 11:30AM a 6:30PM los martes. Estas llamadas son dirigidas por miembros del South Coast Air Quality Management District - SCAQMD cada martes. Para escuchar en español, llame al (888) 394-8197 y use el código 9891238.","photo","https://www.facebook.com/RepRoybalAllard/photos/a.160490823965454.39778.139773069370563/1543222962358893/?type=3",NA,14,1,4,0,0,0,0,0
