"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepRutherfordFL","164256320738439_164337124063692","Congressman John Rutherford","2017-02-07","2017-02-07 18:17:10",NA,"photo","https://www.facebook.com/RepRutherfordFL/photos/a.164337120730359.1073741826.164256320738439/164337124063692/?type=3",NA,21,9,0,2,0,0,0,0
"RepRutherfordFL","164256320738439_164346080729463","Congressman John Rutherford","2017-02-07","2017-02-07 18:39:10",NA,"photo","https://www.facebook.com/RepRutherfordFL/photos/a.164346224062782.1073741827.164256320738439/164346080729463/?type=3",NA,11,0,0,0,0,0,0,0
"RepRutherfordFL","164256320738439_164459570718114","Congressman John Rutherford","2017-02-07","2017-02-07 23:20:00","Today, at the House Committee on Homeland Security hearing on border security, Congressman John Rutherford (FL-4) discussed coastal border safety with the Department of Homeland Security (DHS) Secretary John Kelly.  Speaking about the hearing, Congressman Rutherford said, “As the administration focuses on securing our southern borders, it is important we continue to secure our coastal borders, as well. Cartels and drug runners seek to exploit our maritime borders for trafficking, and Florida plays a strategic role in drug interdiction at sea. The safety and security of the First Coast and the Port of Jacksonville must remain a top priority. I commend Secretary Kelly for his commitment to support our U.S. Coast Guard units and keep all borders safe. I look forward to working with him and the Committee further to ensure the safety and protection of all Americans.”","video","https://www.facebook.com/RepRutherfordFL/videos/164459570718114/",NA,78,20,29,2,0,0,0,0
"RepRutherfordFL","164256320738439_165063377324400","Congressman John Rutherford","2017-02-08","2017-02-08 22:31:55","Thank you to Sgt. Beers and the men and women of the Jacksonville Sheriff's Office for your caring service to the Jacksonville community. Your commitment and compassion are greatly appreciated and do not go unnoticed. Keep up the good work!","photo","https://www.facebook.com/JacksonvilleSheriffsOffice/photos/a.103669232895.100082.27576742895/10154362521317896/?type=3",NA,28,1,0,3,0,0,0,0
"RepRutherfordFL","164256320738439_165716150592456","Congressman John Rutherford","2017-02-09","2017-02-09 22:46:25","Thank you President Donald J. Trump for standing behind our law enforcement officers who risk their lives every day to protect our communities. I applaud you for taking action to enhance the safety of our citizens and nation.  https://www.whitehouse.gov/the-press-office/2017/02/09/presidential-executive-order-preventing-violence-against-federal-state","link","https://www.whitehouse.gov/the-press-office/2017/02/09/presidential-executive-order-preventing-violence-against-federal-state","whitehouse.gov",74,9,12,1,0,0,0,0
"RepRutherfordFL","164256320738439_168880550276016","Congressman John Rutherford","2017-02-14","2017-02-14 18:37:14","Enjoyed discussing the future of FEMA Federal Emergency Management Agency. Public safety, security, & preparedness are a priority in NE FL. Homeland Security Committee","photo","https://www.facebook.com/RepRutherfordFL/photos/a.168880736942664.1073741828.164256320738439/168880550276016/?type=3",NA,33,2,7,1,0,0,0,0
"RepRutherfordFL","164256320738439_169733496857388","Congressman John Rutherford","2017-02-15","2017-02-15 23:48:27","Great news for Jacksonville and Mayport! U.S. Navy Chose Naval Station Mayport as the MQ-4C Triton Operating Base: http://bit.ly/2kzrdI4","link","http://bit.ly/2kzrdI4","bit.ly",52,7,9,2,0,0,0,0
"RepRutherfordFL","164256320738439_170471076783630","Congressman John Rutherford","2017-02-16","2017-02-16 17:12:13","It was wonderful meeting with Megan and the Special Olympics Florida team yesterday to discuss the great work they do and our passion for the 'Noles!","photo","https://www.facebook.com/RepRutherfordFL/photos/a.168880736942664.1073741828.164256320738439/170471076783630/?type=3",NA,44,7,1,1,0,0,0,0
"RepRutherfordFL","164256320738439_170694563427948","Congressman John Rutherford","2017-02-16","2017-02-16 22:59:47","President Trump has made it very clear one of his priorities is to rebuild the Navy and their ships. I believe this effort should also include the United State Coast Guard. Productive meeting with Homeland Security Committee and Vice Admiral Charles Ray of the U.S. Coast Guard to make sure they have the resources needed to protect our maritime borders.","video","https://www.facebook.com/RepRutherfordFL/videos/170694563427948/",NA,31,24,5,2,0,0,0,0
"RepRutherfordFL","164256320738439_174265579737513","Congressman John Rutherford","2017-02-21","2017-02-21 23:59:37","As the son of a WWII and Korean War veteran, it is my goal to reform the VA and do everything in my power to serve our veterans who deserve the care and respect they have earned. I am proud to represent thousands of veterans in Northeast Florida.   We need to be able to track how much time employees are using on official time, to make sure our veterans are getting the proper attention they deserve. I look forward to receiving the information I requested so the VA can determine how to best serve our veterans. House Committee on Veterans' Affairs Watch my questioning below:","video","https://www.facebook.com/RepRutherfordFL/videos/174265579737513/",NA,58,29,15,1,0,0,0,0
"RepRutherfordFL","164256320738439_175189486311789","Congressman John Rutherford","2017-02-23","2017-02-23 18:23:18","History was made today at NAS Jacksonville! Wonderful to attend the historic Change of Command for Rear Admiral Mary Jackson & Rear Admiral Bette Bolivar as United States Navy Southeast Region Commander. Thank for your service and all you have done for the community and citizens of Northeast Florida. Congratulations and best wishes.","photo","https://www.facebook.com/RepRutherfordFL/photos/a.168880736942664.1073741828.164256320738439/175187652978639/?type=3",NA,37,20,7,0,0,0,0,0
"RepRutherfordFL","164256320738439_177098519454219","Congressman John Rutherford","2017-02-27","2017-02-27 00:47:44","In Case You Missed It! Watch my interview with Wjxt4 Kent Justice on 'This Week in Jacksonville.' Looking forward to uniting with the 115th Congress to work hard for the people of Northeast Florida and the nation. http://www.news4jax.com/this-week-in-jacksonville/this-week-in-jacksonville-capitol-hill-battles","link","http://www.news4jax.com/this-week-in-jacksonville/this-week-in-jacksonville-capitol-hill-battles","news4jax.com",23,15,6,1,0,0,0,0
"RepRutherfordFL","164256320738439_177435612753843","Congressman John Rutherford","2017-02-27","2017-02-27 15:43:06","I was honored to be appointed to the Homeland Security Committee's Counterterrorism Task Force to prevent terrorism in the U.S. bit.ly/2l4HERY","link","http://bit.ly/2l4HERY","bit.ly",70,25,5,5,0,0,0,0
