"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepSamJohnson","52454091867_10154332512861868","Sam Johnson","2017-02-01","2017-02-01 16:30:16","Thank you to Collin County Sheriff Jim Skinner and our north Texas law enforcement officials for a great meeting last week. I appreciated learning more about your efforts to protect our community from security threats and help folks travel safely. God bless you and I salute you!","photo","https://www.facebook.com/RepSamJohnson/photos/a.10150113515201868.280354.52454091867/10154332512861868/?type=3",NA,62,7,0,0,0,0,0,0
"RepSamJohnson","52454091867_10154335694851868","Sam Johnson","2017-02-02","2017-02-02 20:00:44","ICYMI, I just spoke on the House Floor in support of my resolution to protect the 2nd Amendment rights of certain Social Security disability beneficiaries - a resolution widely supported by the disability community (including the National Council on Disability and the American Civil Liberties Union) as well as the National Rifle Assion. I look forward to the House voting on this important measure later today.","video","https://www.facebook.com/RepSamJohnson/videos/10154335694851868/",NA,52,38,5,0,0,0,0,2
"RepSamJohnson","52454091867_10154348235646868","Sam Johnson","2017-02-06","2017-02-06 20:05:37","Happy Birthday to our 40th President of the United States, Ronald Reagan!  He faithfully served our country, and he continues to inspire generations with his hope and humor.  Today I invite you to join me in honoring this great American!","photo","https://www.facebook.com/RepSamJohnson/photos/a.10150113515201868.280354.52454091867/10154348235646868/?type=3",NA,45,30,3,1,0,0,0,1
"RepSamJohnson","52454091867_10154351307826868","Sam Johnson","2017-02-07","2017-02-07 22:51:57","ICYMI, earlier this morning I chaired the first of two Committee on Ways and Means Social Security hearings on representative payees (people Social Security authorizes to receive benefit payments on behalf of a beneficiary). About 5.5 million people get help from a representative payee to manage their benefits. The Institute of Medicine, Social Security Inspector General, and Social Security itself have all raised serious questions about the representative payee program, and today we took a fresh look at this issue. To learn more and watch the full hearing, CLICK HERE: https://waysandmeans.house.gov/event/joint-hearing-social-securitys-representative-payee-program/","video","https://www.facebook.com/RepSamJohnson/videos/10154351307826868/",NA,34,48,4,1,0,2,0,4
"RepSamJohnson","52454091867_10154358314536868","Sam Johnson","2017-02-10","2017-02-10 18:16:29","ICYMI, this week I reintroduced a commonsense bill to cut waste at the EPA.  This is a bill I introduced last Congress, and it’s estimated that it would save taxpayers more than $7.5 BILLION.  As a fiscal conservative, I believe it’s important to be good stewards of YOUR tax dollars.  You can learn more about my bill HERE: http://samjohnson.house.gov/news/documentsingle.aspx?DocumentID=398556","photo","https://www.facebook.com/RepSamJohnson/photos/a.10150113515201868.280354.52454091867/10154358314536868/?type=3",NA,39,304,15,2,0,0,4,73
"RepSamJohnson","52454091867_10154360446901868","Sam Johnson","2017-02-11","2017-02-11 16:23:54","Great article on what my EPA bill ACTUALLY does and WHY it's needed: ""This bill would save Americans billions of dollars. More importantly, it would restore freedom and responsibility to steward the environment back to states and individuals.  It seems that as the environment has gotten cleaner, the EPA has gotten more aggressive and expansive in its mission. For example, air pollution has decreased dramatically since the EPA started keeping tabs in 1980. Ground-level ozone (smog) levels have fallen by 32 percent, nitrogen dioxide by 60 percent, carbon monoxide by 84 percent, and lead by 99 percent since 1980..."" READ https://www.google.com/amp/dailysignal.com/2017/02/10/one-lawmakers-plan-to-reform-the-epa/amp/?client=safari","link","https://www.google.com/amp/dailysignal.com/2017/02/10/one-lawmakers-plan-to-reform-the-epa/amp/?client=safari","google.com",41,89,9,3,0,1,1,30
"RepSamJohnson","52454091867_10154362640706868","Sam Johnson","2017-02-12","2017-02-12 15:06:17","Today marks the 44th Anniversary of ""Operation Homecoming."" It was on this day that my fellow POWs at the Hanoi Hilton and I were finally released and began the journey back to our families. It is a day I remember all of the work our POW wives and a few dedicated Americans did to bring us home. During the Vietnam War, many Americans believed the North Vietnamese propaganda that we POWs were being treated well in accordance with the Geneva Convention. We were not, and getting the truth out was an uphill battle that our wives fought. Today I remember the service and sacrifice of these brave women and the patriots who fought alongside them. And I pray for our military families who are currently apart - that the Lord brings you safely back together. God bless you and God bless America. I salute you.","photo","https://www.facebook.com/RepSamJohnson/photos/a.10150113515201868.280354.52454091867/10154362640706868/?type=3",NA,282,25,109,42,0,0,2,0
"RepSamJohnson","52454091867_10154365690711868","Sam Johnson","2017-02-13","2017-02-13 22:04:19","Need help with a federal agency? My staff and I are happy to help and will open a case on your behalf with the federal agency. Although my staff cannot override a decision or compel a particular outcome regarding your concern, they will do their best to assist you.  In fact, on Wednesday we will be hosting our monthly Mobile Office Hours in Lucas, Plano, Wylie, and McKinney.  You can get in-person assistance.    What issues can we help you with? LEARN MORE here: http://samjohnson.house.gov/constituentservices/mobile-office-hours/default.aspx","photo","https://www.facebook.com/RepSamJohnson/photos/a.10150113515201868.280354.52454091867/10154365690711868/?type=3",NA,19,40,4,0,0,0,0,1
"RepSamJohnson","52454091867_10154368158956868","Sam Johnson","2017-02-14","2017-02-14 22:17:39","While I couldn’t deliver this year’s Valentines for Veterans in person due to votes in Washington,  my staff enjoyed giving out the heartfelt valentines our 3rd District students made.  We also ran into some friendly faces during Salute to Veterans week – a few of the Dallas Cowboys Cheerleaders were at the VA to help thank our servicemen and women!  Thank you to all the students as well as the Dallas Cowboys Cheerleaders for supporting our veterans.  And of course, my heartfelt thanks goes out to all our veterans and troops who have served in defense of freedom.  God bless you and God bless America.  I salute you!","photo","https://www.facebook.com/RepSamJohnson/photos/a.10150113515201868.280354.52454091867/10154368156676868/?type=3",NA,63,26,3,7,0,1,0,0
"RepSamJohnson","52454091867_10154370795806868","Sam Johnson","2017-02-15","2017-02-15 22:29:55","As folks may know, this week marks the 44th Anniversary of “Operation Homecoming” when I returned home from North Vietnam.  In memory of my fellow POWs and those Missing in Action (MIAs) who never made it home, today fellow Hanoi Hilton POW Senator John McCain and I introduced identical resolutions in the House and Senate calling for intensified efforts to investigate, recover, and identify all missing and unaccounted-for personnel of the United States. Our American Armed Forces swear to leave no man behind, which is why I have vowed I will never stop fighting for our Defenders of Freedom – just like our POW wives did for us.  My commitment to this country and those who fight for it will never end.","photo","https://www.facebook.com/RepSamJohnson/photos/a.10150113515201868.280354.52454091867/10154370795806868/?type=3",NA,143,29,14,24,0,0,2,1
"RepSamJohnson","52454091867_10154374009436868","Sam Johnson","2017-02-16","2017-02-16 19:26:03","Today I introduced legislation to help address Obamacare's negative impacts on small businesses and American families.  This bill is called the Small Business Health Fairness Act (H.R. 1101), and it would allow for the creation of Association health plans for small businesses so they are able to have strength in numbers just like larger employers do.  To learn more about my bill, watch the video and CLICK HERE: http://samjohnson.house.gov/news/documentsingle.aspx?DocumentID=398561","video","https://www.facebook.com/RepSamJohnson/videos/10154374009436868/",NA,55,30,6,4,0,0,0,9
"RepSamJohnson","52454091867_10154377521461868","Sam Johnson","2017-02-17","2017-02-17 19:05:10","ICYMI, yesterday I introduced a bill to help provide Americans access to quality, affordable health care - something I’m sure folks can agree everyone deserves.  Likewise, I’m sure we also agree that competition in the marketplace is a good thing.  Unfortunately, Obamacare has been picking winners and losers when it comes to health care – and American families are paying the price due to this lack of competition.  You see, buried inside this bad law is a provision that permanently bans further construction of physician-owned hospitals (POH) and essentially prevents existing ones from expanding.  This is wrong.  Physician-owned hospitals are small in number, so there is plenty of room in the health care market.  It makes no sense to prohibit good hospitals from serving their communities. My bill is about doing the right thing.  Americans want, need, and deserve quality, affordable health care options. LEARN MORE HERE: http://samjohnson.house.gov/news/documentsingle.aspx?DocumentID=398564","video","https://www.facebook.com/RepSamJohnson/videos/10154377521461868/",NA,50,47,4,1,0,1,0,7
"RepSamJohnson","52454091867_10154394373276868","Sam Johnson","2017-02-24","2017-02-24 14:46:55","It's been great to meet with folks this week to discuss issues important to our 3rd District of Texas. Whether it's visiting with constituents or local business owners, I always appreciate hearing your thoughts and concerns. A big thank you to Brian Deaver and Dr. Terry James for stopping by my office to discuss legislation that's key to helping Plano's Kersh Health be successful. I appreciate your hard work and dedication to our healthcare system. Likewise, I thank New York Life's efforts on behalf of 13,000 policy holders in our district.    And as always, if you would like to meet with me in either Plano or Washington, D.C. - or if you need assistance with a federal agency , CLICK HERE: http://samjohnson.house.gov/contact-me/","photo","https://www.facebook.com/RepSamJohnson/photos/a.10150113515201868.280354.52454091867/10154394354176868/?type=3",NA,41,21,0,2,0,0,0,1
"RepSamJohnson","52454091867_10154405278776868","Sam Johnson","2017-03-01","2017-03-01 04:05:18","After eight long years of Obama’s liberal, big government agenda, it was refreshing to hear President Trump's patriotic words and love of country tonight as he discussed solutions that will actually get our country back on track and help American families.  Our country is facing many challenges when it comes to national security, and as a 29-year Air Force veteran I appreciate our new Commander-In-Chief making strides to protect our homeland.  With a much-needed boost to defense, our troops will be better able to address the serious threats left unaddressed by former President Obama. Similarly, tackling illegal immigration and securing our borders will further strengthen national security – not to mention the fact that these efforts do right by hardworking American taxpayers.   President Trump is also right to work with House Republicans as we repeal Obamacare and replace it with commonsense health care reforms.  Not only will folks have more freedom when it comes to health care choices, but getting rid of Obamacare – which has been a major burden on small businesses – will help boost our economy.   Finally, as a fiscal conservative I wholeheartedly agree that it’s high time we reform our tax code – including the IRS!   We’ve got a lot of good work ahead of us, and I look forward to making progress on the key challenges confronting our great nation in the weeks and months ahead.","photo","https://www.facebook.com/RepSamJohnson/photos/a.10150113515201868.280354.52454091867/10154405278776868/?type=3",NA,165,51,10,18,1,0,0,19
"RepSamJohnson","52454091867_10154406293591868","Sam Johnson","2017-03-01","2017-03-01 15:00:06","WATCH LIVE: The Education and Workforce Committee is holding a hearing on my legislation, the Small Business Health Fairness Act (HR 1101). This bill is part of a step-by-step process to replace the failed Obamacare law with patient-centered solutions. It would empower small businesses to join together through association health plans (AHPs) to provide their employees greater access to affordable health care. Learn more here: http://samjohnson.house.gov/news/documentsingle.aspx?DocumentID=398561  https://www.youtube.com/watch?v=d3LRrAKUBzs&feature=youtu.be","video","https://www.youtube.com/watch?v=d3LRrAKUBzs&feature=youtu.be",NA,11,5,4,0,0,0,0,0
"RepSamJohnson","52454091867_10154408508001868","Sam Johnson","2017-03-02","2017-03-02 15:02:57","Today we celebrate Texas Independence Day and everything that makes the Lone Star State great!  As Texans, we have so much to be thankful for...the beauty of God's Country, the friendly faces of our family and friends, our rich resources in our own backyard, a state government that fosters an environment for healthy job creation and economic growth...the list goes on.  And the Third District in particular is particularly blessed!  In fact, many cities in our area are frequently ranked in the top ten places to live nationwide. May God continue to bless Texas - and our Great Nation.","photo","https://www.facebook.com/RepSamJohnson/photos/a.10150113515201868.280354.52454091867/10154408508001868/?type=3",NA,24,4,6,7,0,0,0,0
"RepSamJohnson","52454091867_10154411456016868","Sam Johnson","2017-03-03","2017-03-03 16:09:54","Happy Birthday to our United States Navy Reserve!  Thank you for your service to our Great Nation and for honorably defending Freedom! Also, it is my pleasure to let you know that yesterday I reintroduced a bill I think you - and ALL our Reserve and Guard Forces - will be happy to hear about.  This is the Servicemember Retirement Improvement Act, and it would stop the IRS from limiting the ability of Guard and Reserve service members to save for their retirement.  You and your families shouldn't be penalized when it comes to saving for retirement just because you happen to serve our country.  This is just one small but tangible way we can show our thanks for your service and sacrifice.  Again, Happy Birthday to our U.S. Navy Reserve! And if you'd like to learn more about my bill, CLICK HERE: http://samjohnson.house.gov/news/documentsingle.aspx?DocumentID=398566","photo","https://www.facebook.com/RepSamJohnson/photos/a.10150113515201868.280354.52454091867/10154411456016868/?type=3",NA,44,17,1,2,0,0,0,0
"RepSamJohnson","52454091867_10154420878206868","Sam Johnson","2017-03-07","2017-03-07 00:28:10","The House Republican plan to repeal and replace Obamacare, which continues to hurt American families with higher costs and fewer health care option, is here. I encourage you to #readthebill !   https://housegop.leadpages.co/healthcare/","link","https://housegop.leadpages.co/healthcare/","housegop.leadpages.co",32,41,14,5,0,0,3,17
"RepSamJohnson","52454091867_10154426130236868","Sam Johnson","2017-03-08","2017-03-08 15:32:39","TUNE IN LIVE: the Committee on Ways and Means is marking up the American Healthcare Act to repeal and replace Obamacare.  ALSO, if you haven't yet, I encourage you to read the bill. You can find it at readthebill.gop! https://waysandmeans.house.gov/live/","link","https://waysandmeans.house.gov/live/","aysandmeans.house.gov",10,23,2,0,0,0,0,14
"RepSamJohnson","52454091867_10154426135841868","Sam Johnson","2017-03-08","2017-03-08 15:36:39","ALSO, the House Committee on Energy and Commerce is marking up their portion of the American Healthcare Act to repeal and replace Obamacare.  To watch their mark-up LIVE, tune in here: https://energycommerce.house.gov/hearings-and-votes/markups/markup-committee-print-and-h-res-154","link","https://energycommerce.house.gov/hearings-and-votes/markups/markup-committee-print-and-h-res-154","energycommerce.house.gov",7,23,2,0,0,0,2,14
"RepSamJohnson","52454091867_10154426908981868","Sam Johnson","2017-03-08","2017-03-08 21:09:50","Why is it necessary to repeal and replace Obamacare? There are many reasons...and here is just one.  Learn about Jilian in the link below.  Many folks are in similar situations.   https://www.youtube.com/watch?v=Qmw4RfpK-9Y  Learn more about why Obamacare isn't working here: http://samjohnson.house.gov/issues/issue/?IssueID=797  And to read the American Health Care Act, visit readthebill.gop.","video","https://www.youtube.com/watch?v=Qmw4RfpK-9Y",NA,17,42,3,1,0,0,0,4
"RepSamJohnson","52454091867_10154429829746868","Sam Johnson","2017-03-09","2017-03-09 15:24:51","ICYMI, Early this morning, the Ways and Means Committee concluded its Markup on five budget reconciliation recommendations that make up part of the American Healthcare Reform Act – the Republican plan to repeal and replace Obamacare.  Once joined with the reconciliation recommendations from the Energy and Commerce Committee, these bills will make up the American Healthcare Reform Act.  (To read the full bill, visit readthebill.gop.)   Notably, the bill repeals the individual and employer mandate; stops the $1 trillion in tax increases that have hurt American families from all walks of life; continues to protect folks with pre-existing conditions; and allows children 26 and under to stay on their parents’ health care plan.    As a conservative who opposed Obamacare at every turn, I’m pleased that – with a Republican in the White House – we are finally able to move forward with a real plan to repeal and replace Obama’s disastrous law.  While I recognize that the Republican bill is not perfect, it’s a good and necessary step in the right direction – and my work on this issue won’t be done.  There are still many conservative solutions that I would like to see put into effect that budget rules prohibit us from including in reconciliation – solutions like the ability to purchase health care plans across state lines as well as the bill I introduced (H.R. 1101) to allow small businesses to join together through association health plans (AHPs).  In fact, H.R. 1101 passed the Education and Workforce Committee yesterday!  THREE-STEP PLAN TO REPEAL AND REPLACE OBAMACARE: 1)      Pass the reconciliation bill – the American Healthcare Reform Act. 2)      Health and Human Services Secretary Tom Price will have regulatory flexibility to deregulate the marketplace to help lower costs and stabilize the market.  3)      Congress will follow up on the reconciliation with further solutions (such as purchasing health care across state lines).","photo","https://www.facebook.com/RepSamJohnson/photos/a.10150113515201868.280354.52454091867/10154429829746868/?type=3",NA,15,38,2,0,0,0,0,4
"RepSamJohnson","52454091867_10154451539256868","Sam Johnson","2017-03-15","2017-03-15 20:43:29","ICYMI: Today I reintroduced bipartisan legislation to help protect folks from identity theft. This bill, the Social Security MAIL Act, would prohibit the Social Security Administration from including Social Security numbers (SSNs) in mail it sends unless the SSN inclusion is absolutely necessary.  LEARN MORE HERE:  https://waysandmeans.house.gov/ways-means-members-introduce-bipartisan-legislation-protect-americans-identity-theft/","link","https://waysandmeans.house.gov/ways-means-members-introduce-bipartisan-legislation-protect-americans-identity-theft/","aysandmeans.house.gov",26,13,0,0,0,0,0,0
