"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepSandyLevin","223726364320243_1780466735312857","Rep Sandy Levin","2017-01-04","2017-01-04 16:18:00","The Affordable Care Act has made health coverage affordable for millions of Americans. Share your story of how the #ACAworks here or in the comments below: http://bit.ly/2iAs3qU #CoverageMatters","link","http://bit.ly/2iAs3qU","bit.ly",60,17,6,1,0,0,0,0
"RepSandyLevin","223726364320243_1780471351979062","Rep Sandy Levin","2017-01-04","2017-01-04 19:58:01","There’s still time to sign up for the #ACA. Enroll at healthcare.gov by January 15 in order to get coverage by January 31. If you have any questions, you can call my office at 586-498-7122, and share your story of how the #ACA has helped you here: http://bit.ly/2iAs3qU #CoverageMatters","link","http://bit.ly/2iAs3qU","bit.ly",10,3,5,0,0,0,0,0
"RepSandyLevin","223726364320243_1783355275024003","Rep Sandy Levin","2017-01-05","2017-01-05 19:37:55","Today, Michigan's Michigan Talent Investment Agency (TIA) announced significant changes at the Unemployment Insurance Agency, UIA. You can read about those changes here:  http://bit.ly/2iMKyca   I am pleased to see the changes that the TIA Director Wanda Stokes is making at the UIA.  Given the extensive problems identified in the mishandling of the fraud determinations, including the 93% error of reviewed cases, oversight and thorough changes are long overdue.  I appreciate the comments by Ms. Stokes about UIA helping Michiganders through a difficult time in their lives and her commitment to making the agency stronger and more effective.  It is vital that these changes happen quickly and are long-lasting, and I hope the state will re-review all of the fraud decisions during the period of automatic computer determination.  You can read more about this here: http://bit.ly/2hW1JYX","link","http://www.michigan.gov/ted/0,5863,7-336-76741-401481--,00.html","michigan.gov",14,2,0,0,0,0,0,0
"RepSandyLevin","223726364320243_1785795951446602","Rep Sandy Levin","2017-01-06","2017-01-06 21:16:37","Earlier today, the State announced it would review the additional cases tagged as fraud during the time when the automatic computer system was in use.   I am very pleased to hear that the State has committed to reviewing the additional fraud decisions made during the period that there were automatic computer determinations. It is important that the Talent Investment Agency has announced a full review of all cases to ensure that anyone wrongly accused of fraud is made whole and has their record corrected, in addition to the comprehensive improvement measures announced for UIA yesterday.  Read more here:  http://levin.house.gov/press-release/state-uia-announces-additional-review-potential-fraud-cases","link","http://levin.house.gov/press-release/state-uia-announces-additional-review-potential-fraud-cases","levin.house.gov",18,0,0,0,0,0,0,0
"RepSandyLevin","223726364320243_1787230051303192","Rep Sandy Levin","2017-01-07","2017-01-07 15:22:25","Read more on the unemployment insurance issue in this Detroit Free Press article: http://www.freep.com/story/news/local/michigan/2017/01/06/wrongly-accused-ui-agency-reviews-31k-more-fraud-cases/96253414/","link","http://www.freep.com/story/news/local/michigan/2017/01/06/wrongly-accused-ui-agency-reviews-31k-more-fraud-cases/96253414/","freep.com",28,5,13,1,0,1,4,5
"RepSandyLevin","223726364320243_1791307034228827","Rep Sandy Levin","2017-01-09","2017-01-09 16:43:03","""The coming fight on health care ultimately isn't about laws, statistics or debating points – it's about people. About whether mothers and fathers can afford health care for their families, about whether workers won't be denied health insurance because of a pre-existing condition, and about whether senior citizens will be able to afford their prescription medicines. Republicans have been able to hide the truth about what will happen to these people under a repeal of the Affordable Care Act (ACA) because they have said everything would be taken care under their replacement, which remains nonexistent after years of promises.""  Read my full op-ed in The Hill: http://thehill.com/blogs/congress-blog/healthcare/313126-the-painful-collision-of-rhetoric-and-reality-on-health-care","link","http://thehill.com/blogs/congress-blog/healthcare/313126-the-painful-collision-of-rhetoric-and-reality-on-health-care","thehill.com",64,6,13,2,0,0,0,0
"RepSandyLevin","223726364320243_1791576027535261","Rep Sandy Levin","2017-01-09","2017-01-09 19:47:00","Last week, I joined with over 150 of my Democratic colleagues to introduce the Protect Our Democracy Act which if enacted, would create a bipartisan, independent commission to investigate foreign interference, specifically by Russia, in the 2016 election.  The 17 U.S. intelligence agencies have concluded with high confidence that individuals with connections to the Russia government provided Wikileaks with thousands of hacked emails with the intention of influencing the election. Every stone has to be turned over to find out what the Russians did, what impact it had, because we cannot have Russia determining American policy, political campaigns, or anything else.","status",NA,NA,259,41,29,20,0,2,0,3
"RepSandyLevin","223726364320243_1794890957203768","Rep Sandy Levin","2017-01-10","2017-01-10 20:42:42","In Michigan, the uninsured rate has been cut in half because of the Affordable Care Act, including an expansion of the Medicaid program, Healthy Michigan. I know the #ACA has helped so many of you and your families, and I want to hear your stories. You can share what the ACA and Michigan Medicaid expansion has meant to you here: http://bit.ly/2iAs3qU","link","https://docs.google.com/forms/d/e/1FAIpQLSfVkbinzf5LG48UzfQq9sfX_eeeHT2ZKIAb_lRrjYLLp5SWvg/viewform","docs.google.com",30,5,14,2,0,1,1,0
"RepSandyLevin","223726364320243_1798728816819982","Rep Sandy Levin","2017-01-11","2017-01-11 23:37:16","Today I was named by the Democratic Caucus of the Ways and Means Committee as Health Subcommittee Ranking Member.  I look forward to working with my colleagues to protect the health coverage that millions of Americans now receive through the Affordable Care Act, Medicare, and other important programs.  There has never been a lower number of individuals without health insurance. We should be working to build on this progress, rather than tear it down by undermining current protections for those with pre-existing conditions or by eliminating financial assistance for those having difficulty affording coverage. And we should protect the guarantee of benefits under Medicare, not replace it with the uncertainty of a voucher.  As the Ranking Member of the Health Subcommittee, I will continue to stand up for our nation’s many vital health programs and the millions of Americans who depend on them.","status",NA,NA,314,29,26,43,0,0,0,0
"RepSandyLevin","223726364320243_1803756032983927","Rep Sandy Levin","2017-01-13","2017-01-13 16:07:03","These are the Michigan counties which would be most affected by a repeal of the #ACA → http://bit.ly/2jaU1JS via Bridge Magazine  Don't forget, you can share your #ACAworks story with me here → http://bit.ly/2ihflyg","link","http://bit.ly/2jaU1JS","bit.ly",45,17,54,0,1,3,7,19
