"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepScottPeters","449337038470352_1229822777071128","Congressman Scott Peters","2017-02-24","2017-02-24 19:14:55","Join us for a FREE workshop in conjunction with Contractors State License Board for seniors and their families on tools to protect themselves from fraud.  1 and 5 seniors has been a victim of fraud and new scams are developed every day. Join us to learn how to avoid them.","event","https://www.facebook.com/events/1229822777071128/",NA,13,3,0,0,0,0,0,0
"RepScottPeters","449337038470352_126990531367443","Congressman Scott Peters","2017-09-12","2017-09-12 17:24:32","Join Rep. Scott Peters, admissions counselors from each Service Academy, and representatives from college ROTC programs to learn about the application process. If you or your high school student is thinking about a career in our military, representatives from the academies and Rep. Peters' staff will be on site to answer questions.","event","https://www.facebook.com/events/126990531367443/",NA,17,1,0,0,0,0,0,0
"RepScottPeters","449337038470352_1316700275067353","Congressman Scott Peters","2017-01-01","2017-01-01 08:01:00","Wishing everyone a safe and happy new year. We will continue fighting for San Diego’s priorities in 2017.","photo","https://www.facebook.com/RepScottPeters/photos/a.455393817864674.106627.449337038470352/1316700275067353/?type=3",NA,133,4,3,2,3,0,0,1
"RepScottPeters","449337038470352_1342156575855056","Congressman Scott Peters","2017-01-03","2017-01-03 22:49:22","At a time when Americans’ faith in their government is at a deep low, launching a broadside attack on accountability was the absolute wrong way to start the new Congress. Thankfully, my colleagues came to their senses and revoked this proposal. I will continue to oppose any attempt to weaken ethics standards.","link","http://www.sandiegouniontribune.com/news/nation-world/la-na-trailguide-updates-speaker-paul-ryan-gop-leaders-unable-1483462553-htmlstory.html","sandiegouniontribune.com",465,47,21,17,5,4,1,2
"RepScottPeters","449337038470352_1344129018991145","Congressman Scott Peters","2017-01-04","2017-01-04 20:04:37","Co-sponsored the “Protect and Grow American Jobs Act"" to curb abuse in our visa system and ensure innovators in San Diego and across the country can maintain a competitive workforce and keep jobs here at home. We'll continue to push for a comprehensive fix to our immigration system, but in the meantime, this is a smart step forward.","link","http://issa.house.gov/news-room/press-releases/issa-introduces-bill-stop-outsourcing-american-jobs","issa.house.gov",91,13,8,6,1,1,0,1
"RepScottPeters","449337038470352_1346308248773222","Congressman Scott Peters","2017-01-06","2017-01-06 00:35:00","Voted against the United Nations Security Council resolution, which undermines the fundamental belief that long-term stability will only be achieved through bilateral negotiations between Israel and Palestine. I remain committed to a two-state solution as the only viable option for peace in the region.","link","https://scottpeters.house.gov/media-center/press-releases/rep-peters-reaffirms-commitment-to-bilateral-two-state-solution-to","scottpeters.house.gov",145,14,4,7,0,0,2,0
"RepScottPeters","449337038470352_1349266071810773","Congressman Scott Peters","2017-01-07","2017-01-07 18:23:34","The declassified report released yesterday concluded interference in the 2016 U.S. presidential election was directed by Vladimir Putin, enabled by Wikileaks, sought to undermine the legitimacy of our electoral process and influence the final results. These actions are without precedent, and should alarm every American. We must come together to defend our democracy and ensure this never happens again.","link","http://scottpeters.house.gov/media-center/press-releases/rep-peters-statement-on-russian-election-interference-report","scottpeters.house.gov",188,40,40,3,2,3,1,23
"RepScottPeters","449337038470352_1353979994672714","Congressman Scott Peters","2017-01-10","2017-01-10 19:46:51","Introduced the 60 Day Rule Act to require any bill approved by a House committee to be voted on by the entire House of Representatives within 60 days of it passing committee. It shouldn’t be up to just a handful of leaders to decide which bills are worthy of consideration. Any bill that is good enough to get passed by a bipartisan committee deserves to get a vote in the House. It's time to get government working for the people again. #FixCongress","photo","https://www.facebook.com/RepScottPeters/photos/a.455393817864674.106627.449337038470352/1353979994672714/?type=3",NA,178,7,7,9,0,0,0,0
"RepScottPeters","449337038470352_1355070421230338","Congressman Scott Peters","2017-01-11","2017-01-11 18:18:04","Voted to pass the bipartisan HALOS Act to increase access to capital so startups and ensure entrepreneurs can continue to raise capital through angel investors—the primary source of their capital and guidance—without getting caught up in red tape. By addressing one of the biggest challenges faced by startups, companies in San Diego and across the country can continue to grow their business, create high-quality jobs and drive economic growth.","link","https://scottpeters.house.gov/media-center/press-releases/rep-peters-backed-bill-to-increase-access-to-startup-capital-passes","scottpeters.house.gov",67,2,2,1,0,0,0,0
"RepScottPeters","449337038470352_1357004217703625","Congressman Scott Peters","2017-01-13","2017-01-13 00:37:18","The checks and balances in our government are how we keep tyranny from walking in the front door. Today, President-elect Trump blocked General Mattis from testifying in front of the United States House Committee on Armed Services and blocked us from doing our job, under the constitution, to be a check on the executive branch. We should hold the administration accountable, allow General Mattis to appear pursuant to his wishes, and until he does, I will not support a waiver.","link","http://scottpeters.house.gov/media-center/press-releases/rep-peters-votes-against-mattis-waiver-after-trump-blocks-testimony","scottpeters.house.gov",718,97,72,35,0,10,3,44
"RepScottPeters","449337038470352_1358020647601982","Congressman Scott Peters","2017-01-13","2017-01-13 22:01:25","Happy Korean American Day San Diego. Today, we celebrate Korean American history and culture as well as their contributions to San Diego’s diverse and rich culture, supported by groups like the Korean American Senior Association and the Korean American Bar Association of San Diego. As a member of the Congressional Asian Pacific American Caucus (CAPAC), we're working to ensure the concerns and needs of San Diego's Korean and AAPI communities are heard.","photo","https://www.facebook.com/RepScottPeters/photos/a.455393817864674.106627.449337038470352/1358020647601982/?type=3",NA,34,3,6,0,0,1,0,0
"RepScottPeters","449337038470352_1358062837597763","Congressman Scott Peters","2017-01-13","2017-01-13 22:59:06","The disastrous, partisan budget offered today would blow a $9 trillion hole in the federal budget and leave millions of hardworking families without health care coverage. As always, I am willing to work with my colleagues on both sides of the aisle to improve our healthcare system, but I will continue to reject politically motivated attacks like these that do nothing to make us more fiscally sound.","link","https://scottpeters.house.gov/media-center/press-releases/rep-peters-rejects-reckless-healthcare-repeal","scottpeters.house.gov",423,56,38,9,0,2,17,27
"RepScottPeters","449337038470352_1361065983964115","Congressman Scott Peters","2017-01-16","2017-01-16 16:00:04","From the streets of Selma and Birmingham to the Lincoln Memorial in Washington D.C., Martin Luther King Jr. demonstrated that the road to progress is long and hard fought, but it is our perseverance and determination that keeps the dream alive. My own commitment to public service was very much inspired by Dr. King’s message of hope, justice, and equality. Now, more than ever, it is important to amplify his teachings.","photo","https://www.facebook.com/RepScottPeters/photos/a.455393817864674.106627.449337038470352/1361065983964115/?type=3",NA,144,10,16,9,0,0,0,0
