"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepScottTaylor","1831393353804848_1863905887220261","Congressman Scott Taylor","2017-01-18","2017-01-18 21:39:10",NA,"photo","https://www.facebook.com/RepScottTaylor/photos/a.1831393880471462.1073741825.1831393353804848/1863905887220261/?type=3",NA,4,12,0,0,0,0,0,0
"RepScottTaylor","1831393353804848_1888977754713074","Congressman Scott Taylor","2017-03-06","2017-03-06 18:20:14",NA,"photo","https://www.facebook.com/RepScottTaylor/photos/a.1888977778046405.1073741827.1831393353804848/1888977754713074/?type=3",NA,7,6,0,1,0,0,0,0
"RepScottTaylor","1831393353804848_1889475997996583","Congressman Scott Taylor","2017-03-04","2017-03-04 23:00:00","I commend President Trump for signing into law the bill from my friend Congresswoman Barbara Comstock. I am proud to have cosponsored the INSPIRE Women Act that will help our girls and young women on the important goal of increasing the number of women who go into the fields of science, technology, engineering and math.","link","https://taylor.house.gov/media/press-releases/congressman-scott-taylor-statement-inspire-women-act-being-signed-law","taylor.house.gov",4,15,0,1,0,0,0,0
"RepScottTaylor","1831393353804848_1889477991329717","Congressman Scott Taylor","2017-03-01","2017-03-01 17:00:00","WASHINGTON D.C.- March 1, 2017—Congressman Scott Taylor announced his support for the Searching for and Cutting Regulations that are Unnecessarily Burdensome (SCRUB) Act, H.R. 998. The SCRUB Act creates a regulatory review commission that will review and provide recommendations as to which regulations to repeal. The SCRUB Act also provides that for each new regulation there must be an equal repeal of an existing regulation implemented. Congressman Taylor had this to say about the SCRUB Act: “All across our district I heard loud and clear that businesses, small and large, have been suffocating under crushing regulations. Creating more accountability with the voters in the implementation of regulations is the right step”","link","https://taylor.house.gov/media/press-releases/congressman-scott-taylor-supports-scrub-act","taylor.house.gov",2,10,0,0,0,0,1,4
"RepScottTaylor","1831393353804848_1889478267996356","Congressman Scott Taylor","2017-02-14","2017-02-14 17:00:00","Whether as a national security advisor or your close friend, trust is an important component of any relationship. In these chaotic times we need clarity and I look forward to working with General Flynn's successor. We all should appreciate the many years and deeds of service to our great nation by General Flynn and wish he and his family the best moving forward. The intelligence community and White House must quickly get on the same page. The stakes are too high.","link","https://taylor.house.gov/media/press-releases/congressman-scott-taylor-statement-general-flynn","taylor.house.gov",0,5,0,0,0,0,0,0
"RepScottTaylor","1831393353804848_1890101171267399","Congressman Scott Taylor","2017-03-08","2017-03-08 22:17:03",NA,"link","https://taylor.house.gov/media/press-releases/congressman-scott-taylor-supports-department-defense-appropriations-act-2017","taylor.house.gov",5,4,1,0,0,0,0,0
"RepScottTaylor","1831393353804848_1890119784598871","Congressman Scott Taylor","2017-03-08","2017-03-08 23:34:57","A military is mandated by our nation, yet our force and their families are volunteers.  We owe them the equipment, training, maintenance, and family support they need to get the job done for us. This bill is a step in the right direction to helping rebound our preparedness and readiness. Among other things, I am proud to announce my support of important investments in traumatic brain injury treatment, suicide prevention, assistance for victims of sexual assault, and a pay raise for our men and women in uniform","video","https://youtu.be/QcDMdsszwXU",NA,9,13,0,0,0,0,0,0
"RepScottTaylor","1831393353804848_1890760301201486","Congressman Scott Taylor","2017-03-09","2017-03-09 22:15:40","Congressman Scott Taylor Introduces Bipartisan Legislation Extending Housing Protections for LGBTQ Citizens","link","https://taylor.house.gov/media/press-releases/congressman-scott-taylor-introduces-bipartisan-legislation-extending-housing","taylor.house.gov",41,14,5,3,1,1,0,0
"RepScottTaylor","1831393353804848_1891278134483036","Congressman Scott Taylor","2017-03-10","2017-03-10 19:45:09",NA,"link","https://schneider.house.gov/media/press-releases/reps-brad-schneider-and-scott-taylor-introduce-bipartisan-legislation-extending","schneider.house.gov",26,13,0,6,0,0,0,0
"RepScottTaylor","1831393353804848_1891278201149696","Congressman Scott Taylor","2017-03-10","2017-03-10 19:45:28",NA,"photo","https://www.facebook.com/HouseAppropsGOP/photos/a.1206481619389483.1073741835.206998479337807/1242668442437467/?type=3",NA,5,7,0,0,0,0,0,1
