"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepSeanDuffy","119657691436457_1193199400748942","Congressman Sean Duffy","2017-01-01","2017-01-01 17:57:34","Happy New Year, everyone! Hopefully the Green Bay Packers can usher #Wisconsin into 2017 right with a win tonight!  http://www.foxsports.com/wisconsin/story/preview-nfc-north-green-bay-packers-detroit-lions-123016","link","http://www.foxsports.com/wisconsin/story/preview-nfc-north-green-bay-packers-detroit-lions-123016","foxsports.com",45,3,0,2,0,0,0,0
"RepSeanDuffy","119657691436457_1194990953903120","Congressman Sean Duffy","2017-01-03","2017-01-03 16:58:29","It's a new Congress and I have a new office (Rayburn 2330), but I'm still fighting to bring our Wisconsin values and ideas to Washington! If you're from the CD-7, stop by the office and say hi!","photo","https://www.facebook.com/RepSeanDuffy/photos/a.120115528057340.17864.119657691436457/1194990953903120/?type=3",NA,274,28,8,9,0,0,0,0
"RepSeanDuffy","119657691436457_1195940093808206","Congressman Sean Duffy","2017-01-04","2017-01-04 17:31:03","I recently spoke with WEAU 13 News about how we're going to spur economic growth by creating a more friendly and fair tax code and rolling back burdensome regulations. Watch below!","video","https://www.facebook.com/RepSeanDuffy/videos/1195940093808206/",NA,34,11,1,1,0,0,0,0
"RepSeanDuffy","119657691436457_1199814320087450","Congressman Sean Duffy","2017-01-08","2017-01-08 19:44:21","I am now chairman of the Financial Services Subcommittee on Housing & Insurance.   Many elements of our housing market need to be made to work for all Wisconsinites—rural families, in particular, have been left behind. I look forward to working with Dr. Carson to bring much needed change to HUD and to improve housing for all. I’ll defend Wisconsin taxpayers as we reform National Flood Insurance, the FHA, and other programs. I’ll also ensure that the Wisconsin insurance industry, an important engine of our state’s economy, has a strong voice in Congress.  http://www.themreport.com/daily-dose/01-06-2017/reps-luetkemeyer-duffy-among-new-subcommittee-heads","link","http://www.themreport.com/daily-dose/01-06-2017/reps-luetkemeyer-duffy-among-new-subcommittee-heads","themreport.com",156,16,12,8,0,0,0,0
"RepSeanDuffy","119657691436457_1200552983346917","Congressman Sean Duffy","2017-01-09","2017-01-09 15:44:17","Government works best when we discuss the issues with each other- that's why Town Hall meetings are so important. Great to see everyone at our first Town Hall of 2017 in Chippewa Falls!","photo","https://www.facebook.com/RepSeanDuffy/photos/a.120115528057340.17864.119657691436457/1200552983346917/?type=3",NA,68,10,5,3,0,0,0,0
"RepSeanDuffy","119657691436457_1200605466675002","Congressman Sean Duffy","2017-01-09","2017-01-09 17:16:27","Our hearts ache today, as another one of our nation's cops was gunned down- this time in Orlando, Florida. Today is also National #LawEnforcementAppreciationDay, and we should pray for our cops who keep us safe and for their families who worry every day if their loved ones will return home after a shift on the beat. And of course, if you see a cop on the street, thank them for all that they do.   http://www.cnn.com/2017/01/09/us/orlando-shooting-officer-killed/","link","http://www.cnn.com/2017/01/09/us/orlando-shooting-officer-killed/","cnn.com",56,15,32,0,0,0,63,12
"RepSeanDuffy","119657691436457_1201511706584378","Congressman Sean Duffy","2017-01-10","2017-01-10 15:01:31","Check out WEAU 13 News's coverage of our first our first Town Hall meeting of 2017 in Chippewa County. We discussed how #Obamacare was based on a lie and isn't working for the American people, and other important issues facing Wisconsin and our nation.","video","https://www.facebook.com/RepSeanDuffy/videos/1201511706584378/",NA,35,18,7,0,0,0,0,3
"RepSeanDuffy","119657691436457_1201787396556809","Congressman Sean Duffy","2017-01-10","2017-01-10 22:22:23","It's beautiful in northern Wisconsin right now- here's the view outside our Wausau office. But friendly reminder: the roads are nasty, so if you have to travel please be safe out there!","photo","https://www.facebook.com/RepSeanDuffy/photos/a.120115528057340.17864.119657691436457/1201787396556809/?type=3",NA,178,8,8,6,0,2,0,0
"RepSeanDuffy","119657691436457_1203657153036500","Congressman Sean Duffy","2017-01-12","2017-01-12 14:28:30","Here's a #TBT to President Obama's off-repeated lie that Obamacare would lower healthcare premiums by $2500 per family. This lie, among the many tied to the law, reminds us why we must repeal and replace Obamacare.","video","https://www.facebook.com/RepSeanDuffy/videos/1203657153036500/",NA,253,83,63,7,4,1,2,33
"RepSeanDuffy","119657691436457_1204970249571857","Congressman Sean Duffy","2017-01-14","2017-01-14 13:31:00","I #StandWithIsrael. That's why I sent a letter to Donald J. Trump asking to move the U.S. Embassy in Israel to Jerusalem! The bipartisan letter was signed by more than 100 of my colleagues. More details from WJFW Newswatch 12 - watch below!","video","https://www.facebook.com/RepSeanDuffy/videos/1204970249571857/",NA,175,19,14,15,0,0,1,1
"RepSeanDuffy","119657691436457_1204973592904856","Congressman Sean Duffy","2017-01-16","2017-01-16 13:01:02","Let us reflect upon Dr. Martin Luther King Jr.'s dedication to the advancement of liberty. His words and actions remain an inspiration to all Americans.","photo","https://www.facebook.com/RepSeanDuffy/photos/a.120115528057340.17864.119657691436457/1204973592904856/?type=3",NA,68,47,14,4,0,0,0,1
"RepSeanDuffy","119657691436457_1208768779192004","Congressman Sean Duffy","2017-01-17","2017-01-17 14:58:33","Government works best when we solve problems together- that's why Town Hall meetings are so important! Yesterday's were in Ashland, Bayfield, & Douglas counties.","photo","https://www.facebook.com/RepSeanDuffy/photos/a.120115528057340.17864.119657691436457/1208768779192004/?type=3",NA,95,45,1,3,1,0,0,0
"RepSeanDuffy","119657691436457_1208868559182026","Congressman Sean Duffy","2017-01-17","2017-01-17 17:45:01","It doesn't take eating a squeaky cheese curd to know how important the dairy industry is to Wisconsin. (though it certainly wouldn't hurt!) That's why I'm honored to co-chair the bipartisan Congressional Dairy Farmer Caucus. I'll continue to be voice for Wisconsin farmers in this new role.  http://www.mynorthwestnow.com/story/news/2017/01/15/congressman-duffy-co-chair-dairy-farmer-caucus/96611264/","link","http://www.mynorthwestnow.com/story/news/2017/01/15/congressman-duffy-co-chair-dairy-farmer-caucus/96611264/","mynorthwestnow.com",207,29,8,7,0,0,0,4
"RepSeanDuffy","119657691436457_1209899275745621","Congressman Sean Duffy","2017-01-18","2017-01-18 19:44:48","The Presidential Inauguration is a time when we should come together to celebrate the peaceful transition of power from one president to the next. I spoke with Fox News' America's Newsroom about how Republicans, Democrats, and Independents can use this new start as an opportunity to tackle our biggest problems.  Watch below!","video","https://www.facebook.com/RepSeanDuffy/videos/1209899275745621/",NA,113,38,15,6,0,0,3,6
"RepSeanDuffy","119657691436457_1210831412319074","Congressman Sean Duffy","2017-01-19","2017-01-19 16:34:35","Great to catch up with Ashland County Sheriff Mick Brennan- we used to work together back in my DA days. Thanks for all that you do! #ThankACopThursday","photo","https://www.facebook.com/RepSeanDuffy/photos/a.120115528057340.17864.119657691436457/1210831412319074/?type=3",NA,109,1,3,1,0,0,0,0
"RepSeanDuffy","119657691436457_1210987048970177","Congressman Sean Duffy","2017-01-19","2017-01-19 21:26:35","My wonderful wife, Rachel Campos-Duffy & I chatted with Fox & Friends about Donald J. Trump's inauguration and why the nation is excited for this new chapter. This peaceful transition of power to a new administration should be celebrated!","video","https://www.facebook.com/RepSeanDuffy/videos/1210987048970177/",NA,192,31,8,20,0,0,1,5
"RepSeanDuffy","119657691436457_1211583772243838","Congressman Sean Duffy","2017-01-20","2017-01-20 14:10:14","It's #Inauguration Day! Wisconsinites and folks from around the country are gathering in Washington today as we celebrate the peaceful transition of power from Obama to Donald J. Trump. This is an exciting opportunity for Americans to come together and celebrate a new beginning!","video","https://www.facebook.com/RepSeanDuffy/videos/1211583772243838/",NA,308,32,27,21,0,0,8,5
"RepSeanDuffy","119657691436457_1214989588569923","Congressman Sean Duffy","2017-01-23","2017-01-23 15:07:56","Congrats to the new officers of the Wausau Police Department! We are all thankful for your service.   http://www.wausaudailyherald.com/story/news/local/2017/01/20/wausau-police-dept-welcomes-new-officers/96491552/","link","http://www.wausaudailyherald.com/story/news/local/2017/01/20/wausau-police-dept-welcomes-new-officers/96491552/","wausaudailyherald.com",93,5,2,4,0,0,0,0
"RepSeanDuffy","119657691436457_1216473025088246","Congressman Sean Duffy","2017-01-24","2017-01-24 16:28:10","I spoke with CNBC this morning about how President Donald J. Trump has a unique opportunity to roll back burdensome regulations from the Obama administration. This rollback, coupled with an overhaul of our tax code, can help kickstart our economy.","video","https://www.facebook.com/RepSeanDuffy/videos/1216473025088246/",NA,164,26,9,6,0,1,1,9
"RepSeanDuffy","119657691436457_1218358758233006","Congressman Sean Duffy","2017-01-25","2017-01-25 19:47:17","Yesterday, I re-introduced the Women's Public Health & Safety Act, which allows states to exclude abortion providers from receiving Medicaid funds. States should be able to redirect money away from abortion providers like Planned Parenthood to community health centers that focus on women's health.  https://duffy.house.gov/press-release/congressman-duffy-re-introduces-womens-public-health-safety-act","link","https://duffy.house.gov/press-release/congressman-duffy-re-introduces-womens-public-health-safety-act","duffy.house.gov",337,78,22,51,1,0,1,35
"RepSeanDuffy","119657691436457_1219648468104035","Congressman Sean Duffy","2017-01-26","2017-01-26 19:58:11","Here's a #TBT to when then-Speaker Pelosi admitted that Democrats were trying to rush Obamacare through so the American people wouldn't know the truth. Spoiler alert: it has been a disaster since they passed it!","video","https://www.facebook.com/RepSeanDuffy/videos/1219648468104035/",NA,71,34,6,0,0,1,0,21
"RepSeanDuffy","119657691436457_1220766227992259","Congressman Sean Duffy","2017-01-27","2017-01-27 14:40:19","Today is The March for Life, and just wanted to give a quick update on what I'm doing in the House to protect life. For instance, I'm fighting to cut off any use of taxpayer dollars to pay for abortion. Read more on this fight for life in the Washington Free Beacon piece below:   http://freebeacon.com/issues/house-cuts-off-taxpayer-subsidies-abortion/","link","http://freebeacon.com/issues/house-cuts-off-taxpayer-subsidies-abortion/","freebeacon.com",299,37,17,35,0,0,0,13
"RepSeanDuffy","119657691436457_1220810924654456","Congressman Sean Duffy","2017-01-27","2017-01-27 15:06:42","Welcome Wisconsinites to The March for Life! Stop by Cannon 340 for coffee, donuts, hot chocolate, and a discussion on pro-life issues between 2:30 and 4:30 PM today. #MarchForlife","video","https://www.facebook.com/RepSeanDuffy/videos/1220810924654456/",NA,420,58,52,64,0,0,0,14
"RepSeanDuffy","119657691436457_1225467400855475","Congressman Sean Duffy","2017-01-30","2017-01-30 21:59:16","Wonderful that so many Wisconsinites were able to enjoy hot chocolate & donuts with our team during #MarchForLife!","photo","https://www.facebook.com/RepSeanDuffy/photos/a.120115528057340.17864.119657691436457/1225467400855475/?type=3",NA,204,22,5,11,0,0,0,4
"RepSeanDuffy","119657691436457_1226719444063604","Congressman Sean Duffy","2017-02-01","2017-02-01 13:27:00","Unnecessary, burdensome regulations put a wet blanket on our economy. That's why it's encouraging to see that President Donald J. Trump halted $181 billion in regulatory costs on first day in office. That's one small step in fostering growth, innovation, and hiring throughout our nation!   http://www.foxnews.com/politics/2017/01/31/report-trump-halted-181-billion-in-regulatory-costs-on-first-day-in-office.html","link","http://www.foxnews.com/politics/2017/01/31/report-trump-halted-181-billion-in-regulatory-costs-on-first-day-in-office.html","foxnews.com",171,34,18,8,2,1,1,11
"RepSeanDuffy","119657691436457_1227645223971026","Congressman Sean Duffy","2017-02-01","2017-02-01 18:12:51","My statement on Judge Gorsuch's nomination to the Supreme Court of the United States:  President Donald J. Trump promised the American people that he would nominate a Supreme Court Justice who would respect the Constitution in the way that the late Antonin Scalia did, and he fulfills that promise with his nomination of Judge Neil Gorsuch.   I hope the Senate acts quickly to confirm Judge Gorsuch to the vacant seat on the #SupremeCourt.","status",NA,NA,138,30,7,2,0,0,0,14
"RepSeanDuffy","119657691436457_1228569843878564","Congressman Sean Duffy","2017-02-02","2017-02-02 13:10:37","You can't milk an almond, that's why I urge the FDA to enforce the definition of milk that is already on the books- that it comes from cows! Wisconsin dairy farmers & American consumers deserve this clarification. Check out WQOW News 18's coverage below!","video","https://www.facebook.com/RepSeanDuffy/videos/1228569843878564/",NA,98,69,14,3,0,1,0,9
"RepSeanDuffy","119657691436457_1229796777089204","Congressman Sean Duffy","2017-02-03","2017-02-03 17:49:18","An activist judge in Washington ruled that Wisconsin farmers can't protect their livestock from gray wolves. That is wrong. That's why I'm fighting to de-list the gray wolf in Wisconsin.","link","http://lacrossetribune.com/jacksoncochronicle/news/local/congressman-duffy-and-others-call-for-federal-delisting-of-the/article_af130b05-d5fc-593e-96e7-518a3a83824d.html","lacrossetribune.com",446,65,51,18,0,1,1,33
"RepSeanDuffy","119657691436457_1229884053747143","Congressman Sean Duffy","2017-02-04","2017-02-04 14:08:02","Congrats to the Wausau Police Department for being named ""one of the top police agencies in the state""!","link","http://www.wausaudailyherald.com/story/news/2017/02/02/wausau-police-department-receives-top-honor/97300814/","wausaudailyherald.com",85,16,2,0,0,1,0,2
"RepSeanDuffy","119657691436457_1230797620322453","Congressman Sean Duffy","2017-02-04","2017-02-04 18:02:50","Big weekend for Wisconsin Prep #hockey! Girls #1 Central Wisconsin host #2 Hudson Raiders, while Boys #2 Hudson Raiders host #1 Wausau West Warriors- congrats to everyone on their seasons so far and good luck today!  http://www.wisconsinprephockey.net/news_article/show/751859?referrer_id=177393","link","http://www.wisconsinprephockey.net/news_article/show/751859?referrer_id=177393","wisconsinprephockey.net",29,9,1,2,0,0,0,2
"RepSeanDuffy","119657691436457_1231859600216255","Congressman Sean Duffy","2017-02-06","2017-02-06 00:34:52","An important message for tonight and always: #GoPackGo!","status",NA,NA,159,34,5,7,4,0,0,2
"RepSeanDuffy","119657691436457_1232530690149146","Congressman Sean Duffy","2017-02-06","2017-02-06 18:24:47","Had an awesome Google hangout with some great kids from St. Croix Central- lots of great questions!","photo","https://www.facebook.com/RepSeanDuffy/photos/a.120115528057340.17864.119657691436457/1232530690149146/?type=3",NA,98,101,3,0,0,0,0,3
"RepSeanDuffy","119657691436457_1232682256800656","Congressman Sean Duffy","2017-02-06","2017-02-06 21:58:01","Today is the Gipper's 106th birthday! He re-energized the conservative movement, and is an inspiration to millions of Americans. He fought for limited government, free enterprise, and the value of human life. It is now up to us to fight for those same values today. Happy birthday, President Reagan!","photo","https://www.facebook.com/RepSeanDuffy/photos/a.120115528057340.17864.119657691436457/1232682256800656/?type=3",NA,129,219,19,12,0,0,0,17
"RepSeanDuffy","119657691436457_1234712966597585","Congressman Sean Duffy","2017-02-08","2017-02-08 18:51:30","Obamacare is nothing more than a con. We were told that it would lower costs for a family of four by $2500 a year, but instead premiums are skyrocketing for many. We need a broad and thorough conversation about healthcare so that we can create a patient-centered solution that actually lowers costs for families.","video","https://www.facebook.com/RepSeanDuffy/videos/1234712966597585/",NA,330,274,47,30,2,1,3,34
"RepSeanDuffy","119657691436457_1235615803173968","Congressman Sean Duffy","2017-02-09","2017-02-09 20:46:40","I recently wrote a letter demanding answers on the price spike for an #opioid overdose treatment. Families & communities need access to this treatment to help combat the opioid epidemic.","photo","https://www.facebook.com/RepSeanDuffy/photos/a.120115528057340.17864.119657691436457/1235615803173968/?type=3",NA,84,29,10,5,0,0,0,2
"RepSeanDuffy","119657691436457_1236202303115318","Congressman Sean Duffy","2017-02-10","2017-02-10 16:38:19","Congratulations to Rep. Tom Price on becoming the new U.S. Department of Health and Human Services Secretary! I look forward to working with you to repeal the disaster that is Obamacare & replace it with a plan that actually lowers costs for families.","video","https://www.facebook.com/WhiteHouse/videos/1219984631422601/",NA,28,38,0,1,0,0,0,9
"RepSeanDuffy","119657691436457_1238526009549614","Congressman Sean Duffy","2017-02-13","2017-02-13 13:30:02","The Wisconsin Department of Natural Resources should administer a healthy gray wolf population, not the federal government, because Wisconsin farmers deserve to protect their livestock and families deserve to protect their pets from gray wolves.   https://www.wsj.com/articles/gray-wolf-is-again-a-political-flashpoint-in-the-midwest-1486814401?tesla=y","link","https://www.wsj.com/articles/gray-wolf-is-again-a-political-flashpoint-in-the-midwest-1486814401?tesla=y","wsj.com",103,26,12,3,0,0,0,4
"RepSeanDuffy","119657691436457_1239061429496072","Congressman Sean Duffy","2017-02-14","2017-02-14 00:28:34","A priority of mine is to be accessible to you, which is why I've already done six in-person town halls this year (and will do one in every county in the district), and am about to host our third tele-town hall so far this year!","video","https://www.facebook.com/RepSeanDuffy/videos/1239061429496072/",NA,174,62,13,4,0,0,0,3
"RepSeanDuffy","119657691436457_1239636759438539","Congressman Sean Duffy","2017-02-14","2017-02-14 16:57:50","Date night with my hot wife. Happy Valentine's Day, Mamacita!","photo","https://www.facebook.com/RepSeanDuffy/photos/a.120115528057340.17864.119657691436457/1239636759438539/?type=3",NA,1002,40,4,80,7,1,0,0
"RepSeanDuffy","119657691436457_1240465902688958","Congressman Sean Duffy","2017-02-15","2017-02-15 16:18:30","Congratulations to Rumor and Champagne, the two Wisconsin stars of the Westminster Kennel Club Dog Show!","link","http://www.wsaw.com/content/news/Wis-dog-wins-best-in-show-at-Westminster-413810683.html","wsaw.com",441,17,79,40,3,0,0,0
"RepSeanDuffy","119657691436457_1241709549231260","Congressman Sean Duffy","2017-02-16","2017-02-16 21:19:47","Our cops, like Delton PD Officer Gerald Grimsled, go to work every day to keep us safe. Thanks for all that you do! #ThankACopThursday","photo","https://www.facebook.com/RepSeanDuffy/photos/a.120115528057340.17864.119657691436457/1241709549231260/?type=3",NA,126,5,4,8,0,0,0,0
"RepSeanDuffy","119657691436457_1242448922490656","Congressman Sean Duffy","2017-02-17","2017-02-17 13:41:01","Got to catch up with President Trump & work with him to dismantle an Obama-era regulation!","photo","https://www.facebook.com/RepSeanDuffy/photos/a.120115528057340.17864.119657691436457/1242448922490656/?type=3",NA,1329,177,125,114,6,1,9,74
"RepSeanDuffy","119657691436457_1242859789116236","Congressman Sean Duffy","2017-02-17","2017-02-17 18:53:26","On the way to my seventh town hall of the year so far. Minocqua here we come!","video","https://www.facebook.com/RepSeanDuffy/videos/1242859789116236/",NA,154,42,9,2,0,0,0,5
"RepSeanDuffy","119657691436457_1243932932342255","Congressman Sean Duffy","2017-02-18","2017-02-18 13:31:59","I'm excited to work with President Donald J. Trump to solve some of America's biggest problems, but Democrats are playing politics and delaying his ability to assemble his own team. I spoke with Fox News's Shannon Bream about this ridiculous obstruction.","video","https://www.facebook.com/RepSeanDuffy/videos/1243932932342255/",NA,95,47,13,5,1,0,0,17
"RepSeanDuffy","119657691436457_1245242345544647","Congressman Sean Duffy","2017-02-19","2017-02-19 17:15:03","Full house in Minocqua for our seventh town hall of year! Great discussions about Obamacare, the debt, social security, and a host of other issues.","photo","https://www.facebook.com/RepSeanDuffy/photos/a.120115528057340.17864.119657691436457/1245242345544647/?type=3",NA,117,34,4,3,0,1,0,3
"RepSeanDuffy","119657691436457_1247471058655109","Congressman Sean Duffy","2017-02-21","2017-02-21 20:13:25","At our recent town hall meeting in Minocqua, Wisconsin, I discussed how Obamacare is a disaster and is full of broken promises.   Like and SHARE if you agree that Obamacare must be repealed and replaced!","photo","https://www.facebook.com/RepSeanDuffy/photos/a.120115528057340.17864.119657691436457/1247471058655109/?type=3",NA,104,50,19,2,0,0,0,16
"RepSeanDuffy","119657691436457_1248707595198122","Congressman Sean Duffy","2017-02-22","2017-02-22 14:46:22","Happy National Margarita Day, everyone!","photo","https://www.facebook.com/RepSeanDuffy/photos/a.120115528057340.17864.119657691436457/1248707595198122/?type=3",NA,294,16,7,34,2,1,0,0
"RepSeanDuffy","119657691436457_1249775255091356","Congressman Sean Duffy","2017-02-23","2017-02-23 16:18:41","Proud to participate in the Wounded Warrior Fellowship Program - if you are interested in applying for the fellowship, click the link below!","link","https://duffy.house.gov/press-release/congressman-duffy-to-participate-in-wounded-warrior-fellowship-program","duffy.house.gov",26,3,6,0,0,0,0,0
"RepSeanDuffy","119657691436457_1249839988418216","Congressman Sean Duffy","2017-02-23","2017-02-23 17:44:04","Great to catch up with Minocqua Police Department Officer Benj Burrows & Oneida County Sheriff's Office, Wisconsin Deputy Chris Coniglio. Thanks for all that you do to keep us safe! #ThankACopThursday","photo","https://www.facebook.com/RepSeanDuffy/photos/a.120115528057340.17864.119657691436457/1249839988418216/?type=3",NA,315,11,22,11,0,0,0,0
"RepSeanDuffy","119657691436457_1253550854713796","Congressman Sean Duffy","2017-02-27","2017-02-27 16:26:30","Great crowd today in New Richmond for our eighth town hall of the year!","photo","https://www.facebook.com/RepSeanDuffy/photos/a.120115528057340.17864.119657691436457/1253550854713796/?type=3",NA,84,16,9,0,0,2,0,0
"RepSeanDuffy","119657691436457_1253681521367396","Congressman Sean Duffy","2017-02-27","2017-02-27 20:12:42","Great crowd today at our St. Croix County town tall meeting in New Richmond- our 8th town hall so far this year!","photo","https://www.facebook.com/RepSeanDuffy/photos/a.120115528057340.17864.119657691436457/1253681521367396/?type=3",NA,110,27,11,2,0,0,0,0
"RepSeanDuffy","119657691436457_1254967461238802","Congressman Sean Duffy","2017-03-01","2017-03-01 03:16:43","Great speech! Now is the time for action- excited to continue to work with President Donald J. Trump to get our nation back on track.","status",NA,NA,400,31,6,21,6,0,1,3
"RepSeanDuffy","119657691436457_1255393191196229","Congressman Sean Duffy","2017-03-01","2017-03-01 15:12:26","Had a great chat with Dr. Ben Carson what an amazing man! Can't wait to work with him on reforming HUD and improving housing for all when he is confirmed as our next HUD Secretary!","photo","https://www.facebook.com/RepSeanDuffy/photos/a.120115528057340.17864.119657691436457/1255393191196229/?type=3",NA,456,13,21,17,2,0,2,0
"RepSeanDuffy","119657691436457_1255530617849153","Congressman Sean Duffy","2017-03-01","2017-03-01 18:28:47","My wonderful wife, Rachel Campos-Duffy, & I chatted with Brian Kilmeade on Fox News this morning about the excitement surrounding President Donald J. Trump's speech and how he is already delivering on his promises.","video","https://www.facebook.com/RepSeanDuffy/videos/1255530617849153/",NA,96,7,8,5,0,0,0,1
"RepSeanDuffy","119657691436457_1255687881166760","Congressman Sean Duffy","2017-03-01","2017-03-01 23:08:56","Check out my piece in the Milwaukee Journal Sentinel about how President Donald J. Trump's speech signaled that now is the time for action. Americans are optimistic because they see President Trump and Republicans in Congress are getting to work.","link","http://www.jsonline.com/story/opinion/contributors/2017/03/01/duffy-trumps-address-gives-americans-reason-optimistic/98571378/","jsonline.com",68,16,4,1,0,1,0,2
