"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepSewell","117758198297225_1349365798469786","Terri A. Sewell","2017-01-03","2017-01-03 17:05:01","@RepTerriSewell stands with her constituents in holding Senator Sessions accountable for protecting civil & human rights of all @WBRCnews","status",NA,NA,15,7,1,0,0,0,0,0
"RepSewell","117758198297225_1349366785136354","Terri A. Sewell","2017-01-03","2017-01-03 17:05:46","@RepTerriSewell will continue to fight for civil rights, voting rights & criminal justice reform for all @AlabamaNAACP @NAACP_LDF @WBRCnews","status",NA,NA,8,1,0,0,0,0,0,0
"RepSewell","117758198297225_1351574951582204","Terri A. Sewell","2017-01-04","2017-01-04 15:31:06","Today President Obama met with House Democrats to discuss our work to protect the ACA, Medicare, and Medicaid. ACA repeal would cost 30 million Americans  and 215,000 Alabamans their health insurance. There's no doubt that repeal of the ACA will only Make America Sick Again!","photo","https://www.facebook.com/RepSewell/photos/a.604918726247834.1073741843.117758198297225/1351565128249853/?type=3",NA,92,3,8,5,0,0,1,1
"RepSewell","117758198297225_1351904408215925","Terri A. Sewell","2017-01-04","2017-01-04 18:32:18","Today I stood with Democratic leadership and members from both chambers to denounce GOP plans to Make America Sick Again with a full ACA repeal & cuts to Medicare and Medicaid. My constituents rely on these critical programs to lead healthy and prosperous lives.","photo","https://www.facebook.com/RepSewell/photos/a.604918726247834.1073741843.117758198297225/1351898014883231/?type=3",NA,73,8,11,5,0,2,1,0
"RepSewell","117758198297225_1354421697964196","Terri A. Sewell","2017-01-05","2017-01-05 21:32:50","Meet Hank. Hank is a life-long farmer who has been working on his family farm in Alabama for the majority of his 62 years. Back in 2015, his hands got stuck in a hay baler and he lost his right hand. Before the ACA, Hank's family hadn't had health coverage since the 1980s. His ACA policy ended up covering his entire hospital bill, which he says could have cost him his farm if he hadn't had insurance. Hank is just one of 213,000 Alabamians who have gained coverage under the ACA and millions more who have benefited.   As with any law, the ACA isn't perfect but rather than repealing the law, we need to work together to stabilize the market and increase access. Stories like Hank's remind us why our work to make health insurance affordable and accessible has never been more important. We do not want to go back to the day when millions of Americans were just one medical emergency away from financial ruin.   http://www.al.com/news/index.ssf/2015/10/slow_growth_higher_premiums_ex.html","link","http://www.al.com/news/index.ssf/2015/10/slow_growth_higher_premiums_ex.html","al.com",310,19,222,24,0,9,4,0
"RepSewell","117758198297225_1356037831135916","Terri A. Sewell","2017-01-06","2017-01-06 17:00:10","There is a lot of talk in Washington about the future of Medicaid. I want all Medicaid recipients and providers in my district and across Alabama to know how very seriously I take my responsibility to protect this program.  Today I want to introduce you to Dr. Martha Raulerson, an Alabama pediatrician. She knows how critical Medicaid is to Alabama's children, families, and overall economy. After serving as a school teacher for a decade, she enrolled in medical school at the age of 33 and later moved to Alabama to serve the children of rural south Alabama. She is committed to caring for the whole child by not only addressing their health needs but also giving them each a book to take home after each visit. She is truly inspiring.   We cannot play games with Medicaid. The cost is too high. As Dr. Raulerson has said, “Our children have only one childhood. We have only one chance to get it right.”   The Anniston Star named her the 2016 Alabamian of the Year so you can read more about her here: http://bit.ly/2iJIJMp  Also, check her out on twitter, where you can learn more about her patients. https://twitter.com/MarshaDRaulerso","photo","https://www.facebook.com/RepSewell/photos/a.128219443917767.24805.117758198297225/1355956911144008/?type=3",NA,85,0,33,11,0,0,0,0
"RepSewell","117758198297225_1361461900593509","Terri A. Sewell","2017-01-09","2017-01-09 15:31:21","@RepTerriSewell says remember this is tackle and not touch football @RepJeffDuncan I know last year is fresh on your mind #RollTide","photo","https://www.facebook.com/RepSewell/photos/a.128219443917767.24805.117758198297225/1361461900593509/?type=3",NA,13,3,0,3,1,0,0,0
"RepSewell","117758198297225_1361462550593444","Terri A. Sewell","2017-01-09","2017-01-09 15:32:27","@RepTerriSewell - It is almost time to suit up #RollTide and win that 17th Title. This is not for play @RepJeffDuncan #clemsonfootball","photo","https://www.facebook.com/RepSewell/photos/a.128219443917767.24805.117758198297225/1361462550593444/?type=3",NA,7,3,0,1,0,0,0,0
"RepSewell","117758198297225_1366557780083921","Terri A. Sewell","2017-01-12","2017-01-12 14:44:41","Last night, Senate Republicans voted to begin the process of repealing the ACA. A vote in the House on this same measure is expected this week which I will proudly oppose on behalf of the 213,000 Alabamians who have gained coverage under the Act. Republicans have had 7 years to produce a viable alternative to the ACA and have failed to do so. Instead of abruptly repealing the law without a replacement, we need to work together to increase access, stabilize the markets, and decrease costs.  Learn more about the impact of ACA repeal in Alabama here.   http://bit.ly/2hX0Cqg","link","http://bit.ly/2hX0Cqg","bit.ly",180,36,26,6,0,13,2,3
"RepSewell","117758198297225_1366792746727091","Terri A. Sewell","2017-01-12","2017-01-12 18:32:37","Today, I got a call from a young father in Livingston, Alabama who works as a truck driver. He heard on the radio that there are plans to repeal the Affordable Care Act with no replacement. He called my office immediately to find out if it was true. We were sad to tell him that yes, the Senate approved a measure last night to move forward with repeal that the House is scheduled to vote on tomorrow.   I also got a call from a mother in Birmingham today who has a  full-time job at the hospital. She was in tears. Her young son has cystic fibrosis, which is a preexisting condition. Her mother has thyroid issues. Both are at risk of losing the protections they've gained through the ACA. If the ACA is repealed and a viable replacement isn't immediately enacted, my constituent will have to leave her job to care for her uninsured mother and son.    I wish these stories weren't true.   The myth that recipients of the ACA and other government programs don't work as hard as the wealthy is tired. My congressional district is full of people who, like my constituents who have called today, work full-time jobs and rely on programs like the ACA for their health insurance.   We must stand up for these hard-working families.","status",NA,NA,517,64,303,16,0,3,111,77
"RepSewell","117758198297225_1367050986701267","Terri A. Sewell","2017-01-12","2017-01-12 23:07:40","I am honored that President Obama has signed an executive order establishing the Birmingham Civil Rights National Monument. Today, Birmingham takes its rightful place as the epicenter of the fight for civil rights in America.","photo","https://www.facebook.com/RepSewell/photos/a.128219443917767.24805.117758198297225/1367050986701267/?type=3",NA,154,13,49,28,1,0,0,0
"RepSewell","117758198297225_1367830163290016","Terri A. Sewell","2017-01-13","2017-01-13 15:13:10","Honored to have breakfast with the Birmingham NAACP Youth Council this morning! I am incredibly proud of these young people and I look forward to seeing the successes they are going to achieve in the coming years.","photo","https://www.facebook.com/RepSewell/photos/a.604918726247834.1073741843.117758198297225/1367818143291218/?type=3",NA,25,1,1,2,0,0,0,0
"RepSewell","117758198297225_1367992156607150","Terri A. Sewell","2017-01-13","2017-01-13 18:18:25","Today, I am opposing the House Republican's budget resolution, not only because it provides the process for ACA Repeal without a replacement, but because this resolution would add $9.5 trillion to the national debt over the next ten years. As a member who has worked across the aisle to fix what's wrong with the ACA and reduce costs for individuals in states that haven't expanded Medicaid, I believe repeal without replace is a disgrace.","video","https://www.facebook.com/RepSewell/videos/1367992156607150/",NA,523,72,176,68,1,0,7,2
