"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepSteveChabot","204705339555378_1796133337079229","Rep. Steve Chabot","2017-01-04","2017-01-04 16:12:18","With Kellyanne Conway at the Capitol today.  She was Donald J. Trump's campaign manager, and was recently appointed as Counselor to the President.  I've known her for nearly 30 years.","photo","https://www.facebook.com/RepSteveChabot/photos/a.228701227155789.78759.204705339555378/1796133337079229/?type=3",NA,187,23,6,13,1,0,0,8
"RepSteveChabot","204705339555378_1798707506821812","Rep. Steve Chabot","2017-01-05","2017-01-05 15:38:40","My birthday is only a few weeks away, so for #ThrowbackThursday, here's me sometime during my first year, in 1953.  I look pretty happy (and well fed!)  #TBT","photo","https://www.facebook.com/RepSteveChabot/photos/a.228701227155789.78759.204705339555378/1798707506821812/?type=3",NA,78,7,1,1,2,0,0,1
"RepSteveChabot","204705339555378_1811444638881432","Rep. Steve Chabot","2017-01-11","2017-01-11 15:41:18","It was good to see former Speaker Newt Gingrich in Washington this morning.","photo","https://www.facebook.com/RepSteveChabot/photos/a.228701227155789.78759.204705339555378/1811444638881432/?type=3",NA,78,6,2,3,0,0,0,1
"RepSteveChabot","204705339555378_1814591645233398","Rep. Steve Chabot","2017-01-12","2017-01-12 16:04:40","For #ThrowbackThursday, here's another oldie.  I was born in January, 1953, and this photo was taken sometime in 1954, so I'm oneish.  I'm the little guy in the darker outfit, and that's my older brother Ron watching out for me.  Our sister Carol would arrive in about 5 years, and our brother Dave about 4 years after that.  #TBT","photo","https://www.facebook.com/RepSteveChabot/photos/a.228701227155789.78759.204705339555378/1814591645233398/?type=3",NA,43,9,1,1,0,0,0,1
"RepSteveChabot","204705339555378_1824803850878844","Rep. Steve Chabot","2017-01-19","2017-01-19 15:46:39","My birthday is Sunday.  So for #ThrowbackThursday, here's a photo of my parents and me when I was about 3.  If you're wondering how old I'll be Sunday, I'll give you a hint (with an assist from the Beatles.)  ""Will you still need me, will you still feed me, when I'm.....?""  #TBT","photo","https://www.facebook.com/RepSteveChabot/photos/a.228701227155789.78759.204705339555378/1824803850878844/?type=3",NA,70,12,1,0,0,0,0,0
"RepSteveChabot","204705339555378_1827840933908469","Rep. Steve Chabot","2017-01-21","2017-01-21 20:49:20","Thought you might like to see a few photos I snapped at the Inauguration of President Donald J. Trump (presented in chronological order, from left to right, top to bottom).  First, the Capitol Building from my office window the night before.  Although the media would have you believe differently, many Democrats did attend the event.  In fact, I was sitting next to Democrat John Larson from Connecticut (with a beard) and fellow Republican Robert Aderholt from Alabama.  More Democrats at the event: President Carter and President and Secretary Clinton.  It was also good to see President George W. and Laura Bush.  And obviously, the outgoing Administration was present, beginning with Michelle Obama and Jill Biden, and followed by President Obama and Vice President Biden.   You could really feel the excitement of the crowd build as the inaugural procession began.  Here is Speaker of the House Paul Ryan, followed by Vice President Mike Pence.  And of course, the crowd erupted as President Trump appeared.    All in all, it was an exciting day in our nation's capital.  I thought President Trump delivered a unifying message in his address, pledging to fight for a nation and a federal government that works for all Americans.  He offered a vision of an America where everyone has an opportunity to share in its successes and no one is left behind.  I look forward to working with him and my colleagues on both sides of the aisle to achieve these bold, optimistic goals.","photo","https://www.facebook.com/RepSteveChabot/photos/a.228701227155789.78759.204705339555378/1827840933908469/?type=3",NA,211,35,19,10,0,0,0,2
"RepSteveChabot","204705339555378_1830666050292624","Rep. Steve Chabot","2017-01-23","2017-01-23 20:01:53","On our way back to Cincinnati from the Inauguration, my wife Donna and I stopped by my alma mater, the College of William & Mary in Williamsburg, Virginia.  While there, I took this selfie in front of the Sir Christopher Wren Building on campus.  Built between 1695 and 1700, the Wren Building is the oldest American college building still in use.  The design of the building has been attributed to famed English mathematician and architect,  Sir Christopher Wren, hence its name.  Wren is best known for rebuilding much of London after the great fire in 1666.  The most renowned structure Wren rebuilt during that period was St. Paul's Cathedral, to which Wren added a dome which was, in turn, the inspiration for the dome of the U.S. Capitol Building.    I also snapped this photo of a statue in Williamsburg of Thomas Jefferson drafting the Declaration of Independence.  The connection?  Jefferson lived in the Wren Building while a student at William & Mary.  Jefferson attended William & Mary a few years before I did.","photo","https://www.facebook.com/RepSteveChabot/photos/a.228701227155789.78759.204705339555378/1830666050292624/?type=3",NA,97,12,3,3,0,1,0,0
"RepSteveChabot","204705339555378_1832930806732815","Rep. Steve Chabot","2017-01-25","2017-01-25 03:23:24","As we approach the first weekend in months without meaningful football, I thought it would be fitting to look back at just how special this past high school football season was.  Here's a photo of Cincinnati's two state championship football teams -- St. Xavier High School in Division I and my alma mater Cincinnati La Salle High School in Division II.  What makes their championships so unique is that they not only share a league (the GCL South), but the two schools are located on the same road (North Bend Road), just down the street from each other.    The picture below shows each school's coach (Steve Specht at St. X, and Jim Hilvert at La Salle -- although Coach Hilvert recently accepted the head coaching position at Baldwin Wallace University in Berea, Ohio), surrounded by a number of players.   Again, congratulations to both schools, their coaches, players, students and all their supporters.  You've made all of us in Cincinnati proud.","photo","https://www.facebook.com/RepSteveChabot/photos/a.228701227155789.78759.204705339555378/1832930806732815/?type=3",NA,152,5,23,5,0,0,0,0
"RepSteveChabot","204705339555378_1833922823300280","Rep. Steve Chabot","2017-01-25","2017-01-25 18:05:44","With Ted Cruz, on the train trip from Washington to Philadelphia, to attend the Republican Senate/House retreat.","photo","https://www.facebook.com/RepSteveChabot/photos/a.228701227155789.78759.204705339555378/1833922823300280/?type=3",NA,171,32,4,3,1,0,0,6
"RepSteveChabot","204705339555378_1835231346502761","Rep. Steve Chabot","2017-01-26","2017-01-26 16:12:00","Like millions of Americans, I was saddened to learn of Mary Tyler Moore's passing yesterday.  She was not only a great actress, but also a tireless advocate for those suffering from type 1 diabetes.  In celebration of her life, I thought for #ThrowbackThursday I'd share a photo taken roughly 20 years ago.  She was in Washington on behalf of the JDRF, and we met to discuss the importance of diabetes research.  #TBT","photo","https://www.facebook.com/RepSteveChabot/photos/a.228701227155789.78759.204705339555378/1835231346502761/?type=3",NA,116,9,1,6,0,0,4,0
