"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepSteveScalise","50936151681_10154002718781682","Congressman Steve Scalise","2017-01-01","2017-01-01 03:34:59","Great Citrus Bowl win by LSU today! Proud we dominated the country's #1 defense.","video","https://www.facebook.com/lsufootball/videos/1513742671986420/",NA,36,1,0,3,0,0,0,0
"RepSteveScalise","50936151681_10154002902971682","Congressman Steve Scalise","2017-01-01","2017-01-01 04:45:38","Happy New Year! In 2017 we're turning the page, and I'm looking forward to working with President Donald Trump to Make America Great Again!","photo","https://www.facebook.com/RepSteveScalise/photos/a.491581691681.266740.50936151681/10154002902971682/?type=3",NA,102,13,4,3,0,0,0,1
"RepSteveScalise","50936151681_10154005169786682","Congressman Steve Scalise","2017-01-02","2017-01-02 01:33:16","Starting the new year off right! I'm helping Harrison put the finishing touches on his pinewood derby car!","photo","https://www.facebook.com/RepSteveScalise/photos/a.491581691681.266740.50936151681/10154005169786682/?type=3",NA,268,25,1,6,0,0,0,0
"RepSteveScalise","50936151681_10154009065171682","Congressman Steve Scalise","2017-01-03","2017-01-03 19:02:36","This is the oath we take today, the first day of the 115th Congress: to support and defend the Constitution against all enemies; foreign and domestic.  It is my honor to serve you. I'm going to do everything I can to work with President Donald Trump to restore the Constitution and undo the abuses of government power that have happened under President Obama.","photo","https://www.facebook.com/RepSteveScalise/photos/a.491581691681.266740.50936151681/10154009065171682/?type=3",NA,146,34,19,16,0,0,0,0
"RepSteveScalise","50936151681_10154011076396682","Congressman Steve Scalise","2017-01-04","2017-01-04 18:17:13","We have a message for President Obama: Health care decisions belong in the hands of patients and doctors - not bureaucrats. Ì†ºÌø•","video","https://www.facebook.com/RepSteveScalise/videos/10154011076396682/",NA,430,34,62,16,1,0,2,0
"RepSteveScalise","50936151681_10154011584271682","Congressman Steve Scalise","2017-01-04","2017-01-04 19:41:42","Obama made very specific promises to the American people about Obamacare. Then millions of Americans lost the good healthcare plans that they liked and expected to keep, but are not able to, because of the broken promises of his law.","video","https://www.facebook.com/RepSteveScalise/videos/10154011584271682/",NA,161,41,40,9,0,0,1,8
"RepSteveScalise","50936151681_10154014160886682","Congressman Steve Scalise","2017-01-05","2017-01-05 19:47:27","We're going to work hard EVERY DAY not just to repeal Obamacare, but to replace it with a system that put patients back in charge of their health care decisions, that focus on lowering costs and increasing access to health care and brings doctors back into the practice of medicine.","video","https://www.facebook.com/RepSteveScalise/videos/10154014160886682/",NA,124,15,9,7,0,0,0,2
"RepSteveScalise","50936151681_10154014744171682","Congressman Steve Scalise","2017-01-06","2017-01-06 01:27:48","We took two important actions tonight to support our ally Israel and to stop Barack Obama from abusing his executive powers. I'm looking forward to a few weeks from now, when we'll have a President who cares about bringing jobs back to America and treats our allies with respect.","video","https://www.facebook.com/RepSteveScalise/videos/10154014744171682/",NA,191,28,22,8,0,0,0,0
"RepSteveScalise","50936151681_10154015911436682","Congressman Steve Scalise","2017-01-06","2017-01-06 14:07:48",NA,"video","https://www.facebook.com/RepSteveScalise/videos/10154015911436682/",NA,57,10,7,5,0,0,0,0
"RepSteveScalise","50936151681_10154017382726682","Congressman Steve Scalise","2017-01-07","2017-01-07 04:07:51","Harrison had the big weigh-in of the ""Trump Mobile"" tonight before the pinewood derby tomorrow!","photo","https://www.facebook.com/RepSteveScalise/photos/a.491581691681.266740.50936151681/10154017382726682/?type=3",NA,66,10,1,1,0,1,0,3
