"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepTedBudd","1227711660639550_1227716810639035","Congressman Ted Budd","2017-01-06","2017-01-06 00:02:21",NA,"photo","https://www.facebook.com/RepTedBudd/photos/a.1227716140639102.1073741825.1227711660639550/1227716810639035/?type=3",NA,18,4,0,1,0,0,0,1
"RepTedBudd","1227711660639550_1227750883968961","Congressman Ted Budd","2017-01-06","2017-01-06 01:17:10",NA,"photo","https://www.facebook.com/RepTedBudd/photos/a.1227750857302297.1073741827.1227711660639550/1227750747302308/?type=3",NA,8,0,0,0,0,0,0,0
"RepTedBudd","1227711660639550_1227751137302269","Congressman Ted Budd","2017-01-06","2017-01-06 01:17:56","What an honor to be sworn in this week surrounded by my family. I will never forget the people who sent me here.","photo","https://www.facebook.com/RepTedBudd/photos/a.1227751333968916.1073741828.1227711660639550/1227751137302269/?type=3",NA,45,1,6,2,0,0,0,0
"RepTedBudd","1227711660639550_1228177237259659","Congressman Ted Budd","2017-01-06","2017-01-06 16:21:38","Looking forward to serving on the House Committee on Financial Services. Together we will work to roll back restrictive regulations that strangle job creation.","link","https://budd.house.gov/media/press-releases/newly-elected-congressman-ted-budd-assigned-financial-services-committee","budd.house.gov",19,2,0,0,0,0,0,0
"RepTedBudd","1227711660639550_1228184750592241","Congressman Ted Budd","2017-01-07","2017-01-07 15:30:00","I’m blessed to have shared this important week with family and friends. #115Congress","photo","https://www.facebook.com/RepTedBudd/photos/a.1227751333968916.1073741828.1227711660639550/1228183777259005/?type=3",NA,12,1,0,1,0,0,0,0
"RepTedBudd","1227711660639550_1228223943921655","Congressman Ted Budd","2017-01-06","2017-01-06 19:30:00","Proud to have voted to protect and strengthen our important friendship with #Israel.","photo","https://www.facebook.com/RepTedBudd/photos/a.1227751333968916.1073741828.1227711660639550/1228223943921655/?type=3",NA,23,1,0,3,0,0,0,0
"RepTedBudd","1227711660639550_1230560890354627","Congressman Ted Budd","2017-01-09","2017-01-09 20:40:34","Thank you to all the brave men and women who put their lives on the line to keep our communities safe! #LawEnforcementAppreciationDay","status",NA,NA,22,1,0,0,0,0,0,0
"RepTedBudd","1227711660639550_1230772430333473","Congressman Ted Budd","2017-01-10","2017-01-10 02:43:54","Roy Cooper hasn't even been in office a month and is already trying to expand Obamacare. Share this post if you think it's time for repeal.","link","http://m.salisburypost.com/2017/01/09/hudson-nc-republicans-congress-join-fight-medicaid-expansion/","m.salisburypost.com",25,11,5,0,0,0,0,0
"RepTedBudd","1227711660639550_1231238736953509","Congressman Ted Budd","2017-01-10","2017-01-10 17:53:44","Having a lot of fun calling folks who won tickets to the Inauguration. Only 10 days away!","photo","https://www.facebook.com/RepTedBudd/photos/a.1227751333968916.1073741828.1227711660639550/1231238736953509/?type=3",NA,33,1,0,0,0,0,0,0
"RepTedBudd","1227711660639550_1232912123452837","Congressman Ted Budd","2017-01-12","2017-01-12 14:41:10","I am already fighting for your 2nd Amendment rights. Thank you for the privilege!","link","http://www.hpenews.com/news/new-congressman-back-concealed-carry-bill/article_6e803e82-d849-11e6-8648-8bbaaaf011a4.html","hpenews.com",31,4,2,0,0,0,1,0
