"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepTedLieu","323554884507838_568943696635621","Rep. Ted Lieu","2017-01-04","2017-01-04 15:53:45","@HouseGOP wants to dismantle #ACA & destroy Medicare, Medicaid and Social Security. Millions will be impacted. #MakeAmericaSickAgain","photo","https://www.facebook.com/RepTedLieu/photos/a.331269367069723.1073741830.323554884507838/568942949969029/?type=3",NA,54,16,8,0,0,0,8,21
"RepTedLieu","323554884507838_569391396590851","Rep. Ted Lieu","2017-01-05","2017-01-05 16:12:51","I strongly support the two-state solution because it is the only way for Israel to have peace and remain both Democratic and Jewish. Supporting a two-state solution has been a bipartisan, long-standing tenet of American foreign policy.  Unfortunately, Trump, who lost the popular vote, has nominated David Friedman as Ambassador to Israel – a person who rejects a two-state solution. I cannot in good conscience support Mr. Friedman and urge the United States Senate to not confirm him.  https://lieu.house.gov/media-center/press-releases/rep-lieu-statement-president-elect-trump-s-selection-david-friedman-us","status",NA,NA,249,28,10,11,0,0,2,6
"RepTedLieu","323554884507838_569460833250574","Rep. Ted Lieu","2017-01-05","2017-01-05 18:59:02","I applaud VA Secretary McDonald’s announcement today of a concerted 30-day push to house homeless Veterans from coast to coast.  As a Veteran, I believe that no woman or man who has served their nation in uniform should have to fight for a roof over their head when their service is done.   My full statement here: https://lieu.house.gov/media-center/press-releases/rep-lieu-statement-dept-veterans-affairs-push-house-homeless-veteran  https://www.va.gov/opa/pressrel/pressrelease.cfm?id=2851","link","https://www.va.gov/opa/pressrel/pressrelease.cfm?id=2851","va.gov",92,7,8,8,0,1,0,0
"RepTedLieu","323554884507838_571065636423427","Rep. Ted Lieu","2017-01-09","2017-01-09 16:21:45","Attention all CA33 students! Are you interested in attending one of our country's prestigious military service academies? Join us for the 2nd Annual Bi-Partisan, Multi-District Service Academy day to learn more!   We invite you to listen to speakers from the U.S. Air Force Academy, the U.S. Military Academy, the U.S. Naval Academy, the U.S. Coast Guard Academy, and the U.S. Merchant Marine Academy.   More information on the process can be found here: http://bit.ly/1OhNTnh  Because of the restricted access to the base, those who are interested in attending will need to RSVP no later than January 27, 2017. RSVP here: http://ca33serviceacademyday.app.rsvpify.com/","photo","https://www.facebook.com/RepTedLieu/photos/a.331269367069723.1073741830.323554884507838/571065636423427/?type=3",NA,12,8,3,0,0,1,0,0
"RepTedLieu","323554884507838_571160359747288","Rep. Ted Lieu","2017-01-09","2017-01-09 21:30:38","ICYMI: Last week, I sent a letter to Federal Aviation Administration (FAA) Administrator Michael Huerta urging him to withdraw a recent cease and desist order regarding Santa Monica Airport. FAA issued the order after the City of Santa Monica began taking steps to establish its own fixed-base operator service. You can read more about my letter here: https://lieu.house.gov/media-center/press-releases/congressman-lieu-sends-letter-faa-administrator-huerta-cease-and-desist","link","https://lieu.house.gov/media-center/press-releases/congressman-lieu-sends-letter-faa-administrator-huerta-cease-and-desist","lieu.house.gov",16,1,0,0,0,0,0,0
"RepTedLieu","323554884507838_571562276373763","Rep. Ted Lieu","2017-01-10","2017-01-10 18:57:46","I am truly honored to announce today my appointment as an Assistant Whip for the House Democratic Caucus in the 115th Congress! As some of you may recall, I served as the President of the Freshman Class of Democrats in the 114th Congress.  I look forward to working with Democratic Whip Steny Hoyer, House Democratic Leader Nancy Pelosi, and my fellow House Democrats to push back against any and all attempts by House Republicans to enact special-interest-driven plans to repeal Obamacare, slash Social Security and Medicare, gut environmental regulations, and undermine our civil liberties.  My fellow Democrats and I will be working on innovative policy solutions that protect and expand the wellness, economic prosperity, and freedom of each and every member of the American Family. http://bit.ly/2jA78ph","link","http://bit.ly/2jA78ph","bit.ly",765,84,29,69,0,8,0,0
"RepTedLieu","323554884507838_571890723007585","Rep. Ted Lieu","2017-01-11","2017-01-11 15:06:01","I am honored by the opportunity to serve on the House Judiciary Committee. As a former prosecutor, one of only a handful of immigrants serving in Congress, and the only Democrat with a computer science degree, I hope I can bring a unique perspective to the committee charged with overseeing our nation’s administration of law and justice. The Judiciary Committee was my first choice because of the numerous critical issues over which the Committee has jurisdiction, such as immigration, civil liberties, criminal justice reform, privacy, and encryption.   The Judiciary Committee takes on exceptional importance given the prior statements of Trump--who lost the popular vote--in which he advocated for a Muslim-American registry as well as the deportation of millions of people, which would include children, high school, and college students who are undocumented. I will fight like hell on the Judiciary Committee to stop all unconstitutional, discriminatory and stupid ideas by our next President. http://bit.ly/2ig2mIj","link","http://bit.ly/2ig2mIj","bit.ly",261,18,12,23,0,0,0,0
"RepTedLieu","323554884507838_571920329671291","Rep. Ted Lieu","2017-01-11","2017-01-11 16:36:07","My statement on the confirmation hearing of Rex Tillerson as our next Secretary of State is short and concise: http://bit.ly/2iGo49e #RexTillersonKnew #ExxonKnew #ActOnClimate #RejectRex","link","http://bit.ly/2iGo49e","bit.ly",172,19,19,12,4,1,0,1
"RepTedLieu","323554884507838_572345032962154","Rep. Ted Lieu","2017-01-12","2017-01-12 14:37:25","I have now read the highly classified intelligence report on Assessing Russian Activities and Intentions in Recent U.S. Elections. I analyzed the report from my perspective as a computer science major and as a Member of the National Security Subcommittee of the House Oversight & Government Reform Committee.  Here is my reaction: there is clear and convincing evidence to support the conclusions of the intelligence community as set forth in the unclassified version of the report. Russian hacking of Americans and American political organizations during the 2016 U.S. presidential election was multifaceted and brazen, with the goals of undermining faith in the U.S. democratic process and harming Secretary Clinton's electability. Putin and the Russian government developed a clear preference for Trump.  I believe Trump is actively misleading Americans when he says the Russians did not attempt to help his election chances and denigrate Secretary Clinton’s electability. Cyber espionage against American political organizations and cyber intrusions into our electoral boards are not partisan issues, they are American issues. I call on every Member of Congress who has been briefed on or read the classified report to tell Trump that he needs to tell the truth to the American people. At stake is not just our national security, but the very fabric of our democracy.","link","http://bit.ly/2io9TIf","bit.ly",2822,245,3491,112,5,74,116,95
"RepTedLieu","323554884507838_572437146286276","Rep. Ted Lieu","2017-01-12","2017-01-12 19:19:48","ICYMI: Read my Thehill.com op-ed with Lookout CEO Jim Dolce on why Congress and the next administration needs to do more to address the issues of mobile security and the consequences of not doing so.","link","http://thehill.com/opinion/op-ed/313639-lieu-and-dolce-cyber-war-has-a-new-weapon-your-smartphone","thehill.com",25,2,6,2,0,2,0,0
