"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepThomasMassie","452480994776070_1477396262284533","Congressman Thomas Massie","2017-02-01","2017-02-01 01:05:33","I am hopeful that President Trump’s nominee, Judge Neil Gorsuch, will truly follow in the footsteps of Justice Antonin Scalia.  Judge Gorsuch has a stellar record from his time serving on the U.S. Court of Appeals for the Tenth Circuit.  I hope he will uphold the Constitution in its entirety, and that he will use originalist principles and judicial restraint when deciding cases.  In the words of Justice Scalia, “the Constitution is not a living organism.  It’s a legal document, and it says what it says and doesn’t say what it doesn’t say.”   I urge the Senate to give President Trump’s nominee a fair and swift confirmation process.  #SCOTUS","photo","https://www.facebook.com/RepThomasMassie/photos/a.536112449746257.122574.452480994776070/1477396262284533/?type=3",NA,1263,71,94,87,1,0,3,10
"RepThomasMassie","452480994776070_1478260858864740","Congressman Thomas Massie","2017-02-01","2017-02-01 21:28:13","Today I spoke in favor of using the Congressional Review Act to roll back President Obama's last minute effort to deprive certain Social Security recipients of their right to purchase firearms. Tomorrow we will vote on House Joint Resolution 40 (H.J.Res 40) to undo the prior President's rule.   #2A #RTKBA #CRA #H2ACaucus","video","https://www.youtube.com/watch?v=UnDagtsRxfA&feature=youtu.be",NA,1285,114,244,93,0,6,0,5
"RepThomasMassie","452480994776070_1478509942173165","Congressman Thomas Massie","2017-02-02","2017-02-02 03:51:40","I was on air with Tom Roten of NewsRadio 800 WVHU Thursday morning at 8:04 a.m.  Thanks for tuning in: http://www.iheart.com/live/news-talk-800-wvhu-2629/","photo","https://www.facebook.com/RepThomasMassie/photos/a.536112449746257.122574.452480994776070/1478509942173165/?type=3",NA,60,19,1,1,0,2,0,0
"RepThomasMassie","452480994776070_1480020485355444","Congressman Thomas Massie","2017-02-03","2017-02-03 16:13:53","Today I voted to overturn an overreaching rule promulgated by the Bureau of Land Management (BLM) that limits methane emissions on federal lands. The #BLM should not have the power to make law, nor should they become another branch of the #EPA.","photo","https://www.facebook.com/RepThomasMassie/photos/a.536112449746257.122574.452480994776070/1480020485355444/?type=3",NA,1081,104,137,85,0,4,2,24
"RepThomasMassie","452480994776070_1480209415336551","Congressman Thomas Massie","2017-02-03","2017-02-03 20:55:20","I met with Kentucky Agriculture Commissioner Ryan Quarles to talk about what the federal government could do to improve opportunities for all Kentucky farmers. We also discussed what¹s happening at the local level to benefit the agriculture industry. Commissioner Quarles expects expanded opportunities for growers of various crops, including wheat and kenaf.   We also discussed the progress Kentucky has made on hemp pilot projects. I introduced an amendment to the 2013 Farm Bill that allows colleges, universities and state departments of agriculture to grow and cultivate industrial hemp for academic and agricultural research purposes in states where it is already legal. Since then, numerous pilot projects have successfully launched throughout Kentucky. Up to 12,800 acres of hemp are scheduled to be planted in Kentucky this year.","photo","https://www.facebook.com/RepThomasMassie/photos/a.536112449746257.122574.452480994776070/1480209415336551/?type=3",NA,242,46,13,14,0,1,0,2
"RepThomasMassie","452480994776070_1480298791994280","Congressman Thomas Massie","2017-02-04","2017-02-04 01:30:00","When the bill is only one sentence long and the reporter asks what you want to do...   ""The Environmental Protection Agency shall terminate on December 31, 2018.""","link","http://www.courier-journal.com/story/tech/science/environment/2017/02/03/report-rep-thomas-massie-joins-effort-end-epa/97449504/","courier-journal.com",3789,526,1237,550,276,21,18,94
"RepThomasMassie","452480994776070_1483136135043879","Congressman Thomas Massie","2017-02-06","2017-02-06 22:15:51","Currently, the REAL ID Act is an unfunded mandate that threatens personal privacy and violates state sovereignty. The federal government should not force states to issue what amounts to a national ID card. The REAL ID Act effectively creates a centralized and vulnerable database of Americans’ personal information.   That’s why I co-sponsored Congressman Mark Sanford’s bipartisan REAL ID Privacy Protection Act to reform REAL ID.  This bill reforms the REAL ID act in four key ways: 1) eliminate the requirement for source document archiving; 2) eliminate the state DMV database inter-accessibility requirement; 3) grant a uniform extension for all non-compliant states to October 10, 2017; and 4) require the Department of Homeland Security to issue a report to Congress, detailing all aspects of complying with the law and each state’s compliance status for each item. #REALID  More info: https://sanford.house.gov/media-center/press-releases/sanford-proposes-reforms-to-real-id","status",NA,NA,836,101,244,37,1,3,3,15
"RepThomasMassie","452480994776070_1483742638316562","Congressman Thomas Massie","2017-02-07","2017-02-07 12:06:32","Meet the free traders who don't like global government.  Bilateral trade agreements are a wonderful thing.  Global government, not so much.","link","http://reason.com/archives/2017/02/07/meet-the-free-traders-who-dont","reason.com",437,31,67,24,1,0,0,3
"RepThomasMassie","452480994776070_1483967511627408","Congressman Thomas Massie","2017-02-07","2017-02-07 17:10:42","Just in:   Rep. Massie Introduces Bill to Abolish Federal Department of Education   WASHINGTON, D.C. – Today, Representative Thomas Massie introduced H.R. 899, a bill to abolish the federal Department of Education. The bill, which is one sentence long, states, “The Department of Education shall terminate on December 31, 2018.”   On the day of Betsy DeVos’ scheduled Senate confirmation for Secretary of Education, Massie said, “Neither Congress nor the President, through his appointees, has the constitutional authority to dictate how and what our children must learn.""  Massie added, ""Unelected bureaucrats in Washington, D.C. should not be in charge of our children’s intellectual and moral development. States and local communities are best positioned to shape curricula that meet the needs of their students. Schools should be accountable. Parents have the right to choose the most appropriate educational opportunity for their children, including home school, public school, or private school.""  “For years, I have advocated returning education policy to where it belongs - the state and local level,” said Rep. Walter Jones, an original co-sponsor.  “D.C. bureaucrats cannot begin to understand the needs of schools and its students on an individual basis. It is time that we get the feds out of the classroom, and terminate the Department of Education.”  The Department of Education began operating in 1980. On September 24, 1981 in his Address to the Nation on the Program for Economic Recovery, President Ronald Reagan said, “As a third step, we propose to dismantle two Cabinet Departments, Energy and Education. Both Secretaries are wholly in accord with this. Some of the activities in both of these departments will, of course, be continued either independently or in other areas of government. There's only one way to shrink the size and cost of big government, and that is by eliminating agencies that are not needed and are getting in the way of a solution. Now, we don't need an Energy Department to solve our basic energy problem. As long as we let the forces of the marketplace work without undue interference, the ingenuity of consumers, business, producers, and inventors will do that for us. Similarly, education is the principal responsibility of local school systems, teachers, parents, citizen boards, and State governments. By eliminating the Department of Education less than 2 years after it was created, we cannot only reduce the budget but ensure that local needs and preferences, rather than the wishes of Washington, determine the education of our children.”  Original co-sponsors include Congressman Justin Amash (R-MI),  Congressman Andy Biggs (R-AZ), Congressman Jason Chaffetz (R-UT), Congressman Matt Gaetz (R-FL), Congressman Jody Hice (R-GA), Congressman Walter Jones (R-NC), and Rep. Raúl R. Labrador (R-ID).   #EndFedEd","photo","https://www.facebook.com/RepThomasMassie/photos/a.536112449746257.122574.452480994776070/1483967511627408/?type=3",NA,4849,1371,5903,1066,17,46,11,319
"RepThomasMassie","452480994776070_1486009651423194","Congressman Thomas Massie","2017-02-09","2017-02-09 22:51:27","Here's a two minute explanation of my one sentence bill to eliminate the U.S. Department of Education #EndFedEd","link","http://www.theblaze.com/video/bill-introduced-to-terminate-the-department-of-education-bringing-funding-back-to-the-states/","theblaze.com",2337,234,853,327,15,10,5,53
"RepThomasMassie","452480994776070_1486833878007438","Congressman Thomas Massie","2017-02-10","2017-02-10 21:52:20","Today I spoke to and took questions from board members of the Home Builders Association in Covington, Kentucky.   The mission of the Home Builders Association is to promote and enhance the integrity and visibility of the construction industry and the members of the organization.  We discussed the Army Corps of Engineers, #EPA regulations, the bill I have cosponsored to abolish the EPA, and more. The future is brighter in D.C.  Thank you to everyone who attended!","photo","https://www.facebook.com/RepThomasMassie/photos/a.1486833748007451.1073742174.452480994776070/1486833878007438/?type=3",NA,101,23,4,3,0,0,0,0
"RepThomasMassie","452480994776070_1487407847950041","Congressman Thomas Massie","2017-02-11","2017-02-11 13:47:43","What would Ronald Reagan do?  He would sign my bill to terminate the Department of Education.  Hopefully Trump will too. #WWRRD #EndFedEd  #MEGA","link","http://www.investors.com/politics/commentary/by-getting-rid-of-education-department-trump-can-fulfill-reagans-wish/","investors.com",1751,152,282,166,2,3,0,39
"RepThomasMassie","452480994776070_1488442164513276","Congressman Thomas Massie","2017-02-12","2017-02-12 17:16:23","How about we let the folks who know the kids' names decide how to teach them, instead of unelected bureaucrats in DC? My one sentence bill would terminate the federal department of education and free our children's intellectual and moral development from the mandates of Washington DC.  #EndFedEd","link","https://www.conservativereview.com/commentary/2017/02/hours-before-devos-confirmation-rep-massie-dropped-a-bill-to-get-rid-of-her-job-forever","conservativereview.com",3688,238,964,451,30,8,2,13
"RepThomasMassie","452480994776070_1489428187748007","Congressman Thomas Massie","2017-02-13","2017-02-13 20:44:43","Tune in to Kennedy on Fox Business tonight starting at 8pm eastern for a liberty double header! Opening act Senator Rand Paul warms up the crowd before I go on to talk about my one-sentence bill to terminate the Department of Education.   Tune in tonight at 8pm!","photo","https://www.facebook.com/RepThomasMassie/photos/a.536112449746257.122574.452480994776070/1489428187748007/?type=3",NA,597,56,120,55,4,2,0,3
"RepThomasMassie","452480994776070_1490023557688470","Congressman Thomas Massie","2017-02-14","2017-02-14 14:21:12","""The Department of Education shall terminate on December 31, 2018.""  Kennedy and I talk about my ten-word bill to abolish the U.S. Department of Education and #EndFedEd  WATCH:","video","https://www.youtube.com/watch?v=1nwa9fNxV-o",NA,1235,127,331,195,4,3,2,27
"RepThomasMassie","452480994776070_1491200500904109","Congressman Thomas Massie","2017-02-15","2017-02-15 20:59:25","""I don’t seek to reduce educational spending. I’d like to see federal control of that 10 percent go back to the states so that 4,500 Washington bureaucrats aren’t controlling the entire curriculum back in our schools in Kentucky.""","link","http://www.breitbart.com/big-government/2017/02/14/exclusive-ky-rep-massie-bill-abolish-education-department-president-white-house-conceivably-sign/","breitbart.com",1796,149,265,157,2,2,1,20
