"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepToddRokita","183180288372896_1448948918462687","Representative Todd Rokita","2017-01-01","2017-01-01 20:54:39","Happy New Year!  Starting this month, a new Congress and President will begin the work of making America great again. This is our chance to address the nation's fiscal future, rollback federal red tape, and help Americans build better lives for themselves and their families.  I'm excited for 2017 and the new opportunities it will bring with unified government.","photo","https://www.facebook.com/RepToddRokita/photos/a.183949434962648.44584.183180288372896/1448948918462687/?type=3",NA,24,6,5,2,0,0,0,0
"RepToddRokita","183180288372896_1449931235031122","Representative Todd Rokita","2017-01-02","2017-01-02 22:34:16","Congratulations to Allen County Auditor Tera Klutz on being named our next state auditor.  Governor-elect Holcomb announced the selection today.  Klutz is the first certified public accountant to serve as Indiana’s auditor and she will succeed Lt. Governor-elect Suzanne Crouch.","link","http://www.indystar.com/story/news/politics/2017/01/02/indiana-governor-elect-eric-holcomb-taps-tera-klutz-state-auditor/96084556/","indystar.com",13,0,0,2,0,0,0,0
"RepToddRokita","183180288372896_1450923744931871","Representative Todd Rokita","2017-01-03","2017-01-03 23:57:37","Opening Day for the 115th Congress.  My office was happy to host Hoosiers and friends throughout the day.","photo","https://www.facebook.com/RepToddRokita/photos/a.556239444400310.127014.183180288372896/1450923598265219/?type=3",NA,48,1,2,1,0,0,0,0
"RepToddRokita","183180288372896_1452310391459873","Representative Todd Rokita","2017-01-05","2017-01-05 14:35:13","Republican Study Committee reintroduced the American Health Care Reform Act.  This legislation is a real alternative that would fully repeal and replace ObamaCare with a patient-centered free-market solution.  I served on the RSC task force that wrote this bill last Congress.  Learn more about our proposal at the link.","link","http://rsc.walker.house.gov/#AHCRA","rsc.walker.house.gov",34,10,16,4,0,0,0,0
"RepToddRokita","183180288372896_1452626168094962","Representative Todd Rokita","2017-01-05","2017-01-05 22:34:31","By nominating Indiana’s own Senator Dan Coats to serve as Director of National Intelligence, President-elect Donald Trump has shown Americans that he is serious about keeping our country safe during this dangerous time.  Dan Coats has the knowledge and experience necessary for the job, and will ensure that our national intelligence community is run with Hoosier common-sense.  I am very proud to be a fellow Hoosier today.","status",NA,NA,119,14,9,6,2,0,1,0
"RepToddRokita","183180288372896_1453442108013368","Representative Todd Rokita","2017-01-06","2017-01-06 21:05:47","This week’s House Budget Committee GOP digest provides information on how ObamaCare has failed individuals and families.  House Republicans have a plan, learn more about the Better Way proposals at http://abetterway.speaker.gov/.","link","http://bit.ly/2hR5JVV","bit.ly",18,15,0,0,0,0,0,3
"RepToddRokita","183180288372896_1455950774429168","Representative Todd Rokita","2017-01-09","2017-01-09 23:22:21","Today is National Law Enforcement Appreciation Day.  Blue lights will be on display throughout our nation in support of our law enforcement men and women, including at my Washington DC office.    #LEAD","photo","https://www.facebook.com/RepToddRokita/photos/a.183949434962648.44584.183180288372896/1455950774429168/?type=3",NA,24,2,4,1,0,0,0,0
"RepToddRokita","183180288372896_1456744454349800","Representative Todd Rokita","2017-01-10","2017-01-10 23:30:53","Obamacare proved once again that doubling down on federal government-run healthcare will not solve the healthcare problems we face.  That is why we will never strengthen and sustain Medicaid as long as the federal government oversees the program and dictates coverage.  As a solution, I have reintroduced the State Health Flexibility Act, which reforms Medicaid by block-granting the federal share of Medicaid funding.   This proposal originates from a Republican Study Committee initiative and has been 28 cosponsors.  Vice President-elect Mike Pence has recently voiced his own support block grants.","link","http://rokita.house.gov/press-release/rokita-bill-empowers-states-eliminates-federal-medicaid-waste-and-abuse","rokita.house.gov",36,7,6,0,0,0,0,1
"RepToddRokita","183180288372896_1457705137587065","Representative Todd Rokita","2017-01-11","2017-01-11 23:54:54","The House just passed H.R. 5, the Regulatory Accountability Act.  I am cosponsor of this bill because it fights back against judicial deference and insufficiently checked-and-balanced federal regulations.   The bill contains six titles: • Title I: Regulatory Accountability Act - Requires agencies choose the most affordable rulemaking alternative that meets statutory objections, calls for greater public input, and better vetting of critical information used to make regulations. • Title II: Separation of Powers Act - Repeals the Chevron Deference doctrine that forces courts to defer to the regulatory and statutory interpretations of bureaucrats. • Title III: Small Business Regulatory Flexibility Improvement Act - Agencies must account for the direct, indirect, and cumulative impact of new regulations on small business and find flexible ways to reduce the negative impacts. • Title IV: REVIEW Act - Prohibits new billion-dollar rules from taking effect until courts can review and resolve all timely-filed litigation. • Title V: ALERT Act - Requires agencies to publish online, timely information about regulations in development that include their expected nature, costs, and timing. • Title VI: Providing Accountability Through Act - To encourage public understanding, new proposed rules must include plain-language online summaries.","status",NA,NA,18,6,3,0,0,0,1,2
"RepToddRokita","183180288372896_1459812997376279","Representative Todd Rokita","2017-01-13","2017-01-13 21:17:26","The House passed the ObamaCare Repeal Budget Resolution.  This bill allows the use of the filibuster-proof reconciliation process to repeal ObamaCare with a simple yes or no vote.  As Vice-Chair of the House Budget Committee, the repeal of ObamaCare is one of my greatest priorities.  Under ObamaCare premiums have gone up while the choices that Americans have has gone down.","photo","https://www.facebook.com/RepToddRokita/photos/a.183949434962648.44584.183180288372896/1459812997376279/?type=3",NA,43,32,2,4,0,0,4,3
"RepToddRokita","183180288372896_1461636063860639","Representative Todd Rokita","2017-01-15","2017-01-15 20:01:11","Looks like Ryan is a future airport planner.  Hoosiers know that our airports are continuing to grow and expand.  I have recently helped secure grants for the benefit of local airports including the Indianapolis Airport Authority and Crawfordsville Municipal Airport.","photo","https://www.facebook.com/RepToddRokita/photos/a.183949434962648.44584.183180288372896/1461636063860639/?type=3",NA,38,2,1,2,0,0,0,0
"RepToddRokita","183180288372896_1462353957122183","Representative Todd Rokita","2017-01-16","2017-01-16 15:01:38","I deeply respect and admire the work and leadership of Dr. Martin Luther King, Jr.  His life was dedicated to peacefully championing civil rights with optimism, kindness, love, and a strong belief in Christ.  He pushed our nation to recognize that we are ""one Nation under God, indivisible, with liberty and justice for all.""","photo","https://www.facebook.com/RepToddRokita/photos/a.183949434962648.44584.183180288372896/1462353957122183/?type=3",NA,18,5,1,1,0,0,0,0
"RepToddRokita","183180288372896_1463457543678491","Representative Todd Rokita","2017-01-17","2017-01-17 20:05:01","I remain committed to ending our nation’s opioid epidemic.  The 21st Century Cures Act which was  recently signed into law provides $1 billion in grants to states to address this crisis.  I also recognize the need to change the nation’s drug culture, instead of relying solely on a legislative solution.","link","http://www.wibc.com/news/national/rokita-we-are-battling-drug-culture-cant-be-fixed-just-money","wibc.com",31,8,4,3,0,0,0,0
"RepToddRokita","183180288372896_1464483696909209","Representative Todd Rokita","2017-01-18","2017-01-18 21:42:31","Spoke to Professor Chris Kulesza’s class at Purdue University today.  I gave students an overview of the budgetary challenges that I face as Vice-Chair of the House Budget Committee.  Two thirds of our federal spending is on auto-pilot entitlement programs and not subject to annual review in the Congressional appropriations process.","photo","https://www.facebook.com/RepToddRokita/photos/a.183949434962648.44584.183180288372896/1464483696909209/?type=3",NA,21,8,2,1,2,0,0,0
"RepToddRokita","183180288372896_1464581413566104","Representative Todd Rokita","2017-01-18","2017-01-18 23:42:06","This is a significant victory for students, parents, and school leaders across the country. The department’s regulatory scheme would have violated the law and unleashed serious harm on some of our nation’s poorest schools and communities. While this is encouraging news, we should never have faced the threat of this misguided regulatory proposal. We look forward to working closely with the new administration to ensure recent K-12 education reforms are implemented in a manner that respects the letter and intent of the law.","link","http://edworkforce.house.gov/news/documentsingle.aspx?DocumentID=401192","edworkforce.house.gov",15,2,4,2,0,0,0,0
"RepToddRokita","183180288372896_1465497970141115","Representative Todd Rokita","2017-01-19","2017-01-19 22:55:20","Inauguration is an exciting time in Washington DC.  I am ready to work with Donald Trump to Make America Great Again!","photo","https://www.facebook.com/RepToddRokita/photos/a.183949434962648.44584.183180288372896/1465497760141136/?type=3",NA,136,15,5,8,1,0,3,1
"RepToddRokita","183180288372896_1466149343409311","Representative Todd Rokita","2017-01-20","2017-01-20 18:34:09","Starting today, the American people control their government.  This comes after eight years of enduring a president who actually divided America, I am looking forward to working with a leader who can unify the country by reminding us of our American Exceptionalism and helping us reclaim our rightful place in the world. I look forward to finally having partners in Donald Trump and Mike Pence to help me rein in the federal government so that Americans can build better lives for themselves and their families.","photo","https://www.facebook.com/RepToddRokita/photos/a.556239444400310.127014.183180288372896/1466149246742654/?type=3",NA,379,48,13,22,6,0,4,15
"RepToddRokita","183180288372896_1467092586648320","Representative Todd Rokita","2017-01-21","2017-01-21 17:13:52","It is the American people who control our government. Ours is a government of the people, for the people, and by the people.","photo","https://www.facebook.com/RepToddRokita/photos/a.183949434962648.44584.183180288372896/1467092586648320/?type=3",NA,50,10,4,12,0,0,0,0
"RepToddRokita","183180288372896_1467100183314227","Representative Todd Rokita","2017-01-21","2017-01-21 21:32:00","We are one Nation under God, indivisible, with liberty and justice for all.","photo","https://www.facebook.com/RepToddRokita/photos/a.183949434962648.44584.183180288372896/1467100183314227/?type=3",NA,40,4,9,8,0,0,0,0
"RepToddRokita","183180288372896_1468209529869959","Representative Todd Rokita","2017-01-22","2017-01-22 17:40:34","I will be discussing the Presidential Inauguration and the GOP agenda on America’s News HQ with Eric Shawn on FOXNews at 12:45.","status",NA,NA,16,3,3,3,0,0,0,0
"RepToddRokita","183180288372896_1469796839711228","Representative Todd Rokita","2017-01-23","2017-01-23 23:41:08","Yesterday, I discussed President Trump’s legislative priorities and the importance of repealing ObamaCare with Eric Shawn of Fox News.","video","https://youtu.be/Ex0cK4_fZGk",NA,30,14,4,3,0,0,1,5
"RepToddRokita","183180288372896_1470612256296353","Representative Todd Rokita","2017-01-24","2017-01-24 14:49:51","ObamaCare is failing the American people.   4.7 million Americans have been kicked off their healthcare plans because of it despite the promise that if you like your plan, you can keep it.   It created $1 trillion in new taxes that fall mostly on families and job creators.   ObamaCare has brought about $53 billion in new regulations that require 176,800,000 hours of paperwork to keep up.   18 of the 23 ObamaCare Co-Ops have collapsed, costing taxpayers nearly $1.9 billion and forcing patients to find new insurance.   House Republicans have solutions.  Learn about the Better Way proposal at http://abetterway.speaker.gov/?page=health-care and the Republican Study Committee plan at http://rsc.walker.house.gov/index.html#AHCRA","status",NA,NA,30,21,16,2,0,0,0,5
"RepToddRokita","183180288372896_1471029789587933","Representative Todd Rokita","2017-01-24","2017-01-24 23:51:28","Today as part of National School Choice Week, I spoke at the National School Rally.  I also introduced the CHOICE Act because I strongly believe that when parents have a choice, kids have a chance.  Students’ circumstances or zip codes should not trap them in underperforming schools that don’t meet their needs.  The CHOICE Act takes important strides to expand options and flexibility for many non-traditional students across our country, empowering parents instead of federal bureaucrats.","photo","https://www.facebook.com/RepToddRokita/photos/a.183949434962648.44584.183180288372896/1471029789587933/?type=3",NA,11,7,4,3,0,0,0,5
