"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepTomReed","102449199835273_1300408796705968","Rep. Tom Reed","2017-02-03","2017-02-03 18:00:00","We are holding 4 town hall meetings on Saturday, February 18. Everyone is welcome. Please join us!","photo","https://www.facebook.com/RepTomReed/photos/a.123346114412248.31391.102449199835273/1300408796705968/?type=3",NA,25,107,98,0,0,0,0,13
"RepTomReed","102449199835273_1306797632733751","Rep. Tom Reed","2017-02-09","2017-02-09 17:44:17",NA,"photo","https://www.facebook.com/AlzRochesterNY/photos/a.498891740888.264599.306921050888/10154488805130889/?type=3",NA,34,19,0,0,0,0,0,1
"RepTomReed","102449199835273_1306893772724137","Rep. Tom Reed","2017-02-10","2017-02-10 16:34:41","Congrats to Sophie Kartzman from Horseheads Middle School on being named a Distinguished Finalist by The Prudential Spirit of Community Awards!   Sophie is being recognized for her efforts to deliver tens of thousands of holiday cards to military members and veterans, and her ongoing commitment to serving our local communities.","link","http://www.mytwintiers.com/news/local-news/sophie-kartzman-named-ny-distinguished-finalist/653028433","mytwintiers.com",15,5,1,0,0,0,0,0
"RepTomReed","102449199835273_1306992376047610","Rep. Tom Reed","2017-02-09","2017-02-09 22:49:06","Today we joined with local health care providers and advocates to discuss the importance of the 21st Century Cures Act.   This critical piece of legislation supports the research projects necessary to discover, develop, and deliver life-saving cures and medical treatments.  Please click here to learn more: https://reed.house.gov/media-center/press-releases/reed-protects-patients-families-and-caregivers","photo","https://www.facebook.com/RepTomReed/photos/a.123346114412248.31391.102449199835273/1306990406047807/?type=3",NA,13,20,3,0,0,0,1,2
"RepTomReed","102449199835273_1311365608943620","Rep. Tom Reed","2017-02-14","2017-02-14 18:32:25",NA,"link","http://www.fltimes.com/news/reed-promotes-cures-act-during-stop-at-clifton-springs-hospital/article_40caf9ae-ef9c-11e6-8409-13c58f8213f2.html","fltimes.com",18,17,1,0,0,0,0,1
"RepTomReed","102449199835273_1311388602274654","Rep. Tom Reed","2017-02-14","2017-02-14 20:15:00","We recently met with local health care professionals to discuss proposed policy reforms and gather input about the replacement package for the Affordable Care Act.","link","http://www.mytwintiers.com/news/local-news/congressman-tom-reed-host-health-care-forum/654725843","mytwintiers.com",29,62,2,1,0,0,1,13
"RepTomReed","102449199835273_1312221345524713","Rep. Tom Reed","2017-02-15","2017-02-15 16:38:09","We can hold different opinions and still be kind to each other. Here are some pictures from the sit-in and protests at my district offices:","photo","https://www.facebook.com/RepTomReed/photos/a.123346114412248.31391.102449199835273/1312220922191422/?type=3",NA,93,63,18,2,2,0,0,1
"RepTomReed","102449199835273_1312342382179276","Rep. Tom Reed","2017-02-15","2017-02-15 18:57:33","In case you missed the interview on Fox & Friends this morning, here is the clip of my interview on my upcoming town halls. Visit my website reed.house.gov for details. We look forward to a civil conversation and hope to see you there.","video","http://video.foxnews.com/v/5323966190001",NA,55,129,37,2,1,1,1,14
"RepTomReed","102449199835273_1313655215381326","Rep. Tom Reed","2017-02-16","2017-02-16 21:05:18","It was an honor to meet with President Trump and Vice President Pence at the White House this morning. We had a very productive conversation about working together to solve the issues facing our region, state, and country.","photo","https://www.facebook.com/RepTomReed/photos/a.123346114412248.31391.102449199835273/1313655215381326/?type=3",NA,104,62,8,3,3,0,1,14
"RepTomReed","102449199835273_1313737915373056","Rep. Tom Reed","2017-02-16","2017-02-16 22:41:52",NA,"link","https://buffalonews.com/2017/02/16/reed-reassured-russia-white-house-meeting/","buffalonews.com",84,48,13,2,1,1,1,9
"RepTomReed","102449199835273_1314501251963389","Rep. Tom Reed","2017-02-17","2017-02-17 13:56:43","Listening to people is what representation is all about. We may not always agree on every issue, but we are always willing to listen and have a conversation.   Last night, we visited our neighbors from Tompkins County who have been hosting a sit-in at our Ithaca office. I appreciate their passion and commitment to standing up (or sitting-in) for what they believe in.   Despite our differences of opinion on some issues, we had a respectful conversation that allowed us to better understand each other. At the end of the night, we joined hands in prayer for the future of our country.   We even met a few protestors on the way out.   Thank you to everyone who joined us. We look forward to seeing you again soon!","photo","https://www.facebook.com/RepTomReed/photos/a.669973856416135.1073741832.102449199835273/1314501138630067/?type=3",NA,110,47,28,7,0,3,0,3
"RepTomReed","102449199835273_1314845571928957","Rep. Tom Reed","2017-02-17","2017-02-17 20:32:39","This is a friendly reminder that we are holding 4 town hall meetings tomorrow. We hope to see you there!","photo","https://www.facebook.com/RepTomReed/photos/a.123346114412248.31391.102449199835273/1300408796705968/?type=3",NA,23,20,0,1,1,0,0,4
