"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepTomSuozzi","189976864807742_189997791472316","Rep. Tom Suozzi","2017-01-04","2017-01-04 18:00:35",NA,"photo","https://www.facebook.com/RepTomSuozzi/photos/a.189997771472318.1073741825.189976864807742/189997791472316/?type=3",NA,29,2,1,1,0,0,0,0
"RepTomSuozzi","189976864807742_190003844805044","Rep. Tom Suozzi","2017-01-04","2017-01-04 18:14:08",NA,"photo","https://www.facebook.com/RepTomSuozzi/photos/a.190003858138376.1073741827.189976864807742/190003844805044/?type=3",NA,16,1,0,1,0,0,0,0
"RepTomSuozzi","189976864807742_190003961471699","Rep. Tom Suozzi","2017-01-04","2017-01-04 18:15:21","So happy to have my family with me as I was sworn into the US Congress yesterday.  Now it's time to get to work.","photo","https://www.facebook.com/RepTomSuozzi/photos/a.190004248138337.1073741828.189976864807742/190003961471699/?type=3",NA,55,5,2,6,0,0,0,0
"RepTomSuozzi","189976864807742_190704364734992","Rep. Tom Suozzi","2017-01-05","2017-01-05 21:44:04","Tonight I plan to speak for the first time on the House floor to support H. Res 11.  UN Resolution 2334 will make it harder for Israel and Palestine to achieve a two state solution and peace.","status",NA,NA,16,3,0,0,0,0,0,0
"RepTomSuozzi","189976864807742_190733604732068","Rep. Tom Suozzi","2017-01-05","2017-01-05 23:08:53","Just made my first speech on the House floor objecting to the UN Resolution on Israel.","photo","https://www.facebook.com/RepTomSuozzi/photos/a.190004248138337.1073741828.189976864807742/190733604732068/?type=3",NA,49,7,9,3,0,0,0,0
"RepTomSuozzi","189976864807742_191133328025429","Rep. Tom Suozzi","2017-01-06","2017-01-06 15:20:23","Story from the Queens Tribune on my swearing in this week.","link","http://queenstribune.com/rep-suozzi-gets-sworn/","queenstribune.com",37,1,1,1,0,0,0,0
"RepTomSuozzi","189976864807742_191218831350212","Rep. Tom Suozzi","2017-01-06","2017-01-06 17:59:24","Here is the full video of my first floor speech delivered last night supporting the State of Israel.","link","https://www.c-span.org/video/standalone/?c4642102%2Frep-tom-suozzi-floor-statement-h-res-11&popoutPlayer&elqTrackId=777adb8bac6b4759a225c7f498b278f4&elq=6fa65973d86b4eb7aeed809f464410d3&elqaid=25333&elqat=1&elqCampaignId","c-span.org",21,0,3,1,0,0,0,0
"RepTomSuozzi","189976864807742_191280048010757","Rep. Tom Suozzi","2017-01-06","2017-01-06 20:18:25","You can also get news and updates by following my official Twitter account @RepTomSuozzi  Just click the link below!  https://mobile.twitter.com/RepTomSuozzi","link","https://mobile.twitter.com/RepTomSuozzi","mobile.twitter.com",21,2,7,0,0,0,0,0
"RepTomSuozzi","189976864807742_193524334452995","Rep. Tom Suozzi","2017-01-10","2017-01-10 17:00:55","Last Thursday (and exactly one year since former Congressman Israel announced his retirement) I rose and spoke in support of H. Res. 11, expressing opposition to the U.S.'s abstention from a U.N. Security Council vote on a resolution regarding Israel. It was an honor to stand with our ally Israel.  https://suozzi.house.gov/media/press-releases/rep-suozzi-wraps-first-week-office","status",NA,NA,37,4,0,0,0,0,0,0
"RepTomSuozzi","189976864807742_193681417770620","Rep. Tom Suozzi","2017-01-10","2017-01-10 23:07:01","Representatives from AARP stopped by my office today to discuss how we can protect and strengthen Medicare and Social Security.   https://twitter.com/RepTomSuozzi/status/818957008347009025","link","https://twitter.com/RepTomSuozzi/status/818957008347009025","twitter.com",49,0,2,0,0,0,0,0
"RepTomSuozzi","189976864807742_194239601048135","Rep. Tom Suozzi","2017-01-11","2017-01-11 18:26:48","Yesterday I received my first committee assignment to the Foreign Affairs Committee. I look forward to working with Chairman Royce, Ranking Member Engel and the rest of the committee to address global issues and protect us here at home.","link","https://democrats-foreignaffairs.house.gov/news/press-releases/engel-welcomes-new-democratic-foreign-affairs-committee-members","democrats-foreignaffairs.house.gov",122,19,19,5,0,0,0,0
"RepTomSuozzi","189976864807742_198543713951057","Rep. Tom Suozzi","2017-01-18","2017-01-18 20:19:59","I look forward to working with all stakeholders to reduce aircraft and helicopter noise for the residents of Queens and along the North Shore. Today, everyone provided valuable input and was helpful towards reaching the goal of reduced noise pollution and getting things done.  http://queenstribune.com/suozzi-takes-early-action-airplane-noise/","link","http://queenstribune.com/suozzi-takes-early-action-airplane-noise/","queenstribune.com",37,0,3,0,0,0,0,0
"RepTomSuozzi","189976864807742_198593843946044","Rep. Tom Suozzi","2017-01-18","2017-01-18 23:07:38","Today I joined WCBS radio's Steve Scott for the #WCBSconversation to discuss my first few weeks in Congress representing Queens and Long Island.  Stay tuned for the full interview.","photo","https://www.facebook.com/RepTomSuozzi/photos/a.190004248138337.1073741828.189976864807742/198593843946044/?type=3",NA,42,2,2,0,0,0,0,0
"RepTomSuozzi","189976864807742_198981703907258","Rep. Tom Suozzi","2017-01-19","2017-01-19 14:45:49","Last night I attended the AIPAC – The American Israel Public Affairs Committee Northeast Gala at Lincoln Center.  I am proud to support them and stand with Israel.","photo","https://www.facebook.com/RepTomSuozzi/photos/a.198981707240591.1073741829.189976864807742/198980297240732/?type=3",NA,45,1,0,0,0,0,0,0
"RepTomSuozzi","189976864807742_199056987233063","Rep. Tom Suozzi","2017-01-19","2017-01-19 18:13:35","Please take a moment to view my interview with Steve Scott from WCBS. We discuss my first few weeks in Congress, the ACA and the inauguration.","link","http://newyork.cbslocal.com/show/wcbs-conversation/","newyork.cbslocal.com",27,7,1,0,0,0,0,0
"RepTomSuozzi","189976864807742_202865903518838","Rep. Tom Suozzi","2017-01-25","2017-01-25 00:41:53","Today I attended the first meeting of the House Foreign Affairs Committee and selected to be on the Middle East & North Africa and the Africa, Global Health, Global Human Rights & International Organizations subcommittees.  I'm ready for the important work ahead.","photo","https://www.facebook.com/RepTomSuozzi/photos/a.190004248138337.1073741828.189976864807742/202865903518838/?type=3",NA,157,17,6,11,0,0,0,0
"RepTomSuozzi","189976864807742_203551643450264","Rep. Tom Suozzi","2017-01-25","2017-01-25 15:01:50","Education is the silver bullet to lifting people, in the US, and around the world out of poverty. That’s why I voted for the bipartisan READ Act H.R. 601 and urge my Senate colleagues to do the same.","status",NA,NA,43,5,1,0,0,0,0,0
"RepTomSuozzi","189976864807742_203605283444900","Rep. Tom Suozzi","2017-01-25","2017-01-25 16:54:58","I joined Rep. Lynch and members of the bipartisan Quiet Skies Caucus. to co-sponsor H.R. 598, the Airplane Impacts Mitigation (AIM) Act of 2017.  ""I look forward to working with all stakeholders to reduce aircraft and helicopter noise for the residents of Queens and along the North Shore of Long Island.  This legislation will help all stakeholders better understand the health impacts of prolonged exposure to aircraft noise which all parties can use to work towards reaching the goal of reduced noise pollution and getting things done.”","link","http://lynch.house.gov/press-release/rep-lynch-introduces-airplane-impacts-mitigation-act","lynch.house.gov",41,0,5,0,0,0,0,0
"RepTomSuozzi","189976864807742_204327516706010","Rep. Tom Suozzi","2017-01-26","2017-01-26 17:17:08","OPEN HOUSE:  This weekend I will be hosting an Open House in my district office on Saturday January 28th from 10am-12pm.  Come visit the new office located in two historic homes from the 1700's and on the former property of Silas Wood, who represented the area in Congress from 1818-1828.  478A Park Ave Huntington, NY 11743","photo","https://www.facebook.com/RepTomSuozzi/photos/a.198981707240591.1073741829.189976864807742/204323813373047/?type=3",NA,58,7,21,2,0,0,0,0
"RepTomSuozzi","189976864807742_205169516621810","Rep. Tom Suozzi","2017-01-27","2017-01-27 20:05:42","Today I had the pleasure of speaking at the ACIT Executive breakfast to discuss my first few weeks in Congress and how I am looking to work with other members in a bipartisan manner to solve problems and get things done.","photo","https://www.facebook.com/RepTomSuozzi/photos/a.198981707240591.1073741829.189976864807742/205168376621924/?type=3",NA,23,1,0,0,0,0,0,0
"RepTomSuozzi","189976864807742_205232046615557","Rep. Tom Suozzi","2017-01-27","2017-01-27 23:09:00","Great time meeting with the Newsday Ed Board yesterday to discuss my first few weeks as a member of Congress, my first meeting of the Foreign Affairs Committee and my new DC roommates Rep Josh Gottheimer and Jimmy Panetta.","link","http://projects.newsday.com/the-point/2017/01/27/movin-in-and-movin-out/","projects.newsday.com",27,1,0,0,0,0,0,0
