"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepTreyGowdy","143059759084016_1353103148079665","Trey Gowdy","2017-01-09","2017-01-09 20:09:40","To all of the brave men and women who dedicate their lives to the safety of others - thank you today and every day #LawEnforcementAppreciationDay","video","https://www.facebook.com/RepTreyGowdy/videos/1353103148079665/",NA,40508,1673,14188,4815,11,53,1476,19
"RepTreyGowdy","143059759084016_1356608151062498","Trey Gowdy","2017-01-13","2017-01-13 16:06:13","Protecting the safety and security of our fellow citizens is the preeminent function of government. When it comes to our national security, we cannot afford to take risks. The House Intelligence Committee plays a vital role in protecting Americans both at home and abroad through conducting thorough oversight of our nation’s intelligence agencies. I look forward to joining the House Intelligence Committee and working with Chairman Nunes and my colleagues to ensure national security remains the top priority in the 115th Congress.","link","https://gowdy.house.gov/media-center/press-releases/rep-gowdy-joins-house-intelligence-committee","gowdy.house.gov",22106,1623,2331,2921,8,80,1,6
"RepTreyGowdy","143059759084016_1356811571042156","Trey Gowdy","2017-01-13","2017-01-13 21:05:30","Today Congress passed a resolution to begin the process of repealing and replacing Obamacare. As the son of a doctor, I understand firsthand healthcare decisions are best left to individuals and their doctors rather than Washington bureaucrats and politicians. Congress is in the process of proposing market-driven, patient-centered solutions to ensure every American has access to quality, affordable healthcare.","link","https://gowdy.house.gov/media-center/press-releases/gowdy-statement-house-passing-obamacare-repeal-resolution","gowdy.house.gov",44997,2463,7155,4619,38,156,21,52
"RepTreyGowdy","143059759084016_1374421999281113","Trey Gowdy","2017-01-30","2017-01-30 15:43:12","Our nation has a long and rich history of welcoming those fleeing persecution. We also have a long and rich history of liberating those suffering under oppression. We are the most welcoming and generous country in the world, and we are a country of immigrants.   The world we find ourselves in is dangerous and becoming increasingly so. Since national security and public safety are the preeminent functions of government, there is a fundamental duty to ensure the necessary background investigations can be done to stop anyone intent on doing harm from exploiting Americans’ generosity and taking more innocent lives.  American people deserve border and interior security. They deserve to know who is coming to our country, for what purpose, and for how long. They deserve to be assured those seeking entry into the country - regardless of the length of stay - have been vetted thoroughly and do not represent a security risk.    I am committed to doing everything we can to keep Americans safe just as I am committed to defending religious liberty and providing refuge to those fleeing persecution.","status",NA,NA,106555,5454,39696,13440,42,180,9,49
"RepTreyGowdy","143059759084016_1375872775802702","Trey Gowdy","2017-02-01","2017-02-01 03:18:53","While Justice Scalia is irreplaceable, it is essential to the jurisprudential equilibrium of the Court that he be replaced by a textualist and a minimalist who understands the vital but branch specific role of the judiciary. Judge Neil Gorsuch is an ideal choice. His respect for the Constitution, commitment to the rule of law, and devotion to the branch integrity that has made this country the greatest experiment in self governance the world has ever known, will serve our nation well. I look forward to the Senate giving Judge Gorsuch a fair, timely hearing and to his ultimate confirmation.","status",NA,NA,49596,1721,5048,4150,26,55,4,21
"RepTreyGowdy","143059759084016_1390057117717601","Trey Gowdy","2017-02-15","2017-02-15 16:06:52","Tom Brady wasn’t a very good quarterback his first year. Neither was Peyton Manning. I am prepared to give this president time.","link","http://video.foxnews.com/v/5323436495001/#sp=show-clips","video.foxnews.com",32573,1863,5447,3290,57,114,9,43
"RepTreyGowdy","143059759084016_1391252234264756","Trey Gowdy","2017-02-16","2017-02-16 16:39:53","Congratulations to my friend from South Carolina and the new Director of the Office of Management and Budget, Mick Mulvaney. Mick is incredibly bright and capable. He has served the people of South Carolina impeccably, and I know he will represent our nation with the same commitment. Since day one, Mick has dedicated himself to understanding our budget and the regulatory process, and I have no doubt he will seek to implement long-term reforms to restore our nation's fiscal health.   Mick was not only a talented colleague, but he is also an incredible friend on a personal level. Tim Scott, Jeff Duncan, Mick Mulvaney and I came into Congress together in 2011 and forged friendships that are rare in politics. Last night Senator Tim Scott and I had dinner with Mick for the last time as a colleague. We will all miss working with him on a daily basis, but we look forward to seeing him serve our nation in his new capacity. We will miss Mick, his wife Pam and their triplets as they embark on a new chapter of public service.","status",NA,NA,11676,680,541,745,2,30,1,4
"RepTreyGowdy","143059759084016_1403001099756536","Trey Gowdy","2017-02-28","2017-02-28 18:55:03","Russia is not our friend. Russia is a regional power desperately seeking to become a global power. I am fine with investigating Russia - but to have a show hearing where you are discussing classified information is not in our country's best interest.","link","http://video.foxnews.com/v/5341268200001/?playlist_id=938973798001#sp=show-clips","video.foxnews.com",12538,679,1284,590,7,79,3,24
"RepTreyGowdy","143059759084016_1403854626337850","Trey Gowdy","2017-03-01","2017-03-01 15:47:51","There is no special prosecutor statue. There is no independent counsel statute. There is a regulation that allows for the appointment of a special counsel if the Department of Justice has a conflict and if all 92 U.S. attorneys have a conflict. So until that evidentiary burden has been satisfied, I don't know why Republicans or Democrats are talking about a special counsel.","video","https://www.youtube.com/watch?v=vQNy6mIsTI4&feature=youtu.be",NA,7391,767,1349,588,115,43,1,18
"RepTreyGowdy","143059759084016_1404853776237935","Trey Gowdy","2017-03-02","2017-03-02 20:12:00","On March 22 at 5:30pm, we will be hosting a telephone town hall with special guest Senator Tim Scott. If you are a constituent of the Fourth District of South Carolina and would like to sign up for our telephone town hall, follow the link below and fill out the form on my website.","link","https://gowdy.house.gov/media-center/press-releases/rep-gowdy-announces-telephone-town-hall-special-guest-sen-scott","gowdy.house.gov",1677,295,185,123,3,12,0,3
"RepTreyGowdy","143059759084016_1405968456126467","Trey Gowdy","2017-03-03","2017-03-03 20:53:37","I want to investigate all aspects of Russia. But Congress does not run parallel criminal investigations with the FBI. We are not equipped to do it and we are not supposed to do it.","video","https://www.youtube.com/watch?v=bUCJVElAPTo&t=3s",NA,6523,946,763,343,14,47,14,101
"RepTreyGowdy","143059759084016_1413209418735704","Trey Gowdy","2017-03-10","2017-03-10 16:54:57","Leaks are illegal, dangerous and deleterious to our national security.","video","https://www.youtube.com/watch?v=M2XObVx6A6w&feature=youtu.be",NA,6587,1019,698,306,13,32,21,247
"RepTreyGowdy","143059759084016_1419337161456263","Trey Gowdy","2017-03-16","2017-03-16 17:14:19","It's March Madness everywhere!","video","http://abcnews.go.com/Politics/video/rep-jason-chaffetz-rep-trey-gowdy-discuss-march-46156235",NA,2235,452,220,181,242,12,3,10
"RepTreyGowdy","143059759084016_1423681574355155","Trey Gowdy","2017-03-20","2017-03-20 18:57:08","The American people have an agreement with the government. We are going to give you the tools to keep us safe and in return the government promises to safeguard the privacy of U.S. citizens. When that deal is broken, it jeopardizes American trust in these surveillance programs.","video","https://www.facebook.com/RepTreyGowdy/videos/1423681574355155/",NA,25732,5084,8803,2870,33,496,29,162
"RepTreyGowdy","143059759084016_1431541350235844","Trey Gowdy","2017-03-27","2017-03-27 16:09:11","Russia is not our friend. They attacked our democracy. I want to investigate every fact that is related thereto. But the felonious dissemination of classified information is the only thing we know for sure is a crime, and it would be nice if we showed the same level of interest in that.","video","https://www.facebook.com/RepTreyGowdy/videos/1431541350235844/",NA,12688,1428,2235,1047,32,111,1,33
"RepTreyGowdy","143059759084016_1434074986649147","Trey Gowdy","2017-03-29","2017-03-29 20:57:35","Joined Tucker Carlson last night to break down the House Intelligence Committee's investigation into Russia, President Trump's wiretap allegations, government surveillance and the unmasking of U.S. citizens.","video","https://www.facebook.com/RepTreyGowdy/videos/1434074986649147/",NA,8060,991,1559,710,10,178,4,29
"RepTreyGowdy","143059759084016_1440842475972398","Trey Gowdy","2017-04-04","2017-04-04 13:30:46","The abuse of drugs, alcohol, and firearms affect families in each and every community nationwide. The DEA and ATF play a critical role in keeping families safe and it is imperative we are doing everything in our power to protect our communities from crime. Watch our subcommittee hearing via Facebook live today at 10 AM.","video","https://www.facebook.com/housejudiciary/videos/10154559471776608/",NA,1940,333,0,158,12,10,13,49
"RepTreyGowdy","143059759084016_1442397219150257","Trey Gowdy","2017-04-05","2017-04-05 18:20:29","Joined my friend Rep. John Ratcliffe earlier today to discuss the Strengthening Children’s Safety Act.","video","https://www.facebook.com/RepRatcliffe/videos/1908201999393408/",NA,5012,505,0,681,11,6,1,2
"RepTreyGowdy","143059759084016_1451003774956268","Trey Gowdy","2017-04-12","2017-04-12 13:32:54","High school students in South Carolina’s Fourth Congressional District are invited to participate in the 2017 Congressional Art Competition. The winner’s artwork, selected by a panel of experts, will be displayed in the U.S. Capitol for one year. For more details, click below.","link","https://gowdy.house.gov/media-center/press-releases/rep-gowdy-announces-2017-congressional-art-competition","gowdy.house.gov",1369,157,130,102,3,5,0,0
"RepTreyGowdy","143059759084016_1456371244419521","Trey Gowdy","2017-04-16","2017-04-16 15:57:55","‪He is Risen! Happy Easter from our family to yours. ‬","status",NA,NA,49714,3270,1064,6338,29,16,1,0
"RepTreyGowdy","143059759084016_1468500123206633","Trey Gowdy","2017-04-26","2017-04-26 14:00:56",NA,"video","https://www.facebook.com/housejudiciary/videos/10154626606166608/",NA,1560,327,0,124,2,17,1,9
"RepTreyGowdy","143059759084016_1481352335254745","Trey Gowdy","2017-05-09","2017-05-09 17:53:47","Happy #NationalTeachersDay to all of our incredible teachers, including my wife. You change the world — one life at a time.","link","https://gowdy.house.gov/media-center/in-the-news/letter-editor-trey-gowdy-she-changed-world","gowdy.house.gov",7394,349,1223,1046,4,33,16,1
"RepTreyGowdy","143059759084016_1481360988587213","Trey Gowdy","2017-05-14","2017-05-14 12:00:00","Happy Mothers Day to all of the mothers who have impacted my life for the better - especially my own momma and my wife. Thank you for making the world go round.","photo","https://www.facebook.com/RepTreyGowdy/photos/a.165112886878703.37073.143059759084016/1481360988587213/?type=3",NA,22290,737,308,2893,59,8,1,2
"RepTreyGowdy","143059759084016_1482096925180286","Trey Gowdy","2017-05-10","2017-05-10 13:22:32","Director Comey had a very difficult job. I appreciate his service to our country as both a federal prosecutor and the head of the FBI. I had my differences with him on some matters but never lost sight of the fact that he had a very difficult job and undoubtedly had access to facts that perhaps the rest of us did not. I am thankful for his service to our country and am hopeful our President will select an independent minded person to serve as the head of our nation's premier law enforcement agency. Our justice system is the foundation of our republic. It must be both respected and fully worthy of our respect.","status",NA,NA,50580,5119,4247,3648,57,132,13,41
"RepTreyGowdy","143059759084016_1487110654678913","Trey Gowdy","2017-05-15","2017-05-15 17:18:33","Law enforcement officers dedicate their lives to the precept which undergirds our country, our way of life, and our republic - respect for and adherence to the rule of law. They courageously propel themselves toward danger while others have the luxury of running from it, and they fight for the safety of others while putting their own lives at risk.  This week as we celebrate National Police Week, the House Judiciary Committee will hold a hearing to highlight the challenges our law enforcement officers face each and every day. I look forward to hearing from our witnesses and further examining ways in which Congress can best support our law enforcement officers all around the country.","link","https://judiciary.house.gov/press-release/crime-subcommittee-hold-hearing-current-law-enforcement-strategies-police-week/","judiciary.house.gov",4717,401,521,460,2,4,1,1
"RepTreyGowdy","143059759084016_1488905474499431","Trey Gowdy","2017-05-17","2017-05-17 13:18:57",NA,"video","https://www.facebook.com/housejudiciary/videos/10154684979366608/",NA,2382,193,1,300,2,4,8,31
"RepTreyGowdy","143059759084016_1489245151132130","Trey Gowdy","2017-05-17","2017-05-17 21:07:57","The American people deserve to see the entire context of whatever conversation may or may not have taken place.","link","http://video.foxnews.com/v/5437024573001/?playlist_id=938973798001#sp=show-clips","video.foxnews.com",11905,1690,1628,716,18,84,4,23
"RepTreyGowdy","143059759084016_1489854877737824","Trey Gowdy","2017-05-18","2017-05-18 14:10:26","Thank you to all of our friends in law enforcement who risk their lives daily to protect ours. #NationalPoliceWeek","video","https://www.youtube.com/watch?v=v_KchpsJ3Jo&feature=youtu.be",NA,5915,664,765,729,1,5,105,5
