"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepWalberg","187654104587692_10100641671067984","Rep Tim Walberg","2017-11-11","2017-11-11 12:52:00","On Veterans Day, we pause and say thank you to the men and women who answered America’s call to service.","video","https://www.facebook.com/RepWalberg/videos/10100641671067984/",NA,136,15,14,11,0,0,0,0
"RepWalberg","187654104587692_10100647367846594","Rep Tim Walberg","2017-11-23","2017-11-23 13:33:00","Wishing you and your family a Happy Thanksgiving. As we reflect on our many blessings, may it be a special time surrounded by those you love most.","video","https://www.facebook.com/RepWalberg/videos/10100647367846594/",NA,75,23,4,3,0,0,0,0
"RepWalberg","187654104587692_1354928194526938","Rep Tim Walberg","2017-01-01","2017-01-01 05:01:02","Wishing you and yours a healthy, prosperous, and happy New Year.","photo","https://www.facebook.com/RepWalberg/photos/a.189564381063331.45718.187654104587692/1354928194526938/?type=3",NA,56,6,1,2,0,0,0,0
"RepWalberg","187654104587692_1370666259619798","Rep Tim Walberg","2017-01-01","2017-01-01 22:41:48","Sunny, blue sky, 37 degrees makes for a great first ride of 2017! Happy New Year!","photo","https://www.facebook.com/RepWalberg/photos/a.189564381063331.45718.187654104587692/1370666259619798/?type=3",NA,189,20,5,3,0,0,0,0
"RepWalberg","187654104587692_1371274899558934","Rep Tim Walberg","2017-01-02","2017-01-02 16:01:44",NA,"link","http://www.mlive.com/opinion/jackson/index.ssf/2017/01/guest_column_reflecting_on_201.html#incart_river_home","mlive.com",15,10,1,0,0,0,0,0
"RepWalberg","187654104587692_1372411846111906","Rep Tim Walberg","2017-01-03","2017-01-03 23:13:17","I'm deeply honored to once again have the opportunity to serve Michigan's 7th District and bring your voice and values to the halls of Congress.","link","http://walberg.house.gov/news/documentsingle.aspx?DocumentID=399226","alberg.house.gov",355,45,5,15,0,0,0,0
"RepWalberg","187654104587692_1373208342698923","Rep Tim Walberg","2017-01-04","2017-01-04 20:48:37","Some good news for Michigan taxpayers in the first week of the new Congress. The Taxpayers Right-To-Know Act, my bill to shine light on wasteful federal spending, passed the House today. http://go.usa.gov/x928C","video","https://www.facebook.com/RepWalberg/videos/1373208342698923/",NA,183,31,34,8,0,0,0,0
"RepWalberg","187654104587692_1373874819298942","Rep Tim Walberg","2017-01-05","2017-01-05 15:26:15","I'm honored to join the House Committee on Energy and Commerce this Congress. The Committee has broad jurisdiction over issues of great importance to Michigan families and all Americans, and I'm excited to get to work on solutions to tackle our nation's most pressing challenges.","link","http://walberg.house.gov/news/documentsingle.aspx?DocumentID=399229","alberg.house.gov",144,27,11,4,0,1,0,0
"RepWalberg","187654104587692_1374188685934222","Rep Tim Walberg","2017-01-06","2017-01-06 00:19:27","The recent anti-Israel resolution at the United Nations was a shameful conclusion to eight years of the Obama administration’s disastrous foreign policy. It only undermined our close, democratic ally and the possibility of peace. Tonight, in a strong bipartisan fashion, the House voted to condemn these actions and stand shoulder to shoulder with Israel.","link","http://thehill.com/blogs/floor-action/house/312956-house-votes-to-rebuke-un-vote-on-israel","thehill.com",140,23,25,13,1,1,0,2
"RepWalberg","187654104587692_1377159238970500","Rep Tim Walberg","2017-01-09","2017-01-09 16:01:48","The men and women in law enforcement deserve our deepest gratitude for all they do to keep our communities safe. Each day when they walk out the door, they risk their lives to protect ours. I encourage people in Michigan and across the country to show their support for law enforcement today—wear blue clothing, display a blue light, or say a simple word of thanks to a police officer in your neighborhood.","link","http://walberg.house.gov/news/documentsingle.aspx?DocumentID=399232","alberg.house.gov",148,6,19,7,0,0,0,0
"RepWalberg","187654104587692_1378040635549027","Rep Tim Walberg","2017-01-10","2017-01-10 19:00:37","This week kicks off the North American International Auto Show in Detroit. And as a car guy all my life, I never miss the world’s premier automotive event.","video","https://www.facebook.com/RepWalberg/videos/1378040635549027/",NA,21,7,0,0,0,0,0,0
"RepWalberg","187654104587692_1380231698663254","Rep Tim Walberg","2017-01-12","2017-01-12 22:38:51","Today I introduced bipartisan legislation with Rep. Debbie Dingell to increase transparency at VA hospitals, and help ensure our nation’s veterans receive the highest quality care in a timely fashion.","link","http://walberg.house.gov/news/documentsingle.aspx?DocumentID=399236","alberg.house.gov",127,20,16,6,0,1,0,0
"RepWalberg","187654104587692_1381987038487720","Rep Tim Walberg","2017-01-14","2017-01-14 19:37:43","It was great to be at the Detroit River International Wildlife Refuge today for a ceremony to name the visitors center the John D Dingell Jr. Visitor Center.","photo","https://www.facebook.com/RepWalberg/photos/a.757760457577051.1073741830.187654104587692/1381984075154683/?type=3",NA,28,4,3,2,0,0,0,0
"RepWalberg","187654104587692_1383763994976691","Rep Tim Walberg","2017-01-16","2017-01-16 18:50:26","Today we honor the legacy of Dr. Martin Luther King Jr. and his courage and commitment to freedom, justice, and opportunity.","photo","https://www.facebook.com/RepWalberg/photos/a.189564381063331.45718.187654104587692/1383763994976691/?type=3",NA,30,8,3,2,0,0,0,0
"RepWalberg","187654104587692_1384730214880069","Rep Tim Walberg","2017-01-17","2017-01-17 22:06:34","Great to see more positive news for Michigan jobs and manufacturing.","link","http://www.detroitnews.com/story/business/autos/general-motors/2017/01/16/gm-investment/96652786/","detroitnews.com",130,7,23,3,0,1,0,0
"RepWalberg","187654104587692_1384868874866203","Rep Tim Walberg","2017-01-18","2017-01-18 02:26:29","Manning was convicted of stealing and distributing highly sensitive military secrets, putting American lives and national security at risk. This commutation is totally egregious and puts politics above security.","link","https://www.washingtonpost.com/world/national-security/obama-largely-commutes-sentence-of-chelsea-manning-us-soldier-convicted-for-leaking-classified-information/2017/01/17/f3205a1a-dcf8-11e6-ad42-f3375f271c9c_story.html?utm_term=.cf8e9b5214a6","washingtonpost.com",50,57,24,2,0,4,4,59
"RepWalberg","187654104587692_1386726461347111","Rep Tim Walberg","2017-01-19","2017-01-19 19:13:02","The stage is set for tomorrow's inauguration ceremonies where we will witness the peaceful transition of power. It's been great to welcome so many Michigan families who are visiting our nation's capital this week to attend the inauguration.","photo","https://www.facebook.com/RepWalberg/photos/a.189564381063331.45718.187654104587692/1386726461347111/?type=3",NA,73,15,3,6,0,0,1,5
"RepWalberg","187654104587692_1387707334582357","Rep Tim Walberg","2017-01-20","2017-01-20 20:40:36","It was an honor to join with Americans from across the country today to witness democracy in action. With the peaceful transfer of power now complete, it is time to work together to chart a new course and build a brighter future for our children and grandchildren.","photo","https://www.facebook.com/RepWalberg/photos/a.189564381063331.45718.187654104587692/1387674641252293/?type=3",NA,469,59,19,25,0,1,10,3
"RepWalberg","187654104587692_1391134317572992","Rep Tim Walberg","2017-01-23","2017-01-23 21:44:58","Through its career and technical education programs, the LISD TECH Center does tremendous work preparing students for success in the workplace. Glad to be in Adrian today to recognize the Tech Center's many contributions to the community.","photo","https://www.facebook.com/RepWalberg/photos/a.189564381063331.45718.187654104587692/1391134317572992/?type=3",NA,46,3,3,1,0,0,0,0
"RepWalberg","187654104587692_1392266880793069","Rep Tim Walberg","2017-01-24","2017-01-24 19:34:21","Moving forward with the Keystone XL and Dakota Access pipelines is welcome news for American workers. Construction of these infrastructure projects will put more Americans back to work, bolster our nation’s long-term energy security, and boost economic growth.","status",NA,NA,199,230,25,11,1,2,36,132
"RepWalberg","187654104587692_1393325450687212","Rep Tim Walberg","2017-01-25","2017-01-25 16:40:24","Exciting things happening at the LISD TECH Center to prepare students for job opportunities in the skilled trades.","link","http://www.lenconnect.com/news/20170124/tech-center-expands-welding-program","lenconnect.com",50,3,7,2,0,0,0,0
"RepWalberg","187654104587692_1394381853914905","Rep Tim Walberg","2017-01-26","2017-01-26 16:52:25","On this day in 1837, Michigan became our nation's 26th state. Happy 180th birthday, Michigan!","photo","https://www.facebook.com/RepWalberg/photos/a.189564381063331.45718.187654104587692/1394381853914905/?type=3",NA,85,15,22,9,0,0,0,0
"RepWalberg","187654104587692_1395800040439753","Rep Tim Walberg","2017-01-28","2017-01-28 14:29:01","As National School Choice Week comes to a close, may we continue working to provide every child, no matter where they are from, with access to a quality education and an opportunity to pursue their dreams.","photo","https://www.facebook.com/RepWalberg/photos/a.189564381063331.45718.187654104587692/1395800040439753/?type=3",NA,19,79,1,1,0,0,0,12
"RepWalberg","187654104587692_1400350703318020","Rep Tim Walberg","2017-02-01","2017-02-01 01:27:12","Judge Neil Gorsuch is a distinguished jurist with a sterling legal mind. Throughout his career, he has earned a reputation as a steadfast and intellectual defender of the Constitution and the rule of law. Judge Gorsuch is an excellent selection to follow in the philosophical tradition of Justice Scalia on the Supreme Court.","status",NA,NA,243,48,7,22,1,0,2,31
