"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepWebster","188572961157305_1510111425670112","Congressman Daniel Webster","2017-01-04","2017-01-04 17:41:28","Following yesterday's swearing in, the 115th Congress is underway!  I look forward to working with Speaker Paul Ryan, Donald J. Trump, Mike Pence and my colleagues in the House & Senate to enact real change!","status",NA,NA,151,24,3,8,0,0,0,1
"RepWebster","188572961157305_1511278195553435","Congressman Daniel Webster","2017-01-05","2017-01-05 23:03:35","Recently, the President’s administration broke with longstanding U.S. policy to stand with Israel by failing to veto United Nation’s Security Council Resolution 2334. Shortly, I will cast a vote in support of House Resolution 11 which condemns the anti-Israel UN resolution.","status",NA,NA,150,25,6,9,0,0,0,2
"RepWebster","188572961157305_1511371268877461","Congressman Daniel Webster","2017-01-06","2017-01-06 01:21:29","My final vote tonight was for the #REINSAct, which puts safeguards in place to protect Americans from burdensome regulations!","photo","https://www.facebook.com/RepWebster/photos/a.246696595344941.78713.188572961157305/1511371268877461/?type=3",NA,43,5,7,3,0,0,0,1
"RepWebster","188572961157305_1514616895219565","Congressman Daniel Webster","2017-01-09","2017-01-09 17:06:31",NA,"photo","https://www.facebook.com/RepWebster/photos/a.396562840358315.109442.188572961157305/1514616895219565/?type=3",NA,27,1,4,10,0,0,0,0
"RepWebster","188572961157305_1514626611885260","Congressman Daniel Webster","2017-01-09","2017-01-09 17:27:40","This blue light shines in my DC office window today to thank our law enforcement officers who serve and sacrifice to protect our communities. Please join me in showing appreciation for their service today and everyday.","photo","https://www.facebook.com/RepWebster/photos/a.246696595344941.78713.188572961157305/1514626611885260/?type=3",NA,121,6,8,12,0,0,8,0
"RepWebster","188572961157305_1515613371786584","Congressman Daniel Webster","2017-01-10","2017-01-10 19:58:59","It was great to see you all. Thank you for your work in our Florida communities.","photo","https://www.facebook.com/UnitedWayLakeSumter/photos/a.391498027552406.77362.128755037160041/1195990437103157/?type=3",NA,10,2,0,0,0,0,0,0
"RepWebster","188572961157305_1516459241701997","Congressman Daniel Webster","2017-01-11","2017-01-11 17:59:51","I'm looking forward to voting to pass H.R. 5 later today!","video","https://www.youtube.com/embed/e5g2Wlg7yG0",NA,43,5,5,0,0,0,0,0
"RepWebster","188572961157305_1518929804788274","Congressman Daniel Webster","2017-01-13","2017-01-13 21:34:44","In my last two votes this week - voted for first step to replacing failed Obamacare with a better healthcare plan and in support of General Mattis' nomination.  What a great way to end this week!","photo","https://www.facebook.com/RepWebster/photos/a.246696595344941.78713.188572961157305/1518929804788274/?type=3",NA,151,47,13,11,1,2,1,8
"RepWebster","188572961157305_1523074651040456","Congressman Daniel Webster","2017-01-17","2017-01-17 14:41:50",NA,"photo","https://www.facebook.com/RepWebster/photos/a.396562840358315.109442.188572961157305/1523074651040456/?type=3",NA,44,8,0,0,0,0,0,1
"RepWebster","188572961157305_1523221731025748","Congressman Daniel Webster","2017-01-22","2017-01-22 19:00:01","This week we celebrate the power of education and importance of school choice. Every parent should be empowered to send their child to the school of their choice - public, private, online, or homeschool. Florida parents have a broad array of school choices and the results are clear - more children are learning! #schoolchoice #scw","photo","https://www.facebook.com/RepWebster/photos/a.246696595344941.78713.188572961157305/1523221731025748/?type=3",NA,39,12,3,1,0,0,0,0
"RepWebster","188572961157305_1523409224340332","Congressman Daniel Webster","2017-01-18","2017-01-18 00:29:01","Excerpt from this week's Webster Wire: As Congress works toward replacing the failed Obamacare law that has resulted in double digit premiums and fewer healthcare choices for many, I met with representatives of hospitals in our communities.  We share a goal to ensure there will be a stable transition to a better health care system.  The House is working on a plan to provide Americans with the care they need, from the doctor they choose, at a price they can afford. We do not intend to pull the rug of coverage and care out from underneath anyone.  Signup for the Webster Wire and receive highlights of actions by Congress, a legislative update and district news and events: http://bit.ly/2jHIdg0","link","http://bit.ly/2jHIdg0","bit.ly",69,21,11,3,0,0,0,1
"RepWebster","188572961157305_1526034424077812","Congressman Daniel Webster","2017-01-20","2017-01-20 13:43:10","The Capitol Dome looks great this morning! I will be headed inside shortly. I am honored to participate in this time honored day and witness the peaceful transfer of power firsthand. I can't wait to get to work with President Trump and my friend, Vice President Pence!","photo","https://www.facebook.com/RepWebster/photos/a.246696595344941.78713.188572961157305/1526034424077812/?type=3",NA,216,16,6,28,0,0,0,2
"RepWebster","188572961157305_1526364970711424","Congressman Daniel Webster","2017-01-20","2017-01-20 20:23:40","Great morning on the mall. Congratulations President Trump!","photo","https://www.facebook.com/RepWebster/photos/a.733503256664270.1073741836.188572961157305/1526364750711446/?type=3",NA,427,27,14,30,0,0,0,7
"RepWebster","188572961157305_1530966436917944","Congressman Daniel Webster","2017-01-26","2017-01-26 13:30:00","#TBT to last Saturday's 10th Annual Hall of Fame Induction & Awards Ceremony for The The Villages Motor Racing Fan Club where I was inducted into their club.  I was first introduced to motor racing by my friend Congressman Bill Posey and he taught me much over the years!","photo","https://www.facebook.com/RepWebster/photos/a.246696595344941.78713.188572961157305/1530945723586682/?type=3",NA,24,2,2,1,0,0,0,0
"RepWebster","188572961157305_1531296660218255","Congressman Daniel Webster","2017-01-24","2017-01-24 22:09:13","H.R. 7 makes policies such as the Hyde Amendment and other existing abortion funding prohibitions permanent and government wide. Today, I was honored to cast my vote in support of this bill and, in doing so, protect the most vulnerable among us - our unborn children.","status",NA,NA,169,37,9,34,0,0,2,9
"RepWebster","188572961157305_1534824866532101","Congressman Daniel Webster","2017-01-27","2017-01-27 21:27:32","Thank you to everyone who participated in The March for Life and gave of your time and energy to support the most vulnerable among us - our unborn children!","photo","https://www.facebook.com/RepWebster/photos/a.246696595344941.78713.188572961157305/1534822016532386/?type=3",NA,120,13,6,15,0,0,0,0
"RepWebster","188572961157305_1535637703117484","Congressman Daniel Webster","2017-01-28","2017-01-28 13:34:03","Welcome to the world Lexi Mae Webster! Newest granddaughter born Thursday night: 6lbs, 2oz, 20"" long.","photo","https://www.facebook.com/RepWebster/photos/a.246696595344941.78713.188572961157305/1535637703117484/?type=3",NA,480,59,9,67,0,1,0,0
"RepWebster","188572961157305_1538551906159397","Congressman Daniel Webster","2017-01-30","2017-01-30 19:33:02","Statement by Congressman Webster on President Trump’s Executive Order Protecting America from Foreign Terrorist Entry  Washington, D.C. – Congressman Daniel Webster (R-Clermont) issued the following statement regarding President Trump’s Executive Order Protecting America From Foreign Terrorist Entry.  “President Trump made it clear on the campaign that this was a priority.  I am thankful to see President Trump is taking his responsibility to protect our country seriously and putting Americans’ safety first. I agree with the President that prior to issuing visas or refugee admissions, we must ensure our vetting process is thorough. President Obama acted similarly when he paused the processing of Iraqi refugee visas for six months in 2011.    “I look forward to working with President Trump, his administration and my colleagues in Congress to establish clearly defined improvements to our visa issuance and refugee admissions process. I am confident we can protect our homeland while remaining the compassionate nation we are to those who are tired, poor, yearning to breathe free or seeking refuge from persecution.”  ###","status",NA,NA,185,66,22,22,0,0,1,13
"RepWebster","188572961157305_1541718129176108","Congressman Daniel Webster","2017-02-02","2017-02-02 13:27:43","""Congressman Daniel Webster, 11th congressional district, said that while campaigning, Trump promised that his Supreme Court nominee would be ""a jurist who is dedicated to freedom, the rule of law, and to preserving our liberties as enshrined in the Constitution of the United States.""  ""He also promised a transparent selection - releasing a list of potential nominees. With the nomination of Neil Gorsuch, one of the names on the list, President Trump has kept those promises,"" Webster said.""","link","http://www.dailycommercial.com/news/20170202/lake-county-congressmen-like-trumps-supreme-court-pick","dailycommercial.com",79,5,4,3,0,0,0,3
"RepWebster","188572961157305_1545122488835672","Congressman Daniel Webster","2017-02-05","2017-02-05 18:39:44","This week the house began to rein in the runaway federal government.  Read more about what we did in my oped below.","link","http://www.dailycommercial.com/news/20170205/time-to-rein-in-runaway-federal-government","dailycommercial.com",163,29,39,13,0,0,0,2
"RepWebster","188572961157305_1545991145415473","Congressman Daniel Webster","2017-02-06","2017-02-06 15:13:47","Today, on Ronald Reagan’s 106th birthday, I want to take a moment to reflect on his timeless vision. Reagan’s unashamed love for his country and his unwavering belief that God is not indifferent to America serves a model for the leadership Americans deserve. His legacy continues to serve as an inspiration for my own public service, one of unleashing individual freedom, reducing the scope of government, and putting the American people in charge of their own destiny.   We are fighting for those very same principles today, ultimately to have a government that works for you, not stand in your way. I am honored to work towards this as your Congressman.","photo","https://www.facebook.com/RepWebster/photos/a.246696595344941.78713.188572961157305/1545991145415473/?type=3",NA,59,11,16,8,0,0,0,0
"RepWebster","188572961157305_1550109745003613","Congressman Daniel Webster","2017-02-10","2017-02-10 14:20:52","Congratulations to my colleague and dear friend Tom Price, our new Secretary of Health and Human Services, for his confirmation early this morning. Tom was a great leader in Congress and he'll be a great leader as Secretary.","photo","https://www.facebook.com/RepWebster/photos/a.246696595344941.78713.188572961157305/1550109745003613/?type=3",NA,164,23,14,9,0,0,1,5
"RepWebster","188572961157305_1550322234982364","Congressman Daniel Webster","2017-02-10","2017-02-10 19:45:22","Thank you Mission Oaks Assisted Living and Memory Care leadership and residents for the tour and conversation today. I enjoyed learning more about your facility, hearing how federal policies help or restrict your work and impact quality of life and care.","photo","https://www.facebook.com/RepWebster/photos/a.246696595344941.78713.188572961157305/1550309314983656/?type=3",NA,31,8,3,1,0,0,0,0
