"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"Repmarkmeadows","409882952423501_1180007582077697","Mark Meadows","2017-01-01","2017-01-01 05:25:31","Debbie and I want to wish you and your family a safe and blessed 2017! We are so thankful to live in a country where we have so much to hope for and aspire to in the coming year. May God bless you, and #HappyNewYear!","status",NA,NA,295,74,3,16,0,0,0,3
"Repmarkmeadows","409882952423501_1182911621787293","Mark Meadows","2017-01-04","2017-01-04 15:29:06","Humbled and privileged to begin serving #NC11 this week in the 115th Congress. We have a long road ahead and there is much work to be done, but I'm optimistic and truly believe that the best days of America are ahead.  To the great people of Western NC--thank you for giving me this opportunity. My voting card will always belong to you.","status",NA,NA,326,50,4,14,0,0,1,0
"Repmarkmeadows","409882952423501_1183688961709559","Mark Meadows","2017-01-05","2017-01-05 14:00:44","Americans have been told lie after lie about #Obamacare. Here are just a few:  - Obamacare was supposed to reduce health insurance premiums of Americans $2500 per family per year (premiums rising by an average of over 22% across the country.)  - ""If you like your doctor, you can keep your doctor.""  - ""If you like your healthcare plan, you can keep it.""  - Obamacare supposedly would not ""add one dime to the deficit"" (it is consistently projected to add over 6 trillion to the long term deficit.)  Obamacare represents 6 years of misguided policy, broken promises, and failed results. Americans deserve better. This law should be fully repealed.","status",NA,NA,204,71,43,5,1,1,1,16
"Repmarkmeadows","409882952423501_1183809461697509","Mark Meadows","2017-01-05","2017-01-05 16:56:04","Thanks to Senator Rand Paul for meeting with the House Freedom Caucus today -- discussing solutions to healthcare reform and our budget deficit. Great to work with a man who has consistently demonstrated such a strong commitment to upholding conservative principles and values.  (Photo credit to the gentleman from Michigan, Rep. Justin Amash).","photo","https://www.facebook.com/Repmarkmeadows/photos/a.409894695755660.93743.409882952423501/1183809461697509/?type=3",NA,159,22,14,7,0,0,0,0
"Repmarkmeadows","409882952423501_1183889861689469","Mark Meadows","2017-01-05","2017-01-05 18:54:07","The most effective way to grow our economy: simplify the tax code, reduce #taxes, and unlock the potential of American workers and business.  Watch the video below to see my interview on Fox Business, discussing our new Congress' goal of reforming our tax system and lifting the crushing burden of government off of working families.","video","http://video.foxbusiness.com/v/5270568193001/?playlist_id=933116635001#sp=show-clips",NA,80,31,11,6,0,0,0,0
"Repmarkmeadows","409882952423501_1184925924919196","Mark Meadows","2017-01-06","2017-01-06 22:53:29","Happy birthday to one of the truly finest places in the country, the City of Hendersonville, NC -- turning 170 this week!  Hendersonville, NC City Government","link","http://www.blueridgenow.com/news/20170105/hendersonvilles-170th-birthday-commemorated","blueridgenow.com",121,4,9,3,0,0,0,0
"Repmarkmeadows","409882952423501_1187149941363461","Mark Meadows","2017-01-09","2017-01-09 14:22:15","Today is Law Enforcement Appreciation Day (L.E.A.D. Day)! Thank you to the men and women in blue who lay their lives on the line every day to protect us--especially the officers of #NC11, the best in the country.  We often forget how much we rely on these men and women until we're in need. On a day like today, if you see a police officer, be sure to thank them!","photo","https://www.facebook.com/Repmarkmeadows/photos/a.559450500800078.1073741829.409882952423501/1187143711364084/?type=3",NA,175,13,26,12,0,0,0,0
"Repmarkmeadows","409882952423501_1187406981337757","Mark Meadows","2017-01-09","2017-01-09 20:04:07","#Obamacare is the first big test of this new Congress, and we have an obligation to act now, to act thoroughly, and to act swiftly. Republicans have promised to repeal Obamacare over the last 3 elections. It’s time to deliver on serious, patient-centered healthcare reform that will provide Americans with real options at affordable costs.   Great to join my friend Shannon Bream with Fox News yesterday to talk about repealing and replacing Obamacare.","video","http://video.foxnews.com/v/5274824790001/#sp=show-clips/weekend",NA,162,45,19,7,1,0,1,1
"Repmarkmeadows","409882952423501_1188036934608095","Mark Meadows","2017-01-10","2017-01-10 15:55:42","The facts are clear: #Obamacare has had disastrous effects on our #economy and #healthcare system. This law needs to be repealed and replaced both quickly and effectively, and it needs to be done in this Congress--not kicked down the road to the future, as #Congress so often does.  Too often, Congress takes a defeatist attitude before we even begin a job. At this moment, it's critical that we take on a much more aggressive, ‘get to work’ mindset when it comes to keeping our promises--particularly in the area of healthcare reform and repealing Obamacare. That's our job. That's what we were sent here to do.  I spoke with Peter Alexander on ""Meet the Press Daily"" about this issue.","video","https://www.facebook.com/Repmarkmeadows/videos/1188036934608095/",NA,111,34,5,1,0,3,1,0
"Repmarkmeadows","409882952423501_1188209934590795","Mark Meadows","2017-01-10","2017-01-10 20:36:44","Republicans in #Congress have rightfully criticized the excessive spending habits of the Obama Administration these last 8 years. For us to bring back earmarks now would send the wrong message. It cannot happen.  It's time for Congress to restore order and use its power over the purse for its rightful purpose: to rein in our out-of-control government and bureaucracy.  My interview on Your World with Neil Cavuto:","video","http://video.foxnews.com/v/5275957527001/#sp=show-clips/daytime",NA,111,20,8,6,0,0,0,0
