"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepresentativeSteveKnight","551782668257916_1000047640098081","Representative Steve Knight","2017-06-28","2017-06-28 15:05:17","HAPPENING LIVE NOW: Watch me and my colleagues on the House Armed Services Committee markup of the National Defense Authorization Act (NDAA) all day long! It’s time to fund our National Defense and ensure the best support to our military.","video","https://www.youtube.com/watch?v=T4I3XcDwOLM",NA,20,13,1,0,0,0,0,0
"RepresentativeSteveKnight","551782668257916_1000296583406520","Representative Steve Knight","2017-06-28","2017-06-28 21:54:12","HAPPENING LIVE NOW-Pt. 3: Watch me and my colleagues on the House Armed Services Committee markup of the National Defense Authorization Act (NDAA) all day long! It’s time to fund our National Defense and ensure the best support to our military. *THIS IS THE THIRD PART TO OUR FULL HEARING*","video","https://www.youtube.com/watch?v=nS5mzkV6uXE",NA,12,3,1,1,0,0,0,0
"RepresentativeSteveKnight","551782668257916_1001108699991975","Representative Steve Knight","2017-06-29","2017-06-29 14:31:14","My Simi Valley Staff attended the weekly Veterans luncheon yesterday. This group of local Veterans meets on Wednesday at various local restaurants around the city to share stories and enjoy time with their fellow veterans. We are lucky to have such great veteran groups like this in our community.","photo","https://www.facebook.com/RepresentativeSteveKnight/photos/a.555234661246050.1073741828.551782668257916/1001108699991975/?type=3",NA,19,3,1,1,0,0,0,0
"RepresentativeSteveKnight","551782668257916_1002028736566638","Representative Steve Knight","2017-06-30","2017-06-30 15:50:42","Yesterday, I was honored to meet our 2017 Congressional Art Contest winner, Rachael Tahir! Rachael and her mother traveled to Washington, DC to participate in ceremonies congratulating contest winners from Congressional districts across the country and viewed her winning photograph hanging in the Capitol hallway, where it will stay for an entire year! Rachael is a very bright and talented young woman from Simi Valley. The Congressional Art Competition is a great way for our young artist to compete in a nationally recognized contest that accents the many talents of our young people. Congratulations Rachael!","photo","https://www.facebook.com/RepresentativeSteveKnight/photos/a.555234661246050.1073741828.551782668257916/1002028736566638/?type=3",NA,79,23,5,9,0,2,0,0
"RepresentativeSteveKnight","551782668257916_1002176706551841","Representative Steve Knight","2017-06-30","2017-06-30 20:20:51","Thank you to James and Eva Fucich and their family for stopping by my office today in DC! The Fucich family is traveling from Simi Valley and has stopped at many historic sites across the country so far for their summer family vacation. They are here touring DC until heading home for 4th of July! Glad you stopped by!","photo","https://www.facebook.com/RepresentativeSteveKnight/photos/a.555234661246050.1073741828.551782668257916/1002176706551841/?type=3",NA,19,6,1,0,0,0,0,0
"RepresentativeSteveKnight","551782668257916_1002187933217385","Representative Steve Knight","2017-07-01","2017-07-01 17:00:00","As we celebrate our nation’s Independence Day, be sure to stay safe when using safe and sane fireworks! Please see below some helpful tips and make sure to leave the illegal firework shows to the pros!","photo","https://www.facebook.com/RepresentativeSteveKnight/photos/a.555234661246050.1073741828.551782668257916/1002187933217385/?type=3",NA,17,4,4,0,0,0,0,0
"RepresentativeSteveKnight","551782668257916_1002188383217340","Representative Steve Knight","2017-07-04","2017-07-04 16:00:00","Happy 4TH of July everyone! Always remember, Freedom isn’t free. I hope you have a safe and wonderful day filled with fun and good company.","video","https://www.facebook.com/RepresentativeSteveKnight/videos/1002188383217340/",NA,203,42,21,19,4,1,0,2
"RepresentativeSteveKnight","551782668257916_1004387089664136","Representative Steve Knight","2017-07-03","2017-07-03 18:07:47","Yesterday my staff presented certificates of recognition to 2016-2017 outgoing Veteran’s of Foreign Affairs (VFW) Post 6885 Commander, Luis Villegas, for his excellent leadership and hard work. Thank you Luis for all you do for VFW Post 6885. Four other post members were honored for their dedication and commitment to Post 6885 as well. Thank you to Paul Darlin, James Bernardi and Doug Cooper! RJ Kelly was installed along with his new board by Corey McKinney. Congratulations to RJ and the whole board.","photo","https://www.facebook.com/RepresentativeSteveKnight/photos/a.555234661246050.1073741828.551782668257916/1004387022997476/?type=3",NA,24,16,1,3,0,0,0,0
"RepresentativeSteveKnight","551782668257916_1006203876149124","Representative Steve Knight","2017-07-05","2017-07-05 20:58:27","Last night Lily and I attended the 4th of July Rodeo! We had a great time celebrating our Independence Day with the community!","photo","https://www.facebook.com/RepresentativeSteveKnight/photos/a.558745300894986.1073741829.551782668257916/1006203846149127/?type=3",NA,87,10,2,0,0,0,0,2
"RepresentativeSteveKnight","551782668257916_1006216726147839","Representative Steve Knight","2017-07-05","2017-07-05 21:24:47","Yesterday a member of my staff attended the Commemoration Ceremony at Simi Valley Memorial Park. In attendance was Staff Sergeant Murray Shapiro: Who landed at D-Day plus 3, fought at Huertgen forest, Battle of the Bulge, and the Colmar Pocket. These veterans are great inspirations to all on such an important holiday. Thank you for your service!","photo","https://www.facebook.com/RepresentativeSteveKnight/photos/a.558745300894986.1073741829.551782668257916/1006216622814516/?type=3",NA,50,8,3,5,1,1,0,0
"RepresentativeSteveKnight","551782668257916_1006273522808826","Representative Steve Knight","2017-07-05","2017-07-05 23:17:07","Today Lily and I attended the Ground Breaking Ceremony in Palmdale for 56 new homes for veterans. It is great to see so many organizations working together to help our veterans. Thank you to Cal Vet, Homes4Families, The City of Palmdale and Habitat for Humanity and their boards for all you do to provide for the men and women who have selflessly given to our nation. With their help and support veterans and their families will have beautiful homes to live and thrive in  the Antelope Valley. It was great to see representatives from Lockheed Martin and Northrup Grumman who are great supporters of this program  as well. I look forward to celebrating the grand opening at a future date.","photo","https://www.facebook.com/RepresentativeSteveKnight/photos/a.558745300894986.1073741829.551782668257916/1006273442808834/?type=3",NA,119,11,9,9,0,0,0,0
"RepresentativeSteveKnight","551782668257916_1006919899410855","Representative Steve Knight","2017-07-06","2017-07-06 20:08:40","Yesterday I attended the swearing in ceremony for the Quartz Hill Chamber of Commerce with LA County Supervisor Kathryn Barger. We are lucky to have organizations like the Chamber of Commerce to help our local businesses by providing resources and guidance. Congratulations to the new team!","photo","https://www.facebook.com/RepresentativeSteveKnight/photos/a.555234661246050.1073741828.551782668257916/1006919899410855/?type=3",NA,43,5,1,0,0,0,0,1
"RepresentativeSteveKnight","551782668257916_1006925806076931","Representative Steve Knight","2017-07-06","2017-07-06 23:00:00","Today I hosted an opioid roundtable with representatives from the Los Angeles Sheriff Department Intervention Team, Henry Mayo, and Action Family Foundation. We discussed the opioid problem in Santa Clarita and how the medical, law enforcement, and private sector can continue to work together to address the problem and find solutions.","photo","https://www.facebook.com/RepresentativeSteveKnight/photos/a.555234661246050.1073741828.551782668257916/1006925806076931/?type=3",NA,57,28,5,2,0,0,0,3
"RepresentativeSteveKnight","551782668257916_1007005572735621","Representative Steve Knight","2017-07-06","2017-07-06 23:21:00","When I am out in the district or in DC, my time is spent meeting with constituents, listening to their concerns and priorities. This is also the full time job of many of my staff in the district. Due to limited scheduling capabilities, we ask that constituents reach out in advance to fill out a request to meet with me or a member of my staff. We also ask that visitors respect other businesses in our buildings by not using signs or chanting. Thank you.","link","https://knight.house.gov/forms/meetingrequest/","knight.house.gov",77,74,29,2,29,1,0,29
"RepresentativeSteveKnight","551782668257916_1007133732722805","Representative Steve Knight","2017-07-07","2017-07-07 03:31:59","Today would have been Nancy Reagan's 96th birthday. Mrs. Reagan served our country as First Lady with poise and graciousness. Let's honor her legacy.","photo","https://www.facebook.com/RepresentativeSteveKnight/photos/a.555234661246050.1073741828.551782668257916/1007133732722805/?type=3",NA,149,16,6,29,0,0,1,1
"RepresentativeSteveKnight","551782668257916_1007555639347281","Representative Steve Knight","2017-07-07","2017-07-07 16:19:39","Today the Plasschaert Family visited my office and took a tour of the Capitol! The family is visiting from Santa Clarita. They have been in New York for their son as he represents the FarWest regional team in the baseball 2017 USSSA All American Games and decided to take the trip south to DC for a few days! Thanks for stopping by!","photo","https://www.facebook.com/RepresentativeSteveKnight/photos/a.555234661246050.1073741828.551782668257916/1007555639347281/?type=3",NA,66,9,2,6,0,2,0,1
"RepresentativeSteveKnight","551782668257916_1008879152548263","Representative Steve Knight","2017-07-09","2017-07-09 16:00:00","As a member of congress, one of the great honors I have appointing young constituents to our Nation’s various military academies. Isaac Barcelona, a member of my district staff, has visited these academies and learned how we can best serve the students in the 25th District that want to attend.  He visited the United States Naval Academy in Annapolis, Maryland. Thank you to the USNA for everything you are doing to keep America safe and strong by preparing our best and brightest to take up the torch of leadership and for giving us the opportunity to see some of what you have to deal with on a daily basis in order to accomplish your mission.","photo","https://www.facebook.com/RepresentativeSteveKnight/photos/a.555234661246050.1073741828.551782668257916/1008878852548293/?type=3",NA,65,14,4,10,0,0,0,0
"RepresentativeSteveKnight","551782668257916_1010555465713965","Representative Steve Knight","2017-07-11","2017-07-11 19:58:58","Interested in working for the Federal Aviation Administration? The FAA is now accepting applications for entry-level air traffic controller positions. Please follow the link below to apply!","link","https://www.usajobs.gov/GetJob/ViewDetails/473871400","usajobs.gov",21,8,15,0,2,0,1,0
"RepresentativeSteveKnight","551782668257916_1010641719038673","Representative Steve Knight","2017-07-11","2017-07-11 22:57:56","Today, my bill, the Saint Francis Dam Disaster National Memorial Act passed unanimously from the House! I am very thankful for the support the 25th district has received from my colleagues across the country regarding this tragedy. I look forward to future movement of the bill through the Senate.","video","https://www.facebook.com/RepresentativeSteveKnight/videos/1010641719038673/",NA,116,27,19,5,0,0,0,3
"RepresentativeSteveKnight","551782668257916_1011084558994389","Representative Steve Knight","2017-07-12","2017-07-12 13:32:31","Yesterday at the Antelope Valley Hispanic Chamber attendees heard an update from our local law enforcement. Capt. Kneer from the Palmdale Sheriff’s Station, Capt. Eric Broneer from the Antelope Valley CHP Office and Capt. Todd Weber of the Lancaster Sheriff’s Station were on hand to answer questions as well as share some of the programs available to the community. The trio spoke about issues like distracted driving, opioid use and how law enforcement works with cities and the county to better our valley. I want to extend my thanks to all of the men and women of law enforcement and their families for putting their lives on the line every day.","photo","https://www.facebook.com/RepresentativeSteveKnight/photos/a.555234661246050.1073741828.551782668257916/1011084285661083/?type=3",NA,41,4,2,0,0,0,0,0
"RepresentativeSteveKnight","551782668257916_1011235478979297","Representative Steve Knight","2017-07-12","2017-07-12 17:47:25","Thanks to the Crawford family for stopping by my DC office yesterday before your Capitol tour! They have traveled from Santa Clarita for a family vacation to learn more about our nation’s history. I hope you enjoy your time here in DC!","photo","https://www.facebook.com/RepresentativeSteveKnight/photos/a.555234661246050.1073741828.551782668257916/1011235478979297/?type=3",NA,31,3,0,0,0,1,0,0
"RepresentativeSteveKnight","551782668257916_1011369762299202","Representative Steve Knight","2017-07-12","2017-07-12 22:09:06","This morning I participated in the Science, Space and Technology, Subcommittee on Research and Technology, hearing to review the priorities of both the United States Fire Administration Assistance to Firefighters (FIRE) and Staffing for Adequate Fire and Emergency Response (SAFER) grant programs. The current authorization for USFA and the FIRE/SAFER programs expires on September 30, 2017. These grants provide resources and training to our nation’s first responders combating and preventing fires in our communities and we will work hard to extend their funding.","photo","https://www.facebook.com/RepresentativeSteveKnight/photos/a.555234661246050.1073741828.551782668257916/1011369598965885/?type=3",NA,25,8,2,0,0,0,0,0
"RepresentativeSteveKnight","551782668257916_1011370635632448","Representative Steve Knight","2017-07-13","2017-07-13 00:00:00","So far in 2017 the House has passed 8 bills, 3 specifically passed today, dealing with prevention of sex trafficking, children exploitation, and treatment for victims of trafficking. Legislation like this is not always mentioned in the day’s headlines but they are examples of bipartisan collaboration to deal with some of the most troubling issues of our communities. Trafficking has caused so much hidden trauma and I am proud of the strides we are taking to combat this issue.","status",NA,NA,50,15,2,3,0,0,0,0
"RepresentativeSteveKnight","551782668257916_1011439848958860","Representative Steve Knight","2017-07-13","2017-07-13 00:56:34","Congratulations to my good friend Rep. David Valadeo on the passage of his bill, HR 23, Gaining Responsibility on Water Act. This bill, which I cosponsored, sets a timeline for completion of the New Melones Reservoir study, prevents federal and state exploitation of water rights, and extends the program to protect Anadromous Fish in Stanislaus River for 2 years. Californians understand the importance of reserving our water supplies for our neighbors.","status",NA,NA,12,2,0,0,0,0,0,0
"RepresentativeSteveKnight","551782668257916_1011986712237507","Representative Steve Knight","2017-07-13","2017-07-13 19:09:40","Here is my floor speech from yesterday in support of my colleague, Rep. David Valadeo’s Gaining Responsibility On Water Act or GROW Act. Californians need to be proactive with our water supply to prevent future droughts. I am proud to have stood with my colleagues to help pass this important legislation.","link","https://youtu.be/Ify_xnlS4Tc","youtu.be",13,6,2,1,1,0,1,0
"RepresentativeSteveKnight","551782668257916_1012145272221651","Representative Steve Knight","2017-07-14","2017-07-14 00:38:26","Please stay informed here of any updates regarding the Towsley fire.","photo","https://www.facebook.com/khtsradio/photos/a.203966039668508.50609.132925443439235/1460153317383101/?type=3",NA,3,4,0,0,0,2,1,0
"RepresentativeSteveKnight","551782668257916_1012754668827378","Representative Steve Knight","2017-07-14","2017-07-14 20:40:42","Today we passed the National Defense Authorization Act, authorizing programs to the Department of Defense through FY2018. This includes the largest pay increase in 8 years for our service members at 2.4%. Now we are able to provide our armed services with resources and advancements they have needed for a long time.","video","https://www.facebook.com/RepresentativeSteveKnight/videos/1012754668827378/",NA,44,34,10,2,0,0,0,4
"RepresentativeSteveKnight","551782668257916_1015666308536214","Representative Steve Knight","2017-07-18","2017-07-18 15:21:56","Last week my Women’s Business Center Legislation passed with the NDAA. Check out this op-ed I wrote, along with Antonella Pianalto, President and CEO of Association of Women’s Business Centers, about the Women’s Business Centers and their impact on our future women entrepreneurs.","link","http://www.hometownstation.com/santa-clarita-latest-news/women-business-owners-make-strides-thanks-to-congressman-knight-199411","hometownstation.com",46,23,4,0,1,1,0,4
"RepresentativeSteveKnight","551782668257916_1015880485181463","Representative Steve Knight","2017-07-18","2017-07-18 21:55:08","Yesterday was the 100th Anniversary of NASA Langley’s establishment- the nation’s first aeronautics laboratory. Over the years, NASA has lead the way in aeronautics, technology, and space exploration. We are very lucky to have organizations like NASA who will work towards our future opportunities of exploration.","video","https://www.youtube.com/watch?v=ks1SRA6Sljw",NA,18,6,0,0,0,0,0,0
"RepresentativeSteveKnight","551782668257916_1016642131771965","Representative Steve Knight","2017-07-19","2017-07-19 21:18:40","Today on Capitol Hill, I visited Pratt & Whitney's display of their newest turbofan engine. Its advances in fuel usage, emissions, and noise level reductions are rooted  in early stage R&D done in partnership with NASA and other U.S. industry players. This engine is the end-goal of two decades of American ingenuity and hard work, but it can't be where we stop. Foreign competitors are racing to catch up. We have to recommit to a disciplined R&D strategy to maintain our technological lead in aviation.","photo","https://www.facebook.com/RepresentativeSteveKnight/photos/a.555234661246050.1073741828.551782668257916/1016641828438662/?type=3",NA,39,8,3,1,0,0,0,0
"RepresentativeSteveKnight","551782668257916_1016761081760070","Representative Steve Knight","2017-07-20","2017-07-20 01:41:14","Senator John McCain is a true patriot and American hero. Throughout his life, he has continuously proven to be fighter and I know he will fight this too. He is a leader, advocate, husband, father, veteran, and much more. Lily and I have Sen. McCain and his family in our thoughts and prayers tonight.","status",NA,NA,155,26,5,14,0,0,13,0
"RepresentativeSteveKnight","551782668257916_1017134405056071","Representative Steve Knight","2017-07-20","2017-07-20 14:14:38","""That's one small step for man, one giant leap for mankind."" #OTD July 20, 1969, Neil Armstrong took the first steps on the moon. Apollo 11’s successful mission is a great example of American exploration and exceptionalism. It taught our nation of endless opportunities of exploring the unknown and never backing down from a challenge.","photo","https://www.facebook.com/RepresentativeSteveKnight/photos/a.555234661246050.1073741828.551782668257916/1017134218389423/?type=3",NA,41,5,5,3,0,0,0,0
"RepresentativeSteveKnight","551782668257916_1017985791637599","Representative Steve Knight","2017-07-21","2017-07-21 18:15:41","Monday, I had the great honor of touring Plant 42 with Air Force Secretary Heather Wilson and other Air Force senior leadership. We visited Lockheed Martin and Northrop Grumman, two defense contractors that exemplify the defense industry’s dedication to our national security and technological advancement, as well as Stratolaunch’s innovative efforts at the Mojave Air and Space Port. I am always proud to share the great impact the Antelope, Santa Clarita and Simi Valleys make on American safety at home and abroad, and look forward to advancing future opportunities for our district.","photo","https://www.facebook.com/RepresentativeSteveKnight/photos/a.555234661246050.1073741828.551782668257916/1017985391637639/?type=3",NA,83,11,5,3,0,2,0,0
"RepresentativeSteveKnight","551782668257916_1018601954909316","Representative Steve Knight","2017-07-22","2017-07-22 14:00:18","Yesterday, my staff presented a certificate of recognition for Urbane Café as the honoree this week from the Simi Valley Chamber of Commerce. As busy as they were, the friendly staff greeted each customer as they walked in, welcomed them to the restaurant and offered a specialty or crowd favorite (their delicious Cranberry Brie sandwich). Proud Manager, Ricardo was surprised and excited to share the certificate with his hardworking staff. Small businesses like Urbane Café keep our community unique and thriving!","photo","https://www.facebook.com/RepresentativeSteveKnight/photos/a.555234661246050.1073741828.551782668257916/1018601954909316/?type=3",NA,24,6,1,0,0,0,0,0
