"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepresentativeValDemings","1285322494883292_1145590078896170","U.S. Representative Val Demings","2017-03-29","2017-03-29 20:56:47","Congresswoman Val Demings wants to hear from you. Join her for a Town Hall in Apopka on April 11th from 7pm-9pm. It will be hosted in the Council Chambers of the Apopka City Hall","event","https://www.facebook.com/events/1145590078896170/",NA,23,0,0,2,0,0,0,0
"RepresentativeValDemings","1285322494883292_123656544874763","U.S. Representative Val Demings","2017-05-22","2017-05-22 14:14:04","Join Congresswoman Val Demings for a legislative update and town hall in Eatonville on Tuesday, May 30.","event","https://www.facebook.com/events/123656544874763/",NA,16,0,0,0,0,0,0,0
"RepresentativeValDemings","1285322494883292_1286405424774999","U.S. Representative Val Demings","2017-01-01","2017-01-01 18:49:28",NA,"photo","https://www.facebook.com/RepresentativeValDemings/photos/a.1286405418108333.1073741825.1285322494883292/1286405424774999/?type=3",NA,42,2,0,5,0,0,0,0
"RepresentativeValDemings","1285322494883292_1288255551256653","U.S. Representative Val Demings","2017-01-03","2017-01-03 22:10:06",NA,"photo","https://www.facebook.com/RepresentativeValDemings/photos/a.1286429801439228.1073741827.1285322494883292/1288255551256653/?type=3",NA,65,10,2,12,0,0,0,2
"RepresentativeValDemings","1285322494883292_1288786171203591","U.S. Representative Val Demings","2017-01-04","2017-01-04 22:07:42","A day I will never forget. Being sworn into the U.S. House of Representatives.  My promise to my constituents and the people in Central Florida: Every day I'm here, I'm going to fight for fairness. I'm going to fight for equal protection under the law, and continue to protect and serve you.","photo","https://www.facebook.com/RepresentativeValDemings/photos/a.1288813107867564.1073741828.1285322494883292/1288786171203591/?type=3",NA,81,7,8,16,1,0,0,0
"RepresentativeValDemings","1285322494883292_1289073461174862","U.S. Representative Val Demings","2017-01-04","2017-01-04 23:34:00",NA,"photo","https://www.facebook.com/RepresentativeValDemings/photos/a.1286405418108333.1073741825.1285322494883292/1289073461174862/?type=3",NA,97,11,3,19,0,0,0,2
"RepresentativeValDemings","1285322494883292_1289597101122498","U.S. Representative Val Demings","2017-01-05","2017-01-05 16:19:54","""I am leaving, but I am not going to be QUIET.""  Thank you Mr. Vice President.","photo","https://www.facebook.com/RepresentativeValDemings/photos/a.1288813107867564.1073741828.1285322494883292/1289597101122498/?type=3",NA,60,1,5,11,0,0,0,0
"RepresentativeValDemings","1285322494883292_1290524594363082","U.S. Representative Val Demings","2017-01-06","2017-01-06 17:56:46","We are hearing from our constituents that the Affordable Care Act is saving lives.   We want to know, how has the ACA helped you?   Share your story with us.","link","https://demings.house.gov/affordable-health-care-act","demings.house.gov",12,5,5,0,0,0,0,0
"RepresentativeValDemings","1285322494883292_1290593251022883","U.S. Representative Val Demings","2017-01-06","2017-01-06 19:28:50","As we wait to learn more details about the shooting at the Fort Lauderdale-Hollywood International airport our prayers are with the victims and their families. We thank the first responders for their bravery in the face of danger.","status",NA,NA,25,1,0,2,0,0,0,0
"RepresentativeValDemings","1285322494883292_1290660501016158","U.S. Representative Val Demings","2017-01-06","2017-01-06 21:44:33","This senseless shooting, like the one we saw at Pulse Night Club in Orlando and the countless others around our Nation where innocent victims are targeted, is hard to comprehend.  Today's shooting brings back painful memories of September 11, 2001, when I was assigned to lead the Orlando Police Department's Airport division at Orlando International Airport.  As we wait to learn more details about what led to this heinous act, we pray for the victims and their families, facing a horror that no family should ever have to.  We thank and commend the first responders and airport staff for their bravery in the face of danger.","status",NA,NA,22,0,1,1,0,0,1,0
"RepresentativeValDemings","1285322494883292_1292726647476210","U.S. Representative Val Demings","2017-01-09","2017-01-09 15:23:30","LAW ENFORCEMENT APPRECIATION DAY.  As we celebrate the bravery of law enforcement officers all over our nation, I join Orlando in mourning the violent death of one of our own. COURAGE. PRIDE. COMMITMENT.","photo","https://www.facebook.com/RepresentativeValDemings/photos/a.1288813107867564.1073741828.1285322494883292/1292726647476210/?type=3",NA,59,4,38,10,0,0,18,0
"RepresentativeValDemings","1285322494883292_1292878357461039","U.S. Representative Val Demings","2017-01-09","2017-01-09 19:17:10","I join Orlando, the Orange County Sheriff’s Office and my Orlando Police Department family in mourning the violent death of one of our own and the death of a deputy killed in the line of duty.  I had the honor of working with Sgt. Debra Clayton for many years at the Orlando Police Department. Sgt. Clayton was a fine law enforcement officer, wife, and mother who served her community with pride and as a mentor to young women.  Gone, but never forgotten.","photo","https://www.facebook.com/RepresentativeValDemings/photos/a.1288813107867564.1073741828.1285322494883292/1292878357461039/?type=3",NA,86,10,22,11,0,0,54,0
"RepresentativeValDemings","1285322494883292_1293065760775632","U.S. Representative Val Demings","2017-01-10","2017-01-10 01:07:36","My first speech on the House Floor was not one I ever imagined giving.  We honor the life and legacy of Master Sgt. Deborah Clayton and Deputy Norman Lewis.   Gone, but never forgotten.","video","https://www.facebook.com/RepresentativeValDemings/videos/1293065760775632/",NA,273,52,320,67,0,1,156,0
"RepresentativeValDemings","1285322494883292_1294268313988710","U.S. Representative Val Demings","2017-01-11","2017-01-11 14:55:44","""I am asking you to hold fast to that faith written into our founding documents; that idea whispered by slaves and abolitionists; that spirit sung by immigrants and homesteaders and those who marched for justice; that creed reaffirmed by those who planted flags from foreign battlefields to the surface of the moon; a creed at the core of every American whose story is not yet written: Yes, we CAN. Yes, We DID. Yes, we CAN.""  Thank you Mr. President for leading this country through some of its toughest times with courage, grace and strength. You will be remembered not just for your leadership, but your character.   Thank you for showing us that we are the ones who create the change, for empowering our young people to take control of their future, and encouraging all of us to work hard to protect the change you were able to create.  We are forever grateful for your service. Yes, we CAN.","photo","https://www.facebook.com/RepresentativeValDemings/photos/a.1288813107867564.1073741828.1285322494883292/1294268313988710/?type=3",NA,128,9,26,33,0,1,0,0
"RepresentativeValDemings","1285322494883292_1294634597285415","U.S. Representative Val Demings","2017-01-12","2017-01-12 00:08:17","Today I introduced an amendment that would protect seniors on Medicare from seeing changes to the price of their prescription drugs because of an ACA repeal.  With too many Floridians, and seniors across the nation struggling to make ends meet, I strongly believe that Congress can do more to make sure we do not go backwards.","video","https://www.facebook.com/RepresentativeValDemings/videos/1294634597285415/",NA,308,41,187,37,0,3,1,0
"RepresentativeValDemings","1285322494883292_1295159633899578","U.S. Representative Val Demings","2017-01-12","2017-01-12 14:01:59","""The world would be a different place if it were not for Martin Luther King Jr.""   Thank you Congressman John Lewis for sharing your stories with the Freshman Class of the 115th Congress to honor Martin Luther King Jr. Day.","photo","https://www.facebook.com/RepresentativeValDemings/photos/a.1288813107867564.1073741828.1285322494883292/1295159633899578/?type=3",NA,31,1,1,3,0,0,0,0
"RepresentativeValDemings","1285322494883292_1295249557223919","U.S. Representative Val Demings","2017-01-12","2017-01-12 15:40:00","It is always an honor to hear Congressman John Lewis speak. We are grateful you took on the fight for civil rights, and that you continue to fight for justice.","photo","https://www.facebook.com/RepresentativeValDemings/photos/a.1288813107867564.1073741828.1285322494883292/1295249557223919/?type=3",NA,186,9,16,28,0,0,0,0
"RepresentativeValDemings","1285322494883292_1295371897211685","U.S. Representative Val Demings","2017-01-12","2017-01-12 18:30:41","Repealing the Affordable Care Act would put millions at risk of losing their health care, and millions more of losing their jobs.  I stood on the House Floor today to urge my colleagues to work to STRENGTHEN the ACA, not repeal it.","video","https://www.facebook.com/RepresentativeValDemings/videos/1295371897211685/",NA,85,11,21,14,0,0,0,1
"RepresentativeValDemings","1285322494883292_1296084267140448","U.S. Representative Val Demings","2017-01-13","2017-01-13 15:39:44","1.6 Million More Floridians now have access to quality health care because of the Affordable Care Act. These Floridians can't afford to lose access to that health care.   We must stand against the plan to Repeal & Replace ACA.","photo","https://www.facebook.com/RepresentativeValDemings/photos/a.1288813107867564.1073741828.1285322494883292/1296084267140448/?type=3",NA,35,3,3,0,0,0,0,1
"RepresentativeValDemings","1285322494883292_1296185930463615","U.S. Representative Val Demings","2017-01-13","2017-01-13 18:07:18","A beautiful tribute to my friend Master Sgt. Debra Clayton.  Gone, but never forgotten.","link","http://www.cnn.com/2017/01/13/us/beyond-the-call-of-duty-orlando/index.html","cnn.com",69,4,10,9,0,0,31,0
"RepresentativeValDemings","1285322494883292_1296346097114265","U.S. Representative Val Demings","2017-01-13","2017-01-13 21:31:17","Today I voted to protect the Affordable Care Act.  Repealing #ACA without a plan to replace it is destructive and irresponsible.   I promise to continue to fight on behalf of Central Floridians, and all Americans, to ensure no one is stripped of their health care.","status",NA,NA,152,25,7,25,0,0,0,1
"RepresentativeValDemings","1285322494883292_1298606753554866","U.S. Representative Val Demings","2017-01-16","2017-01-16 14:03:57",NA,"photo","https://www.facebook.com/RepresentativeValDemings/photos/a.1288813107867564.1073741828.1285322494883292/1298606753554866/?type=3",NA,53,9,13,8,0,0,0,0
"RepresentativeValDemings","1285322494883292_1300258736723001","U.S. Representative Val Demings","2017-01-18","2017-01-18 16:28:45","It is hard to pick the most troubling thing to come out of the #DeVosHearing. No Mrs. DeVos, guns have no place in our schools.","link","https://www.washingtonpost.com/news/answer-sheet/wp/2017/01/18/six-astonishing-things-betsy-devos-said-and-refused-to-say-at-her-confirmation-hearing/?utm_term=.02cce10ff181","washingtonpost.com",83,19,12,6,0,5,9,1
"RepresentativeValDemings","1285322494883292_1301276753287866","U.S. Representative Val Demings","2017-01-19","2017-01-19 18:18:35","As we say farewell to President Obama, let's not forget to thank him for the progress he fought for over the last 8 years.   Let's continue to thank him by protecting that progress.   #ThanksObama","photo","https://www.facebook.com/RepresentativeValDemings/photos/a.1288813107867564.1073741828.1285322494883292/1301276753287866/?type=3",NA,141,5,8,27,1,0,0,0
"RepresentativeValDemings","1285322494883292_1301318689950339","U.S. Representative Val Demings","2017-01-19","2017-01-19 19:51:04","I stopped by the Pine Hills Community Center to talk to this wonderful group of Seniors this morning.   My promise to them, and to all of you, is to protect Medicare, every part of it. Every senior deserves to retire with dignity and respect, Medicare is at the foundation of that. #ACAWorks #SaveACA","photo","https://www.facebook.com/RepresentativeValDemings/photos/a.1288813107867564.1073741828.1285322494883292/1301316669950541/?type=3",NA,55,2,2,8,0,0,0,0
"RepresentativeValDemings","1285322494883292_1301916246557250","U.S. Representative Val Demings","2017-01-20","2017-01-20 15:16:45","I spoke with News 6 this morning ahead of the Inauguration.   I know my constituents are looking to me and my colleagues to hold President Trump accountable.   We need to ensure that his agenda is one that is inclusive to all people. He needs to show us that he will work to unite this country.   The American people deserve to hear that today.","photo","https://www.facebook.com/RepresentativeValDemings/photos/a.1288813107867564.1073741828.1285322494883292/1301916246557250/?type=3",NA,51,7,12,6,0,0,0,0
"RepresentativeValDemings","1285322494883292_1302042893211252","U.S. Representative Val Demings","2017-01-20","2017-01-20 18:39:16","""I have no fear anymore. I'm not afraid of failure. I believe many women will not try to reach their full potential or get that corner office because they're afraid of failure and what that will mean about them. I would not be a member of Congress right now if I had been afraid of losing.""","link","http://ellemag.co/3pzV6Q9","ellemag.co",143,31,20,17,0,0,0,1
"RepresentativeValDemings","1285322494883292_1305744739507734","U.S. Representative Val Demings","2017-01-24","2017-01-24 14:28:13","Republicans are on a mission to repeal and replace the Affordable Care Act without a viable replacement and lives are at risk.   ""The biggest and most definitive study of what happens to death rates when Medicaid coverage is expanded, published in the New England Journal of Medicine, found that for every 455 people who gained coverage across several states, one life was saved per year. Applying that figure to even a conservative estimate of 20 million losing coverage in the event of an ACA repeal yields an estimate of 43,956 deaths annually.""  #ProtectACA","link","https://www.washingtonpost.com/posteverything/wp/2017/01/23/repealing-the-affordable-care-act-will-kill-more-than-43000-people-annually/?utm_term=.7c3c21bc787d","washingtonpost.com",9,4,3,0,0,0,0,8
"RepresentativeValDemings","1285322494883292_1306200096128865","U.S. Representative Val Demings","2017-01-25","2017-01-25 00:25:18","Headed back to the district. Ready for some warmer weather!","photo","https://www.facebook.com/RepresentativeValDemings/photos/a.1288813107867564.1073741828.1285322494883292/1306200096128865/?type=3",NA,186,13,5,14,2,0,0,0
"RepresentativeValDemings","1285322494883292_1308165595932315","U.S. Representative Val Demings","2017-01-26","2017-01-26 21:45:37","From the bottom of my heart, THANK YOU.  Thank you to everyone who was in the room, and those of you who were not. It's been a journey to get here and I'm so honored to represent Central Florida. I will always fight for you.","video","https://www.facebook.com/RepresentativeValDemings/videos/1308165595932315/",NA,68,6,4,11,0,0,0,0
"RepresentativeValDemings","1285322494883292_1308967755852099","U.S. Representative Val Demings","2017-01-27","2017-01-27 20:33:13","It was such an honor to have the family of Lt. Deborah Clayton, and the family of Deputy Norm Lewis with us at my swearing-in ceremony yesterday.  We presented them with Congressional flags that were flown over the Capitol in honor of Lt. Clayton and Deputy Lewis. To both families, our community continues to stand with you during these difficult times.   Gone, but never forgotten.","video","https://www.facebook.com/RepresentativeValDemings/videos/1308967755852099/",NA,40,4,4,11,0,0,0,0
"RepresentativeValDemings","1285322494883292_1309019372513604","U.S. Representative Val Demings","2017-01-27","2017-01-27 22:16:33","We must protect Melissa Nelson and the millions of other people who are insured under the Affordable Care Act.","link","http://www.wftv.com/news/local/lawmakers-work-to-make-sure-any-aca-repeal-wont-leave-people-uninsured/488536754","wftv.com",12,3,0,0,0,0,0,0
"RepresentativeValDemings","1285322494883292_1309651809117027","U.S. Representative Val Demings","2017-01-28","2017-01-28 16:52:38","Spending the afternoon at the Zora Neale Hurston Festival. Come join us!","photo","https://www.facebook.com/RepresentativeValDemings/photos/a.1301318699950338.1073741829.1285322494883292/1309651292450412/?type=3",NA,37,3,2,0,0,0,0,0
"RepresentativeValDemings","1285322494883292_1310432192372322","U.S. Representative Val Demings","2017-01-29","2017-01-29 14:22:37","We are continuing to monitor this situation closely here in Central Florida.  This afternoon I will be meeting with leaders from the Central Florida Muslim Community. We must stand united against this immoral and unconstitutional ban of Muslims.","link","http://www.wftv.com/news/local/no-detentions-at-central-florida-airports-following-presidents-travel-ban/488837298","wftv.com",118,40,18,17,0,0,0,0
"RepresentativeValDemings","1285322494883292_1310695182346023","U.S. Representative Val Demings","2017-01-29","2017-01-29 20:09:58","Meeting with the Central Florida Muslim Community about President Trump's Executive Order Banning Refugees and Migrants from Muslim Countries","video","https://www.facebook.com/RepresentativeValDemings/videos/1310695182346023/",NA,63,30,25,12,0,0,0,0
