"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RichardShelby","50850514797_10154863886534798","Senator Richard Shelby","2017-01-01","2017-01-01 16:21:47",NA,"photo","https://www.facebook.com/RichardShelby/photos/a.392177924797.171560.50850514797/10154863886534798/?type=3",NA,106,15,3,5,1,0,0,0
"RichardShelby","50850514797_10154870245709798","Senator Richard Shelby","2017-01-03","2017-01-03 21:24:12","Today I was sworn-in to the U.S. Senate.  It is a tremendous honor and privilege to represent the people of Alabama for another six years.  In this next term, I am committed to continuing my record of service and working to ensure that Alabama’s interests are represented and protected in Washington.   The 115th Congress presents a great opportunity for Alabamians and all Americans under the leadership of President-elect Trump and our Republican majorities in Congress.  From filling the late Justice Antonin Scalia’s seat on the Supreme Court with a conservative voice to rolling back burdensome rules and regulations, I am confident that we will make much-needed progress for our country in the coming weeks, months, and years.","link","http://www.shelby.senate.gov/public/index.cfm/2017/1/shelby-sworn-in-to-sixth-term-in-u-s-senate","shelby.senate.gov",514,63,37,35,1,1,2,8
"RichardShelby","50850514797_10154872867334798","Senator Richard Shelby","2017-01-04","2017-01-04 19:57:15",NA,"photo","https://www.facebook.com/SenateGOP/photos/a.10150526406149360.391511.11052154359/10154819079469360/?type=3",NA,86,27,0,7,1,0,0,0
"RichardShelby","50850514797_10154873188909798","Senator Richard Shelby","2017-01-04","2017-01-04 22:08:56","Today I introduced legislation in the Senate proposing a constitutional amendment that would require Congress to have a balanced budget.  The idea behind a balanced budget amendment is simple: the federal government should be required to do what hardworking Americans do every day.  A $19 trillion debt is simply unsustainable and will place a heavy burden on our children and grandchildren if we do not take steps to reverse this irresponsible course.  I’m pleased to once again introduce this common sense policy that would reduce wasteful government spending, restore confidence in our economy, and foster job growth.","link","http://www.shelby.senate.gov/public/index.cfm/2017/1/shelby-proposes-balanced-budget-amendment-to-the-constitution","shelby.senate.gov",455,65,55,19,3,1,0,1
"RichardShelby","50850514797_10154876111044798","Senator Richard Shelby","2017-01-05","2017-01-05 23:36:14","Today I was honored to receive the Distinguished Public Service Award from the United States Navy.  This award is the highest recognition that the Secretary may offer a civilian not employed by the Department.  As we begin the 115th Congress, my support for the finest maritime force in the history of the world remains as strong as it has ever been.  I'm proud to reaffirm my commitment to ensuring that the Navy has the capabilities and resources that it requires to be successful.    Read my full statement here: http://www.shelby.senate.gov/public/index.cfm/2017/1/shelby-receives-distinguished-public-service-award-from-the-united-states-navy","photo","https://www.facebook.com/RichardShelby/photos/a.392177924797.171560.50850514797/10154876111044798/?type=3",NA,219,25,14,15,1,1,0,0
"RichardShelby","50850514797_10154886816339798","Senator Richard Shelby","2017-01-09","2017-01-09 20:26:01","Tonight is the College Football National Championship game, and I have placed a friendly wager with South Carolina Senator Tim Scott.  If the Crimson Tide wins, Senator Scott is promising to send Cromer’s Peanuts to my office. If the Tigers win, I will deliver Priester's Pecans to Senator Scott's office.  I have no doubt that Coach Saban will have our team prepared and that he will lead the Tide to another National Championship victory!","link","http://www.wsfa.com/story/34216401/senator-showdown-on-college-football-national-championship","wsfa.com",170,25,8,8,6,0,0,0
"RichardShelby","50850514797_10154886958069798","Senator Richard Shelby","2017-01-09","2017-01-09 21:22:04","Tomorrow morning, I will have the honor of introducing my friend Senator Jeff Sessions at his Senate Judiciary confirmation hearing.  I look forward to discussing his unmatched qualifications to be the next U.S. Attorney General as well as his extraordinary character and integrity.   You can watch the hearing live at 8:30am CT on C-SPAN: https://www.c-span.org/","link","https://www.c-span.org/","c-span.org",504,42,39,41,1,1,0,11
"RichardShelby","50850514797_10154887469329798","Senator Richard Shelby","2017-01-10","2017-01-10 01:15:45",NA,"video","https://www.facebook.com/AlabamaAthletics/videos/10154752434087209/",NA,94,6,0,2,0,0,0,0
"RichardShelby","50850514797_10154888820339798","Senator Richard Shelby","2017-01-10","2017-01-10 13:53:09","The Senate Judiciary Committee begins its hearing on the nomination of Senator Jeff Sessions to serve as our next United States Attorney General at 8:30am CT.   Watch me introduce my friend and colleague at this historic hearing:  https://www.c-span.org/video/?420932-1/attorney-general-nominee-jeff-sessions-testifies-confirmation-hearing","link","https://www.c-span.org/video/?420932-1%2Fattorney-general-nominee-jeff-sessions-testifies-confirmation-hearing","c-span.org",139,17,14,16,0,0,0,4
"RichardShelby","50850514797_10154889240579798","Senator Richard Shelby","2017-01-10","2017-01-10 16:27:35","It was my distinct pleasure to introduce Jeff Sessions in the Senate Judiciary Committee this morning.  I am confident that the Committee will report favorably and expeditiously his nomination to be the next United States Attorney General.  Read my full remarks here: http://www.shelby.senate.gov/public/index.cfm/2017/1/shelby-introduces-sessions-in-judiciary-committee-ag-confirmation-hearing","video","https://www.facebook.com/RichardShelby/videos/10154889240579798/",NA,298,13,17,23,0,1,0,4
