"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"ScottDesJarlaisTN04","145110472209094_1190884707631660","Scott DesJarlais","2017-01-03","2017-01-03 18:35:50","Excited to kick off the the 115th Congress and Make America Great Again! #TN04 #MAGA #OpeningDay","photo","https://www.facebook.com/ScottDesJarlaisTN04/photos/a.297343383652468.69433.145110472209094/1190884707631660/?type=3",NA,121,17,5,4,0,0,0,1
"ScottDesJarlaisTN04","145110472209094_1190998394286958","Scott DesJarlais","2017-01-03","2017-01-03 22:34:22","Today, the first day of the new Congress, we’re working on improving veterans health care. To fix persistent problems at the Veterans Administration, I’ll vote for my Tennessee colleague Dr. Phil Roe's bill to ensure the safety of inventory at VA hospitals and another to enforce discipline in the dysfunctional bureaucracy. With a new President in office, I’m confident change will finally come to an institution that has failed too many in the Volunteer State.","link","http://www.washingtonexaminer.com/2017-to-be-year-of-massive-change-in-washington/article/2610685","washingtonexaminer.com",260,35,24,16,1,0,0,1
"ScottDesJarlaisTN04","145110472209094_1191052014281596","Scott DesJarlais","2017-01-04","2017-01-04 00:03:13","Signing my Oath of Office for the 115th Congress. Honored to continue serving the Fourth Congressional District of Tennessee #TN04 #TennesseeTuesday","photo","https://www.facebook.com/ScottDesJarlaisTN04/photos/a.297343383652468.69433.145110472209094/1191052014281596/?type=3",NA,514,40,11,25,0,1,1,0
"ScottDesJarlaisTN04","145110472209094_1191714267548704","Scott DesJarlais","2017-01-04","2017-01-04 23:23:11","As this young woman discovered, an Obamacare plan is just an expensive piece of paper. Ironically, to solve her chronic medical problem, she negotiated directly with a health care provider in the private market, where competition and price transparency drive  down costs. But she's still paying high premiums for Obamacare. Imagine the savings, if we simply repealed the failing law.","link","http://thefederalist.com/2017/01/04/obamacare-means-never-getting-doctor-you-need/","thefederalist.com",198,63,54,8,0,4,9,15
"ScottDesJarlaisTN04","145110472209094_1192196574167140","Scott DesJarlais","2017-01-05","2017-01-05 15:03:12","Last night, I voted on the Midnight Rules Relief Act to stop lame-duck Presidents from implementing last-minute regulations. This would be an important step in ensuring the American people have a say in harmful rules and regulations that cost our economy billions of dollars every year.","link","http://www.chattanoogan.com/2017/1/4/339146/Rep.-Scott-DesJarlais-Votes-To-Stop.aspx","chattanoogan.com",854,74,71,45,2,0,0,1
"ScottDesJarlaisTN04","145110472209094_1192355784151219","Scott DesJarlais","2017-01-05","2017-01-05 19:47:27","Only the worst of the worst jihadists remain in Guantanamo. Many of the released detainees return to terrorism. Most of the 9/11 attackers were from Saudi Arabia! This President is inflicting as much damage as possible before leaving office, again putting politics ahead of the safety and security of the American people. A new Commander-in-Chief couldn’t come soon enough.","link","http://www.foxnews.com/politics/2017/01/04/four-guantanamo-detainees-transferring-to-saudi-arabia-as-part-final-wave.html","foxnews.com",157,45,76,0,0,1,7,96
"ScottDesJarlaisTN04","145110472209094_1193104867409644","Scott DesJarlais","2017-01-06","2017-01-06 21:21:55","My heart goes out to victims of arson, and I’m eager to see a full review of the disaster and response, including any breach of policy. To improve federal policy, my responsibility on the House Agriculture Committee, I voted for a bill to better identify and manage high-risk zones, as well as to dedicate more public resources to the effort, in order to protect communities like Gatlinburg.","link","http://www.knoxnews.com/story/news/politics/2017/01/06/tennessee-officeholders-say-they-await-park-service-findings/96209688/","knoxnews.com",70,3,3,0,0,0,1,0
"ScottDesJarlaisTN04","145110472209094_1195097860543678","Scott DesJarlais","2017-01-09","2017-01-09 21:05:04","Today is National Law Enforcement Appreciation Day. Please join me in honoring our nation's law enforcement men and women by taking a moment to #ThankACop and #SupportBlue #TakeTheLead2017 #TN04","link","http://www.usatoday.com/story/news/nation-now/2016/08/09/tennessee-law-enforcement-agent-shot-killed/88494290/","usatoday.com",194,20,76,12,0,1,77,6
"ScottDesJarlaisTN04","145110472209094_1195642460489218","Scott DesJarlais","2017-01-10","2017-01-10 16:53:49","The Volunteer State has a proud military tradition, and Tennessee’s Fourth District lies at the center of the Aerospace and Defense Technology Corridor that includes Fort Campbell, Redstone Arsenal, Arnold Air Force Base, and Oak Ridge National Laboratory. I’m honored to serve the patriotic men and women who call our district home, and eager to get to work in the new Congress, in partnership with a new Administration, on the most urgent security matters facing the United States.","link","http://thehill.com/business-a-lobbying/313499-house-armed-services-committee-announces-new-gop-members","thehill.com",342,38,20,13,1,1,0,1
"ScottDesJarlaisTN04","145110472209094_1196331573753640","Scott DesJarlais","2017-01-11","2017-01-11 15:50:22","Last night, I had the pleasure of meeting two outstanding Tennessee truckers. Brad Coffey (left) from Murfreesboro and Gary Helms (right) from Cleveland. Thank you, gentleman, for being a part of America's Road Team! #TN04 #AmericanTruckingAssociation","photo","https://www.facebook.com/ScottDesJarlaisTN04/photos/a.297343383652468.69433.145110472209094/1196331573753640/?type=3",NA,171,4,7,1,0,1,0,0
