"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"SenDanSullivan","1499142123704271_10155610231219360","Senator Dan Sullivan","2017-09-11","2017-09-11 17:58:44","Sixteen years ago, America was faced with an attack of unspeakable evil and cowardice that took the lives of thousands of our fellow citizens. The terrorists were gravely mistaken about the resolve and character of the American people. What emerged that day was a bravery and compassion that for centuries has defined the American spirit: first responders racing into burning buildings, everyday Americans sacrificing their lives to protect their neighbors and prevent further mayhem, and the brave men and women who have brought the fight to the enemy and kept the homeland safe. On Patriot Day, let us all vow to remember those who sacrificed to keep us safe, pray for those they left behind, and rekindle the unity that we experienced on that grave day in September.","video","https://www.facebook.com/SenDanSullivan/videos/10155610231219360/",NA,143,14,23,15,0,0,20,1
"SenDanSullivan","1499142123704271_1811594672459013","Senator Dan Sullivan","2017-01-25","2017-01-25 22:06:37",NA,"photo","https://www.facebook.com/SenDanSullivan/photos/a.1501668413451642.1073741827.1499142123704271/1811594672459013/?type=3",NA,95,22,0,2,0,0,0,5
"SenDanSullivan","1499142123704271_1811594895792324","Senator Dan Sullivan","2017-01-25","2017-01-25 22:06:57",NA,"photo","https://www.facebook.com/SenDanSullivan/photos/a.1501663016785515.1073741826.1499142123704271/1811594895792324/?type=3",NA,36,18,3,6,0,0,0,2
"SenDanSullivan","1499142123704271_1839321976352949","Senator Dan Sullivan","2017-01-01","2017-01-01 00:20:35","The lights of Hanukkah remind us how the Jewish community has spread their light around the world and to us here in Alaska. Julie and I wish Alaska’s “Frozen Chosen” a happy and peaceful Hanukkah as we approach the final night of the Festival of Lights.","photo","https://www.facebook.com/SenDanSullivan/photos/a.1534304520188031.1073741829.1499142123704271/1839321976352949/?type=3",NA,21,1,0,0,0,0,0,0
"SenDanSullivan","1499142123704271_1839897856295361","Senator Dan Sullivan","2017-01-02","2017-01-02 00:16:53","Julie, the girls and I spent our New Year’s weekend in Girdwood, one of the most beautiful places in the world. Like many corners of our amazing state, Girdwood is a true winter sports playground — downhill and cross-country skiing, skijoring (which I tried out with our family lab, Maddie), and world-class snow machining nearby. We capped off the year with the stunning annual torchlight parade down the slopes of Alyeska followed by a spectacular fireworks show. I hope you had a safe and enjoyable weekend. We want to wish you and your family a 2017 filled with good health, joy and peace. Happy New Year!","video","https://www.facebook.com/SenDanSullivan/videos/1839897856295361/",NA,188,19,6,8,0,0,0,0
"SenDanSullivan","1499142123704271_1840773959541084","Senator Dan Sullivan","2017-01-03","2017-01-03 21:54:32","The first Alaska statehood bill was introduced by territorial delegate James Wickersham in 1916. Fifty eight years ago today—as a result of tremendous work by Alaskans and some allies across the country who saw our potential—Alaska became the 49th state to join the Union. And since we were admitted, Alaska has contributed greatly to the prosperity and fabric of America with an abundance of resources, a proud and diverse people, and the potential to lead our great nation into new frontiers. I want to wish my fellow Alaskans a Happy Birthday!","photo","https://www.facebook.com/SenDanSullivan/photos/a.1534304520188031.1073741829.1499142123704271/1840773959541084/?type=3",NA,168,4,71,16,0,0,0,1
"SenDanSullivan","1499142123704271_1840864052865408","Senator Dan Sullivan","2017-01-04","2017-01-04 02:10:00","Senate leaders today announced committee assignments for all senators in the new term. I’m grateful to be able to serve Alaska on the four committees I started out with, all important to Alaska’s interests: Armed Services; Commerce, Science and Transportation; Environment and Public Works; and Veterans’ Affairs. From strengthening Alaska’s fisheries, advocating for our state’s more than 77,000 veterans, highlighting Alaska’s strategic importance to our national defense, and rolling back onerous regulations that are hampering our economy, I look forward to making meaningful progress in the new Congress for Alaskans.","status",NA,NA,120,17,9,1,0,0,0,0
"SenDanSullivan","1499142123704271_1841195382832275","Senator Dan Sullivan","2017-01-04","2017-01-04 20:33:33","My office was fortunate to have five exceptional interns these past few months. Anna, Isabel, Xavier, Sydney and Sorcha each rose to the challenges given to them, and were a great help to me and my staff. Expect to see more from these young Alaskans in the future. If you are looking for a post-high school opportunity to challenge yourself and gain great life experience in our nation’s capital, please visit sullivan.senate.gov/services/internships and share with your friends!","photo","https://www.facebook.com/SenDanSullivan/photos/a.1534304520188031.1073741829.1499142123704271/1841195382832275/?type=3",NA,90,3,11,4,0,0,0,0
"SenDanSullivan","1499142123704271_1841232582828555","Senator Dan Sullivan","2017-01-04","2017-01-04 23:06:50","I had the pleasure of meeting with President elect Trump’s nominee for ambassador to the United Nations, Governor Nikki Haley of South Carolina. Governor Haley emphasized the need to reassert American leadership at the UN, and restore confidence among our allies, like Israel, that we will stand with them.","photo","https://www.facebook.com/SenDanSullivan/photos/a.1534304520188031.1073741829.1499142123704271/1841232582828555/?type=3",NA,106,14,3,0,0,0,0,1
"SenDanSullivan","1499142123704271_1841687589449721","Senator Dan Sullivan","2017-01-05","2017-01-05 22:07:21","This morning, I joined CNBC’s “Squawk Box” to discuss ongoing investigations into the recent large-scale Russian hack. I highlighted the need to raise the costs for adversaries employing cyber warfare against the U.S., and the need to give the American people more transparency on cyber-attacks so that we understand the gravity of the threat and the strategy being employed to protect our interests.","video","https://www.facebook.com/SenDanSullivan/videos/1841687589449721/",NA,39,13,4,0,0,1,0,0
"SenDanSullivan","1499142123704271_1841703839448096","Senator Dan Sullivan","2017-01-05","2017-01-05 23:27:24","It’s not every day that I get to have another Marine Corps infantry officer in my office discussing national security issues. General James “Mad Dog” Mattis, President elect Trump’s designee to be our next Defense Secretary, and I discussed a wide array of issues important to Alaska and our nation’s defense including Alaska’s strategic location, a robust missile defense, the critical role of the F-35, the need for deeper engagement in the Arctic and Asia-Pacific, and the importance of having a strong network of allies. I look forward to General Mattis’s swift confirmation so that he may begin his work restoring the focus of our nation’s military on its primary mission – to close with and destroy the enemy.","photo","https://www.facebook.com/SenDanSullivan/photos/a.1534304520188031.1073741829.1499142123704271/1841703839448096/?type=3",NA,265,33,18,12,0,0,0,0
"SenDanSullivan","1499142123704271_1842066596078487","Senator Dan Sullivan","2017-01-06","2017-01-06 19:37:04","Wilbur Ross, President-elect Trump’s nominee for Commerce Secretary, joined me for a productive discussion about the importance of Alaska’s fisheries to our state and national economy. I was very impressed with Mr. Ross’s knowledge on a variety of issues – trade, infrastructure, permitting reform and energy production – as well as his business experience in our state. Alaska is the superpower of seafood thanks to science-based management and hard-working Alaska fishermen. As a member of the Senate Commerce Committee, I will work with incoming Secretary Ross to make sure it stays that way.","photo","https://www.facebook.com/SenDanSullivan/photos/a.1534304520188031.1073741829.1499142123704271/1842066596078487/?type=3",NA,62,6,3,0,0,1,0,0
"SenDanSullivan","1499142123704271_1842102336074913","Senator Dan Sullivan","2017-01-06","2017-01-06 21:33:40","Director of National Intelligence James Clapper and other officials testified before the Senate Armed Services Committee on last year’s Russian cyber-attack. I hope Director Clapper’s report is made public to the fullest extent possible so that the American people can judge for themselves what really happened without the taint of innuendo or politicized leaks.","video","https://www.facebook.com/SenDanSullivan/videos/1842102336074913/",NA,36,10,1,0,1,0,0,2
"SenDanSullivan","1499142123704271_1842141436071003","Senator Dan Sullivan","2017-01-07","2017-01-07 00:16:48","The process of electing a new President and Vice President – which was completed today in a ceremony overseen by Vice President Biden – is nearly as old as our nation, having been established in the Constitution’s Twelfth Amendment, ratified in 1804. It was fascinating to witness a sealed letter from each state being opened and read aloud before all members of Congress. Per the Constitution, these letters originate in ceremonies held by electors in each state, which Alaskans saw in Juneau in early December. A few of the Senate pages had the honor of carrying out the envelopes and letter openers – true pieces of history.","photo","https://www.facebook.com/SenDanSullivan/photos/a.1533728650245618.1073741828.1499142123704271/1842141116071035/?type=3",NA,64,8,1,4,0,0,0,2
"SenDanSullivan","1499142123704271_1842580449360435","Senator Dan Sullivan","2017-01-08","2017-01-08 01:07:01","Wishing two Alaska legends, Urban Rahoi, of Fairbanks and George Brown, of Anchorage - both veteran pilots of World War II - a very Happy Birthday!","photo","https://www.facebook.com/SenDanSullivan/photos/a.1534304520188031.1073741829.1499142123704271/1842580449360435/?type=3",NA,252,16,14,15,0,0,0,0
"SenDanSullivan","1499142123704271_1842990845986062","Senator Dan Sullivan","2017-01-09","2017-01-09 01:21:49","For decades, Alaskans of all political stripes have been pleading with the federal government to let us responsibly develop our resources, including the small, non-wilderness 1002 area of ANWR. This week, Senator Lisa Murkowski and I introduced legislation that would allow development on a mere 2,000 acres - the equivalent of just 0.01% of a refuge that is about the same size as the state of South Carolina - that the USGS estimates is America's largest untapped onshore oil prospect. I’ll do everything I can in this next Congress to work with my colleagues and the new administration to move forward this important prospect that would boost our state and national economies, and provide thousands of good-paying jobs, and billions of dollars in federal and state revenue.","status",NA,NA,138,28,5,8,0,0,3,3
"SenDanSullivan","1499142123704271_1843314742620339","Senator Dan Sullivan","2017-01-09","2017-01-09 19:02:15","I’ve long been impressed by Oklahoma Attorney General Scott Pruitt’s legal analysis & incisive refutation of the lawless overreach seen from President Obama’s EPA these past 8 years. AG Pruitt, President-elect Trump’s nominee to head up the agency, has a clear vision of returning the EPA to its role of reasonably implementing laws that protect the environment without needlessly stifling jobs and economic opportunity. We will take up his nomination soon in the Senate Environment and Public Works Committee.","photo","https://www.facebook.com/SenDanSullivan/photos/a.1534304520188031.1073741829.1499142123704271/1843314742620339/?type=3",NA,44,10,1,0,0,0,3,2
"SenDanSullivan","1499142123704271_1843420372609776","Senator Dan Sullivan","2017-01-09","2017-01-09 21:04:36","I joined Eric Shawn on Fox News to discuss the recently released report by America’s intelligence agencies on the 2016 Russian hack. Although the report provides no evidence that Russian hacking swayed the November election, the attack reveals the need for a comprehensive strategy to counter threats and raise the costs on nations, like China, Russia and Iran, and non-state actors carrying out attacks.","video","https://www.facebook.com/SenDanSullivan/videos/1843420372609776/",NA,30,9,5,0,0,1,0,1
"SenDanSullivan","1499142123704271_1843470719271408","Senator Dan Sullivan","2017-01-10","2017-01-10 00:17:44","Today on the Senate floor, I had the honor of recognizing my first “Alaskan of the Week” – the talented Tlingit writer Ernestine Hayes, of Juneau, who is also Alaska’s 2017 Writer Laureate. The stories of Alaskans doing good work all across the state should be told. That’s why it was so appropriate for the kickoff to recognize a storyteller. Thanks to Professor Hayes for all you do and thanks to the many Alaskans across our state who work for all of us to strengthen our communities.","video","https://www.facebook.com/SenDanSullivan/videos/1843470719271408/",NA,69,7,9,4,0,0,0,0
"SenDanSullivan","1499142123704271_1843500712601742","Senator Dan Sullivan","2017-01-10","2017-01-10 02:10:51","It is a sad reality that on National Law Enforcement Appreciation Day, we learn of two more brave police officers who were killed in the line of duty, this time in Florida. In many cases, our officers are being targeted, and it is a disgrace. This Congress, I will reintroduce and work with my colleagues to pass the Protect Our Heroes Act, which would make it a federal offense to assault or kill a police officer, with an enhanced penalty for offenders who lure officers to a location to harm them. I want our law enforcement officers to know that we have their back, and that we deeply appreciate the work they do to keep us safe, and the sacrifices made by them and their families.","status",NA,NA,106,17,13,8,0,0,16,1
"SenDanSullivan","1499142123704271_1843793282572485","Senator Dan Sullivan","2017-01-10","2017-01-10 18:32:52","One of the principal accomplishments of the Commerce Committee in the last Congress was the NOAA Sexual Harassment & Assault Prevention Act, which I sponsored with Senator Schatz of Hawaii. The bill protects the rights of NOAA employees, who often work prolonged missions at sea, and directs the agency to put in place a clear policy on sexual misconduct, including the necessary reporting mechanisms and protections for employees against retaliation. Take a look at some of the other accomplishments of this bipartisan committee: https://sen.gov/P4Z4","photo","https://www.facebook.com/SenDanSullivan/photos/a.1534304520188031.1073741829.1499142123704271/1843793282572485/?type=3",NA,10,4,0,0,0,0,0,0
