"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"SenDeanHeller","325751330177_10154332096385178","U.S. Senator Dean Heller","2017-04-27","2017-04-27 01:00:00","WATCH: I testified today before the House Energy and Commerce Subcommittee on Environment on behalf of Nevadans who reject Yucca Mountain.   I’m leading their fight. http://bit.ly/2pzVXjj","link","http://bit.ly/2pzVXjj","bit.ly",196,120,21,12,0,2,1,13
"SenDeanHeller","325751330177_10154337186710178","U.S. Senator Dean Heller","2017-04-28","2017-04-28 21:50:21","Interested in attending a U.S. Service Academy? My office makes several nominations a year for qualified Nevadans looking to serve their country.   Applications for Nevadans seeking a nomination are now available: http://bit.ly/2p3CPd4","link","https://www.heller.senate.gov/public/index.cfm/pressreleases?ID=FC6245FD-9AE5-48B8-97F6-6263BC130055","heller.senate.gov",36,20,15,0,1,1,1,0
"SenDeanHeller","325751330177_10154338950110178","U.S. Senator Dean Heller","2017-04-29","2017-04-29 16:41:53","Great week meeting with so many Nevadans to hear their concerns, ideas, and what we can do to tackle problems head on.","photo","https://www.facebook.com/SenDeanHeller/photos/a.10154338949995178.1073741832.325751330177/10154338950110178/?type=3",NA,42,105,1,2,1,0,1,15
"SenDeanHeller","325751330177_10154349260240178","U.S. Senator Dean Heller","2017-05-04","2017-05-04 01:45:00","LIKE and SHARE this photo if you are supporting a Nevada small business for #SmallBusinessWeek","photo","https://www.facebook.com/SenDeanHeller/photos/a.10150546902705178.375840.325751330177/10154349260240178/?type=3",NA,42,55,8,2,0,0,0,1
"SenDeanHeller","325751330177_10154349657710178","U.S. Senator Dean Heller","2017-05-04","2017-05-04 00:08:01","Just filed #NoBudgetNoPay as an amendment to spending bill. If Congress doesn’t do its job, we shouldn’t be paid.","link","http://bit.ly/2p745TL","bit.ly",397,194,56,46,6,15,0,3
"SenDeanHeller","325751330177_10154355567680178","U.S. Senator Dean Heller","2017-05-05","2017-05-05 20:36:27","Grateful to attend the 30th Annual James Hoff Memorial honoring the heroism of Nevada law enforcement and all of those who made the ultimate sacrifice.","photo","https://www.facebook.com/SenDeanHeller/photos/a.10150546902705178.375840.325751330177/10154355567680178/?type=3",NA,113,58,4,7,1,0,2,4
"SenDeanHeller","325751330177_10154365827855178","U.S. Senator Dean Heller","2017-05-09","2017-05-09 21:16:04","VIDEO: Today on the Senate floor I discussed why Yucca Mountain could threaten the Las Vegas economy.  Watch below or go to: http://bit.ly/2pwrdw1","video","https://www.facebook.com/SenDeanHeller/videos/10154365827855178/",NA,160,138,40,10,2,3,1,10
"SenDeanHeller","325751330177_10154373533085178","U.S. Senator Dean Heller","2017-05-12","2017-05-12 18:30:29","ICYMI: The tunnel collapse in Washington State is a reminder that Nevada cannot be the nation’s nuclear waste dump.","link","http://news3lv.com/news/local/purex-collapse-serves-as-yucca-warning","news3lv.com",244,95,35,4,2,5,1,25
"SenDeanHeller","325751330177_10154381765940178","U.S. Senator Dean Heller","2017-05-15","2017-05-15 19:00:00","For #PoliceWeek2017, we pay tribute to those who lost their lives in the line of duty and are reminded of Nevada law enforcement's many sacrifices.","photo","https://www.facebook.com/SenDeanHeller/photos/a.10150546902705178.375840.325751330177/10154381765940178/?type=3",NA,70,29,11,12,0,0,0,0
"SenDeanHeller","325751330177_10154387955815178","U.S. Senator Dean Heller","2017-05-17","2017-05-17 21:39:59","In honor of #PoliceWeek, I spoke on the Senate floor about Nevada's loss of North Las Vegas Detective Chad Parque.","video","https://www.facebook.com/SenDeanHeller/videos/10154387955815178/",NA,85,38,3,4,0,0,17,0
"SenDeanHeller","325751330177_10154389942330178","U.S. Senator Dean Heller","2017-05-18","2017-05-18 18:00:00","Proud to introduce the Back the Blue Act in support of Nevada law enforcement.","link","https://www.heller.senate.gov/public/index.cfm/pressreleases?ID=3D5508BF-88E2-4172-817B-92B83DF1100D","heller.senate.gov",104,55,8,9,1,0,0,12
