"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"SenDuckworth","112300955610529_798447473662537","Senator Tammy Duckworth","2017-02-01","2017-02-01 22:00:50","Improving college affordability and accessibility in Illinois is one of my top priorities as Senator. I’m glad I got the chance to sit down with Loyola University President Rooney today to discuss how we can best serve undocumented students and secure Title IV funding for student financial aid.","photo","https://www.facebook.com/SenDuckworth/photos/a.112404688933489.18557.112300955610529/798447473662537/?type=3",NA,862,40,33,72,0,1,0,3
"SenDuckworth","112300955610529_798461713661113","Senator Tammy Duckworth","2017-02-01","2017-02-01 22:40:39","Now more than ever, America needs a State Department leader who is an ambassador for our best values and democratic ideals. Our nation needs a chief diplomat to advocate for what is right and stand up to President Trump when he is wrong. Unfortunately, Mr. Rex Tillerson – the President’s pick for Secretary of State – has done nothing to convince me he is that person.  Instead, Mr. Tillerson failed to criticize Russian aggression in Syria, Crimea and Eastern Ukraine. He failed to dissuade concerns about conflicts of interests. He failed to show independence from President Trump. And he failed to definitively condemn a Muslim registry, something that is absolutely unacceptable, especially in light of the President’s recent executive order. America needs someone with diplomatic experience leading the State Department, not an oil tycoon whose close ties to Russia and decades spent negotiating ExxonMobil business deals raise a number of conflict of interest issues. For all of these reasons, I voted against his nomination.","link","http://www.chicagotribune.com/news/nationworld/politics/ct-senate-trump-cabinet-20170201-story.html","chicagotribune.com",1415,346,178,37,2,11,190,523
"SenDuckworth","112300955610529_798494396991178","Senator Tammy Duckworth","2017-02-02","2017-02-02 00:18:26","Habitat for Humanity offers critical assistance to communities in need of safe, affordable housing options and renovated public infrastructure, while also providing thousands of Americans with the opportunity to serve their community and their country. Today, I met with Habitat representatives to discuss the important work the organization is performing throughout Illinois and how we can expand national service opportunities for more Americans.","photo","https://www.facebook.com/SenDuckworth/photos/a.112404688933489.18557.112300955610529/798494396991178/?type=3",NA,428,21,16,34,0,1,0,1
"SenDuckworth","112300955610529_799043220269629","Senator Tammy Duckworth","2017-02-02","2017-02-02 19:09:29","Had a productive meeting with Bloomingdale Mayor Franco  Coladipietro about how to diversify Bloomingdale’s economy and support hardworking families in DuPage County.","photo","https://www.facebook.com/SenDuckworth/photos/a.112404688933489.18557.112300955610529/799043220269629/?type=3",NA,565,21,19,36,0,0,0,0
"SenDuckworth","112300955610529_799129086927709","Senator Tammy Duckworth","2017-02-02","2017-02-02 22:39:10","Given his record of opposing American-made renewable energy like the Renewable Fuel Standard, EPA nominee Scott Pruitt had a lot to answer for at his confirmation hearing. Instead, he provided evasive, hollow answers that were designed to sound good but meant little, which is why I oppose his nomination to the EPA. Achieving American energy independence and security requires an EPA Administrator who will defend, not destroy, our nation’s RFS program. The American people deserve honest, transparent EPA leadership. AG Pruitt falls short of this standard, from refusing to comply with long-standing open records requests, to misrepresenting his environmental justice record as the Oklahoma AG.","link","http://www.nbcnews.com/news/us-news/senate-panel-approves-epa-critic-scott-pruitt-head-agency-n715346","nbcnews.com",912,199,73,21,3,10,120,462
"SenDuckworth","112300955610529_799162516924366","Senator Tammy Duckworth","2017-02-03","2017-02-03 00:33:21","I commend the Department of Homeland Security’s Inspector General for acting swiftly on Senator Durbin’s and my request for an immediate investigation into the Federal Government’s chaotic implementation of President Trump’s discriminatory, potentially unconstitutional executive order. Wasting taxpayer dollars on unwarranted and unjust detentions of lawful permanent residents is shameful and un-American. The protections enshrined in our Constitution mean little if law enforcement agents feel empowered by the President to disregard them or if Americans are unwilling to defend them. The American people are relying on this investigation to help ensure that this President does not trample upon anyone’s constitutional rights or overreach through either malice or ignorance.","link","http://www.nbcchicago.com/blogs/ward-room/Durbin-Duckworth-Spark-Federal-Probe-of-Trump-Travel-Order-412594433.html","nbcchicago.com",5112,257,406,479,3,17,0,11
"SenDuckworth","112300955610529_799477706892847","Senator Tammy Duckworth","2017-02-03","2017-02-03 15:52:34","I’m wearing red today to help raise awareness about the importance of heart health screenings for women. Together, we can #KnockOutHeartDisease.","photo","https://www.facebook.com/SenDuckworth/photos/a.112404688933489.18557.112300955610529/799477706892847/?type=3",NA,1847,37,85,210,0,0,0,0
"SenDuckworth","112300955610529_799574350216516","Senator Tammy Duckworth","2017-02-03","2017-02-03 19:53:24","Welcome back to Chicago, Dr. Al Homssi. America is great because of doctors like you. #ImmigrantsWelcome #NoHateNoFear","link","http://www.newyorker.com/news/news-desk/a-syrian-doctor-returns-to-illinois","newyorker.com",2759,36,126,240,1,5,4,9
"SenDuckworth","112300955610529_799672303540054","Senator Tammy Duckworth","2017-02-04","2017-02-04 00:26:24","I'm disappointed the President blocked implementation of the so-called “Fiduciary Rule,” that would have required retirement advisors to provide families saving for retirement with financial advice that is in the clients’ best interests. Without this rule, retirement advisors will be allowed to steer their clients towards more expensive funds with higher fees – robbing families saving for retirement an estimated $17 billion each year.   Stopping Wall Street investment advisors from taking advantage of consumers should be a top priority for a President who ran for office pledging to be above the influence of special interests. Instead, President Trump has stocked his administration with former Goldman Sachs employees who are eager to maintain a status quo that robs families saving for retirement of billions of dollars each year. That can mean the difference between enjoying a comfortable retirement and having to sacrifice or skimp on food, housing, health care, transportation and other necessities. The Trump administration clearly didn’t learn the right lesson from last year’s Wells Fargo scandal, but the victims did. If you reward bad behavior like this, bad behavior is what American families will get.","link","https://www.nytimes.com/2016/04/07/your-money/new-rules-for-retirement-accounts-financial-advisers.html","nytimes.com",576,83,200,2,0,24,165,537
"SenDuckworth","112300955610529_799682273539057","Senator Tammy Duckworth","2017-02-04","2017-02-04 00:55:49","BREAKING: Federal judge orders immediate nationwide halt on #Trump’s #MuslimBan—this is great progress but this fight is not over.","link","http://www.seattletimes.com/seattle-news/politics/federal-judge-in-seattle-halts-trumps-immigration-order/","seattletimes.com",6474,159,810,907,12,18,6,34
"SenDuckworth","112300955610529_800167913490493","Senator Tammy Duckworth","2017-02-04","2017-02-04 22:11:07","Today, at a roundtable discussion with local Muslim leaders at the Islamic Center of Naperville I heard firsthand about the devastating effects of President Trump’s #MuslimBan. Last night's federal court order temporarily blocking implementation is a great step, but we must #EndTheBan for good.","photo","https://www.facebook.com/SenDuckworth/photos/a.112404688933489.18557.112300955610529/800167913490493/?type=3",NA,1986,124,95,150,1,2,63,6
"SenDuckworth","112300955610529_800223393484945","Senator Tammy Duckworth","2017-02-05","2017-02-05 00:43:37","I’m honored to celebrate the annual Black History Family Festival in Elgin by commemorating the work of local African American educators, and all the African American leaders who have come before us to shape our nation.","photo","https://www.facebook.com/SenDuckworth/photos/a.112404688933489.18557.112300955610529/800223393484945/?type=3",NA,668,23,17,44,0,0,0,1
"SenDuckworth","112300955610529_801109856729632","Senator Tammy Duckworth","2017-02-06","2017-02-06 15:26:09","This past weekend, I was proud to attend the annual Equality Illinois Gala to support #LGBTQ rights in Illinois and across the country.","link","http://chicago.gopride.com/news/article.cfm/articleid/81612841","chicago.gopride.com",1740,53,51,210,0,0,0,4
"SenDuckworth","112300955610529_801283913378893","Senator Tammy Duckworth","2017-02-06","2017-02-06 22:56:58","Glad to join Illinois AFGE members today to discuss the important ways government employees, many of whom are Veterans, serve the American people.","photo","https://www.facebook.com/SenDuckworth/photos/a.112404688933489.18557.112300955610529/801283913378893/?type=3",NA,159,10,13,14,0,0,0,1
"SenDuckworth","112300955610529_801644223342862","Senator Tammy Duckworth","2017-02-07","2017-02-07 17:59:21","I voted against Betsy DeVos’ nomination to be Secretary of Education today because I don’t believe the President nominated the best candidate; I don’t even believe he nominated a qualified candidate. Ms. DeVos has never taught, never worked in a school system, and she has no degree in education policy. She failed to study for her confirmation hearing and she was unprepared and unfamiliar with a foundational civil rights law that guarantees every student, including those with disabilities, the right to a quality, equitable education.   I would not be here today were it not for strong public schools and civil rights protections so there was simply no way I could support her nomination. It is a shame that she will now helm the agency tasked with educating our children and training our workforce. Unfortunately, our children and our nation will suffer the consequences of this decision for decades to come.","video","https://www.facebook.com/SenDuckworth/videos/801644223342862/",NA,13035,1789,2112,973,14,28,1808,314
"SenDuckworth","112300955610529_801734200000531","Senator Tammy Duckworth","2017-02-07","2017-02-07 21:50:42","The President’s #MuslimBan has devastated families across our nation. Let's #EndTheBan for good.","link","http://www.fox32chicago.com/politics/233799764-story","fox32chicago.com",498,35,15,38,1,1,2,16
"SenDuckworth","112300955610529_801779023329382","Senator Tammy Duckworth","2017-02-07","2017-02-07 23:29:20","The Fermi National Accelerator Laboratory (Fermilab), located in Batavia, Illinois, is one of our state’s crown jewels of scientific innovation and I’m committed to supporting and expanding the national lab as a member of the Energy and Natural Resources Committee. Today, I was pleased to meet with Dr. Nigel Lockyer, the Director of Fermilab to discuss how we can best support scientific infrastructure in Illinois as a key source of economic growth and job creation.","photo","https://www.facebook.com/SenDuckworth/photos/a.112404688933489.18557.112300955610529/801779023329382/?type=3",NA,1078,35,40,89,0,2,0,0
"SenDuckworth","112300955610529_801805159993435","Senator Tammy Duckworth","2017-02-08","2017-02-08 00:44:43","Today I heard from experts on America’s refugee program from Refugee Council USA about the critical importance of welcoming refugees. The America that I know is not a nation that turns its back on children and families fleeing barbarism or terror; that is an action of a scared nation—of a weak nation—and it does not make us safer, though it does place our troops serving abroad at greater risk. Our nation is at its best when we lead from a position of strength, not weakness, as organizations like the Refugee Council know well. While this weekend’s court ruling that temporarily blocked implementation of the President’s ill-conceived and misguided travel ban is a good signal, we must remember that this fight is not over. I will continue working every day to end this ban for good.","photo","https://www.facebook.com/SenDuckworth/photos/a.112404688933489.18557.112300955610529/801805159993435/?type=3",NA,461,36,21,50,1,0,1,1
