"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"SenGaryPeters","88851604323_10154923864199324","Senator Gary Peters","2017-01-03","2017-01-03 20:17:27","Excited to see that Ford is creating 700 new jobs and manufacturing the next generation of high-tech connected and autonomous vehicles right here in Michigan. This is great news for Michigan workers and further evidence that our state remains the leader in the future of automotive technology! ford.to/2j1ifCZ","link","http://ford.to/2j1ifCZ","ford.to",132,14,6,3,0,0,0,0
"SenGaryPeters","88851604323_10154926499569324","Senator Gary Peters","2017-01-04","2017-01-04 18:47:24","The Oakland Press: “Sen. Peters sponsors measure to aid veterans with PTSD; Obama signs into law”  “This legislation will give our brave men and women who are suffering from the invisible wounds of war an opportunity to access the benefits they’ve earned through their service,” said Peters, a former lieutenant commander in the U.S. Navy Reserve.   bit.ly/2j4z0gS","link","http://bit.ly/2j4z0gS","bit.ly",523,28,102,50,0,2,0,1
"SenGaryPeters","88851604323_10154926579004324","Senator Gary Peters","2017-01-04","2017-01-04 19:30:52","Congressional Republicans’ plan to repeal the Affordable Care Act will rip away health care from 30 million Americans, short change Medicare and #MakeAmericaSickAgain. If the GOP is successful in repealing the health care law, costs will skyrocket for prescription drugs, premiums and out-of-pocket expenses hurting seniors and middle class families.","photo","https://www.facebook.com/SenGaryPeters/photos/a.494873314323.280255.88851604323/10154926579004324/?type=3",NA,222,163,270,4,4,4,58,143
"SenGaryPeters","88851604323_10154932030634324","Senator Gary Peters","2017-01-06","2017-01-06 18:15:04","The New York Times has named Detroit one of the top 52 places to visit in 2017!  “Detroit’s revitalization, after its 2013 bankruptcy filing, has long been building. In 2015, it was named a Unesco City of Design. But 2017 may be the year promise becomes reality.”  nyti.ms/2iYB3nd","link","http://nyti.ms/2iYB3nd","nyti.ms",64,8,8,2,2,0,0,0
"SenGaryPeters","88851604323_10154941443514324","Senator Gary Peters","2017-01-09","2017-01-09 22:40:06","I am joining my Senate colleagues in introducing legislation that would require the President and Vice-President to disclose and divest any potential financial conflicts of interest. The American people need to know whether President-elect Trump is acting in the national interest or his own private financial interest. politi.co/2jvjDCb","link","http://politi.co/2jvjDCb","politi.co",1217,172,110,107,2,1,3,14
"SenGaryPeters","88851604323_10154946526764324","Senator Gary Peters","2017-01-11","2017-01-11 18:39:06","One of the highlights of this year’s auto show was a cutting-edge project from U.S. Army TARDEC, the Army’s ground vehicle research and development center. It is a prototype vehicle for the Army to test the use of fuel cells to power military vehicles. As a member of the Senate Armed Service Committee, it is great to see Michigan leveraging our automotive ingenuity to develop new innovative technology in defense of our nation. #NAIAS2017","photo","https://www.facebook.com/SenGaryPeters/photos/a.494873314323.280255.88851604323/10154946526764324/?type=3",NA,35,5,1,0,0,0,0,0
"SenGaryPeters","88851604323_10154946689659324","Senator Gary Peters","2017-01-11","2017-01-11 19:47:45","I am excited to participate in The Washington Auto Show, MobilityTalks International to discuss the future of connected and autonomous vehicle technology. For more information, click here: bit.ly/2j7ZuS0","photo","https://www.facebook.com/SenGaryPeters/photos/a.494873314323.280255.88851604323/10154946689659324/?type=3",NA,17,2,0,0,0,0,0,0
"SenGaryPeters","88851604323_10154948594024324","Senator Gary Peters","2017-01-12","2017-01-12 02:48:54","The GOP has been trying to repeal the Affordable Care Act for years, but still haven’t shown the American people their plan to replace it. Instead, they are trying strip away healthcare from 30 million Americans, raising costs for seniors and middle class families. I will continue fighting against Republican repeal efforts to #MakeAmericaSickAgain. Watch my speech on the Senate floor bit.ly/2jDATVS","video","http://bit.ly/2jDATVS",NA,536,128,52,43,1,0,5,26
"SenGaryPeters","88851604323_10154951844819324","Senator Gary Peters","2017-01-12","2017-01-12 19:04:32","On behalf of the 800,000 people in Michigan who will lose their healthcare, I voted NO last night against Republican efforts to repeal the ACA","video","https://www.facebook.com/SenGaryPeters/videos/10154951844819324/",NA,4218,917,948,312,5,11,165,58
"SenGaryPeters","88851604323_10154955721459324","Senator Gary Peters","2017-01-13","2017-01-13 21:23:36","Asian carp are an urgent threat to the health of the Great Lakes. Senator Debbie Stabenow and I have written a letter to the Army Corp of Engineers asking them to finish their recommendations for preventing the spread of Asian carp by the end of the month so we can protect one of our state’s most precious resources.  on.freep.com/2ikXZjZ","link","http://on.freep.com/2ikXZjZ","on.freep.com",373,24,57,12,0,8,0,2
