"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"SenKirstenGillibrand","147791132432624_149812315563839","U.S. Senator Kirsten Gillibrand","2017-06-12","2017-06-12 14:52:43","Proud to serve the people of the state of New York. Tell us what you care about: https://www.gillibrand.senate.gov","photo","https://www.facebook.com/SenKirstenGillibrand/photos/a.149812128897191.1073741826.147791132432624/149812315563839/?type=3",NA,18,4,4,2,0,0,0,1
"SenKirstenGillibrand","147791132432624_149941952217542","U.S. Senator Kirsten Gillibrand","2017-06-09","2017-06-09 04:00:00","It is long past time for our military leadership to take responsibility for a toxic environment that fosters sexual harassment and assault. We must work hard to build a military justice system worthy of the sacrifices of the men and women of our armed forces.   WATCH: Senator Gillibrand questions General Robert Neller during a hearing of the Senate Armed Services Committee on the Marines United nude photo scandal.","video","https://www.facebook.com/SenKirstenGillibrand/videos/149941952217542/",NA,20,14,10,11,0,0,0,0
"SenKirstenGillibrand","147791132432624_149942082217529","U.S. Senator Kirsten Gillibrand","2017-06-11","2017-06-11 04:00:00","“[The Affordable Care Act] said to women of America ‘You can’t be charged more just because you’re a woman. Imagine becoming pregnant and having your insurer drop your coverage because you are no longer economic or you cost too much money. Imagine being a cancer survivor and having your coverage dropped because you survived cancer and you cost too much money. So if you love women, and you love your mothers and daughters and wives, please do not unwind the Affordable Care Act. We need women’s health protected.”   WATCH: Senator Gillibrand speaks on the Senate Floor on protecting women’s health care under the ACA.","video","https://www.facebook.com/SenKirstenGillibrand/videos/149942082217529/",NA,9,1,1,4,0,0,0,0
"SenKirstenGillibrand","147791132432624_149943468884057","U.S. Senator Kirsten Gillibrand","2017-06-13","2017-06-13 14:00:00","We are proud to serve the people of the great state of New York.   How can our team help you? Tell us what you care about -- connect with us and join the conversation by visiting our official website.","link","https://www.gillibrand.senate.gov/","gillibrand.senate.gov",11,4,2,2,0,0,0,0
"SenKirstenGillibrand","147791132432624_150272012184536","U.S. Senator Kirsten Gillibrand","2017-06-13","2017-06-13 16:30:40",NA,"photo","https://www.facebook.com/USSenateDemocrats/photos/a.140299529372583.27744.119747438094459/1360652040670653/?type=3",NA,6,2,0,0,0,0,0,0
"SenKirstenGillibrand","147791132432624_150371488841255","U.S. Senator Kirsten Gillibrand","2017-06-13","2017-06-13 21:49:08","Sen. Gillibrand and the rest of the Senate Democratic Women's Caucus share stories of women and families who'll be impacted by #Trumpcare.","video","https://www.facebook.com/USSenateDemocrats/videos/1361909080544949/",NA,13,2,0,0,0,0,0,0
"SenKirstenGillibrand","147791132432624_150852185459852","U.S. Senator Kirsten Gillibrand","2017-06-14","2017-06-14 20:20:49","“I am praying for the recovery of Representative Steve Scalise, the staff, and the Capitol Police who were wounded at the horrific scene this morning. God bless the police and first responders for their bravery and for taking quick action to ensure that this tragedy wasn’t worse. Our first responders put their lives on the line for us every day. They are true heroes, and in this moment of darkness, they once again displayed what is best about our country.   I hope the outcome of this tragedy will be unity, where we put our partisan differences aside and recognize that we are all here for a common purpose. An attack on any public servant is an attack on all. As members of Congress, we are not Democrats and Republicans today; we are simply public servants.  It is also essential that we do not allow this attack to make us cower in fear. We cannot and must not retreat from doing what we are here to do - serve the public by being among our constituents and our colleagues. I look forward to playing once again in the Congressional women’s softball game next week, this time with a heavy heart and renewed purpose.” —KG","status",NA,NA,21,4,1,1,0,0,0,0
"SenKirstenGillibrand","147791132432624_151235528754851","U.S. Senator Kirsten Gillibrand","2017-06-15","2017-06-15 17:28:25","Senator Kirsten Gillibrand, Senator Cory Booker, and Congressman Steve Cohen announce the re-introduction of the CARERS Act—a bipartisan bill that would allow access to medical marijuana in states where it is legal without fear of federal prosecution.    Learn more: http://bit.ly/2sBsDKg","video","https://www.facebook.com/SenKirstenGillibrand/videos/151235528754851/",NA,846,520,1513,451,3,2,9,2
"SenKirstenGillibrand","147791132432624_151714875373583","U.S. Senator Kirsten Gillibrand","2017-06-16","2017-06-16 16:29:56","""If you’re not taking these crimes seriously as an enormous disruption of good order and discipline, I fear that it’s not going to change behavior.""   Senator Gillibrand questions General Robert Neller on the Marines United case at a hearing of the Senate Armed Services Committee. Watch here:","video","https://www.facebook.com/SenKirstenGillibrand/videos/151714875373583/",NA,23,1,4,1,0,0,0,0
"SenKirstenGillibrand","147791132432624_152357028642701","U.S. Senator Kirsten Gillibrand","2017-06-18","2017-06-18 15:00:00","As we celebrate our fathers and everything they give to raising our kids and caring for family members, I’d like to talk a bit about the crucial policies needed to level the playing field for all American families.   Our country is long overdue for a comprehensive national paid family leave plan. It protects families and rewards work—not to mention our small businesses and economy.   Today, we’re debating paid leave across the political spectrum, and that’s a good thing! But the Trump Administration’s proposals fall way short of what a real paid leave plan is really about: Giving all workers (not just new parents) the flexibility they need when major life events happen. Trump’s plan would only help new parents, and no one else. Too many would still be stuck choosing between a paycheck and their families.    A real paid leave plan needs to be national, gender-neutral, comprehensive, affordable, and manageable for workers and small businesses. My bill, the FAMILY Act, does all of this—and it only costs about as much as a cup of coffee a week. Wouldn’t you buy that cup of coffee if it meant you had the flexibility to be with your family when they needed you? —KG","video","https://www.facebook.com/SenKirstenGillibrand/videos/152357028642701/",NA,39,1,23,3,0,0,0,0
