"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"SenLisaMurkowski","25271170290_10157939697175291","Lisa Murkowski","2017-01-01","2017-01-01 06:32:29","Happy New Year, Alaska! Here’s to a happy, healthy, and prosperous 2017.  My personal New Year's resolution is to focus on health: getting to bed earlier, eating healthier, and working out. It's going to be a wonderful year!","photo","https://www.facebook.com/SenLisaMurkowski/photos/a.10150144271130291.399331.25271170290/10157939697175291/?type=3",NA,129,15,3,5,0,0,0,0
"SenLisaMurkowski","25271170290_10157967518895291","Lisa Murkowski","2017-01-03","2017-01-03 21:08:28","Today I was sworn in to my fourth term as U.S. Senator for Alaska. It is an incredibly humbling experience to be in this position and one that I do not take lightly. I thank everyone for their support, and I look forward to continuing to stand with and represent all Alaskans.","photo","https://www.facebook.com/SenLisaMurkowski/photos/a.10150144271130291.399331.25271170290/10157967518895291/?type=3",NA,746,70,18,65,0,4,2,3
"SenLisaMurkowski","25271170290_10157968630100291","Lisa Murkowski","2017-01-04","2017-01-04 02:16:11","Happy Statehood Birthday Alaska! On this day in 1959, Alaska became the 49th state admitted to the union.","link","https://www.adn.com/alaska-news/article/happy-55th-birthday-alaska/2014/01/04/","adn.com",92,2,0,8,0,0,0,0
"SenLisaMurkowski","25271170290_10157976851675291","Lisa Murkowski","2017-01-05","2017-01-05 19:14:39","Today I had the opportunity to meet with Betsy DeVos, the Secretary of Education nominee. We discussed many important education issues facing Alaska and the nation, and I look forward to continuing the conversation next week during her confirmation hearing in the Senate HELP Committee.","photo","https://www.facebook.com/SenLisaMurkowski/photos/a.10150144271130291.399331.25271170290/10157976847750291/?type=3",NA,138,309,92,4,0,2,31,70
"SenLisaMurkowski","25271170290_10157977936140291","Lisa Murkowski","2017-01-05","2017-01-05 23:27:55","For nearly 40 years, Alaskans have proven that we can responsibly develop our natural resources while protecting the environment. I’m proud to have introduced today, alongside my colleague Senator Dan Sullivan, S. 49, the Alaska Oil and Gas Production Act, legislation that would allow limited oil and natural gas development within the non-wilderness portion of the Arctic National Wildlife Refuge (ANWR). Alaskans overwhelmingly support responsible development in the non-wilderness portion of ANWR and there is no valid reason why we should not be allowed to proceed. Allowing development would create new jobs, reduce our deficits, and protect our national security and competitiveness for a generation.","link","https://www.murkowski.senate.gov/press/release/murkowski-sullivan-introduce-bill-to-allow-energy-production-in-1002-area-of-arctic-coastal-plain","murkowski.senate.gov",179,53,22,7,1,1,1,18
"SenLisaMurkowski","25271170290_10157981172005291","Lisa Murkowski","2017-01-06","2017-01-06 16:47:41","President Obama’s unilateral withdrawals have routinely come with complete disregard for Alaskans’ concerns and opposition, threatening energy, mining, fishing, recreation, and other reasonable uses of public land and waters. This is why 25 of my fellow Senators joined me to introduce a bill to facilitate greater local input and require state approval before national monuments can be designated on federal lands and waters. At this point, we have no choice but to reform the Antiquities Act to ensure that the people being impacted by these designations are heard and respected.","link","https://www.murkowski.senate.gov/press/release/26-senators-introduce-bill-to-reform-monument-designation-process","murkowski.senate.gov",86,29,9,2,0,0,0,5
"SenLisaMurkowski","25271170290_10157982532850291","Lisa Murkowski","2017-01-06","2017-01-06 22:06:52","Yesterday I had a good, productive meeting with Rep. Ryan Zinke, a former Navy SEAL who is now the President-elect’s nominee for Interior Secretary. He has been tapped to lead the Department that includes agencies such as the Bureau of Land Management, Fish and Wildlife Service, National Park Service, U.S. Geological Survey, Bureau of Indian Affairs, and Indian Health Service – all with a huge impact and presence in Alaska – so we had many issues to discuss. We had a great conversation, and as the Chairman of the Energy and Natural Resources Committee, I look forward to advancing his nomination quickly.","photo","https://www.facebook.com/SenLisaMurkowski/photos/a.10150144271130291.399331.25271170290/10157982532850291/?type=3",NA,65,13,5,1,0,0,0,3
"SenLisaMurkowski","25271170290_10157982723035291","Lisa Murkowski","2017-01-07","2017-01-07 23:01:01","Happy 98th birthday to WWII hero, legendary bush pilot, and all-around great Alaskan Urban Rahoi!","photo","https://www.facebook.com/SenLisaMurkowski/photos/a.10150144271130291.399331.25271170290/10157982723035291/?type=3",NA,160,6,3,2,0,0,0,0
"SenLisaMurkowski","25271170290_10157982743040291","Lisa Murkowski","2017-01-08","2017-01-08 19:06:00","I am sorry to hear of the passing of former Fairbanks Fire Chief Cummings, who recently lost his long battle with cancer. I send my condolences and prayers -  to the Cummings family and the Fairbanks community. I had the privilege of working with Chief Cummings on a number of projects aimed to benefit the city of Fairbanks. While Chief Cummings was known for being a man of few words, his integrity and commitment to Fairbanks and the Fire Department spoke volumes. He was a tireless advocate for the city’s fire department. I will be thinking of Fairbanks - as you all mourn and celebrate the life of this great man.","link","http://www.newsminer.com/news/local_news/former-fairbanks-fire-chief-warren-cummings-dies-of-breast-cancer/article_22513c52-d324-11e6-96c4-5ffa61a26f07.html","newsminer.com",23,2,4,2,0,0,8,0
"SenLisaMurkowski","25271170290_10157995399090291","Lisa Murkowski","2017-01-09","2017-01-09 17:08:44","Thanks to the U.S. Coast Guard for a safe rescue of the crew of the fishing vessel Lady Gudny. And thanks for your continued efforts to keep mariners safe and protect U.S. waters.","link","http://www.newsminer.com/news/alaska_news/coast-guard-rescues-from-fishing-boat-in-rough-seas/article_f9d58264-d62b-11e6-a6b7-77651251e107.html","newsminer.com",117,1,12,5,0,1,0,0
