"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"SenPatRoberts","205694792808927_1359128150798913","Senator Pat Roberts","2017-01-01","2017-01-01 06:01:00","Happy New Year!","photo","https://www.facebook.com/SenPatRoberts/photos/a.206402209404852.55340.205694792808927/1359128150798913/?type=3",NA,34,5,2,0,0,0,0,0
"SenPatRoberts","205694792808927_1363219520389776","Senator Pat Roberts","2017-01-03","2017-01-03 17:35:07","Congratulations to Jerry Moran on being sworn in for a second term in the Senate!","photo","https://www.facebook.com/SenPatRoberts/photos/a.206402209404852.55340.205694792808927/1363219520389776/?type=3",NA,165,27,10,4,1,0,4,1
"SenPatRoberts","205694792808927_1363392573705804","Senator Pat Roberts","2017-01-03","2017-01-03 22:27:01","I was glad to welcome Big First Congressman Roger Marshall, M.D. to the House! Kansas, the First District and our federal delegation will certainly benefit from his healthcare expertise and conservative values as we get to work in the 115th Congress! Congratulations Congressman!","photo","https://www.facebook.com/SenPatRoberts/photos/a.206402209404852.55340.205694792808927/1363392573705804/?type=3",NA,80,17,0,1,0,0,0,0
"SenPatRoberts","205694792808927_1363989900312738","Senator Pat Roberts","2017-01-04","2017-01-04 15:30:56","I'm very proud to nominate 40 Kansas students to our nation's service academy. As a Marine, I'm especially proud to see so many young people seeking to serve in our military. Congratulations!   For the full list of nominations, go here: http://bit.ly/2hSvdFy.","photo","https://www.facebook.com/SenPatRoberts/photos/a.206402209404852.55340.205694792808927/1363989900312738/?type=3",NA,37,10,2,0,0,0,0,0
"SenPatRoberts","205694792808927_1365093530202375","Senator Pat Roberts","2017-01-05","2017-01-05 21:05:55","I look forward to another productive year with a majority in Congress and now with a Republican administration. We have an aggressive agenda lined up – from passing a Farm Bill, to repealing and replacing Obamacare, to meaningful tax reform, reducing regulations, and much more. I have been listening to Kansans over the last eight years who feel ruled, not governed. It is time to get to work to improve the daily lives and pocketbooks of all Kansans.","link","http://www.roberts.senate.gov/public/index.cfm?p=PressReleases&ContentRecord_id=4CFB1E0F-F179-47FD-A88B-BE832709CFFF","roberts.senate.gov",130,79,12,5,1,0,1,5
"SenPatRoberts","205694792808927_1365749040136824","Senator Pat Roberts","2017-01-06","2017-01-06 15:35:33",NA,"photo","https://www.facebook.com/senateagGOP/photos/a.296737890449927.1073741828.296714693785580/458471034276611/?type=3",NA,22,20,0,0,0,0,0,0
"SenPatRoberts","205694792808927_1368561809855547","Senator Pat Roberts","2017-01-09","2017-01-09 22:37:09","Today is Law Enforcement Appreciation Day. Take a moment to remember those who keep our communities safe and secure. Thank you for your service!","photo","https://www.facebook.com/SenPatRoberts/photos/a.206402209404852.55340.205694792808927/1368561809855547/?type=3",NA,14,12,3,1,0,0,0,0
"SenPatRoberts","205694792808927_1369298126448582","Senator Pat Roberts","2017-01-11","2017-01-11 02:00:01","Today I introduced the Regulatory Responsibility for our Economy Act to reduce the overly burdensome regulations that were the hallmark of the Obama administration. The Senate Majority and the President-Elect are already hard at work identifying regulations that need to be revisited. My bill goes one step further and ensures no future administration can use the same techniques the Obama administration abused.  Read more here: http://bit.ly/2jfANjR","photo","https://www.facebook.com/SenPatRoberts/photos/a.206402209404852.55340.205694792808927/1369298126448582/?type=3",NA,28,47,5,0,0,0,1,3
"SenPatRoberts","205694792808927_1369337909777937","Senator Pat Roberts","2017-01-10","2017-01-10 20:38:42","Deadly avian influenza has once again been found in the United States. If the Obama Administration implements USDA's #RottenEggRule on its way out the door, bird health and public health would be in jeopardy. Farmers may also be forced to purchase more land or kill the majority of their flocks.","video","https://www.facebook.com/senateagGOP/videos/385448948245487/",NA,11,16,0,0,0,0,0,0
"SenPatRoberts","205694792808927_1369999443045117","Senator Pat Roberts","2017-01-11","2017-01-11 15:53:49","I am pleased to have a Kansan on the House Agriculture Committee representing the ‘Big First,’ one of the nation’s largest agriculture producing congressional districts. Congressman Roger Marshall, M.D. will be key to the consideration of the next Farm Bill. I am glad to have him in the House riding shotgun for Kansas’ farmers and ranchers.","link","http://www.roberts.senate.gov/public/index.cfm?p=PressReleases&ContentRecord_id=018CE44E-3714-4C60-A958-5AFDEB5ECADD","roberts.senate.gov",66,17,7,1,0,0,0,0
"SenPatRoberts","205694792808927_1371175036260891","Senator Pat Roberts","2017-01-12","2017-01-12 15:06:26","TUNE IN! Senator Bob Dole and I are introducing Congressman Mike Pompeo at his confirmation hearing to become Director of the Central Intelligence Agency (CIA).","video","https://www.facebook.com/SenatorRichardBurr/videos/1287689727950901/",NA,27,12,0,2,0,0,0,0
"SenPatRoberts","205694792808927_1371223479589380","Senator Pat Roberts","2017-01-12","2017-01-12 16:24:56","Due to a room change, the live feed for Congressman Mike Pompeo's hearing to be CIA Director is now available here. Tune in!","video","https://www.facebook.com/SenatorRichardBurr/videos/1287723037947570/",NA,30,11,0,1,0,0,0,0
