"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"SenatorAngusSKingJr","142803045874943_729070177248224","Senator Angus S. King, Jr.","2017-01-01","2017-01-01 20:14:11","From my family to yours, I wish you all the best in 2017. Happy New Year!","video","https://www.facebook.com/SenatorAngusSKingJr/videos/729070177248224/",NA,563,41,17,21,1,0,0,0
"SenatorAngusSKingJr","142803045874943_730463343775574","Senator Angus S. King, Jr.","2017-01-04","2017-01-04 21:02:19","Proud to join with U.S. Senator Susan Collins to nominate an impressive group of Maine students to our nation’s distinguished service academies. The young people we have nominated have earned this honor through a commitment to strong scholarship, leadership, and character: http://bit.ly/2j9elfJ","photo","https://www.facebook.com/SenatorAngusSKingJr/photos/a.143490589139522.31256.142803045874943/730463343775574/?type=3",NA,114,3,1,0,0,0,0,0
"SenatorAngusSKingJr","142803045874943_730968647058377","Senator Angus S. King, Jr.","2017-01-05","2017-01-05 20:31:56","It was an honor to receive the Navy’s Distinguished Public Service Award from Admiral Faller today in my office. I am humbled by this recognition and hope it reflects the long hours I have put in on the Armed Services Committee working on the behalf of the Navy and Maine. May we all renew our commitment to the brave men and women serving in our military and work to support them as they have supported us.","photo","https://www.facebook.com/SenatorAngusSKingJr/photos/a.143490589139522.31256.142803045874943/730968350391740/?type=3",NA,383,32,22,26,0,2,0,0
"SenatorAngusSKingJr","142803045874943_731061810382394","Senator Angus S. King, Jr.","2017-01-05","2017-01-05 22:45:00","The people of Maine and America deserve to know the facts, which is why the public hearing on Russia’s role in the U.S. election in the Senate Armed Services Committee today was so important. This cannot become a means to relitigate the election – but it is critical we listen and learn from intelligence professionals to inform the American people and develop a strategy of deterrence to protect our country’s sovereignty. Watch my remarks from today HERE: http://bit.ly/2igzvEE","video","http://bit.ly/2igzvEE",NA,552,84,98,15,0,3,0,1
"SenatorAngusSKingJr","142803045874943_731489010339674","Senator Angus S. King, Jr.","2017-01-06","2017-01-06 20:26:48","I joined CNN New Day this morning to discuss our country’s cyber-security, border security and the Affordable Care Act. Watch HERE: http://bit.ly/2iM5OMt","video","http://bit.ly/2iM5OMt",NA,142,31,28,13,0,1,0,0
"SenatorAngusSKingJr","142803045874943_733144946840747","Senator Angus S. King, Jr.","2017-01-10","2017-01-10 15:28:57","I joined Andrea Mitchell yesterday to discuss the declassified report on Russia’s hacking during the presidential election. In Eastern Europe and the Baltic States, the Russians have continually worked to undermine democracies and exert influence on domestic politics – we must not let this happen in the United States. This isn’t about delegitimizing the election, but rather about how it happened and how to prevent it in the future.","video","https://www.facebook.com/SenatorAngusSKingJr/videos/733144946840747/",NA,252,43,29,14,0,0,0,0
"SenatorAngusSKingJr","142803045874943_733229450165630","Senator Angus S. King, Jr.","2017-01-10","2017-01-10 19:34:07","Today, I joined with Senator Jim Risch (R-Idaho) to renew our push to protect critical U.S. energy infrastructure from potentially catastrophic cyber-attacks by reintroducing the Securing Energy Infrastructure Act. More than a year has passed since we saw Ukraine plunged into darkness as a result of a cyber-attack that cut electricity to hundreds of thousands of people. Meanwhile, here in the United States, we have been too slow to take meaningful action to protect ourselves from similar attacks. It’s vital that we act now to bolster the grid’s cyber defenses or we risk a potentially disastrous attack. This bill has broad, bipartisan support, and I hope we can advance it quickly in the new Congress: http://bit.ly/2j2ajox","link","http://bit.ly/2j2ajox","bit.ly",381,27,24,11,0,1,0,0
"SenatorAngusSKingJr","142803045874943_733272953494613","Senator Angus S. King, Jr.","2017-01-10","2017-01-10 21:54:19","Late last night, I spoke on the Senate floor during a debate on the Affordable Care Act to share my story about how health insurance saved my life as a young Senate staffer forty-three years ago. It has always stayed with me that somewhere in America that week, that month, that year, there was a young man or a young woman who had a mole on their arm or their back or their neck, couldn't do anything about it, didn't really think about it, didn't do anything about it until it was too late, and they are gone. And I am here. I don't know why I was saved. Maybe I was saved in order to be here to lend my voice to this conversation. Watch my remarks HERE: http://bit.ly/2iYvVjj","video","http://bit.ly/2iYvVjj",NA,1060,166,232,143,1,7,1,1
"SenatorAngusSKingJr","142803045874943_733740976781144","Senator Angus S. King, Jr.","2017-01-11","2017-01-11 20:19:56","Congratulations to Jon Brockway of Westbrook for being named to the American Trucking Associations' America’s Road Team! Jon was among only 20 drivers nationwide to be named to this elite group of trucking professionals. Hope to see you on the road in Maine!","photo","https://www.facebook.com/SenatorAngusSKingJr/photos/a.143490589139522.31256.142803045874943/733740976781144/?type=3",NA,78,2,5,1,0,0,0,0
"SenatorAngusSKingJr","142803045874943_733797483442160","Senator Angus S. King, Jr.","2017-01-11","2017-01-11 22:27:14","Senator Collins and I have written to the President-elect to urge him to exempt the U.S. Department of Veterans Affairs from his proposed federal hiring freeze to ensure that our veterans receive the high-quality, timely care they deserve: http://bit.ly/2jFflbL","link","http://bit.ly/2jFflbL","bit.ly",218,21,21,11,2,0,0,0
