"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"SenatorBlunt","142473042477322_10155728429599360","Senator Roy Blunt","2017-10-27","2017-10-27 18:34:24","This is about tax cuts for hardworking men and women.","video","https://www.facebook.com/SenatorBlunt/videos/10155728429599360/",NA,385,944,88,19,162,6,14,493
"SenatorBlunt","142473042477322_10155856659399360","Senator Roy Blunt","2017-12-14","2017-12-14 21:30:27","Much-needed tax relief is on the way.","video","https://www.facebook.com/SenatorBlunt/videos/10155856659399360/",NA,505,1457,67,48,194,7,26,837
"SenatorBlunt","142473042477322_1357535334304414","Senator Roy Blunt","2017-01-03","2017-01-03 20:45:05","It is an honor and a privilege to continue representing Missourians in the 115th Congress. I look forward to working with the incoming administration to roll back burdensome and unnecessary regulations, improve access to quality, affordable health care, and keep the promises we’ve made to our nation’s heroes.","photo","https://www.facebook.com/SenatorBlunt/photos/a.147058842018742.31682.142473042477322/1357535334304414/?type=3",NA,183,76,20,17,0,0,3,26
"SenatorBlunt","142473042477322_1357741000950514","Senator Roy Blunt","2017-01-03","2017-01-03 23:17:58","During my stop at the Boys & Girls Club of Southwest Missouri, I talked about the Excellence in Mental Health Act and how our state’s participation in a new demonstration program will help Missourians get the care they need.","video","https://www.facebook.com/SenatorBlunt/videos/1357741000950514/",NA,31,13,3,0,0,0,0,0
"SenatorBlunt","142473042477322_1359312277460053","Senator Roy Blunt","2017-01-04","2017-01-04 19:52:58","The Obama administration handed down a record-breaking 600 major new regulations, imposing more than $700 billion in costs on our economy. All of that excessive red tape places a huge burden on the farmers and small businesses that create jobs in Missouri and across the nation. The REINS Act, which I’m once again proud to cosponsor, paves the way for stronger economic growth by giving Congress the ability to put a stop to any massive new regulation that will hurt families and job creators.   http://www.blunt.senate.gov/public/index.cfm/2017/1/blunt-backs-bill-to-curb-excessive-regulations","link","http://www.blunt.senate.gov/public/index.cfm/2017/1/blunt-backs-bill-to-curb-excessive-regulations","blunt.senate.gov",151,105,34,4,1,1,1,29
"SenatorBlunt","142473042477322_1360202210704393","Senator Roy Blunt","2017-01-05","2017-01-05 21:15:19","Today, I spoke on the Senate floor to share personal stories from Missourians who have been hurt by the president’s health care law. I also called on my Senate colleagues to begin the process of repealing the law and paving the way for better solutions to expand access to quality, affordable health care.","video","https://www.facebook.com/SenatorBlunt/videos/1360202210704393/",NA,294,624,101,16,0,2,5,204
"SenatorBlunt","142473042477322_1365407806850500","Senator Roy Blunt","2017-01-11","2017-01-11 21:07:16","Democrats have failed to live up to nearly every promise they made when they forced Obamacare through Congress without a single Republican vote. Now is the time for them to start making things right. They’ll have that opportunity today when the Senate considers a resolution that gives Congress the tools to repeal Obamacare and pave the way for solutions that will expand access to quality, affordable health care for all Americans.  http://bit.ly/2ikXt43","link","http://bit.ly/2ikXt43","bit.ly",161,329,30,9,3,0,4,111
"SenatorBlunt","142473042477322_1366319140092700","Senator Roy Blunt","2017-01-12","2017-01-12 17:16:20","Early this morning the Senate passed a resolution that gives Congress the tools to repeal Obamacare and bring relief to families who are struggling with widespread premium hikes, skyrocketing deductibles, and dwindling health plan options. This is a critical step toward paving the way for solutions that will expand access to quality, affordable health care for all Americans.","video","https://www.facebook.com/SenatorBlunt/videos/1366319140092700/",NA,207,411,55,15,0,0,9,172
"SenatorBlunt","142473042477322_1366434860081128","Senator Roy Blunt","2017-01-12","2017-01-12 19:46:24","Due to inclement weather, mobile offices scheduled for tomorrow in Rolla, Vienna and Jefferson City are postponed. Stay safe.","status",NA,NA,15,28,0,0,0,0,0,0
"SenatorBlunt","142473042477322_1366500376741243","Senator Roy Blunt","2017-01-12","2017-01-12 21:17:06","At a confirmation hearing held by the Senate Select Committee on Intelligence today, I questioned Rep. Mike Pompeo, President-elect Donald Trump’s nominee for CIA director, regarding cybersecurity issues, social media privacy, encryption, and how he plans to effectively work with the Director of National Intelligence.","video","https://www.facebook.com/SenatorBlunt/videos/1366500376741243/",NA,24,45,5,0,0,0,0,9
