"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"SenatorBobCasey","107749545944874_1139502709511435","U.S. Senator Bob Casey","2017-03-28","2017-03-28 14:22:26","Senator Casey will hold his second town hall meeting of the year at the Peoples Security Bank Theater at Lackawanna College.  501 Vine Street Scranton, PA 18509  Doors will open to the public at 2:00 pm. Note: Space is limited and seating is on a first-come, first-served basis.","event","https://www.facebook.com/events/1139502709511435/",NA,943,62,3,73,4,0,0,1
"SenatorBobCasey","107749545944874_1196700000383151","U.S. Senator Bob Casey","2017-01-06","2017-01-06 15:02:06",NA,"link","https://www.buzzfeed.com/tylerkingkade/senators-trump-campus-rape?utm_term=.yjK0zKajx#.hhbJDGxgn","buzzfeed.com",588,88,69,27,1,3,3,12
"SenatorBobCasey","107749545944874_1197430860310065","U.S. Senator Bob Casey","2017-01-07","2017-01-07 15:17:08",NA,"link","http://www.mcall.com/health/mc-casey-defends-obamacare-20170106-story.html","mcall.com",902,161,99,100,1,2,4,3
"SenatorBobCasey","107749545944874_1197575480295603","U.S. Senator Bob Casey","2017-01-07","2017-01-07 19:21:08","Greetings from the world famous Pennsylvania Farm Show!������������������","photo","https://www.facebook.com/SenatorBobCasey/photos/a.277797272273433.75899.107749545944874/1197575480295603/?type=3",NA,620,29,8,22,0,0,0,0
"SenatorBobCasey","107749545944874_1198882536831564","U.S. Senator Bob Casey","2017-01-09","2017-01-09 15:49:23","I’m concerned that President-elect Trump's cabinet nominees will come before Senate without standard ethics vetting.","link","http://www.nytimes.com/2017/01/07/us/politics/senate-confirmation-hearings-background-checks.html?ref=politics","nytimes.com",463,224,120,22,4,15,11,226
"SenatorBobCasey","107749545944874_1198961373490347","U.S. Senator Bob Casey","2017-01-09","2017-01-09 18:18:05","President-elect Trump's conflicts of interests are unprecedented and for the good of our nation he must divest himself from his businesses. The American people deserve to know that their President is acting in their best interest and not for the benefit of his business interests. Unless President-elect Trump divests, the American people will have no way of knowing where the Trump Organization ends and the Trump Administration begins.","link","https://www.casey.senate.gov/newsroom/releases/casey-backs-bill-to-require-trump-to-remove-all-conflicts-of-interest","casey.senate.gov",6584,842,1279,535,19,8,8,71
"SenatorBobCasey","107749545944874_1199113633475121","U.S. Senator Bob Casey","2017-01-09","2017-01-09 23:03:08",NA,"video","https://www.facebook.com/USSenateDemocrats/videos/1198262753576250/",NA,181,34,0,22,3,2,1,6
"SenatorBobCasey","107749545944874_1199523680100783","U.S. Senator Bob Casey","2017-01-10","2017-01-10 14:32:01",NA,"video","https://www.facebook.com/USSenateDemocrats/videos/1198378410231351/",NA,298,71,0,9,5,2,0,3
"SenatorBobCasey","107749545944874_1199552790097872","U.S. Senator Bob Casey","2017-01-10","2017-01-10 15:41:44","Repealing the Affordable Care Act without a viable alternative in place is reckless and puts millions of Americans at risk.","video","https://www.facebook.com/SenatorBobCasey/videos/1199552790097872/",NA,1843,495,247,121,5,5,15,76
"SenatorBobCasey","107749545944874_1199912270061924","U.S. Senator Bob Casey","2017-01-11","2017-01-11 03:32:01","On this night when President Barack Obama delivers his Farewell Address to the nation, I want to commend him for his eight years of dedicated public service. From the first time we met in 2005, I was struck by his integrity, his intellect and his decency. His achievements as President are too numerous to list but three are significant: over 15 million jobs created since the end of the Great Recession, 20 million more Americans with health care and a $1 trillion reduction in the deficit.   President Obama was a strong fighter for the middle class and the vulnerable. Our nation and state are in a stronger position today than when President Obama took the oath of office in January 2009. We have made progress but we still face substantial challenges in order to grow incomes, educate more children and keep our nation safe. We will miss President Obama’s principled leadership and enduring commitment to strengthening America.","status",NA,NA,2417,332,148,360,22,1,41,10
"SenatorBobCasey","107749545944874_1203094253077059","U.S. Senator Bob Casey","2017-01-15","2017-01-15 00:14:06","I've heard from families throughout Pennsylvania and across the country about the rising costs of prescription drugs. I'm committed to lowering the costs of prescription drugs and that includes importation from Canada. This week, I spoke with Senator Sanders about this issue and am confident we can work together on legislation to allow importation from Canada. I first voted to allow importation of prescription drugs from Canada in 2007 and I'm committed to working with Senator Sanders to get this done. Every family deserves safe, affordable prescription drugs and importation from Canada is a vital part of that.  Earlier this week, I voted for an amendment by Senator Wyden (188) that would lower drug prices and allow importation from Canada. I had some concerns about the separate Sanders amendment (178) because of a lack of drug safety provisions. That issue couldn't be resolved in the ten minutes between votes. The concern was over provisions related to wholesalers and whether they would comply with safety laws. It's important to ensure the integrity of our drug supply chain.  There were three amendments votes on the topic of importation. The separate Wyden amendment (188) allowed for importation and addressed the safety concerns I had.","status",NA,NA,965,431,180,53,4,3,5,111
"SenatorBobCasey","107749545944874_1204534149599736","U.S. Senator Bob Casey","2017-01-16","2017-01-16 18:29:11","‪Honored to take part in the Dr. Martin Luther King, Jr. bell ringing ceremony, recognizing his indelible impact on America.‬ #MLKDay","photo","https://www.facebook.com/SenatorBobCasey/photos/a.277797272273433.75899.107749545944874/1204534149599736/?type=3",NA,376,43,9,22,0,0,0,0
"SenatorBobCasey","107749545944874_1205307786189039","U.S. Senator Bob Casey","2017-01-17","2017-01-17 18:02:59","I appreciated the opportunity to meet with Vice President-elect Mike Pence today to discuss the challenges facing our nation. I expressed to Vice President-elect Pence my desire to work in a bipartisan fashion with the incoming Administration on a plan to make a substantial, new investment in our nation’s infrastructure in order to rebuild roads, bridges and expand broadband in rural Pennsylvania. I also encouraged Vice President-elect Pence to move forward with President-elect Trump’s stated desire to crackdown on countries that cheat on trade. For years, I have opposed unfair trade deals and led efforts to hold countries, like China, accountable for their cheating. The incoming Administration must take swift action to protect Pennsylvania workers and ensure that all countries are playing by the rules when it comes to trade. For too long, Pennsylvania workers have gotten the short end of the economic stick on trade and that must change.   I also expressed to Vice President-elect Pence my significant concerns with any plan to repeal the Affordable Care Act. This action would raise premiums for middle class families, hike the cost of prescription drugs for seniors and end vital consumer protections for the millions that had health insurance coverage before the Affordable Care Act became law or any plan to end the guaranteed benefit of Medicare and slash nursing home funding by block-granting Medicaid. Despite promising not to touch important programs for seniors during the campaign, President-elect Trump has appointed the architect of efforts to end the guaranteed benefit of Medicare to lead the Department of Health and Human Services. Additionally, Speaker Paul Ryan and Congressional Republicans have vowed to pursue their plan which will undermine Medicare and Medicaid. I made it clear that I would hold the incoming Administration accountable on protecting Medicare, Medicaid and Social Security. I also discussed my concerns with the Administration’s stated plans to cut taxes for millionaires, billionaires and corporations who ship jobs overseas at the expense of the middle class. Furthermore, I discussed with the Vice President-elect my deep concern about President-elect Trump’s refusal to remove himself from financial conflicts of interest.","photo","https://www.facebook.com/SenatorBobCasey/photos/a.277797272273433.75899.107749545944874/1205306896189128/?type=3",NA,802,201,47,40,4,0,15,8
"SenatorBobCasey","107749545944874_1205477102838774","U.S. Senator Bob Casey","2017-01-17","2017-01-17 22:48:47","In a few minutes I'll be questioning U.S. Department of Education Secretary nominee, Betsy DeVos. I have serious concerns about DeVos’ commitment to adequately funding public schools in Pennsylvania and throughout our nation. DeVos’ record on these issues is very concerning, and I plan to ask specific questions about her views on public education.","link","http://www.help.senate.gov/hearings/nomination-of-betsy-devos-to-serve-as-secretary-of-education","help.senate.gov",1814,595,105,89,3,7,5,69
"SenatorBobCasey","107749545944874_1205550202831464","U.S. Senator Bob Casey","2017-01-18","2017-01-18 00:56:10","It is not “premature” for a nominee to be Secretary of Education to commit to enforcing campus sexual assault laws. Ms. DeVos’ answer to my question, in which she refused to commit to enforcing the current law on campus sexual assaults contained in Title IX is deeply troubling. We’ve come too far and have too far to go on campus sexual assaults to go back to the days of zero accountability. A sexual assault is the ultimate betrayal and the students of our nation deserve a Secretary of Education who will stand up for them, not one unwilling to commit to enforcing basic campus sexual assault protections.","video","https://www.facebook.com/SenatorBobCasey/videos/1205550202831464/",NA,8907,1642,6543,436,13,193,129,1768
