"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"SenatorDavidPerdue","311482539049477_557548877776174","Senator David Perdue","2017-01-02","2017-01-02 02:19:36","This election cycle and its outcome sent a loud message to the Washington establishment. Read more via The Daily Signal.","link","http://dailysignal.com/2016/12/29/the-enormous-opportunity-of-trumps-presidency/","dailysignal.com",87,34,12,4,1,0,0,8
"SenatorDavidPerdue","311482539049477_558249891039406","Senator David Perdue","2017-01-03","2017-01-03 18:24:33","Kicking off the 115th Congress.","video","https://www.facebook.com/SenatorDavidPerdue/videos/558249891039406/",NA,182,57,20,8,0,3,1,5
"SenatorDavidPerdue","311482539049477_558340254363703","Senator David Perdue","2017-01-03","2017-01-03 23:56:19","Great news for Georgia jobs! Governor Nathan Deal announces The Linde Group is investing $40 million in Cook County.","link","https://gov.georgia.gov/press-releases/2017-01-03/deal-linde-group-invest-40-million-cook-county","gov.georgia.gov",70,6,12,0,0,1,0,1
"SenatorDavidPerdue","311482539049477_558730350991360","Senator David Perdue","2017-01-04","2017-01-04 22:33:12","Georgia Emergency Management Agency/Homeland Security shares great information for when a winter storm watch is issued & they recommend preparations to stay home for at least 3 days. Ready Georgia can help.","link","http://ready.ga.gov/?platform=hootsuite","ready.ga.gov",45,6,16,0,3,0,0,0
"SenatorDavidPerdue","311482539049477_558745887656473","Senator David Perdue","2017-01-04","2017-01-04 23:11:13","Governor Nikki Haley and I had a great meeting today about her vision for America on the world stage and her desire to make the U.N. more transparent to American taxpayers. Governor Haley understands that we are facing a global security crisis and is committed to reversing the dangerous precedent President Obama and his administration have set—one that has confused our allies and emboldened our enemies. We agree that peace and preserving our national sovereignty is the ultimate objective at the U.N., and I look forward to supporting her nomination.","photo","https://www.facebook.com/SenatorDavidPerdue/photos/a.312317242299340.1073741829.311482539049477/558745887656473/?type=3",NA,252,32,17,11,1,0,0,7
"SenatorDavidPerdue","311482539049477_558757597655302","Senator David Perdue","2017-01-04","2017-01-04 23:45:07","Dr. Ben Carson's heart for humanity is very impressive, and he will bring that commitment to this new responsibility to meet our nation’s diverse housing and development needs. I look forward to supporting Dr. Carson’s nomination and working together to roll back government regulations impeding economic growth so we can bring positive change to the most under served communities in our country.","photo","https://www.facebook.com/SenatorDavidPerdue/photos/a.312317242299340.1073741829.311482539049477/558757597655302/?type=3",NA,342,25,15,21,3,0,0,10
"SenatorDavidPerdue","311482539049477_558999070964488","Senator David Perdue","2017-01-05","2017-01-05 15:34:56","Ahead of the Senate Armed Services Committee hearing on foreign cyber threats, I joined Bill Hemmer on Fox News Channel's America's Newsroom. What we have here is a wake-up call, in my mind. This is bigger than Russia. It’s bigger than this one incident. This is about the future defense of America.","video","https://www.facebook.com/SenatorDavidPerdue/videos/558999070964488/",NA,66,34,17,3,1,1,1,4
"SenatorDavidPerdue","311482539049477_559128520951543","Senator David Perdue","2017-01-05","2017-01-05 22:19:31",NA,"link","http://www.wsbtv.com/news/local/gov-nathan-deal-declares-state-of-emergency-ahead-of-winter-storm/481542625","wsbtv.com",164,21,0,3,21,32,0,0
"SenatorDavidPerdue","311482539049477_559536250910770","Senator David Perdue","2017-01-06","2017-01-06 19:59:02","Today, Congress made it official. The Electoral College's ballots were certified for President-elect Donald J. Trump and Vice President-elect Mike Pence, and I had the chance to witness history in the making.   The American people sent a clear message to Washington: it is time to shake things up. It is time to build consensus and break through the gridlock. We have an enormous moment of opportunity with a new White House and a new Congress to follow through on delivering results for all Americans. We can set clear priorities with a sense of urgency to start undoing some of the damage that has been done to our economy and standing on the world stage.  To be clear, this is not about securing the legacy of another career politician. We will soon have an outsider and businessman who is listening to people back home in the White House. That’s just the first step. President-elect Donald J. Trump is surrounding himself with a capable team, many of whom have spent their careers outside of the Washington bubble. I look forward to getting this team in place so we can hit the ground running and immediately get to work.","status",NA,NA,252,82,27,32,2,0,2,28
"SenatorDavidPerdue","311482539049477_560571710807224","Senator David Perdue","2017-01-09","2017-01-09 15:50:51","WJXT4 The Local Station / News4JAX shares what Georgia industry leaders are saying about my committee appointments for the 115th Congress.","link","http://www.news4jax.com/news/politics/georgian-industry-leaders-applaud-sen-perdues-committee-appointments","news4jax.com",128,18,10,5,0,0,0,2
"SenatorDavidPerdue","311482539049477_561084470755948","Senator David Perdue","2017-01-10","2017-01-10 22:32:46","General Mattis is a highly experienced and decorated military leader. He fully understands the principle of civilian control of the military, which is so important to our democracy. With his experience, I believe General Mattis is the right person given the challenges of our time. His decades of experience and strong leadership will be absolutely essential in helping America deal with its global security crisis. This crisis ranges from symmetric threats like Russia and China, and asymmetric threats like the global war on terrorism and ISIS. Today, we also face growing nuclear threats from rogue nations like Iran and North Korea, as well as hybrid warfare developments ranging from cybersecurity to the arms race in space. Additionally, my home state of Georgia plays a strategic role in the defense of our country with nine military installations. I stand ready to work with General Mattis in making sure that we continue to fulfill our strategic requirements in Georgia and around the world. I strongly support his nomination, and I look forward to partnering with him as we deal with this global security crisis directly.","photo","https://www.facebook.com/SenatorDavidPerdue/photos/a.312317242299340.1073741829.311482539049477/561084470755948/?type=3",NA,198,24,14,10,0,0,0,0
"SenatorDavidPerdue","311482539049477_561376004060128","Senator David Perdue","2017-01-11","2017-01-11 17:36:28","Serving Georgians is one of my top priorities. My team and I want to help all Georgians that may not otherwise be able to visit our Atlanta office location. We have field representatives based in each region of the state, and we are excited for the opportunity to extend the reach of our constituent services in the coming months. Mobile Office Hours and locations are listed below.   Middle Georgia Monday, January 23 10:00 a.m. – 12:00 p.m. Family Connections and Community in Schools of Glascock County 370 West Main Street Gibson, GA 30810  West Central Georgia Wednesday, January 25 10:00 a.m. – 12:00 p.m. Roberta-Crawford Civic Center 96 Matthews Street Roberta, Georgia 31078","photo","https://www.facebook.com/SenatorDavidPerdue/photos/a.312317242299340.1073741829.311482539049477/561376004060128/?type=3",NA,39,26,5,2,4,0,0,1
"SenatorDavidPerdue","311482539049477_561417314055997","Senator David Perdue","2017-01-11","2017-01-11 19:51:58","Our country is well past the tipping point in this debt crisis, and when Washington’s spend now, save later merry-go-round stops, it’s not going to be pretty. We need a White House Office of Management and Budget Director who is focused on cutting waste, eliminating redundant programs, and tackling our country’s fiscal problems head on. I had a great meeting with Congressman Mulvaney today. He has spent years studying our country’s finances and pushing Congress to cut excess spending, even if it was not the popular thing to do in Washington. Congressman Mulvaney is a great choice to lead us in a new direction, and I fully support this nomination. I look forward to working with Congressman Mulvaney and President-elect Donald J. Trump to bring some common-sense to our country’s finances and hold all of us accountable to paying down the national debt.","photo","https://www.facebook.com/SenatorDavidPerdue/photos/a.312317242299340.1073741829.311482539049477/561417314055997/?type=3",NA,113,51,5,4,2,0,0,2
"SenatorDavidPerdue","311482539049477_561651697365892","Senator David Perdue","2017-01-12","2017-01-12 06:53:22","Obamacare is collapsing under its own weight. I promised Georgians I’d do everything I can to get rid of Obamacare, and we are now one step closer to getting some real relief from this disastrous law. With President-elect Donald J. Trump in the White House and Georgia Congressman Tom Price leading our top health care agency, Americans can expect to see great improvements in our health care system.","link","http://www.perdue.senate.gov/news/press-releases/senator-david-perdue-we-need-a-health-care-system-that-works","perdue.senate.gov",314,797,87,31,6,5,12,320
"SenatorDavidPerdue","311482539049477_561887910675604","Senator David Perdue","2017-01-12","2017-01-12 19:53:19","General Mattis and I agree: the national debt is the greatest threat to our national security. As President-elect Donald J. Trump's nominee for Secretary of Defense, General Mattis completely understands why it is important to protect our country while not leaving massive amounts of debt for our children.","video","https://www.facebook.com/SenatorDavidPerdue/videos/561887910675604/",NA,262,73,43,14,1,1,0,10
"SenatorDavidPerdue","311482539049477_562264307304631","Senator David Perdue","2017-01-13","2017-01-13 18:22:43","Great story about an incredible Georgia preschooler who read 1,000 books before Kindergarten, and served as the Librarian for the Day at the The Library of Congress. Congratulations, Daliyah Marie Arana. Way to go!","link","http://abcnews.go.com/US/wireStory/year-read-1000-books-tours-library-congress-44743509?cid=social_fb_abcn","abcnews.go.com",165,15,14,15,0,10,1,0
"SenatorDavidPerdue","311482539049477_563018253895903","Senator David Perdue","2017-01-15","2017-01-15 14:09:16","Way to go, Atlanta Falcons! #RISEUP","photo","https://www.facebook.com/atlantafalcons/photos/a.106918637841.94103.50806422841/10154401909102842/?type=3",NA,84,4,0,8,0,0,0,0
"SenatorDavidPerdue","311482539049477_563576107173451","Senator David Perdue","2017-01-16","2017-01-16 20:11:04","Today, we honor and reflect upon the courageous life and teachings of Dr. Martin Luther King, Jr. His words echo through history and touch the hearts of Georgians and Americans alike. It is my hope that as a country we will continue to strive for the kind of peace, justice, and understanding that Dr. King so honorably dedicated his life to.","status",NA,NA,80,14,3,4,1,0,0,0
