"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"SenatorHassan","523773000968844_1429489537063848","Senator Maggie Hassan","2017-01-03","2017-01-03 14:07:25",NA,"photo","https://www.facebook.com/SenatorHassan/photos/a.540886362590841.129665.523773000968844/1429489187063883/?type=3",NA,752,56,19,64,0,1,1,0
"SenatorHassan","523773000968844_1429490023730466","Senator Maggie Hassan","2017-01-03","2017-01-03 14:08:28",NA,"photo","https://www.facebook.com/SenatorHassan/photos/a.544960762183401.130365.523773000968844/1429489953730473/?type=3",NA,90,9,3,10,0,1,0,0
"SenatorHassan","523773000968844_1429605340385601","Senator Maggie Hassan","2017-01-03","2017-01-03 17:10:02","Introducing our account for soon-to-be Senator Maggie Hassan! Your source for the latest on her work to fight for New Hampshire in the U.S. Senate","status",NA,NA,206,1,2,7,0,1,0,0
"SenatorHassan","523773000968844_1429605533718915","Senator Maggie Hassan","2017-01-03","2017-01-03 17:10:32","Today, Maggie Hassan will be sworn-in to represent New Hampshire in the U.S. Senate. WATCH live here: https://www.c-span.org/video/?420826-1/us-senate-meets-swearingin-senators&live","link","https://www.c-span.org/video/?420826-1%2Fus-senate-meets-swearingin-senators&live","c-span.org",229,19,8,27,1,1,0,0
"SenatorHassan","523773000968844_1429625653716903","Senator Maggie Hassan","2017-01-03","2017-01-03 17:41:59","READ Senator Maggie Hassan’s statement on being sworn-in to the Senate today by Vice President Biden:  “I am deeply grateful and honored to serve the people of New Hampshire as their United States Senator. By working together across party lines to solve problems in New Hampshire, we’ve made progress for our state’s hard-working families and small businesses – and we know we have more work to do. I look forward to hitting the ground running in the Senate and working to find common ground to expand middle class opportunity, support innovative small businesses, and keep New Hampshire and America safe, secure, and strong.”","status",NA,NA,120,5,8,20,0,1,0,0
"SenatorHassan","523773000968844_1429711067041695","Senator Maggie Hassan","2017-01-03","2017-01-03 19:54:00","“I am deeply grateful and honored to serve the people of New Hampshire as their United States Senator.” – Senator Maggie Hassan","photo","https://www.facebook.com/SenatorHassan/photos/a.553083364704474.131569.523773000968844/1429711067041695/?type=3",NA,1107,71,83,138,3,3,1,2
"SenatorHassan","523773000968844_1430612966951505","Senator Maggie Hassan","2017-01-04","2017-01-04 18:42:29","Today, Senator Hassan stood up to protect health insurance coverage for tens of thousands of Granite Staters. Read her full statement below:    ""Today, I stood up to protect health insurance coverage for tens of thousands of Granite Staters and millions of Americans, and to continue the fight against the opioid crisis.   ""Through our bipartisan, business-backed New Hampshire Health Protection Plan, and the reduced-cost coverage available through the marketplace, tens of thousands of New Hampshire citizens now have access to basic health care, including critical coverage for substance abuse treatment and behavioral health services. Eliminating this important bipartisan program would set back our efforts to combat the heroin, fentanyl and opioid crisis and greatly hinder our ability to provide treatment to Granite Staters in need.   ""We should work together across party lines to improve the Affordable Care Act, which has helped 690,000 Granite Staters -- with no out-of-pocket cost – access basic preventive services such as cancer screenings, contraception, and flu shots.   ""Repealing the Affordable Care Act without any replacement is a recipe for upheaval, instability and increased costs across the health insurance market, hurting our families, small businesses and economic progress. This resolution sets us on a perilous path, and I will continue to stand up for the people of New Hampshire and strongly fight any efforts to take away Granite Staters’ health insurance coverage.”","status",NA,NA,145,23,6,15,0,1,0,0
"SenatorHassan","523773000968844_1431345630211572","Senator Maggie Hassan","2017-01-05","2017-01-05 15:55:22","In her first letter, Senator Hassan and colleagues write to GOP leadership: ""We remain committed to improving the ACA, & we urge you to work with us now."" Read more:","link","http://bit.ly/2j80Zwa","bit.ly",69,15,3,4,0,0,0,0
"SenatorHassan","523773000968844_1431496416863160","Senator Maggie Hassan","2017-01-05","2017-01-05 19:40:30","Thanks to Gabby Giffords & Captain Mark Kelly for stopping by our office today and for your leadership for common-sense gun safety","photo","https://www.facebook.com/SenatorHassan/photos/a.553083364704474.131569.523773000968844/1431496416863160/?type=3",NA,288,13,4,23,0,0,2,0
"SenatorHassan","523773000968844_1432187983460670","Senator Maggie Hassan","2017-01-06","2017-01-06 15:06:24","I had a productive conversation today with Secretary of Homeland Security Nominee General John Kelly. Read my full statement:  ""General John Kelly and I had a productive meeting focused on how to  keep New Hampshire and America safe in the face of ever-evolving threats from ISIS, Al-Qaeda and homegrown terrorists who may be inspired by these radical groups, while still upholding our core values as Americans. As Governor, I worked with state homeland security officials, the National Guard, local public safety officials, and federal partners to keep Granite Staters safe. During our discussion, I expressed to General Kelly the importance of improving drug interdiction to help fight the heroin and opioid crisis, and continuing to improve information-sharing with state and local officials. We also had a wide-ranging conversation about cyber-security.""   ""As a Gold Star father, General Kelly has a deep, personal understanding of the dangers that our servicemen and women encounter every day. He has served our country with distinction, and I look forward to continuing our conversation throughout the Homeland Security and Governmental Affairs hearing process.""","photo","https://www.facebook.com/SenatorHassan/photos/a.553083364704474.131569.523773000968844/1432187983460670/?type=3",NA,44,5,1,3,0,0,0,0
