"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"SenatorHeidiHeitkamp","501810613175643_1287606434596053","Senator Heidi Heitkamp","2017-01-01","2017-01-01 16:30:00","As we begin the New Year, it’s important to take stock of all we’ve accomplished over the last year by working together and supporting our friends, neighbors, and communities. I’ve enjoyed spending time with so many North Dakotans this past year and working for our state – whether it was in the field with farmers talking about the next Farm Bill or bringing together folks in Indian Country to talk about the impacts of childhood trauma. Have a great New Year, and I look forward to working with all of you to make an even better future for our state in 2017.","video","https://www.facebook.com/SenatorHeidiHeitkamp/videos/1287606434596053/",NA,82,10,2,2,0,0,0,2
"SenatorHeidiHeitkamp","501810613175643_1298294956860534","Senator Heidi Heitkamp","2017-01-03","2017-01-03 22:34:15","Talked about the importance of fighting for a strong Farm Bill in 2018 that supports and protects North Dakota farmers with North Dakota Corn Assoication’s Kevin Skunes from Arthur.","photo","https://www.facebook.com/SenatorHeidiHeitkamp/photos/a.1298294910193872.1073741864.501810613175643/1298294956860534/?type=3",NA,36,3,2,0,0,0,0,2
"SenatorHeidiHeitkamp","501810613175643_1299868596703170","Senator Heidi Heitkamp","2017-01-05","2017-01-05 23:00:44","Met with UND’s Coordinator for Sexual Respect & Violence Program, Amber Flynn, to discuss its work to protect and educate students and prevent incidents of sexual violence, dating and domestic violence, and stalking.","photo","https://www.facebook.com/SenatorHeidiHeitkamp/photos/a.1298294910193872.1073741864.501810613175643/1299868596703170/?type=3",NA,72,6,2,7,0,3,0,0
"SenatorHeidiHeitkamp","501810613175643_1300456466644383","Senator Heidi Heitkamp","2017-01-06","2017-01-06 15:19:25","Meeting one-on-one with nominees, especially for roles that are critical in keeping our country safe, is a needed step in fully considering the president-elect’s nominated cabinet members. I had a productive meeting with General John F. Kelly, the nominee to lead the U.S. Department of Homeland Security, and as I consider his nomination I look forward to learning more about him through his upcoming Senate hearing. As a member of the U.S. Senate Committee on Homeland Security & Governmental Affairs, one of my duties is to oversee DHS and make sure the department is keeping communities strong and safe in North Dakota and beyond. That’s why I pressed General Kelly about border security, including the need for DHS to quickly and carefully review Northern Border security, as my bill that was signed into law last year requires. General Kelly and I also spoke about cybersecurity issues, and I reinforced my concern that DHS needs to make it a priority to implement my RESPONSE Act, which also became law last year, to better prepare our brave first responders.","photo","https://www.facebook.com/SenatorHeidiHeitkamp/photos/a.508988599124511.113972.501810613175643/1300456466644383/?type=3",NA,26,5,1,1,0,0,0,0
"SenatorHeidiHeitkamp","501810613175643_1302800463076650","Senator Heidi Heitkamp","2017-01-09","2017-01-09 18:09:04","Met with a top U.S. Customs and Border Patrol official who oversees the agency’s steps to improve the process for hiring federal workers at the Northern Border and make the federal hiring process more efficient – continuing my work to address recruitment and retention challenges. This meeting was an important step as she provided an update on the needed progress at CBP after I pushed on the agency to make the federal hiring process more efficient so we can fill these needed jobs. We can continue to build on this momentum by implementing ideas from a bill I introduced to strengthen CBP’s ability to recruit and retain our nation’s best and brightest to keep our borders and communities strong and safe.","photo","https://www.facebook.com/SenatorHeidiHeitkamp/photos/a.508988599124511.113972.501810613175643/1302800463076650/?type=3",NA,7,1,1,0,0,0,0,0
"SenatorHeidiHeitkamp","501810613175643_1302852706404759","Senator Heidi Heitkamp","2017-01-09","2017-01-09 19:28:42","Click below to go to my new online portal where North Dakotans can offer their questions and comments on President-elect Trump’s cabinet nominees. Any president should be able to nominate those who he feels will best serve in his administration. As a member of the U.S. Senate, it’s my duty to consider these nominees for the very important positions they could hold overseeing federal agencies, and learn about them through meetings and congressional hearings that are open to the public. It’s critical for me to hear from North Dakotans and I encourage folks to visit my website to share their comments and offer questions they have to help make sure the nominees are prepared to lead our country.","link","http://bit.ly/2iVyN0t","bit.ly",54,48,42,2,0,0,0,1
"SenatorHeidiHeitkamp","501810613175643_1303444346345595","Senator Heidi Heitkamp","2017-01-10","2017-01-10 14:29:54","Tune in today at 9:00amCT/10:00amET for a Senate Subcommittee hearing on a new report about Backpage dot com’s role in facilitating human trafficking and allowing perpetrators to advertise their victims. Countless incidents in North Dakota and across the country have made clear the role the website plays in human trafficking. We can’t let this horrific crime happen in our backyard and to our children. The findings of the report will be an important step to halting the website’s role in enabling sex trafficking online and I hope folks will tune in today.","photo","https://www.facebook.com/SenatorHeidiHeitkamp/photos/a.508988599124511.113972.501810613175643/1303444346345595/?type=3",NA,15,5,2,0,0,0,2,3
"SenatorHeidiHeitkamp","501810613175643_1303710279652335","Senator Heidi Heitkamp","2017-01-10","2017-01-10 22:21:08","Today a U.S. Senate subcommittee held a hearing focused on Backpage’s role to facilitate human trafficking. As folks in North Dakota know all too well, human trafficking doesn’t just happen in places like New York City or at a Super Bowl, it happens in places like Watford City and Minot. At the hearing, I had the opportunity to express firsthand my disappointment and anger about the website’s role in exploiting children to the heads of Backpage. We also heard from three brave parents of human trafficking victims about their journey and struggles. Holding Backpage accountable is a small and critical part to combating human trafficking, but if we all work together I know we can conquer this problem and protect our children. http://bit.ly/2j2IGeZ","video","https://www.facebook.com/SenatorHeidiHeitkamp/videos/1303710279652335/",NA,455,41,171,39,0,4,2,2
"SenatorHeidiHeitkamp","501810613175643_1304334259589937","Senator Heidi Heitkamp","2017-01-11","2017-01-11 16:38:17","The safety of North Dakota’s communities is paramount. During the U.S. Senate hearing on President-elect Trump’s nominee to lead the Department of Homeland Security, General John F. Kelly, I stressed the urgency of implementing my bills which were signed into law last month to review security challenges along the Northern Border and provide training and support to our first responders. We also discussed the need to combat human trafficking and address the unique security challenges in rural communities. Through both my meeting with General Kelly and the Senate hearing, it is clear that he is a proven leader who has deep-rooted knowledge of the threats our nation as well as the challenges our servicemembers face in combat and when they return home from service. I will support his nomination and I look forward to working with him to keep our communities strong and safe. Click here to watch the full video: http://bit.ly/2ik4h1S","video","https://www.facebook.com/SenatorHeidiHeitkamp/videos/1304334259589937/",NA,45,8,3,0,0,0,0,0
"SenatorHeidiHeitkamp","501810613175643_1304625002894196","Senator Heidi Heitkamp","2017-01-11","2017-01-11 22:44:06","Scott Pruitt, the nominee to lead the EPA, and I had a solid discussion on how to best support a true all-of-the-above energy strategy. That means supporting fossil fuels, renewable energies, and biofuels – all while reducing emissions to make sure we have clean air and water. I also reinforced the need for a strong Renewable Fuel Standard, sensible regulations on the oil and gas industry and addressing the overreach of rules like the Clean Power Plan and Waters of the U.S. http://bit.ly/2ihzL5g","photo","https://www.facebook.com/SenatorHeidiHeitkamp/photos/a.508988599124511.113972.501810613175643/1304625002894196/?type=3",NA,37,16,2,0,1,0,0,4
