"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"SenatorLankford","130873066975024_10155878182054360","Senator James Lankford","2017-12-22","2017-12-22 23:18:26","WATCH THIS: CBS This Morning asked 3 families (with 3 very different income levels) for their tax returns & found that all of them would receive tax relief next year because of the tax reform bill that Congress just passed.","video","https://www.facebook.com/SenatorLankford/videos/10155878182054360/",NA,1586,543,1723,227,38,22,12,133
"SenatorLankford","130873066975024_1315167415212244","Senator James Lankford","2017-01-01","2017-01-01 17:51:28","Happy New Year! May God bless you this new year!","photo","https://www.facebook.com/SenatorLankford/photos/a.130988410296823.23339.130873066975024/1315167415212244/?type=3",NA,265,9,8,0,0,0,0,0
"SenatorLankford","130873066975024_1316394101756242","Senator James Lankford","2017-01-03","2017-01-03 01:09:36","Tonight, I appeared on CNN’s Erin Burnett OutFront to discuss Russian cyber hacking and President Obama’s sanctions against Russia. For a long time, the Russians have been engaged in hacking to influence elections all over Europe and Asia. This is not new. We need a consistent cyber strategy that governs our response to cyber threats wherever they exist.","video","https://www.facebook.com/SenatorLankford/videos/1316394101756242/",NA,91,39,15,3,0,0,0,1
"SenatorLankford","130873066975024_1316878821707770","Senator James Lankford","2017-01-03","2017-01-03 15:11:05","We are back in action in Washington, DC this week. Be sure to follow me on Instagram (@SenatorLankford) to catch all behind-the-scenes photos of swearing-in activities. Also, tune in to C-SPAN 2 at 11:00am CT today to watch me be sworn-in for the 115th Congress.","status",NA,NA,71,8,4,1,0,0,1,1
"SenatorLankford","130873066975024_1317047251690927","Senator James Lankford","2017-01-03","2017-01-03 18:14:18","I do solemnly swear that I will support and defend the Constitution of the United States against all enemies, foreign and domestic; that I will bear true faith and allegiance to the same; that I take this obligation freely, without any mental reservation or purpose of evasion; and that I will well and faithfully discharge the duties of the office on which I am about to enter: So help me God.","video","https://www.facebook.com/SenatorLankford/videos/1317047251690927/",NA,804,60,50,63,2,2,2,1
"SenatorLankford","130873066975024_1317201451675507","Senator James Lankford","2017-01-03","2017-01-03 21:02:57","I am incredibly grateful for the honor to represent the state of Oklahoma as one of its United States Senators. The people of Oklahoma have entrusted me to serve in this capacity on their behalf, and I hope to make all Oklahomans proud of this office for the next six years. Today’s swearing-in is symbolic for me and my family for so many reasons, but also a powerful reminder that we live in a great democratic republic that is self-governed and led by the people. Any person, including someone like me who served in ministry for 22 years, can be chosen to serve in Congress.   This is a pivotal time for the United States of America, as our nation faces many threats and challenges. Our national security is at risk, our federal government is inefficient, debt is rising out-of-control, and our economy is sluggish. Too many families face poverty, the health care system is unaffordable, and basic freedoms are at risk. There is so much work to get done in this Congress, and I commit to serve diligently and faithfully every day.","photo","https://www.facebook.com/SenatorLankford/photos/a.130988410296823.23339.130873066975024/1317201451675507/?type=3",NA,1396,69,57,97,2,2,1,2
"SenatorLankford","130873066975024_1318092801586372","Senator James Lankford","2017-01-04","2017-01-04 20:38:35","Just a bit ago, the Senate voted to begin the process to repeal Obamacare. Oklahomans have seen first-hand the devastation caused by the impact of Obamacare. Last year, the Obama administration announced a 25 percent increase in premiums across the nation. The news for our state was much worse. Oklahoma will see a rise of 76 percent with only one health insurer to offer plans through the federal exchange in 2017. This will leave Oklahomans with no choice for their healthcare and devastatingly increased costs.   Today’s vote begins the legislative process to repeal Obamacare and implement a plan that is focused on putting control back into the hands of patients, families, and doctors. It’s time to move forward to repeal and replace Obamacare. It’s time to focus on a future of a healthy America.","status",NA,NA,1740,986,411,155,2,9,20,338
"SenatorLankford","130873066975024_1318713631524289","Senator James Lankford","2017-01-05","2017-01-05 15:34:29","In case you missed it, it was great to join the Exploring Energy Radio Show to talk about the new 115th Congress and the confirmation process in the Senate for Oklahoma Attorney General Scott Pruitt for EPA Administrator and other nominees. Listen to our conversation HERE:","video","https://www.facebook.com/SenatorLankford/videos/1318713631524289/",NA,95,14,4,0,0,0,0,5
"SenatorLankford","130873066975024_1318860818176237","Senator James Lankford","2017-01-05","2017-01-05 17:54:21","It was a pleasure to meet with General John Kelly to learn more about his impressive military experience and his vision for the Department of Homeland Security. Our national security is a priority that we need to take very seriously. We need a strong leader at the Homeland Security Department, a person who will help protect America against terrorism and secure our borders.   General Kelly's background provides unique insight into some of the challenges the United States faces as it relates to terrorism, immigration, and drug trafficking. I look forward to his confirmation hearing, and I am optimistic that he will be confirmed.","photo","https://www.facebook.com/SenatorLankford/photos/a.130988410296823.23339.130873066975024/1318860818176237/?type=3",NA,142,12,14,5,0,0,0,0
"SenatorLankford","130873066975024_1319804711415181","Senator James Lankford","2017-01-06","2017-01-06 17:59:26","The Joint Session of Congress to count the Electoral Votes will be starting shortly. TUNE IN to C-SPAN to watch: https://www.c-span.org/networks/","link","https://www.c-span.org/networks/","c-span.org",27,19,4,0,1,0,1,0
