"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"SenatorLutherStrange","1118927634882939_1118929218216114","Senator Luther Strange","2017-02-09","2017-02-09 20:43:54",NA,"photo","https://www.facebook.com/SenatorLutherStrange/photos/a.1118928998216136.1073741826.1118927634882939/1118929021549467/?type=3",NA,54,3,5,10,1,2,0,0
"SenatorLutherStrange","1118927634882939_1118929784882724","Senator Luther Strange","2017-02-09","2017-02-09 20:45:12",NA,"photo","https://www.facebook.com/SenatorLutherStrange/photos/a.1118929778216058.1073741827.1118927634882939/1118929698216066/?type=3",NA,37,5,4,10,1,0,0,0
"SenatorLutherStrange","1118927634882939_1119133664862336","Senator Luther Strange","2017-02-10","2017-02-10 01:57:24","I'm honored to serve alongside so many other great Alabamians in Congress and grateful for their kind words of confidence.","link","http://yellowhammernews.com/politics-2/alabama-congressional-delegation-reacts-appointment-strange-u-s-senate/","yellowhammernews.com",50,1,2,5,0,1,0,2
"SenatorLutherStrange","1118927634882939_1119567548152281","Senator Luther Strange","2017-02-10","2017-02-10 14:17:18","Very proud that my first vote in the U.S. Senate at about 1AM Alabama time was to confirm Rep. Tom Price as Secretary of Health and Human Services. I'm ready to work with the Trump administration to repeal Obamacare and reform health care to make it truly affordable and accessible for Alabamians.","photo","https://www.facebook.com/SenatorLutherStrange/photos/a.1119568501485519.1073741828.1118927634882939/1119567548152281/?type=3",NA,58,16,6,0,0,0,0,2
"SenatorLutherStrange","1118927634882939_1119739251468444","Senator Luther Strange","2017-02-10","2017-02-10 22:44:00","I'm ready to pick up where our U.S. Attorney General Jeff Sessions left off. I look forward to supporting the mission of the Trump administration.","video","https://www.facebook.com/SenatorLutherStrange/videos/1119739251468444/",NA,39,2,4,0,0,0,1,0
"SenatorLutherStrange","1118927634882939_1120111194764583","Senator Luther Strange","2017-02-11","2017-02-11 19:10:00","As your Senator, I'll continue to fight to protect our Alabama farmers from unnecessary federal red-tape.","link","http://alfafarmers.org/stories/news-detail/agriculture-among-senator-strange-committee-assignments#.WJ59JVMrLZ4","alfafarmers.org",54,0,3,0,0,0,0,0
"SenatorLutherStrange","1118927634882939_1121415031300866","Senator Luther Strange","2017-02-12","2017-02-12 14:47:27","Very sad to hear of the passing of Gen. Hal Moore. He was a true American hero who served his country with courage and honor. Please join me in praying for his family.","link","https://www.google.com/amp/www.wsj.com/amp/articles/hal-moore-author-of-we-were-soldiers-once-and-young-dies-at-94-1486860104","google.com",19,0,1,0,0,1,8,0
"SenatorLutherStrange","1118927634882939_1121905611251808","Senator Luther Strange","2017-02-13","2017-02-13 18:02:41","Great meeting last week with NRA Institute for Legislative Action Executive Director Chris Cox. As your Senator I will continue to fight for our Second Amendment rights. In Alabama, 'We Dare Defend Our Rights.'","photo","https://www.facebook.com/SenatorLutherStrange/photos/a.1119568501485519.1073741828.1118927634882939/1121905611251808/?type=3",NA,22,6,0,1,0,0,0,2
"SenatorLutherStrange","1118927634882939_1123149474460755","Senator Luther Strange","2017-02-14","2017-02-14 15:19:00","Proud to vote to confirm David Shulkin last night and will work for new transparency and attention to care in the Department of Veterans Affairs. Our nation's heroes have sacrificed so much to protect our liberty. We need to ensure they receive the health care they have earned and deserve.","link","http://www.washingtontimes.com/news/2017/feb/13/david-shulkin-confirmed-as-veterans-affairs-secret/","washingtontimes.com",15,0,2,1,0,0,0,0
"SenatorLutherStrange","1118927634882939_1124065551035814","Senator Luther Strange","2017-02-15","2017-02-15 15:04:04","Yesterday, I cosponsored the Balanced Budget Amendment, introduced by Senator Orrin Hatch. Our nation is close to $20 trillion in debt, and climbing. Just like every Alabama family, the Federal Government must learn to live within its means.","photo","https://www.facebook.com/SenatorLutherStrange/photos/a.1119568501485519.1073741828.1118927634882939/1124065551035814/?type=3",NA,21,2,0,0,0,0,0,0
