"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"SenatorMarcoRubio","178910518800987_123593335049042","Senator Marco Rubio","2017-09-15","2017-09-15 17:36:17","U.S. Senator Marco Rubio's staff will be available at the St. Johns County Administration Building to help residents affected by Hurricane Irma sign up for assistance from FEMA.   Florida Chief Financial Officer Jimmy Patronis will host an insurance village comprised of property insurance companies to provide on-site assistance to policyholders to file a claim, ask questions and obtain needed insurance assistance and information.   This is a public/private partnership of federal and state agencies, charitable organizations and companies gathering to provide critical resources to victims of the storm.  Confirmed participating organizations, companies, and federal and state agencies:   Insurance companies (list: http://bit.ly/2y46hzY) American Red Cross  United Way of Florida Catholic Charities  Florida SBDC Network U.S. Small Business Administration (SBA)  Federal Emergency Management Agency (FEMA) Florida Department of Children and Families (DCF)  ElderSource  Florida Department of Economic Opportunity (DEO)  Florida CFO Jimmy Patronis - Florida Department of Financial Services CareerSource Northeast Florida CareerSource Southwest Florida   The Salvation Army Jacksonville Urban League Best Buy  First Data Anheuser-Busch  Consumer Protection Coalition Florida Association of Insurance Agents Northeast Florida Community Action Agency Agricultural and Labor Program  More details: http://bit.ly/2xF1n0l","event","https://www.facebook.com/events/123593335049042/",NA,61,18,0,7,3,0,1,0
"SenatorMarcoRubio","178910518800987_1306577836135978","Senator Marco Rubio","2017-09-15","2017-09-15 17:56:27","U.S. Senator Marco Rubio's staff will be available at New Hope Ministries to help residents affected by Hurricane Irma sign up for assistance from FEMA.   Florida Chief Financial Officer Jimmy Patronis will host an insurance village comprised of property insurance companies to provide on-site assistance to policyholders to file a claim, ask questions and obtain needed insurance assistance and information.   This is a public/private partnership of federal and state agencies, charitable organizations and companies gathering to provide critical resources to victims of the storm.  Confirmed participating organizations, companies, and federal and state agencies:   Insurance companies (list: http://bit.ly/2y46hzY) American Red Cross  United Way of Florida Catholic Charities  Florida SBDC Network U.S. Small Business Administration (SBA)  Federal Emergency Management Agency (FEMA) Florida Department of Children and Families (DCF)  ElderSource  Florida Department of Economic Opportunity (DEO)  Florida CFO Jimmy Patronis - Florida Department of Financial Services CareerSource Northeast Florida CareerSource Southwest Florida   The Salvation Army Jacksonville Urban League Best Buy  First Data Anheuser-Busch  Consumer Protection Coalition Florida Association of Insurance Agents Northeast Florida Community Action Agency Agricultural and Labor Program  More details: http://bit.ly/2xF1n0l","event","https://www.facebook.com/events/1306577836135978/",NA,46,4,0,2,0,0,0,0
"SenatorMarcoRubio","178910518800987_132850774012229","Senator Marco Rubio","2017-09-15","2017-09-15 18:01:10","U.S. Senator Marco Rubio's staff will be available at RCMA Immokalee Community School to help residents affected by Hurricane Irma sign up for assistance from FEMA.   Florida Chief Financial Officer Jimmy Patronis will host an insurance village comprised of property insurance companies to provide on-site assistance to policyholders to file a claim, ask questions and obtain needed insurance assistance and information.   This is a public/private partnership of federal and state agencies, charitable organizations and companies gathering to provide critical resources to victims of the storm.  Confirmed participating organizations, companies, and federal and state agencies:   Insurance companies (list: http://bit.ly/2y46hzY) American Red Cross  United Way of Florida Catholic Charities  Florida SBDC Network U.S. Small Business Administration (SBA)  Federal Emergency Management Agency (FEMA) Florida Department of Children and Families (DCF)  ElderSource  Florida Department of Economic Opportunity (DEO)  Florida CFO Jimmy Patronis - Florida Department of Financial Services CareerSource Northeast Florida CareerSource Southwest Florida   The Salvation Army Jacksonville Urban League Best Buy  First Data Anheuser-Busch  Consumer Protection Coalition Florida Association of Insurance Agents Northeast Florida Community Action Agency Agricultural and Labor Program  More details: http://bit.ly/2xF1n0l","event","https://www.facebook.com/events/132850774012229/",NA,67,34,0,6,1,0,0,0
"SenatorMarcoRubio","178910518800987_1442531072450997","Senator Marco Rubio","2017-09-15","2017-09-15 17:58:48","U.S. Senator Marco Rubio's staff will be available at the Lee County Veterans Park Recreation Center to help residents affected by Hurricane Irma sign up for assistance from FEMA.   Florida Chief Financial Officer Jimmy Patronis will host an insurance village comprised of property insurance companies to provide on-site assistance to policyholders to file a claim, ask questions and obtain needed insurance assistance and information.   This is a public/private partnership of federal and state agencies, charitable organizations and companies gathering to provide critical resources to victims of the storm.  Confirmed participating organizations, companies, and federal and state agencies:   Insurance companies (list: http://bit.ly/2y46hzY) American Red Cross  United Way of Florida Catholic Charities  Florida SBDC Network U.S. Small Business Administration (SBA)  Federal Emergency Management Agency (FEMA) Florida Department of Children and Families (DCF)  ElderSource  Florida Department of Economic Opportunity (DEO)  Florida CFO Jimmy Patronis - Florida Department of Financial Services CareerSource Northeast Florida CareerSource Southwest Florida   The Salvation Army Jacksonville Urban League Best Buy  First Data Anheuser-Busch  Consumer Protection Coalition Florida Association of Insurance Agents Northeast Florida Community Action Agency Agricultural and Labor Program  More details: http://bit.ly/2xF1n0l","event","https://www.facebook.com/events/1442531072450997/",NA,59,3,0,2,0,0,0,0
"SenatorMarcoRubio","178910518800987_1512677468757612","Senator Marco Rubio","2017-01-03","2017-01-03 22:33:17","I’m excited to again have the opportunity to go to work for the people of Florida in the U.S. Senate. Today I was sworn in for a second term by Vice President Joe Biden. My wife Jeanette held the Bible, and it was a special moment surrounded by family.","video","https://www.facebook.com/SenatorMarcoRubio/videos/1512677468757612/",NA,6747,539,710,689,16,10,6,18
"SenatorMarcoRubio","178910518800987_1514352048590154","Senator Marco Rubio","2017-01-04","2017-01-04 14:13:31","One major thing that will cost us jobs and hamstring our economy is our rising debt. With federal spending at record highs, our national debt has nearly doubled over the last eight years, despite the fact that government is taking in more tax revenue than ever before. The primary drivers of this unsustainable imbalance are our entitlement programs. More and more people are retiring, and while sunny Florida hopes to welcome them all, the rising number of retirees means we’re going to have to find ways to make Medicare and Social Security work better for everyone, so that people like my mother can continue to rely on these important programs and they are still there when our children need them. The committees on aging and appropriations will be at the center of these policy discussions, and I’m excited to have the opportunity to go to work for the people of Florida on these committees.","link","http://www.rubio.senate.gov/public/index.cfm/press-releases?id=B6A3247B-6F64-4BCE-9BC0-D6F72273E359","rubio.senate.gov",644,263,65,28,0,3,4,22
"SenatorMarcoRubio","178910518800987_1521001534591872","Senator Marco Rubio","2017-01-07","2017-01-07 19:31:34","Dan Coats is a friend, former colleague and patriot who has served Indiana and our nation honorably, twice as a senator and once as ambassador to Germany, one of our most important allies. For the last six years Dan and I worked together on the Senate Intelligence Committee, where he’s been a leader in urging the Obama Administration to go after those responsible for damaging leaks of classified information and demonstrated a thorough understanding of the serious threats posed by the likes of Russia, Iran, and radical Islamic terrorism.  I know Dan cares deeply about the men and women of our intelligence community, and I look forward to working closely with him to ensure the Office of the Director of National Intelligence is properly contributing to their broader efforts, and to the security of the American people.","link","http://www.rubio.senate.gov/public/index.cfm/press-releases?ID=6B0F540B-C057-4D50-A7F3-8DD3BDC51AD6","rubio.senate.gov",1157,145,85,55,0,2,1,5
"SenatorMarcoRubio","178910518800987_1524086247616734","Senator Marco Rubio","2017-01-09","2017-01-09 17:28:20","I join the #Orlando law enforcement community in mourning the deaths of two police officers killed in the line of duty this morning. Master Sergeant Debra Clayton of the Orlando Police Department leaves behind a husband and two children, and her murderer must be held accountable and prosecuted to the fullest extent of the law. During this heartbreaking time, we honor the memory of these officers and their dedication to public service, and will keep their families and colleagues in our prayers.  With so much violence directed at police officers in recent months, including deadly ambush-style attacks, it’s important to support the men and women who serve and protect their fellow citizens. Today happens to be Law Enforcement Appreciation Day, and as we honor the Thin Blue Line, let’s always remember that they put on the uniform every day with the realization that they may not come home. That kind of selflessness and bravery deserves our recognition and support not just today, but every day.","photo","https://www.facebook.com/SenatorMarcoRubio/photos/a.186323451393027.42620.178910518800987/1524084374283588/?type=3",NA,2093,375,1078,70,1,7,2265,243
"SenatorMarcoRubio","178910518800987_1526635754028450","Senator Marco Rubio","2017-01-10","2017-01-10 21:40:52","Today I questioned the Director of National Intelligence about #Russia's efforts to sow chaos in America's political system.","video","https://www.facebook.com/SenatorMarcoRubio/videos/1526635754028450/",NA,2221,2557,751,226,6,31,12,166
"SenatorMarcoRubio","178910518800987_1529063800452312","Senator Marco Rubio","2017-01-12","2017-01-12 15:04:04","Serving with Jeff Sessions over the past six years, I've seen him work relentlessly to uphold the rule of law against the abuses of the Obama Administration, particularly at the Department of Justice. Jeff is a formidable lawyer with an intense passion for defending the #Constitution – two of the many qualities that will serve him well as attorney general of the United States.  Jeff understands the threats our nation faces, including radical Islamic terrorists within our borders and illicit drugs destroying our communities. I am confident he will make protecting our neighborhoods a top priority.  For these reasons, I will support his nomination.","link","http://www.rubio.senate.gov/public/index.cfm?p=Press-Releases&id=D518C685-324D-4A2F-80A1-76AB637912E5","rubio.senate.gov",2274,431,123,101,4,2,42,92
