"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"SenatorPatrickLeahy","178569152181267_1272709306100574","Senator Patrick Leahy","2017-01-03","2017-01-03 18:21:59","Senator Patrick Leahy of Vermont takes the oath of office from Vice President Biden to begin his new term on the first day of the 115th Congress.  Leahy is the Dean of the Senate and the incoming Vice Chairman of the Appropriations Committee.","video","https://www.facebook.com/SenatorPatrickLeahy/videos/1272709306100574/",NA,329,34,11,25,0,0,0,0
"SenatorPatrickLeahy","178569152181267_1278019878902850","Senator Patrick Leahy","2017-01-10","2017-01-10 16:51:21","Today the Senate Judiciary Committee held its first hearing of the 115th Congress – the confirmation hearings for the nomination of Senator Sessions to be Attorney General.  It was my honor to introduce Senator Feinstein as the new Ranking Member of the committee.  In its history, only six women have served on the Senate Judiciary Committee; three of those six are currently serving.  Today Senator Feinstein became the first woman to serve at a Judiciary Committee hearing as the Ranking Member, and we could not have a better leader than the leader we have in Senator Feinstein.","video","https://www.facebook.com/SenatorPatrickLeahy/videos/1278019878902850/",NA,137,33,7,7,0,1,0,0
"SenatorPatrickLeahy","178569152181267_1278155118889326","Senator Patrick Leahy","2017-01-10","2017-01-10 20:46:35","During the first round of questions, Senator Leahy asked Attorney General Nominee Senator Sessions about the Violence Against Women Act and protections for the LGBTQ and tribal communities.  A portion of that exchange can be found below.","video","https://www.facebook.com/SenatorPatrickLeahy/videos/1278155118889326/",NA,143,58,27,16,0,0,2,10
"SenatorPatrickLeahy","178569152181267_1278199865551518","Senator Patrick Leahy","2017-01-10","2017-01-10 22:08:55","What President-Elect Donald Trump described in the infamous Access Hollywood tape is sexual assault.  Such behavior cannot be normalized. Today Senator Leahy sought from AG Nominee Jeff Sessions clarification of his earlier remarks, in which he said he would not “characterize that as sexual assault.”","video","https://www.facebook.com/SenatorPatrickLeahy/videos/1278199865551518/",NA,435,123,85,31,3,13,6,11
"SenatorPatrickLeahy","178569152181267_1287398457964992","Senator Patrick Leahy","2017-01-21","2017-01-21 15:27:43","Thank you to all the #VT'ers who came out to join us for coffee before the #WomensMarch this morning.","video","https://www.facebook.com/SenatorPatrickLeahy/videos/1287398457964992/",NA,556,32,48,64,2,3,0,1
"SenatorPatrickLeahy","178569152181267_1287414681296703","Senator Patrick Leahy","2017-01-21","2017-01-21 15:49:13","Marcelle and I were so proud to welcome hundreds of Vermonters to our Nation’s Capitol this morning for the #WomensMarch.  The energy was truly inspiring.  I was reminded of this quote from Martin Luther King Jr.: “We have to accept finite disappointment, but not give up infinite hope.  Only light can crowd out darkness.”","photo","https://www.facebook.com/SenatorPatrickLeahy/photos/a.183583015013214.45233.178569152181267/1287414114630093/?type=3",NA,1094,51,119,203,0,1,0,1
"SenatorPatrickLeahy","178569152181267_1293746237330214","Senator Patrick Leahy","2017-01-27","2017-01-27 20:17:38","Senate Republicans refused to do their job and refused to allow a hearing to consider President Obama’s highly qualified, mainstream nominee for the Supreme Court, Chief Judge Merrick Garland.  Now, far-right groups can’t wait to steal this seat.  Watch my statement on this.","video","https://www.facebook.com/SenatorPatrickLeahy/videos/1293746237330214/",NA,463,109,66,34,0,3,5,28
"SenatorPatrickLeahy","178569152181267_1296342773737227","Senator Patrick Leahy","2017-01-30","2017-01-30 22:11:58","I have tried to give Senator Sessions the benefit of the doubt.  But after our hearings, after the written questions I have submitted to him, and after carefully reviewing his record, there still are far too many doubts.  Now, more than ever, we need an independent Attorney General — one who is committed to standing up for the constitutional and statutory rights of all Americans.  Unfortunately I do not believe this describes Senator Sessions.  For these reasons, I am not confident that Senator Sessions would be an Attorney General for all Americans, and I must oppose this nomination. Watch my statement about my decision HERE.","video","https://www.facebook.com/SenatorPatrickLeahy/videos/1296342773737227/",NA,3505,636,738,385,4,6,4,28
"SenatorPatrickLeahy","178569152181267_1296962450341926","Senator Patrick Leahy","2017-01-31","2017-01-31 17:44:04","Watch my full statement in opposition to the Sessions nomination for Attorney General HERE.","video","https://www.facebook.com/SenatorPatrickLeahy/videos/1296962450341926/",NA,535,124,89,78,0,3,0,1
"SenatorPatrickLeahy","178569152181267_1298085080229663","Senator Patrick Leahy","2017-02-01","2017-02-01 22:55:09","Watch my first Senate Floor speech about President Trump’s nomination of Judge Neil Gorsuch to the U.S. Supreme Court HERE.","video","https://www.facebook.com/SenatorPatrickLeahy/videos/1298085080229663/",NA,196,54,62,20,1,0,2,4
"SenatorPatrickLeahy","178569152181267_1299776143393890","Senator Patrick Leahy","2017-02-03","2017-02-03 20:12:23","Early this morning, Republicans, as a bloc, shamefully voted to repeal the #SEC’s rule implementing my legislation in the Dodd-Frank Wall Street reform bill/law.  I wrote the Resource Extraction anti-kleptocracy legislation with Senator Lugar and Senator Cardin, to crack down on klepto-dictators and public corruption.  Under-the-table payments by Big Oil companies and mining companies are paid to these kleptocrats, stealing the value of extractive resources from the destitute people of their own countries.  The video of my Senate Floor debate comments is below, or you can read the text HERE: https://www.leahy.senate.gov/press/opposition-to-the-resolution-to-kill-the-sec-resource-extraction-rule Oxfam #BigOil #Russia","video","https://www.facebook.com/SenatorPatrickLeahy/videos/1299776143393890/",NA,248,74,113,8,0,4,46,131
"SenatorPatrickLeahy","178569152181267_1302828019755369","Senator Patrick Leahy","2017-02-06","2017-02-06 22:50:49","Tomorrow (Tuesday) at about Noon, the Senate will vote on the nomination of Betsy DeVos for Secretary of Education.  I strongly oppose her confirmation because I do not believe that she is qualified for the job.  Universal free public schools were a revolutionary American invention.  Betsy DeVos fundamentally disagrees with the importance of public education.  I agree with the thousands of Vermonters who have contacted me about this nomination:  We need to strengthen public schools, not snub them. I will vote against this nomination tomorrow, and I hope that the Senate will rise to this important occasion to reject this choice. You can watch the Senate roll call live, at Noon, on CSPAN2.","video","https://www.facebook.com/SenatorPatrickLeahy/videos/1302828019755369/",NA,882,149,130,121,0,0,0,6
"SenatorPatrickLeahy","178569152181267_1304560012915503","Senator Patrick Leahy","2017-02-08","2017-02-08 18:22:20","Last night I rose on the Senate Floor to defend Senator Elizabeth Warren when she was ordered to sit down and stop reading a letter from Coretta Scott King, about President Trump’s nominee for Attorney General, Senator Jeff Sessions.  I said what Majority Leader McConnell did was “not good for the country.  It’s not good for the United States Senate. It’s not good for democracy. And it sure as heck is not good for free speech.”  You can watch part of my Senate Floor speech HERE:  https://youtu.be/V6xToKCv3m0","video","https://youtu.be/V6xToKCv3m0",NA,2168,276,279,286,4,8,34,13
"SenatorPatrickLeahy","178569152181267_1305343042837200","Senator Patrick Leahy","2017-02-09","2017-02-09 17:18:31","As Republicans continue to rush through poorly considered Cabinet nominees, the Senate turned last evening to the nomination of Tom Price to be Secretary of the Department of Health and Human Services. Congressman Price has long been on a crusade to gut the foundations of America’s health system. From proposals to privatize Medicare and to cut Social Security, to block-granting Medicaid and repealing the Affordable Care Act, Representative Price’s complete disregard for the programs and resources that are working to bring vital health insurance and health care resources to millions of families is harmful to them, and it is disgraceful. Representative Price has also fought to diminish women’s health care and to abolish Planned Parenthood, threatening family planning services and a woman’s and her family’s right to make their own health decisions. And the allegations that he violated the STOCK Act, which prohibits lawmakers from using their role in Congress to make investment decisions, are particularly troubling. For these reasons, I strongly oppose his nomination, and I sincerely hope my friends in the Senate across the aisle will join in this effort. Read my full statement HERE: https://www.leahy.senate.gov/press/statement-of-senator-patrick-leahy-on-the-nomination-of-representative-tom-price-to-serve-as-secretary-of-the-department-of-health-and-human-services","link","https://www.leahy.senate.gov/press/statement-of-senator-patrick-leahy-on-the-nomination-of-representative-tom-price-to-serve-as-secretary-of-the-department-of-health-and-human-services","leahy.senate.gov",191,58,47,12,0,1,17,10
"SenatorPatrickLeahy","178569152181267_1306211476083690","Senator Patrick Leahy","2017-02-10","2017-02-10 19:48:20","Last night at 2 a.m., Senate Republicans pushed through the nomination of Tom Price to be Secretary of Health and Human Services, on a narrow party-line vote.  I cast my vote against this nomination for many reasons, but most important were the deep concerns I heard from Vermonters about what Congressman Price’s nomination would mean for their health and the health of their families.  Below is a word cloud reflecting many of those concerns.  If now-Secretary Price follows through on his long obsession with privatizing Medicare, block-granting Medicaid, and repealing the Affordable Care Act, millions of Americans will lose adequate health insurance coverage. That would be deeply harmful for families and individuals, for their communities and hospitals, for our overall health care system, and for the nation.","photo","https://www.facebook.com/SenatorPatrickLeahy/photos/a.183583015013214.45233.178569152181267/1306211476083690/?type=3",NA,169,65,66,2,3,2,40,60
"SenatorPatrickLeahy","178569152181267_1308722812499223","Senator Patrick Leahy","2017-02-13","2017-02-13 21:57:34","At 7 p.m. this evening, the Senate will vote on the nomination of Steve Mnuchin to be the Secretary of the Treasury. This nomination is another indication that, far from fulfilling his promise to “drain the swamp,” President Trump is filling his Cabinet with insiders like Mr. Mnuchin, who may understand the intricacies of Wall Street, but who knows shockingly little about the hardships faced on Main Street. After beginning his career at Goldman Sachs, Mr. Mnuchin rose to become known as the “Foreclosure King” because of the dubious practices such as “robo-signing” at OneWest Bank. During his testimony before the Senate Finance Committee, he failed to acknowledge these practices and also neglected to mention that he was a director of an offshore account worth more than $100 million. I cannot buy what he is selling, and neither can Vermonters. I urge the Senate to reject this nomination tonight. You can read my full statement on this nomination HERE: https://www.leahy.senate.gov/press/statement-of-senator-patrick-leahy-on-the-nomination-of-steven-mnuchin-to-be-secretary-of-the-treasury","link","https://www.leahy.senate.gov/press/statement-of-senator-patrick-leahy-on-the-nomination-of-steven-mnuchin-to-be-secretary-of-the-treasury","leahy.senate.gov",211,68,26,5,0,7,22,32
"SenatorPatrickLeahy","178569152181267_1321809941190510","Senator Patrick Leahy","2017-02-28","2017-02-28 17:16:14","The American people and our republic deserve a full and fair investigation of Russian interference in our election and of Russia’s influence before and since then.  By both the recusal standards set by the Justice Department, and the standards that Attorney General Sessions tried to apply to Loretta Lynch during the campaign, he does not have the independence necessary to conduct an impartial investigation driven by the facts.  You can watch my Senate Floor speech calling on Attorney General Sessions to recuse himself from this investigation HERE.","video","https://www.facebook.com/SenatorPatrickLeahy/videos/1321809941190510/",NA,271,45,34,24,0,1,0,0
"SenatorPatrickLeahy","178569152181267_1323360721035432","Senator Patrick Leahy","2017-03-02","2017-03-02 16:57:09","In light of revelations that Attorney General Sessions misled the Senate Judiciary Committee about his contacts with Russian officials, he must at minimum recuse himself and appoint a Special Counsel immediately. The American people deserve a thorough investigation of Russian influence during and since the election. Attorney General Sessions MUST recuse himself, whether he wants to or not. Watch part of my interview on CNN, below.","video","https://www.facebook.com/SenatorPatrickLeahy/videos/1323360721035432/",NA,353,68,47,16,1,2,1,2
"SenatorPatrickLeahy","178569152181267_1324282144276623","Senator Patrick Leahy","2017-03-03","2017-03-03 16:50:54","TODAY I will discuss President Trump’s unbalanced budget priorities, especially the devastating cuts to EPA, at 1:30 p.m.  Join HERE to watch a live stream of my press conference at the Leahy Center for Lake Champlain.","status",NA,NA,85,12,7,0,0,0,0,2
"SenatorPatrickLeahy","178569152181267_1324362950935209","Senator Patrick Leahy","2017-03-03","2017-03-03 18:39:11","LIVE news conference with Senator Patrick Leahy on President Trump’s unbalanced and misguided budget priorities.  Senator Leahy will focus on the devastating cuts proposed to the Environmental Protection Agency and their impacts on Vermont.","video","https://www.facebook.com/SenatorPatrickLeahy/videos/1324362950935209/",NA,100,33,37,12,0,0,0,2
"SenatorPatrickLeahy","178569152181267_1324377277600443","Senator Patrick Leahy","2017-03-03","2017-03-03 19:02:28","LIVE news conference with Senator Patrick Leahy on President Trump’s unbalanced and misguided budget priorities.  Senator Leahy will focus on the devastating cuts proposed to the Environmental Protection Agency and their impacts on Vermont.","video","https://www.facebook.com/SenatorPatrickLeahy/videos/1324377277600443/",NA,77,8,3,6,0,0,0,1
"SenatorPatrickLeahy","178569152181267_1324389770932527","Senator Patrick Leahy","2017-03-03","2017-03-03 19:12:28","LIVE news conference with Senator Patrick Leahy on President Trump’s unbalanced and misguided budget priorities.  Senator Leahy will focus on the devastating cuts proposed to the Environmental Protection Agency and their impacts on Vermont.","video","https://www.facebook.com/SenatorPatrickLeahy/videos/1324389770932527/",NA,112,31,24,11,0,0,0,0
