"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"SenatorRandPaul","161355253917286_1377892368930229","Senator Rand Paul","2017-01-03","2017-01-03 14:33:02","Partial repeal of Obamacare will likely win the day, but when the insurance companies come to Washington crying for a bailout don’t say that no one warned of this preventable disaster.","link","http://rare.us/story/rand-paul-repeal-all-of-obamacare-and-replace-immediately/","rare.us",3167,266,565,140,2,7,4,32
"SenatorRandPaul","161355253917286_1377974622255337","Senator Rand Paul","2017-01-03","2017-01-03 16:47:30","Don't miss the swearing in ceremony for the 115th Congress!","link","https://www.c-span.org/video/?420826-1%2Fus-senate-meets-swearingin-senators","c-span.org",269,80,28,8,13,2,1,2
"SenatorRandPaul","161355253917286_1378716445514488","Senator Rand Paul","2017-01-04","2017-01-04 15:02:32","Yesterday, I took an oath to protect and defend the Constitution. I take that oath seriously and will continue to fight for liberty in the 115th Congress.","video","https://www.facebook.com/SenatorRandPaul/videos/1378716445514488/",NA,8517,363,977,728,5,13,1,2
"SenatorRandPaul","161355253917286_1378812785504854","Senator Rand Paul","2017-01-04","2017-01-04 16:51:35","No institution holds more power over the future of the American economy and the value of our savings than the Federal Reserve. Yet Fed Chair Yellen refuses to be fully accountable to the people’s representatives.  The U.S. House has responded to the American people by passing Audit the Fed multiple times, and President-elect Trump has stated his support for an audit. Let’s send him the bill this Congress.","link","https://www.paul.senate.gov/news/press/sen-rand-paul-reintroduces-audit-the-fed","paul.senate.gov",6829,218,1555,463,5,12,4,42
"SenatorRandPaul","161355253917286_1378925885493544","Senator Rand Paul","2017-01-04","2017-01-04 19:27:02","I'll be on the Senate floor shortly after 3PM discussing our mountain of debt. You can watch live on CSPAN 2!","link","https://www.c-span.org/networks/?channel=c-span-2","c-span.org",1223,65,98,66,4,2,1,3
"SenatorRandPaul","161355253917286_1379002728819193","Senator Rand Paul","2017-01-04","2017-01-04 21:45:44","The more things change, the more they seem to stay the same. Republicans won the white house. Republicans control the senate. Republicans control the house. And what will the first order of business be for the new Republican majority? To pass a budget that never balances. To pass a budget that will add $9.7 trillion of new debt over ten years. Is that really what we campaigned on? -- Campaigned on? Is that really what the Republican party represents?","video","https://www.facebook.com/SenatorRandPaul/videos/1379002728819193/",NA,8054,1277,8339,499,53,142,164,1451
"SenatorRandPaul","161355253917286_1379076548811811","Senator Rand Paul","2017-01-04","2017-01-04 23:26:15","I will introduce an amendment that will strike and replace this budget, and in its place, I will put forward a conservative vision for the country, a vision of a balanced budget that balances...","link","https://storify.com/SenatorRandPaul/sen-rand-paul-puts-forward-his-conservative-vision","storify.com",4797,153,665,310,11,5,1,0
"SenatorRandPaul","161355253917286_1379086125477520","Senator Rand Paul","2017-01-05","2017-01-05 12:58:01","It's often asked, the question is asked, are the people who spend your money, are the people involved in government inherently stupid? It's kind of a debatable question. I think they're mostly well intentioned. I don't think they're inherently stupid, but I do think that they don't get the right incentives...","link","https://www.paul.senate.gov/newsroom/press-releases/sen-rand-paul-puts-forward-his-conservative-vision-","paul.senate.gov",1929,146,317,103,17,0,2,3
"SenatorRandPaul","161355253917286_1379165705469562","Senator Rand Paul","2017-01-05","2017-01-05 01:47:13","The more things change, the more they seem to stay the same.","link","http://rare.us/story/rand-paul-blasts-republicans-for-trying-to-add-9-7-trillion-to-the-debt-in-the-name-of-repealing-obamacare/","rare.us",4193,226,1173,139,9,34,36,324
"SenatorRandPaul","161355253917286_1379653438754122","Senator Rand Paul","2017-01-05","2017-01-05 15:25:00","With a President who supports Audit the Fed finally sitting in the White House, Congress has no excuse to not quickly pass this bill and finally let the American people know the truth about the Fed’s conduct on monetary policy, including its dealings with foreign governments and central bank.","link","http://rare.us/story/rand-paul-and-thomas-massie-introduce-audit-the-fed-and-what-donald-trump-thinks-about-it-is-encouraging/","rare.us",7384,252,1817,537,15,35,1,4
