"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"SenatorRichardBurr","132653626787856_10155610155839360","Senator Richard Burr","2017-09-11","2017-09-11 17:17:24","I’m especially grateful today for the hard work of our Intelligence Community and Armed Forces. On September 11, 2001, our nation was attacked by extremists who sought to strike fear into the the heart of America and free people across the world.  We owe a tremendous debt of gratitude to the brave men and women who put their lives on the line and brought the fight to the terrorists and those who harbor them. Every day, our bravest work to ensure that such a heinous crime will never happen again, and rest assured, we will #NeverForget.","video","https://www.facebook.com/SenatorRichardBurr/videos/10155610155839360/",NA,302,73,51,25,1,2,41,1
"SenatorRichardBurr","132653626787856_10155762931099360","Senator Richard Burr","2017-11-10","2017-11-10 15:30:00","I’m very excited by this promising blueprint for reforming our broken tax code in the Senate. This bill will update and simplify our incredibly complex tax system so that every-day, middle-class Americans can keep more of their hard-earned dollars. For instance, the typical family of four making the median family income will save nearly $1,500. The standard deduction also nearly doubles for individuals and families, and the child tax credit is significantly expanded. By bringing money back from overseas and encouraging entrepreneurship and small business again, we will finally be able to unleash our economy and get the country back on track. I look forward to working with my colleagues in the Senate Finance Committee, as well as the House Ways and Means Committee, to put together a bill through an open process that will bring much-needed relief to millions of Americans.","video","https://www.facebook.com/SenatorRichardBurr/videos/10155762931099360/",NA,559,1621,110,41,118,9,27,862
"SenatorRichardBurr","132653626787856_1281002301952977","Senator Richard Burr","2017-01-03","2017-01-03 16:44:08","Today is the first day of the 115th Congress. I am humbled and excited to represent the people of North Carolina for a third term.   You can watch the swearing in ceremony live on C-SPAN at NOON.","link","https://www.c-span.org/video/?420826-1%2Fus-senate-meets-swearingin-senators","c-span.org",119,43,6,8,0,1,0,5
"SenatorRichardBurr","132653626787856_1281196451933562","Senator Richard Burr","2017-01-03","2017-01-03 22:04:18","Proud to introduce my granddaughter to Vice President Joe Biden at my swearing in ceremony today.","video","https://www.facebook.com/SenatorRichardBurr/videos/1281196451933562/",NA,360,36,32,28,1,2,0,5
"SenatorRichardBurr","132653626787856_1281811345205406","Senator Richard Burr","2017-01-04","2017-01-04 19:03:32","My granddaughter warmed hearts when she stole the show at the Senate swearing-in ceremony yesterday.","link","http://abc11.com/politics/watch-senator-burrs-granddaughter-disses-joe-biden/1685590/","abc11.com",357,38,24,34,27,2,0,2
"SenatorRichardBurr","132653626787856_1282552695131271","Senator Richard Burr","2017-01-05","2017-01-05 18:27:46","There is snow in the forecast, but it is never too cold to drive the Thing ❄️☃️ #NoRoofNoProblem #LongLiveTheThing","photo","https://www.facebook.com/SenatorRichardBurr/photos/a.144565412263344.37695.132653626787856/1282552695131271/?type=3",NA,475,47,27,33,29,1,0,2
"SenatorRichardBurr","132653626787856_1283125771740630","Senator Richard Burr","2017-01-06","2017-01-06 14:16:08","The Senate Select Committee on Intelligence will hold an open hearing on Tuesday on Russian intelligence activities.","link","http://www.burr.senate.gov/press/releases/senate-intel-committee-open-hearing-tuesday-on-russian-intelligence-activities","burr.senate.gov",38,37,6,0,1,0,0,4
"SenatorRichardBurr","132653626787856_1283447178375156","Senator Richard Burr","2017-01-06","2017-01-06 22:51:36","Communities across the state are expected to experience winter weather this weekend. Avoid driving if conditions are icy. Stay safe, stay home.","photo","https://www.facebook.com/NCEmergency/photos/a.183612628359715.51497.171535906234054/1219716344749333/?type=3",NA,11,17,0,0,0,0,0,0
"SenatorRichardBurr","132653626787856_1286132174773323","Senator Richard Burr","2017-01-10","2017-01-10 17:08:08","I’m leading an open Intelligence Committee hearing on Russian Intelligence Activities at 1PM today. Intelligence Community leaders including  Director of National Intelligence James Clapper, CIA Director John Brennan, NSA Director Admiral Michael Rogers, and FBI Director James Comey will testify.  Check back at 1PM today to watch it LIVE.","photo","https://www.facebook.com/SenatorRichardBurr/photos/a.144565412263344.37695.132653626787856/1286132174773323/?type=3",NA,61,28,14,0,0,0,1,3
"SenatorRichardBurr","132653626787856_1286163431436864","Senator Richard Burr","2017-01-10","2017-01-10 18:05:03","LIVE: Senate Intelligence Committee Open Hearing on Russian Intelligence Activities  Witnesses:  James Clapper, Director of National Intelligence John Brennan, Director, Central Intelligence Agency Admiral Michael Rogers, Director, National Security Agency James Comey, Director, Federal Bureau of Investigation","video","https://www.facebook.com/SenatorRichardBurr/videos/1286163431436864/",NA,69,97,22,5,0,0,2,4
