"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"SenatorShaheen","127503767282103_1067178376647966","Senator Jeanne Shaheen","2017-12-18","2017-12-18 13:29:34","Michelle - Elbow Pond, Andover, NH","photo","https://www.facebook.com/SenatorShaheen/photos/a.369327599766384.88433.127503767282103/1067178376647966/?type=3",NA,456,25,34,13,0,3,0,0
"SenatorShaheen","127503767282103_1417724048260062","Senator Jeanne Shaheen","2017-01-03","2017-01-03 23:11:28","What a day! It's now official: NH has the first all-woman, all-Democratic federal delegation. It was honor to today to escort Senator Hassan to the Senate floor where she was sworn-in by the Vice President. I look forward to working with her every day in the U.S. Senate on behalf of the Granite State. I also want to recognize Congresswomen Kuster and Shea-Porter, who make up the other half of Team New Hampshire. The 115th Congress has many important issues to address, and we will be fierce advocates for the best interests of New Hampshire and the United States. -- J.S.","photo","https://www.facebook.com/SenatorShaheen/photos/a.177297888969357.38854.127503767282103/1417721121593688/?type=3",NA,1836,123,287,284,0,18,3,2
"SenatorShaheen","127503767282103_1418389548193512","Senator Jeanne Shaheen","2017-01-04","2017-01-04 17:49:06","Another important milestone reached! A big congrats to these groundbreaking women. -- JS  https://www.marinecorpstimes.com/articles/women-join-infantry","link","https://www.marinecorpstimes.com/articles/women-join-infantry","marinecorpstimes.com",176,7,31,12,0,5,0,0
"SenatorShaheen","127503767282103_1418505874848546","Senator Jeanne Shaheen","2017-01-04","2017-01-04 20:30:02","Healthcare reform has helped 690,000 Granite Staters with access to healthcare coverage. It’s highly reckless to begin the process of repealing this law, especially when there’s no plan to replace it. I’ve successfully worked across the aisle to improve the Affordable Care Act and I would encourage President-elect Trump and Republican leadership in Congress to do likewise, rather than cause unnecessary chaos in the healthcare marketplace. -- J.S.","status",NA,NA,307,48,30,15,1,2,0,5
"SenatorShaheen","127503767282103_1418614584837675","Senator Jeanne Shaheen","2017-01-04","2017-01-04 23:18:20","This is what Senator Shaheen had to say after her meeting today with President-elect Donald Trump’s nominee to serve as Secretary of Defense, General James Mattis:  ""My conversation with General Mattis was a valuable opportunity to discuss the many security challenges facing our country and New Hampshire’s important role in our national defense. In our wide-ranging discussion, I made clear to General Mattis that the next Secretary of Defense must recognize and preserve the critical contributions of the Portsmouth Naval Shipyard and the Pease Air National Guard Base. General Mattis has served our country with distinction and I very much appreciated his many insights on how best to strengthen our defense capabilities and respond to our adversaries. I look forward to discussing these issues in greater depth during his confirmation hearing."" --J.S.  Senator Shaheen is a member of the Senate Armed Services Committee.","photo","https://www.facebook.com/SenatorShaheen/photos/a.177297888969357.38854.127503767282103/1418614584837675/?type=3",NA,116,20,4,5,0,3,0,0
"SenatorShaheen","127503767282103_1419524768079990","Senator Jeanne Shaheen","2017-01-05","2017-01-05 23:23:14","This is what Senator Shaheen had to say today after Republican leadership announced plans to defund Planned Parenthood through budget reconciliation legislation that would also repeal healthcare reform:  ""Republican leaders in Congress do not have a mandate to defund Planned Parenthood. The American people want to see their elected leaders working together to expand healthcare opportunities, not undermining vital healthcare coverage that women in New Hampshire and across the country depend on. Defunding Planned Parenthood would leave thousands of women and families in New Hampshire without access to vital preventative care services that they need in order to live healthy lives, care for their families, and lead in the workforce. This is a dangerous, politically-motivated attack on women and I will not stand for it.""-- J.S.","status",NA,NA,499,82,63,40,0,0,19,9
"SenatorShaheen","127503767282103_1421073114591822","Senator Jeanne Shaheen","2017-01-07","2017-01-07 16:14:51","VOX: Back in September, New Hampshire Democrat Jeanne Shaheen became the first senator to call for a hearing about Russia’s interference in the US presidential race.  On Thursday morning, she got that hearing...More:   http://www.vox.com/world/2017/1/7/14183800/senator-shaheen-russia-interference-election-trump-intelligence","link","http://www.vox.com/world/2017/1/7/14183800/senator-shaheen-russia-interference-election-trump-intelligence","vox.com",554,105,140,46,1,16,7,8
"SenatorShaheen","127503767282103_1424143077618159","Senator Jeanne Shaheen","2017-01-10","2017-01-10 20:59:53","The Russian government, directed by President Putin, launched a brazen attack on our elections that demands an aggressive response. The facts are clear, and it’s time to act. Today, I introduced bipartisan Russian sanctions legislation with my colleagues Senators John McCain, Ben Cardin and Lindsay Graham that doesn't pull any punches. America must stand united in sending a strong message to the Kremlin that this attack on the foundation our democracy will not go unpunished. President-elect Trump should face the facts and lend his support to our effort. --J.S.","video","https://www.facebook.com/SenatorShaheen/videos/1424143077618159/",NA,850,160,204,72,3,4,0,10
"SenatorShaheen","127503767282103_1424934430872357","Senator Jeanne Shaheen","2017-01-11","2017-01-11 18:49:36","Senator Shaheen challenges Rex Tillerson, President-elect Trump's pick to serve as Secretary of State, on Putin's authoritarian regime. Watch:","video","https://www.facebook.com/SenatorShaheen/videos/1424934430872357/",NA,269,42,27,10,0,3,1,0
"SenatorShaheen","127503767282103_1425180484181085","Senator Jeanne Shaheen","2017-01-11","2017-01-11 23:35:33","In my questioning of Rex Tillerson today, I had an opportunity to ask him whether he supports a ban on Muslim immigration and establishing a Muslim registry. While I was encouraged that he expressed his opposition to a ban on Muslim immigration, I found his Muslim registry response disappointing. We are a nation of immigrants and we must not compromise our values. -- J.S.     http://www.huffingtonpost.com/entry/rex-tillerson-muslim-registry_us_58769b9ce4b092a6cae50587","link","http://www.huffingtonpost.com/entry/rex-tillerson-muslim-registry_us_58769b9ce4b092a6cae50587","huffingtonpost.com",149,47,14,1,0,3,1,22
