"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"SenatorSherrodBrown","261478257610775_261478577610743","U.S. Senator Sherrod Brown","2017-03-02","2017-03-02 19:04:50",NA,"photo","https://www.facebook.com/SenatorSherrodBrown/photos/a.261478690944065.1073741827.261478257610775/261478577610743/?type=3",NA,88,6,1,7,0,0,0,0
"SenatorSherrodBrown","261478257610775_261478997610701","U.S. Senator Sherrod Brown","2017-03-02","2017-03-02 19:06:50",NA,"photo","https://www.facebook.com/SenatorSherrodBrown/photos/a.261478470944087.1073741826.261478257610775/261478997610701/?type=3",NA,78,15,11,13,0,0,0,0
"SenatorSherrodBrown","261478257610775_261538097604791","U.S. Senator Sherrod Brown","2017-03-02","2017-03-02 22:05:04","Is this thing on? Very excited to launch the Facebook page for my official Senate office today. Here, my staff and I will post updates of what’s happening in the office, on the floor, and around Ohio, with a few photos of Franklin here and there as well. Like us, and make sure to tell your friends to like us too! -SB","photo","https://www.facebook.com/SenatorSherrodBrown/photos/a.261538294271438.1073741828.261478257610775/261538097604791/?type=3",NA,743,85,109,92,2,0,0,0
"SenatorSherrodBrown","261478257610775_261814600910474","U.S. Senator Sherrod Brown","2017-03-03","2017-03-03 14:36:05","Americans are working too hard for too little. It’s time we restore the value of work in this country.  I’ll be speaking about my plan to make work pay again at 10:30am today in Columbus. We’ll have it right here on Facebook Live - tune in. -SB","status",NA,NA,153,17,14,9,0,1,0,1
"SenatorSherrodBrown","261478257610775_261839310908003","U.S. Senator Sherrod Brown","2017-03-03","2017-03-03 15:28:16","Making hard work pay off.","video","https://www.facebook.com/SenatorSherrodBrown/videos/261839310908003/",NA,257,154,232,126,1,2,1,1
"SenatorSherrodBrown","261478257610775_261918490900085","U.S. Senator Sherrod Brown","2017-03-03","2017-03-03 20:00:41","I had a great morning in Columbus discussing my new plan to restore the value of work. Afterwards, I got to catch up with a few of the folks whose letters and  stories inspired these policies.    As I said this morning – the value of work is not about the color of your skin. It’s not a blue-collar issue or a white-collar issue. It’s not liberal or conservative. When we talk about work, we talk to everyone.   I’m glad to have the conversation. -SB","photo","https://www.facebook.com/SenatorSherrodBrown/photos/a.261538294271438.1073741828.261478257610775/261917454233522/?type=3",NA,205,20,13,19,0,0,0,0
"SenatorSherrodBrown","261478257610775_262325047526096","U.S. Senator Sherrod Brown","2017-03-04","2017-03-04 21:22:55","Touched by this random act of kindness in Port Clinton. Looking forward to watching these students pay it forward.","link","http://www.portclintonnewsherald.com/story/news/local/2017/03/02/mystery-donor-pays-off-students-lunch-debts/98574546/","portclintonnewsherald.com",303,11,21,46,1,4,0,1
"SenatorSherrodBrown","261478257610775_263076394117628","U.S. Senator Sherrod Brown","2017-03-06","2017-03-06 21:21:55","Our Columbus office recently welcomed transgender rights activist Melissa McLaren and her twins – her daughter, who’s transgender, and her son. Her daughter spoke about how lucky she is to have a supportive family that allows her to be herself, which she knows not every transgender child has. She said there’s nothing more important to her than making sure our transgender community receives equal, fair treatment.   We must continue to fight for Title IX and the protections that children like Melissa’s deserve. Schools must be places where all children feel safe and welcome to learn.","link","http://www.huffingtonpost.com/entry/mama-bears-protect-their-transgender-youth_us_58b0497ce4b0658fc20f941b","huffingtonpost.com",170,1,18,45,0,0,0,1
"SenatorSherrodBrown","261478257610775_263404457418155","U.S. Senator Sherrod Brown","2017-03-07","2017-03-07 18:02:01","Ohioans have called my office terrified of losing their healthcare because of the House plan. We cannot allow Washington politicians who get taxpayer-funded health insurance to rip coverage away from Ohioans who are battling cancer, getting regular checkups for the first time, or finally getting treatment to beat their opioid addiction. This plan will raise prices for Ohioans – particularly older Ohioans – and kick people off of the coverage they have today. It will threaten jobs across our state by cutting funding for local hospitals that employ hundreds of thousands of Ohioans. This plan does nothing to lower healthcare costs for Ohioans, but hands a huge tax break to drug companies and insurance executives who jack up their prices. -SB","status",NA,NA,501,104,152,5,1,5,48,87
"SenatorSherrodBrown","261478257610775_263465360745398","U.S. Senator Sherrod Brown","2017-03-07","2017-03-07 21:27:28","Today, I was proud to write a letter with Senator Rob Portman​ that urged action against the anti-Semitic threats we’ve seen across the country. I was even prouder that it was signed by all 100 members of the U.S. Senate.   As we wrote in the letter, these cowardly acts aim to create an atmosphere of fear and disrupt the important programs and services offered by Jewish Community Centers to everyone in the communities they serve. We are concerned that the number of incidents is accelerating, and failure to address and deter these threats will place innocent people at risk and threaten the financial viability of JCCs, many of which are institutions in their communities.  Read the full letter here:  https://www.brown.senate.gov/newsroom/press/release/brown-portman-join-full-senate-in-letter-to-trump-administration-urging-action-against-anti-semitic-threats  -SB","link","https://www.brown.senate.gov/newsroom/press/release/brown-portman-join-full-senate-in-letter-to-trump-administration-urging-action-against-anti-semitic-threats","brown.senate.gov",459,31,47,31,0,5,1,1
"SenatorSherrodBrown","261478257610775_263526910739243","U.S. Senator Sherrod Brown","2017-03-08","2017-03-08 02:39:41","WATCH: On the floor tonight, Sherrod read letters from Ohioans who are terrified of losing their healthcare.   As one woman from Beachwood wrote: ""Please consider the people who will be affected the most.""","video","https://www.facebook.com/SenatorSherrodBrown/videos/263526910739243/",NA,705,124,488,110,0,2,37,3
