"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"SenatorStabenow","122289898323229_122726368279582","Senator Debbie Stabenow","2017-05-03","2017-05-03 18:46:55",NA,"photo","https://www.facebook.com/SenatorStabenow/photos/a.122726324946253.1073741826.122289898323229/122726328279586/?type=3",NA,6,11,1,2,0,0,0,1
"SenatorStabenow","122289898323229_123069378245281","Senator Debbie Stabenow","2017-05-04","2017-05-04 16:44:20",NA,"photo","https://www.facebook.com/SenatorStabenow/photos/a.123069368245282.1073741827.122289898323229/123069324911953/?type=3",NA,12,7,5,2,0,0,0,0
"SenatorStabenow","122289898323229_124551454763740","Senator Debbie Stabenow","2017-05-08","2017-05-08 20:04:57","Thank you for helping stop a $50 million cut to Great Lakes!  We need you to keep up the fight – POTUS said he wants to zero out next year's funds!","video","https://www.facebook.com/SenatorStabenow/videos/124551454763740/",NA,15,3,4,1,0,0,0,0
"SenatorStabenow","122289898323229_124573461428206","Senator Debbie Stabenow","2017-05-09","2017-05-09 14:13:46","Every week when Congress is in session, I invite constituents who are in DC from across our state to Good Morning Michigan!  We had a great group of folks last week. Thanks for joining!","photo","https://www.facebook.com/SenatorStabenow/photos/a.124828274736058.1073741832.122289898323229/124573461428206/?type=3",NA,11,1,0,0,0,0,0,0
"SenatorStabenow","122289898323229_124573708094848","Senator Debbie Stabenow","2017-05-11","2017-05-11 14:30:00","#TBT to being the first woman to preside over the Michigan State House. I've always been committed to fighting for families, growing our economy and protecting our Michigan way of life.","photo","https://www.facebook.com/SenatorStabenow/photos/a.124828274736058.1073741832.122289898323229/124573708094848/?type=3",NA,85,6,6,16,0,0,0,1
"SenatorStabenow","122289898323229_124887741396778","Senator Debbie Stabenow","2017-05-15","2017-05-15 13:45:00","We need to be laser focused on creating jobs right here in Michigan.  My American Jobs Agenda continues my commitment to making products in this country, closing loopholes that hurt workers and businesses, and holding countries like China accountable for unfair trade practices.  I applaud great businesses like Detroit Denim Co. and Rogers Foam who are committed to investing in our workers!","photo","https://www.facebook.com/SenatorStabenow/photos/a.124828274736058.1073741832.122289898323229/124887594730126/?type=3",NA,8,4,0,0,0,0,0,0
"SenatorStabenow","122289898323229_124887971396755","Senator Debbie Stabenow","2017-05-18","2017-05-18 15:08:00","#TBT I have always loved music.  It’s one of the best ways for me to unwind when things get stressful.  I'm playing the piano a lot these days!!","photo","https://www.facebook.com/SenatorStabenow/photos/a.124828274736058.1073741832.122289898323229/124887971396755/?type=3",NA,42,8,2,4,0,0,0,0
"SenatorStabenow","122289898323229_124909821394570","Senator Debbie Stabenow","2017-05-09","2017-05-09 19:05:02","Thankful the U.S. Navy has made sure Machinist Mate First Class Fred M. Jones will return to his final resting place in Port Huron.","link","http://www.thetimesherald.com/story/news/local/2017/05/08/remains-sailor-killed-during-attack-pearl-harbor-returning-port-huron/101423456/","thetimesherald.com",5,0,1,1,0,0,0,0
"SenatorStabenow","122289898323229_125158708036348","Senator Debbie Stabenow","2017-05-10","2017-05-10 12:07:50","Tune in to my page today at 2:30pm to watch! #AmericaSpeaksOut on #Trumpcare","video","https://www.facebook.com/corybooker/videos/10156814931387228/",NA,2,2,0,0,0,0,0,1
"SenatorStabenow","122289898323229_125216064697279","Senator Debbie Stabenow","2017-05-10","2017-05-10 15:24:44","It is deeply troubling that President Trump fired FBI Director Comey, who was leading the Trump-Russia investigation. We need an independent prosecutor!","status",NA,NA,10,3,0,0,0,0,0,2
