"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"SenatorThomTillis","1576257352609470_10155086134449360","Senator Thom Tillis","2017-03-31","2017-03-31 18:34:55","Judge Gorsuch is a well-qualified, independent, and mainstream Supreme Court nominee. He has a long history of interpreting the law faithfully, thoughtfully and consistently, and I look forward to confirming him next week.","video","https://www.facebook.com/SenatorThomTillis/videos/10155086134449360/",NA,229,307,26,20,4,2,11,208
"SenatorThomTillis","1576257352609470_1874034619498407","Senator Thom Tillis","2017-01-01","2017-01-01 05:01:01","Susan and I wish you a Happy New Year!","photo","https://www.facebook.com/SenatorThomTillis/photos/a.1583863498515522.1073741828.1576257352609470/1874034619498407/?type=3",NA,82,10,2,5,0,0,0,1
"SenatorThomTillis","1576257352609470_1875403762694826","Senator Thom Tillis","2017-01-03","2017-01-03 20:18:49","Congratulations to my good friend Senator Richard Burr on being sworn in for his third term! I look forward to continuing our work to serve the people of North Carolina.","video","https://www.facebook.com/SenatorThomTillis/videos/1875403762694826/",NA,194,38,8,4,0,0,0,14
"SenatorThomTillis","1576257352609470_1875881112647091","Senator Thom Tillis","2017-01-04","2017-01-04 15:27:12","In 2016, I worked with VA Secretary Robert McDonald and my Senate colleagues on the MyVa initiative to transform the VA into a more efficient, customer service-oriented organization that delivers top-notch health care services to veterans.","link","https://www.tillis.senate.gov/public/index.cfm/press-releases?ID=71CDEE77-3834-4EDE-BBE9-2EB2139B5AF3","tillis.senate.gov",25,8,0,1,0,0,0,0
"SenatorThomTillis","1576257352609470_1875988602636342","Senator Thom Tillis","2017-01-04","2017-01-04 19:59:12","Premiums are soaring, patients’ choices are dwindling. Obamacare must be repealed and replaced. #RepealObamacare","photo","https://www.facebook.com/SenatorThomTillis/photos/a.1583863498515522.1073741828.1576257352609470/1875988602636342/?type=3",NA,106,90,12,6,1,1,0,19
"SenatorThomTillis","1576257352609470_1876433105925225","Senator Thom Tillis","2017-01-05","2017-01-05 17:29:51","Two years ago, I was sworn in as North Carolina's U.S. Senator. It's been an honor to serve North Carolinians, and I look forward to continuing to work on behalf of each of you.","video","https://www.youtube.com/watch?v=o20SYfVNF4U",NA,73,26,0,4,0,0,1,3
"SenatorThomTillis","1576257352609470_1876899472545255","Senator Thom Tillis","2017-01-06","2017-01-06 16:41:05","I had the honor of meeting with General James Mattis to discuss his nomination for Secretary of Defense. I was encouraged to hear his views on increasing departmental transparency, and look forward to working with him as we continue to make our fighting force the best trained, equipped, and ready force in the world.","photo","https://www.facebook.com/SenatorThomTillis/photos/a.1583863498515522.1073741828.1576257352609470/1876899472545255/?type=3",NA,173,34,17,16,0,1,0,3
"SenatorThomTillis","1576257352609470_1877037559198113","Senator Thom Tillis","2017-01-07","2017-01-07 14:30:01","Monday, January 9 is the deadline to apply for federal disaster assistance from Hurricane Matthew. Register with FEMA Federal Emergency Management Agency online: https://www.disasterassistance.gov/","photo","https://www.facebook.com/SenatorThomTillis/photos/a.1583863498515522.1073741828.1576257352609470/1877037559198113/?type=3",NA,2,1,1,0,0,0,0,0
"SenatorThomTillis","1576257352609470_1877046295863906","Senator Thom Tillis","2017-01-06","2017-01-06 22:01:48","Please continue to keep Senator Kay Hagan and her family in your thoughts and prayers. Susan and I are praying she makes a full recovery.","link","http://www.greensboro.com/blogs/clark_off_the_record/hagan-recovering-from-encephalitis/article_dadcce34-d451-11e6-890e-77b2cdc510ad.html","greensboro.com",131,8,5,7,0,3,11,0
"SenatorThomTillis","1576257352609470_1877396582495544","Senator Thom Tillis","2017-01-07","2017-01-07 15:37:48","Please be safe, stay warm and avoid travel if possible. Thank you to the crews working around the clock to clear the roadways.","photo","https://www.facebook.com/NCEmergency/photos/a.183612628359715.51497.171535906234054/1220224758031825/?type=3",NA,25,4,0,0,0,0,0,0
"SenatorThomTillis","1576257352609470_1877865569115312","Senator Thom Tillis","2017-01-08","2017-01-08 14:56:44","Tune in to Fox News at 10:10am where I will be speaking to Maria Bartiromo about cyber security and the upcoming nomination hearings.","status",NA,NA,28,42,3,1,0,0,0,2
