"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"SenatorTimScott","163207553711385_1435030576529070","Tim Scott","2017-03-01","2017-03-01 03:44:11","Some thoughts on tonight's #JointAddress:  I was excited to hear the President discuss school choice and ensuring every American child has access to a quality education. This is truly the key to our nation's future, and I will continue working with my colleagues and the White House to make these improvements a reality.  I was pleased to hear President Trump address many issues critical to everyday Americans, such as job creation, tax reform, national security, supporting our military and veterans, and improving addiction treatment services. We heard many ideas from the President tonight where I believe we can find common ground and produce real solutions for the American people, and I look forward to continuing my work with colleagues in Congress to do so.  The President made a strong call for the principles that will guide the replacement of Obamacare. I look forward to passing legislation that repeals Obamacare and builds a sustainable system for all American families.  The President is correct that we must tackle the violence that is harming many of our communities. I believe this means bringing our law enforcement and communities together to better understand and find solutions for the issues they both face. I will continue my work with Trey Gowdy and others in this vital area.  We saw the true power of the American spirit tonight with the recognition of Carryn Owens, the widow of US Navy SEAL Chief William Ryan Owens. It was one of the most powerful moments I have ever witnessed, and our never-ending gratitude remains with Ryan and all of those who have sacrificed for our nation. God Bless them, and God Bless the United States of America.","status",NA,NA,1643,135,79,222,0,2,0,5
"SenatorTimScott","163207553711385_1435479629817498","Tim Scott","2017-03-01","2017-03-01 16:16:38","I just voted for Rep. Ryan Zinke to serve as Secretary of the Interior. The Senate approved Zinke's appointment by a vote of 68-31.  Having grown up on the coast, I appreciate the important balance of both protecting our natural resources and utilizing our federal lands and waters for recreation, economic development, and energy production. The Secretary of the Interior plays a critical role in ensuring our public lands and waters are available for multiple use purposes, and I am proud to support the confirmation of Congressman Zinke as Secretary today.","status",NA,NA,543,70,13,25,1,0,0,10
"SenatorTimScott","163207553711385_1436311346400993","Tim Scott","2017-03-02","2017-03-02 15:42:00","This morning, I voted for Dr. Ben Carson to be the next Secretary of Housing and Urban Development. The Senate approved Dr. Carson’s appointment by a vote of 58-41.  As Chairman of the subcommittee on Housing, Transportation, and Community Development, I have seen firsthand how the shortfalls of the prior HUD leadership have led to the appalling conditions that are an unfortunate reality for so many of our families who rely on our nation’s federally funded public housing properties. We need someone to take over who will help bring a fresh perspective to a government agency in desperate need of innovative change, and that is why I voted to support Dr. Ben Carson’s nomination as our new HUD Secretary.","status",NA,NA,2334,195,84,262,4,0,4,36
"SenatorTimScott","163207553711385_1436484639716997","Tim Scott","2017-03-02","2017-03-02 19:45:51","I just voted to confirm former Texas Governor Rick Perry to serve as Secretary of the Department of Energy. He was confirmed 62-37.  As Governor of Texas, Rick Perry oversaw an energy boom that helped create millions of new jobs in the state of Texas. His proven leadership is a great fit for the Department of Energy, which is critical to South Carolina’s nuclear waste cleanup efforts, and plays a major role in both energy development and our national security.  I look forward to working with Governor Perry to continue the MOX project at the Savannah River Site, building on the growth and innovation we have seen at the Savannah River National Lab, and holding the federal government accountable for the continued cleanup of the SRS’s nuclear waste.","status",NA,NA,1145,85,24,71,3,0,4,25
"SenatorTimScott","163207553711385_1437719579593503","Tim Scott","2017-03-03","2017-03-03 22:46:17","I believe all Americans should have the opportunity to succeed, and there is a strong necessity to create a pipeline of opportunity so that we can help our country’s most vulnerable citizens achieve the American Dream. That is why I am incredibly passionate about my Opportunity Agenda. It focuses on restoring hope in the lives of millions of Americans seeking a quality education, better opportunities, and those who simply wish to build a bridge to a brighter future for their families.   As part of my Opportunity Agenda, my CHOICE Act will help unlock the potential of students who might otherwise be left behind. Every single child in this country deserves access to a quality education, and the CHOICE Act was created to provide military families, parents of students with disabilities, and low-income families with more options so that their child can succeed.   My LEAP Act, also an important piece to my Opportunity Agenda, encourages folks to earn while they learn through apprenticeships.  In South Carolina, we have seen amazing results from apprenticeship programs, and the LEAP Act builds on the model we use in the state; it seeks to bring that success to the entire nation.   The final piece of my Opportunity Agenda is the bipartisan Investing in Opportunity Act, which would incentivize investment in economically distressed communities in every state, without creating a new government program. There are more than 50 million Americans living in poverty, and the IIOA would reinvest private sector dollars back into communities that need it the most.   As someone who grew up living paycheck to paycheck, I am committed to finding solutions to lifting up millions of families across the nation by creating a system that leads to a quality education and good paying jobs. And I think my Opportunity Agenda would certainly help brighten the path forward.","photo","https://www.facebook.com/SenatorTimScott/photos/a.282954245070048.74200.163207553711385/1437719579593503/?type=3",NA,232,28,18,20,0,0,0,0
"SenatorTimScott","163207553711385_1438748979490563","Tim Scott","2017-03-05","2017-03-05 00:57:51","‪Honored to receive the South Carolina State University Foundation's Trailblazer Award tonight. SCSU and all HBCUs will continue to be a vital part of our future!‬","photo","https://www.facebook.com/SenatorTimScott/photos/a.282954245070048.74200.163207553711385/1438748979490563/?type=3",NA,1361,76,58,101,0,4,1,2
"SenatorTimScott","163207553711385_1440563502642444","Tim Scott","2017-03-06","2017-03-06 22:27:41","It is time we reimagine how we help lift people out of poverty. The American dream is alive and I want to help make it a reality for as many folks as possible. Today, 50 million Americans live in distressed regions that lack jobs and businesses. My Investing in Opportunity Act hopes to revitalize these areas by enticing private investments through a deferred capital gains tax. According to recent studies, U.S. investors have $2.3 trillion in unrealized capital gains. By creating a way for these funds to be invested in our most fragile communities, we will help generate job growth, prosperity, and opportunity to those who have lost hope.","photo","https://www.facebook.com/SenatorTimScott/photos/a.282954245070048.74200.163207553711385/1440563502642444/?type=3",NA,314,47,31,19,0,0,0,3
"SenatorTimScott","163207553711385_1441500415882086","Tim Scott","2017-03-07","2017-03-07 23:16:59","March is Reading Awareness Month. Literacy is critical to an individual’s success.   In U.S. prisons, between 60-80% of women and men are functionally illiterate. That’s a staggering number. It shows how critical literacy can be for so many who may not believe the American Dream is accessible to them.    Join me in promoting the importance of literacy for Reading Awareness Month!","photo","https://www.facebook.com/SenatorTimScott/photos/a.282954245070048.74200.163207553711385/1441500415882086/?type=3",NA,178,32,34,15,0,0,0,2
"SenatorTimScott","163207553711385_1442372259128235","Tim Scott","2017-03-08","2017-03-08 19:33:57","#InternationalWomensDay","video","https://www.facebook.com/SenatorTimScott/videos/1442372259128235/",NA,561,96,31,58,0,0,1,6
"SenatorTimScott","163207553711385_1442527522446042","Tim Scott","2017-03-08","2017-03-08 22:36:21","When I think about ways we can tackle the issue of poverty and increase the likelihood of success, apprenticeships and job training come to mind. In South Carolina, we have witnessed a huge manufacturing renaissance through technical training. Folks are given the opportunity to acquire new skills, and in the case of apprenticeships, they can also earn while they learn.   That is why my LEAP Act is an important part of my Opportunity Agenda. It is modeled on our very successful program in South Carolina to incentivize employers to use apprenticeships. I am excited about the LEAP Act and our efforts to bring successful apprenticeship programs to communities across the nation.","photo","https://www.facebook.com/SenatorTimScott/photos/a.282954245070048.74200.163207553711385/1442527522446042/?type=3",NA,206,19,19,11,0,0,0,0
"SenatorTimScott","163207553711385_1443769448988516","Tim Scott","2017-03-09","2017-03-09 22:45:30","Most of you are familiar with my story and know that as a kid mired in poverty, my education essentially saved my life. I’ve seen the power of education firsthand, and as a result, I’ve been a vocal champion for school choice and the necessity of a quality education.   Education is truly the key to the American Dream, and I continue to believe that when parents have more choices, their children have a better chance at succeeding. My CHOICE was built on this notion.   Too many students are not getting access to the education they deserve. That is why it is critical for us to ensure that families in every community have a variety of educational options at their disposal so that their kids can unleash their full potential. My CHOICE Act seeks to let parents of children with special needs, military families, and low-income households in our nation’s capital decide what’s best for their individual child’s needs. I am committed to improving our education system and will continue to fight for quality education for all students across our country!","photo","https://www.facebook.com/SenatorTimScott/photos/a.282954245070048.74200.163207553711385/1443769448988516/?type=3",NA,395,87,31,38,3,1,3,11
"SenatorTimScott","163207553711385_1444990708866390","Tim Scott","2017-03-10","2017-03-10 23:12:12","So many Americans are searching for better opportunities to help lead them on the path to a brighter future. Whether it is through apprenticeships, quality education, or reinvesting in distressed communities, we must find ways to lift up those who feel like they have been left behind, like no one cares. I was one of those kids who lived paycheck-to-paycheck, almost flunked out of school, and completely unsure of what my future looked like. That is why my goal is to find solutions for many low-income families struggling across the country, and I believe my Opportunity Agenda is certainly a step towards ensuring all Americans have what they need to succeed.","photo","https://www.facebook.com/SenatorTimScott/photos/a.282954245070048.74200.163207553711385/1444990708866390/?type=3",NA,134,57,8,7,0,0,0,2
"SenatorTimScott","163207553711385_1448575851841209","Tim Scott","2017-03-13","2017-03-13 20:25:56","Congrats to Winthrop Athletics and South Carolina Gamecocks on making the #NCAATournament!","photo","https://www.facebook.com/SenatorTimScott/photos/a.282954245070048.74200.163207553711385/1448575851841209/?type=3",NA,193,11,20,5,0,0,0,0
"SenatorTimScott","163207553711385_1448645481834246","Tim Scott","2017-03-13","2017-03-13 22:15:07","This evening, I voted to confirm Seema Verma to be administrator of the Centers for Medicare and Medicaid Services. She was confirmed by the Senate 55-43.   I believe Ms. Seema Verma’s extensive career has given her a unique understanding into the intricacies of our healthcare systems. She has spearheaded Medicaid reform across six different states, was the key architect in drafting ‘Healthy Indiana Plan’ for then-Governor Pence, and has consistently shown she understands the benefit of free-market alternatives when it comes to managing our healthcare programs. I am proud to support Ms. Verma during her nomination, and I believe she will advocate for better care and will do so efficiently and responsibly.","status",NA,NA,448,52,18,17,0,0,1,11
"SenatorTimScott","163207553711385_1449446535087474","Tim Scott","2017-03-14","2017-03-14 18:30:05","Today I questioned a FEMA official on the reauthorization of the National Flood Insurance Program in Senate Banking Committee. In South Carolina, we are in desperate need of remapping. In some communities, such as Beaufort County, we haven’t seen remapping in about 20 years. I asked Mr. Wright about the technology behind this in regards to flood insurance, as well as the socioeconomic impact.","video","https://www.facebook.com/SenatorTimScott/videos/1449446535087474/",NA,483,53,25,12,2,1,0,1
"SenatorTimScott","163207553711385_1449579438407517","Tim Scott","2017-03-14","2017-03-14 21:26:57","I questioned US Trade Representative nominee Robert Lighthizer in Senate Finance Committee this afternoon. Exporting is a huge part of our state's economy, and we talked about solutions to help South Carolinian and American producers and workers.","video","https://www.facebook.com/SenatorTimScott/videos/1449579438407517/",NA,138,11,5,5,0,1,0,0
