"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"SenatorToddYoung","186203844738421_1667717586587032","Senator Todd Young","2017-01-03","2017-01-03 20:28:00","It's official. Thank you, Hoosier families, for the honor to serve you in the U.S. Senate.","video","https://www.facebook.com/SenatorToddYoung/videos/1667717586587032/",NA,566,100,47,31,0,1,0,9
"SenatorToddYoung","186203844738421_1670335336325257","Senator Todd Young","2017-01-04","2017-01-04 23:12:40","""The Obama administration’s refusal to veto the one-sided U.N. resolution was troubling, misguided, and counter-productive""","photo","https://www.facebook.com/SenatorToddYoung/photos/a.198308053528000.57986.186203844738421/1670335336325257/?type=3",NA,68,23,7,2,0,0,0,5
"SenatorToddYoung","186203844738421_1672217846137006","Senator Todd Young","2017-01-05","2017-01-05 22:38:04","My statement on Senator Dan Coats (Ret.) being tapped as President-elect Trump's choice for Director of National Intelligence:  ""I can’t think of an individual I trust more to advise the president and direct our intelligence operations than Senator Coats. He deserves all the accolades he will receive in the coming days. This is an excellent pick by President-elect Trump.""","status",NA,NA,197,40,7,10,0,0,1,2
"SenatorToddYoung","186203844738421_1673899369302187","Senator Todd Young","2017-01-06","2017-01-06 23:00:41","A few photos you haven't yet seen from this week's swearing-in ceremony. The day was made all the more special because my wife and our four kids could be there too. See more photos on my Instagram page: @SenToddYoung","photo","https://www.facebook.com/SenatorToddYoung/photos/a.1060631170629013.1073741858.186203844738421/1673898922635565/?type=3",NA,468,62,5,19,0,1,0,0
"SenatorToddYoung","186203844738421_1682740871751370","Senator Todd Young","2017-01-11","2017-01-11 16:11:57","I took 5 minutes to talk with Roll Call about Hoosiers in the White House, my four kids & my illustrious ""soccer career"". Take a look!","link","http://tinyurl.com/jfb7tk2","tinyurl.com",106,49,7,3,0,0,0,0
"SenatorToddYoung","186203844738421_1683271698364954","Senator Todd Young","2017-01-11","2017-01-11 21:25:07","I highlighted the importance of Indiana's infrastructure during a confirmation hearing with Secretary of Transportation nominee Elaine Chao. The 'Crossroads of America' is more than a moniker. It's critical to the economic health of our state and to our future. U.S. Department of Transportation","video","https://www.facebook.com/SenatorToddYoung/videos/1683271698364954/",NA,118,51,12,5,0,0,0,0
"SenatorToddYoung","186203844738421_1684603708231753","Senator Todd Young","2017-01-12","2017-01-12 14:23:12","The GPO has established ""Hoosier"" as the official designation for inhabitants of our state of Indiana.   ""We aren't achieving world peace here, but it's nice to be recognized by the federal government as Hoosiers. It's not just a classic movie. It’s not just the nickname for IU athletics. It’s who we are.""","video","https://www.facebook.com/SenatorToddYoung/videos/1684603708231753/",NA,206,88,89,10,8,1,1,1
"SenatorToddYoung","186203844738421_1686552704703520","Senator Todd Young","2017-01-13","2017-01-13 22:08:39","From WFIE 14 in Evansville: ""The federal government is now officially referring to Indiana residents as Hoosiers."" http://bit.ly/2jFUhgV","video","https://www.facebook.com/SenatorToddYoung/videos/1686552704703520/",NA,66,60,6,1,1,0,0,1
"SenatorToddYoung","186203844738421_1692689854089805","Senator Todd Young","2017-01-18","2017-01-18 22:46:09","U.S. Department of Health and Human Services Secretary-nominee Tom Price called Indiana’s HIP 2.0 approach a “best practice” for other states. Watch our exchange.","video","https://www.facebook.com/SenatorToddYoung/videos/1692689854089805/",NA,91,63,14,3,2,0,0,18
"SenatorToddYoung","186203844738421_1693818567310267","Senator Todd Young","2017-01-19","2017-01-19 20:05:03","I am very excited to share tomorrow's historic inaugural event with hundreds of Hoosiers who have made the trek to our nation's capital. It was great to see many of them in my office earlier today.","photo","https://www.facebook.com/SenatorToddYoung/photos/a.1060631170629013.1073741858.186203844738421/1693817353977055/?type=3",NA,174,97,5,11,0,0,1,6
"SenatorToddYoung","186203844738421_1699000940125363","Senator Todd Young","2017-01-23","2017-01-23 17:36:44","General James Mattis is an extraordinary public servant and an excellent fit to lead the Department of Defense. It was an honor to vote to confirm him as our country’s 26th Defense Secretary. As a fellow Marine, I’ve followed him closely over the years and have a full appreciation for his wide range of skills. From one Marine to another: Oorah!   I offered a few thoughts on this great leader ahead of last Friday’s vote. Take a look!","video","https://www.facebook.com/SenatorToddYoung/videos/1699000940125363/",NA,228,92,5,5,0,0,2,7
"SenatorToddYoung","186203844738421_1700661949959262","Senator Todd Young","2017-01-24","2017-01-24 18:06:13","I'm thrilled to see Toyota Indiana investing in our state and in hardworking Hoosier families. The car manufacturer is investing $600 million dollars in the Princeton plant to add 400 new jobs and make technological improvements. The improvements relate to the plant's production of the Highlander mid-size SUV.","link","http://corporatenews.pressroom.toyota.com/releases/toyota-indiana-tmmi-jobs-jan24.htm?view_id=43263","corporatenews.pressroom.toyota.com",200,42,42,6,0,1,0,0
