"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"SenatorTomCotton","120355701459307_723804014447803","Senator Tom Cotton","2017-01-02","2017-01-02 21:42:42","In 2017 we are ready to do more! Contact my office to get help recovering medals for Arkansas veterans.","photo","https://www.facebook.com/SenatorTomCotton/photos/a.139579716203572.28054.120355701459307/723804014447803/?type=3",NA,134,15,16,6,0,0,0,0
"SenatorTomCotton","120355701459307_724114674416737","Senator Tom Cotton","2017-01-03","2017-01-03 13:42:29","In 2017 we are ready to do more! Contact my office to get help from the IRS, SSA, & VA.","photo","https://www.facebook.com/SenatorTomCotton/photos/a.139579716203572.28054.120355701459307/724114674416737/?type=3",NA,158,27,29,8,0,1,0,0
"SenatorTomCotton","120355701459307_724304057731132","Senator Tom Cotton","2017-01-03","2017-01-03 22:13:34","Ben Carson is a world-renowned surgeon whose intellect & life-experience make him an excellent candidate for the Secretary of Housing and Urban Development (HUD). https://www.cotton.senate.gov/?p=press_release&id=568","photo","https://www.facebook.com/SenatorTomCotton/photos/a.139579716203572.28054.120355701459307/724304057731132/?type=3",NA,1322,73,49,81,13,1,1,1
"SenatorTomCotton","120355701459307_724315177730020","Senator Tom Cotton","2017-01-03","2017-01-03 23:04:16","Jeff Sessions is one of the most qualified nominees for Attorney General in history and will be an exemplary leader at the Justice Department.  I have come to know Jeff well in our time in the Senate, and I have seen his integrity up close.  He will be a steadfast defender of the Constitution and the rule of law. And he is committed to securing our borders and fixing our broken immigration system. I look forward to supporting his nomination. https://www.cotton.senate.gov/?p=press_release&id=569","photo","https://www.facebook.com/SenatorTomCotton/photos/a.139579716203572.28054.120355701459307/724315177730020/?type=3",NA,664,60,29,44,2,1,2,0
"SenatorTomCotton","120355701459307_724436507717887","Senator Tom Cotton","2017-01-04","2017-01-04 03:43:23","I joined Tucker Carlson Tonight on Fox News to discuss Russia. WATCH:","video","https://www.facebook.com/SenatorTomCotton/videos/724436507717887/",NA,328,62,30,13,3,2,0,2
"SenatorTomCotton","120355701459307_724659801028891","Senator Tom Cotton","2017-01-04","2017-01-04 14:28:42","This morning I joined MSNBC's Morning Joe to discuss Russia. WATCH:","video","https://www.facebook.com/SenatorTomCotton/videos/724659801028891/",NA,206,80,23,15,3,2,0,2
"SenatorTomCotton","120355701459307_724835171011354","Senator Tom Cotton","2017-01-04","2017-01-04 21:25:24","I joined my fellow Senators in introducing a Senate resolution condemning anti-Israel efforts at United Nations","link","http://ow.ly/GadE307GZLT","ow.ly",1021,100,75,60,1,0,1,8
"SenatorTomCotton","120355701459307_725252337636304","Senator Tom Cotton","2017-01-05","2017-01-05 18:00:12","It's a sad day when a great American company becomes complicit in Communist censorship of an American newspaper. Apple could have leveraged its position to push for more openness in China, but it instead sought to protect its market access at the expense of liberty. Apple's protestations that it's merely complying with Chinese law ring hollow when, just last year, it openly challenged a U.S. court order to assist a terrorism investigation and unlock the iPhone of a dead ISIS terrorist. The common theme running through Apple's actions is not principle, but short-term profit. And the ultimate consequence will be a future that is more closed, less prosperous, and much darker.","link","https://www.cotton.senate.gov/?p=press_release&id=571","cotton.senate.gov",327,71,78,2,8,8,27,41
"SenatorTomCotton","120355701459307_725254524302752","Senator Tom Cotton","2017-01-05","2017-01-05 18:05:02","General James Mattis is a revered Marine, among the most dedicated and patriotic of his generation. Over the last eight years, our military capabilities have declined rapidly as our Armed Forces endured massive budget cuts. Under General Mattis, I'm confident a new era is upon us. His concern is for the lethality and the safety of our military forces, who risk their lives on our behalf. I share these concerns, and believe General Mattis is the right person for the job. I look forward to supporting his nomination.","link","https://www.cotton.senate.gov/?p=press_release&id=572","cotton.senate.gov",796,50,68,52,2,0,0,1
"SenatorTomCotton","120355701459307_725284184299786","Senator Tom Cotton","2017-01-05","2017-01-05 19:15:24","ICYMI: Watch my Q&A during today's Senate Armed Services Committee hearing with Director Clapper & Admiral Rogers on Russian cyber threats","video","https://www.facebook.com/SenatorTomCotton/videos/725284184299786/",NA,358,84,98,9,3,5,1,2
"SenatorTomCotton","120355701459307_725350050959866","Senator Tom Cotton","2017-01-05","2017-01-05 22:42:39","I joined Chuck Todd on #MTPDaily to discuss Russia. WATCH:","video","https://www.facebook.com/SenatorTomCotton/videos/725350050959866/",NA,110,40,19,2,1,0,1,7
"SenatorTomCotton","120355701459307_725678177593720","Senator Tom Cotton","2017-01-06","2017-01-06 16:25:05","This morning i joined Martha Maccallum on America's Newsroom to discuss #Russia. WATCH:","video","https://www.facebook.com/SenatorTomCotton/videos/725678177593720/",NA,195,45,25,8,2,0,0,1
"SenatorTomCotton","120355701459307_725742790920592","Senator Tom Cotton","2017-01-06","2017-01-06 19:05:30","Wilbur Ross’s business experience makes him an excellent choice for Secretary of Commerce. During our meeting, Wilbur and I discussed reforming our regulatory system to reduce the number of regulations hurting Arkansas businesses and farmers, working to protect Arkansas’s steel industry by preventing unfair Chinese trade practices, and ways to increase wages for hard-working Arkansans. I’m confident he’ll be a champion for American economic interests at home and abroad. I look forward to supporting his nomination. https://www.cotton.senate.gov/?p=press_release&id=573","photo","https://www.facebook.com/SenatorTomCotton/photos/a.139579716203572.28054.120355701459307/725742790920592/?type=3",NA,186,19,13,6,0,0,0,0
"SenatorTomCotton","120355701459307_726097897551748","Senator Tom Cotton","2017-01-07","2017-01-07 14:53:53","Proud to join my colleagues yesterday to certify the election results for the 45th President of the United States Donald Trump.","photo","https://www.facebook.com/SenatorTomCotton/photos/a.139579716203572.28054.120355701459307/726097897551748/?type=3",NA,1013,72,40,58,0,0,2,8
"SenatorTomCotton","120355701459307_727264070768464","Senator Tom Cotton","2017-01-10","2017-01-10 00:38:33","This afternoon I joined Wolf Blitzer on The Situation Room to discuss #Russia and #Israel WATCH:","video","https://www.facebook.com/SenatorTomCotton/videos/727264070768464/",NA,182,41,21,11,0,1,0,1
"SenatorTomCotton","120355701459307_727602294067975","Senator Tom Cotton","2017-01-10","2017-01-10 16:45:17","The Iran deal keeps getting worse. Last year, the Obama administration paid $8.6 million to Iran for nuclear material that Iran was never allowed to produce. And now it's given its blessing as Iran imports enough uranium for 10 nuclear bombs. It's a good thing for the world that President Obama's presidency is ending in 10 days, because before long we would have been building Iran's centrifuges for it.","link","https://www.cotton.senate.gov/?p=press_release&id=575","cotton.senate.gov",724,98,472,3,4,46,14,251
"SenatorTomCotton","120355701459307_727618334066371","Senator Tom Cotton","2017-01-10","2017-01-10 17:31:07","This morning I joined Hugh Hewitt to discuss upcoming confirmation hearings. LISTEN:","video","https://www.facebook.com/SenatorTomCotton/videos/727618334066371/",NA,49,2,3,0,0,0,0,0
"SenatorTomCotton","120355701459307_727651400729731","Senator Tom Cotton","2017-01-10","2017-01-10 19:02:10","Earlier today I joined Kevin Miller on Newsradio 102.9 KARN to discuss #Apple, #Russia, and #Obamacare. LISTEN:","video","https://www.facebook.com/SenatorTomCotton/videos/727651400729731/",NA,41,20,3,0,0,0,0,1
"SenatorTomCotton","120355701459307_727663187395219","Senator Tom Cotton","2017-01-10","2017-01-10 19:39:24","I’m very disappointed that Senator Booker has chosen to start his 2020 presidential campaign by testifying against Senator Sessions. This disgraceful breach of custom is especially surprising since Senator Booker just last year said he was “honored to have partnered with Senator Sessions” on a resolution honoring civil-rights marchers. Senator Booker says he feels compelled to speak out because Senator Session wants to keep criminals behind bars, drugs off our streets, and amnesty from becoming law. He’s welcome to oppose these common-sense policies and vote against Senator Sessions’s nomination, but what is so unique about those views to require his extraordinary testimony? Nothing. This hearing simply offers a platform for his presidential aspirations. Senator Booker is better than that, and he knows better.","status",NA,NA,2388,678,1303,38,20,29,67,314
"SenatorTomCotton","120355701459307_728108687350669","Senator Tom Cotton","2017-01-11","2017-01-11 17:21:35","I joined KFFB 106.1 FM for a series of interviews this week. Today we talked about recent committee hearings on #Russia. LISTEN:","video","https://www.facebook.com/SenatorTomCotton/videos/728108687350669/",NA,42,29,3,1,0,0,0,0
"SenatorTomCotton","120355701459307_728685763959628","Senator Tom Cotton","2017-01-12","2017-01-12 15:44:28","I joined KFFB 106.1 FM for a series of interviews this week. Today we talked bout the recent anti-Israel UN Security Council resolution. LISTEN:","video","https://www.facebook.com/SenatorTomCotton/videos/728685763959628/",NA,56,16,4,1,0,0,0,0
