"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"SenatorWhitehouse","194172833926853_1373681082642683","Senator Sheldon Whitehouse","2017-01-03","2017-01-03 22:49:47","Senator Tammy Baldwin, U.S. Senator Elizabeth Warren, Senator Dianne Feinstein and I have a bill to curb a little-known loophole that gives big tax breaks to wealthy Cabinet picks. As far as I’m concerned, billionaires do not need a financial incentive to enter public service. https://www.whitehouse.senate.gov/news/release/whitehouse-baldwin-warren-and-feinstein-introduce-bill-to-limit-tax-windfalls-for-billionaires-in-the-trump-administration","link","https://www.whitehouse.senate.gov/news/release/whitehouse-baldwin-warren-and-feinstein-introduce-bill-to-limit-tax-windfalls-for-billionaires-in-the-trump-administration","whitehouse.senate.gov",566,44,87,45,0,5,0,0
"SenatorWhitehouse","194172833926853_1374634635880661","Senator Sheldon Whitehouse","2017-01-04","2017-01-04 23:28:25","Nearly 30 million Americans and ~96,000 Rhode Islanders would lose their coverage under the Republicans' plan to repeal health care. It's unacceptable to Make America Sick Again while lining millionaires’ pockets through tax breaks at the expense of seniors, women, and the middle class.","photo","https://www.facebook.com/SenatorWhitehouse/photos/a.216561905021279.62346.194172833926853/1374634635880661/?type=3",NA,167,62,101,2,0,1,18,68
"SenatorWhitehouse","194172833926853_1374649665879158","Senator Sheldon Whitehouse","2017-01-04","2017-01-04 23:56:07",NA,"video","https://www.facebook.com/ObamaWhiteHouse/videos/10155110238714238/",NA,60,7,0,4,1,0,0,0
"SenatorWhitehouse","194172833926853_1375568805787244","Senator Sheldon Whitehouse","2017-01-05","2017-01-05 23:22:54","This past election has proven just how important it is for the President-elect and his national security team to appreciate the scope and the severity of the cyber threats we face. To that end, I joined House Homeland Security Committee Chairman Michael McCaul and members of the Center for Strategic and International Studies’ Cyber Policy Task Force today to announce our recommendations to the next administration for strengthening America’s cybersecurity. Looking forward to carrying on this bipartisan work with my colleagues in the Senate and with cybersecurity leaders in the House like Congressman Jim Langevin and Chairman McCaul, and I will continue to encourage the incoming administration to adopt these necessary reforms. http://www.govinfosecurity.com/task-force-issues-cybersecurity-advice-to-donald-trump-a-9616","photo","https://www.facebook.com/SenatorWhitehouse/photos/a.216561905021279.62346.194172833926853/1375568805787244/?type=3",NA,95,14,2,0,0,0,0,0
"SenatorWhitehouse","194172833926853_1376315785712546","Senator Sheldon Whitehouse","2017-01-06","2017-01-06 18:22:51","Congrats to my friend Congressman Jim Langevin on being honored with the U.S. Navy's Distinguished Public Service Award, the highest form of recognition the Secretary of the Navy can bestow on a public servant. Rhode Islanders have every reason to be proud of your work on behalf of our national security, and the way you support and advocate for our troops and retired military. Bravo Zulu, Jim!","photo","https://www.facebook.com/SenatorWhitehouse/photos/a.216561905021279.62346.194172833926853/1376315785712546/?type=3",NA,62,4,0,1,0,0,0,0
"SenatorWhitehouse","194172833926853_1377412688936189","Senator Sheldon Whitehouse","2017-01-07","2017-01-07 20:53:04","Thanks to all the members of the labor and business communities who’ve shared your thoughts with me about what Rhode Island workers and small businesses need from the next Secretary of Labor. As a member of the Health, Education, Labor, and Pensions Committee, I look forward to vetting the Trump administration’s nominee to make sure he demonstrates a respect for Rhode Island workers and a commitment to helping small businesses grow.","photo","https://www.facebook.com/SenatorWhitehouse/photos/a.860063910671072.1073741845.194172833926853/1377410288936429/?type=3",NA,32,8,2,0,0,0,0,0
"SenatorWhitehouse","194172833926853_1377630615581063","Senator Sheldon Whitehouse","2017-01-08","2017-01-08 02:38:26","Oh, this broken campaign promise, again? Trump vowed to drain the swamp but seems to keep filling it with scary swamp monsters instead.","link","http://politi.co/2iLjSbg","politi.co",40,18,0,0,0,2,5,12
"SenatorWhitehouse","194172833926853_1379303512080440","Senator Sheldon Whitehouse","2017-01-09","2017-01-09 22:27:50",NA,"video","https://www.facebook.com/USSenateDemocrats/videos/1198244693578056/",NA,55,12,0,5,0,0,0,0
"SenatorWhitehouse","194172833926853_1379323145411810","Senator Sheldon Whitehouse","2017-01-09","2017-01-09 22:53:20",NA,"video","https://www.facebook.com/USSenateDemocrats/videos/1198262753576250/",NA,54,18,0,4,0,0,0,0
"SenatorWhitehouse","194172833926853_1380260135318111","Senator Sheldon Whitehouse","2017-01-10","2017-01-10 22:59:12","I’ve heard from Rhode Islanders concerned about whether President-elect Trump’s nominee to lead the Justice Department will uphold our laws and treat every American fairly and equally. On their behalf, I voiced those concerns in his nomination hearing today and asked Senator Jeff Sessions to explain past actions and statements he’s made on civil liberties, race, immigration, torture, and religion.","video","https://www.facebook.com/SenatorWhitehouse/videos/1380260135318111/",NA,463,128,66,28,0,1,3,1
