"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"SenatorWicker","158401580882385_1182709508451582","Senator Roger Wicker","2017-01-03","2017-01-03 22:12:01","Wicker Report | The first 100-day period after a new President takes office is a pivotal time for any administration. I anticipate that President-elect Trump will get the ball rolling on policies for economic growth and job creation that actually make a difference in people’s lives. Americans voted for a change in direction, and lawmakers should fulfill their wishes. The new President and Congress have an opportunity to focus on local communities, jobs, and the livelihoods of Americans. This should be the mission of the first 100 days.","link","http://www.wicker.senate.gov/public/index.cfm/2017/1/wicker-anticipates-major-reforms-during-trump-s-first-100-days","wicker.senate.gov",69,37,8,7,0,3,2,1
"SenatorWicker","158401580882385_1184196741636192","Senator Roger Wicker","2017-01-05","2017-01-05 18:15:12","Today I met with Vincent Viola, U.S. Army veteran and President-elect Trump’s nominee for Secretary of the Army. I learned first-hand about his dedication to our country and his deep understanding of the complex issues we face. Following our productive discussion, I feel confident that Mr. Viola is the right pick to lead our nation’s Army. Enjoyed meeting with him!","photo","https://www.facebook.com/SenatorWicker/photos/a.169886343067242.59209.158401580882385/1184196741636192/?type=3",NA,74,18,3,3,0,2,1,0
"SenatorWicker","158401580882385_1187248634664336","Senator Roger Wicker","2017-01-09","2017-01-09 17:56:40","Wicker Report | In 2010, I voted against the President’s health-care law when Democratic supermajorities in Congress passed it. I voted for the law’s repeal in 2015, but that legislation was vetoed by President Obama. Now Congress is presented with another opportunity to end Obamacare and put us on a path forward to lower costs and expand choices for Americans. Repealing Obamacare is just the first step toward enacting policies that put Mississippi families first.","link","http://www.wicker.senate.gov/public/index.cfm/2017/1/wicker-the-time-has-come-to-repeal-obamacare-once-and-for-all","wicker.senate.gov",151,93,14,7,1,1,2,14
"SenatorWicker","158401580882385_1187408774648322","Senator Roger Wicker","2017-01-09","2017-01-09 22:34:28","John C. Stennis Lock & Dam, impounding the Columbus Lake in Lowndes County just outside of Columbus, Mississippi. It is one of five lock and dam structures on the Tennessee-Tombigbee Waterway and is named after the former U.S. Senator from Mississippi. #MississippiMonday","photo","https://www.facebook.com/SenatorWicker/photos/a.169886343067242.59209.158401580882385/1187408774648322/?type=3",NA,22,4,2,3,0,0,0,0
"SenatorWicker","158401580882385_1188170584572141","Senator Roger Wicker","2017-01-10","2017-01-10 23:00:48","Today I met with retired four-star Marine Corps General James Mattis -- an exceptional choice to lead our Defense Department and military service members during these difficult times. His extensive knowledge on strategy and foreign policy will serve our national security interests well. President-elect Trump could not have picked a better person for the job.","photo","https://www.facebook.com/SenatorWicker/photos/a.169886343067242.59209.158401580882385/1188170584572141/?type=3",NA,151,23,14,6,0,2,0,1
"SenatorWicker","158401580882385_1189590417763491","Senator Roger Wicker","2017-01-12","2017-01-12 16:28:01","This morning, I questioned Gen. James Mattis during his confirmation hearing to be Secretary of Defense. I asked about his thoughts on Israel as a strategic democratic partner in the Middle East. He answered by saying, ""Israel is a fellow democracy, and I think Israel's security is very, very important to the United States."" I wholeheartedly agree.","video","https://www.facebook.com/SenatorWicker/videos/1189590417763491/",NA,120,25,16,13,0,1,0,0
"SenatorWicker","158401580882385_1190540601001806","Senator Roger Wicker","2017-01-13","2017-01-13 19:12:17","I was honored to introduce Dr. Lonnie Bunch during today's Committee for King luncheon at Elvis Presley Birthplace. Dr. Bunch is the founding director of the Smithsonian National Museum of African American History and Culture. We appreciate him joining the group in Tupelo!  My Tupelo  Smithsonian","photo","https://www.facebook.com/SenatorWicker/photos/a.169886343067242.59209.158401580882385/1190540601001806/?type=3",NA,29,9,3,3,0,0,0,0
"SenatorWicker","158401580882385_1193138114075388","Senator Roger Wicker","2017-01-16","2017-01-16 23:10:56","In memory of the great Martin Luther King, Jr. -- the National Civil Rights Museum in Memphis, formerly the Lorraine Motel where MLK was shot in 1968 just 12 miles from the Mississippi state line. #MLKDay #MississippiMonday","photo","https://www.facebook.com/SenatorWicker/photos/a.576363949086144.1073741827.158401580882385/1193136537408879/?type=3",NA,34,6,1,2,0,0,1,1
"SenatorWicker","158401580882385_1193787614010438","Senator Roger Wicker","2017-01-17","2017-01-17 20:29:29","Wicker Report | When Donald Trump assumes the presidency on January 20, he will inherit a wide variety of challenges at home and abroad. Regardless of political affiliation, I believe we can all agree that more needs to be done to revitalize the economy, rebuild crumbling infrastructure, and restore the rule of law. One of the first steps in attaining those goals is to equip President Trump with a Cabinet in place immediately upon taking office. The Senate should confirm his nominees in quick order so that we can move forward with the people’s business.","link","http://www.wicker.senate.gov/public/index.cfm/2017/1/wicker-calls-for-swift-confirmation-of-trump-nominees","wicker.senate.gov",69,39,6,9,1,0,0,7
"SenatorWicker","158401580882385_1193872510668615","Senator Roger Wicker","2017-01-17","2017-01-17 22:55:36","It is time to put an end to sanctuary cities. The tragic and preventable circumstances surrounding the deaths of victims like Kate Steinle and Sarah Root reveal the very real threat these policies pose to public safety. I support policies that target illegal immigrants who are engaging in criminal activity in the Unites States or are reentering the country after repeatedly being denied or deported. Our country has every right to deport those who are here unlawfully – particularly those who also commit crimes.","link","http://www.wicker.senate.gov/public/index.cfm/2017/1/wicker-supports-multiple-efforts-to-end-sanctuary-cities","wicker.senate.gov",104,19,9,11,0,1,1,0
"SenatorWicker","158401580882385_1195667353822464","Senator Roger Wicker","2017-01-20","2017-01-20 02:50:13","So proud of the Tupelo High School band! Tomorrow, they will perform in the inaugural parade for President Donald Trump. I am so pleased that I had the opportunity to visit with them this afternoon in advance of their big day. Mississippi is proud of them!","photo","https://www.facebook.com/SenatorWicker/photos/a.169886343067242.59209.158401580882385/1195667353822464/?type=3",NA,440,16,40,36,1,4,0,3
"SenatorWicker","158401580882385_1196177870438079","Senator Roger Wicker","2017-01-20","2017-01-20 19:39:10","Congratulations to our new President on this historic day. Once again, America is a shining example to the world of what a peaceful transfer of power should look like. I agree with the President that now is a time for action. I stand ready to work with him and Vice-President Pence to make good on our commitment to restore our standing in the world, grow our economy, and create good-paying jobs for American families. -- RW","status",NA,NA,199,38,12,18,0,0,0,2
"SenatorWicker","158401580882385_1196375770418289","Senator Roger Wicker","2017-01-21","2017-01-21 00:59:48","The Senate has confirmed President Trump's first two cabinet members! I am proud to have cast my vote for the new Secretary of Defense, James Mattis, and Secretary of Homeland Security, John Kelly. President Trump and the country need a national security team in place as soon as possible. That includes confirming Rep. Pompeo to lead the CIA.   SHARE IF YOU AGREE!","status",NA,NA,155,34,18,11,0,1,0,8
