"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"SteveDainesMT","185361254941832_1009460592531890","Senator Steve Daines","2017-01-01","2017-01-01 04:04:21","Happy New Year!","photo","https://www.facebook.com/SteveDainesMT/photos/a.189055717905719.58687.185361254941832/1009460592531890/?type=3",NA,474,22,8,19,0,0,0,0
"SteveDainesMT","185361254941832_1010610819083534","Senator Steve Daines","2017-01-02","2017-01-02 18:56:58","Looking forward to a productive legislative session in Helena that strengthens individual freedoms,  our economy, and our state's outdoor heritage.","link","http://www.bozemandailychronicle.com/ap_news/montana/montana-legislature-to-convene-th-session/article_519053e1-2024-5704-8781-722a375728a7.html?utm_source=dlvr.it&utm_medium=twitter","bozemandailychronicle.com",65,2,2,2,0,0,0,0
"SteveDainesMT","185361254941832_1010798665731416","Senator Steve Daines","2017-01-03","2017-01-03 02:02:48","It's a big day for Montana's Attorney General Tim Fox -- he was sworn and created a Facebook. To keep up with Montana DOJ follow AG Fox's page here: https://www.facebook.com/AGTimFox/","link","https://www.facebook.com/AGTimFox/","facebook.com",33,1,0,0,0,0,0,1
"SteveDainesMT","185361254941832_1011249425686340","Senator Steve Daines","2017-01-03","2017-01-03 18:24:43","On the first day of the 115th Congress, I am reminded of this day two years ago when I took the oath of office as your U.S. Senator. Thank you Montanans for electing me to serve you in the U.S. Senate.","photo","https://www.facebook.com/SteveDainesMT/photos/a.189055717905719.58687.185361254941832/1011249425686340/?type=3",NA,359,26,15,12,0,1,1,2
"SteveDainesMT","185361254941832_1011465668998049","Senator Steve Daines","2017-01-04","2017-01-04 02:38:39","For the 115th Congress I will serve on the U.S. Senate Committee on Appropriations, U.S. Senate Committee on Energy and Natural Resources, U.S. Senate Committee on Agriculture, Nutrition and Forestry, U.S. Senate Committee on Homeland Security and Government Affairs and the U.S. Senate Committee on Indian Affairs.","link","http://www.bozemandailychronicle.com/blogs/politics/sen-daines-joins-committees-on-agriculture-homeland-security/article_611ac006-196c-5c38-9fc7-e1fd02212d07.html","bozemandailychronicle.com",196,20,7,11,2,0,1,1
"SteveDainesMT","185361254941832_1011861602291789","Senator Steve Daines","2017-01-04","2017-01-04 16:20:08","George was the longest serving University of Montana history and oversaw tremendous growth and successes. He was a tremendous and transformational leader and will be greatly missed.","link","http://missoulian.com/news/local/updated-university-of-montana-former-president-george-dennison-dies/article_6f2b3168-7888-59ca-bd86-82678b8b0e1f.html","missoulian.com",28,0,1,1,0,0,2,0
"SteveDainesMT","185361254941832_1012048698939746","Senator Steve Daines","2017-01-04","2017-01-04 22:33:23","I’m excited to see so many Montanans in our nation’s capital for the 58th Presidential Inauguration. Details on the Inauguration can be found below.","link","http://ypradio.org/post/daines-provides-details-montanans-traveling-presidential-inauguration#stream/0","ypradio.org",65,9,2,4,1,0,1,2
"SteveDainesMT","185361254941832_1012412642236685","Senator Steve Daines","2017-01-05","2017-01-05 15:43:25","Yesterday I met with Wilbur Ross, President-elect Donald J. Trump's designee for the U.S. Department of Commerce. He has an impressive resume and is a force in the private-sector. The Department of Commerce and the American economy will be well served by his extensive experience. I’m excited for his ideas to institute strong trade policies that expand opportunities for Montana ag producers and manufacturers to create more good-paying jobs.  During the meeting, we discussed the importance of exports to Montana jobs and economy and about expanding access to foreign markets for Montana agricultural and manufactured products.","photo","https://www.facebook.com/SteveDainesMT/photos/a.189055717905719.58687.185361254941832/1012412642236685/?type=3",NA,71,8,1,2,1,0,0,2
"SteveDainesMT","185361254941832_1012681055543177","Senator Steve Daines","2017-01-05","2017-01-05 22:42:22","Sat down with President-elect Donald J. Trump's designee for U.S. Department of Education, Betsy DeVos today. She has a passion for education and will be a formidable leader at the Department of Education. I look forward to watching her shape the Department of Education to increase local control of our schools, with policies that originate with the parents, teachers and administrators who are closest to the classroom.","photo","https://www.facebook.com/SteveDainesMT/photos/a.189055717905719.58687.185361254941832/1012681055543177/?type=3",NA,429,3168,305,18,22,13,206,1513
"SteveDainesMT","185361254941832_1012786075532675","Senator Steve Daines","2017-01-06","2017-01-06 01:54:00","Today, I met with Congressman Ryan Zinke as part of his official confirmation process to be the next Secretary of the Interior. Commander Ryan Zinke is a military hero who served honorably for 23 years and is taking his service to another level. Ryan understands the balance of conservation, responsible energy development and public access.","link","http://billingsgazette.com/news/government-and-politics/daines-meets-zinke-with-long-wishlist-for-next-interior-secretary/article_5e66f842-e44c-5b0a-9be8-a0c95e8f6a8d.html","billingsgazette.com",152,34,10,7,0,0,1,9
"SteveDainesMT","185361254941832_1014679155343367","Senator Steve Daines","2017-01-08","2017-01-08 23:07:52","I'm excited to announce that Colstrip native, U.S. Army Major Brad Caton has been selected to serve as a Defense Fellow in our Washington, D.C. for this upcoming year.   Most recently, he served as the Deputy Assistant Chief of Staff G8 (Financial Management) for the 1st Armored Division at Fort Bliss, Texas, and deployed to The Hashemite Kingdom of Jordan as the J8 for CENTCOM Forward - Jordan.  He will help serve Montana’s military members and work to make our nation safer and more secure.","photo","https://www.facebook.com/SteveDainesMT/photos/a.189055717905719.58687.185361254941832/1014679155343367/?type=3",NA,159,14,17,5,0,3,0,0
"SteveDainesMT","185361254941832_1015206048624011","Senator Steve Daines","2017-01-09","2017-01-09 19:32:37","On Law Enforcement Appreciation Day, I'm especially grateful for our men and women in blue. #SupportBlue","photo","https://www.facebook.com/SteveDainesMT/photos/a.189055717905719.58687.185361254941832/1015206048624011/?type=3",NA,80,9,19,5,0,0,0,0
"SteveDainesMT","185361254941832_1015349848609631","Senator Steve Daines","2017-01-09","2017-01-09 23:47:45","Spoke with General John Kelly, President-elect Donald J. Trump's designee for the United States Department of Homeland Security about how we can work together to Make America Safe Again. General Kelly is a straight shooter who knows what it takes to secure our borders and protect Americans.","photo","https://www.facebook.com/SteveDainesMT/photos/a.189055717905719.58687.185361254941832/1015349848609631/?type=3",NA,206,30,12,5,2,0,0,1
"SteveDainesMT","185361254941832_1016167288527887","Senator Steve Daines","2017-01-11","2017-01-11 03:28:44","Today I questioned President-elect Donald J. Trump’s nominee for the U.S. Department of Homeland Security, General John F. Kelly during the nomination hearing in the U.S. Senate Committee on Homeland Security and Governmental Affairs on securing our northern and southern border and federal cybersecurity.","video","https://www.facebook.com/SteveDainesMT/videos/1016167288527887/",NA,113,15,13,4,0,0,0,1
"SteveDainesMT","185361254941832_1016658105145472","Senator Steve Daines","2017-01-11","2017-01-11 17:54:04","On my way to introduce my first bill of the 115th Congress, the Balanced Budget Accountability Act. It's simple Congress must pass a balanced budget, or members of Congress won't get paid.","video","https://www.facebook.com/SteveDainesMT/videos/1016658105145472/",NA,692,173,230,78,1,7,0,4
